% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from rooftopOct2017+in-field6Sept2017 and recorded on 2018-11-07 18:15:01.
% Based on the mean of c0s from 20170906 (in-flight partial langley), and rooftop 20171024, 1025, 1026, 1101, and 1107.  C0err=2*stdev the variability within these 6 langleys.
Pix Wavelength C0 C0err
511 946.05 8.25405884e+00 5.52938271e+00 
510 947.95 8.53890896e+00 5.62666988e+00 
509 949.84 8.82516766e+00 5.45980406e+00 
508 951.73 9.04096699e+00 5.32225227e+00 
507 953.62 9.22589207e+00 5.18662262e+00 
506 955.51 9.46149445e+00 5.05601788e+00 
505 957.40 9.74386215e+00 4.84791470e+00 
504 959.28 1.01660166e+01 4.63309622e+00 
503 961.16 1.06878071e+01 4.36425161e+00 
502 963.03 1.11384535e+01 3.83524537e+00 
501 964.90 1.18501272e+01 3.45638943e+00 
500 966.78 1.23550005e+01 2.77807379e+00 
499 968.64 1.32290888e+01 2.23855877e+00 
498 970.51 1.36253548e+01 1.74393213e+00 
497 972.37 1.39560261e+01 1.68385506e+00 
496 974.23 1.37955818e+01 1.84387660e+00 
495 976.09 1.40508909e+01 1.91143453e+00 
494 977.95 1.41420956e+01 1.79085195e+00 
493 979.80 1.45573626e+01 1.46746564e+00 
492 981.65 1.48640079e+01 1.19689798e+00 
491 983.50 1.53004246e+01 8.64316523e-01 
490 985.34 1.54373388e+01 6.59975886e-01 
489 987.18 1.56734371e+01 4.54649866e-01 
488 989.02 1.57470770e+01 3.65026087e-01 
487 990.86 1.59342422e+01 2.99524873e-01 
486 992.70 1.58134251e+01 3.48939896e-01 
485 994.53 1.60517044e+01 2.79716581e-01 
484 996.36 1.58849087e+01 3.40079755e-01 
483 998.19 1.60538368e+01 2.63170689e-01 
482 1000.01 1.59915428e+01 2.28112698e-01 
481 1001.83 1.58361473e+01 3.19924206e-01 
480 1003.65 1.58679895e+01 1.99123725e-01 
479 1005.47 1.58493814e+01 2.68673986e-01 
478 1007.29 1.58678684e+01 2.65252650e-01 
477 1009.10 1.60659103e+01 2.54185259e-01 
476 1010.91 1.60338230e+01 3.17950100e-01 
475 1012.72 1.62237892e+01 2.22622156e-01 
474 1014.53 1.60178699e+01 3.17053109e-01 
473 1016.33 1.62325001e+01 2.13524103e-01 
472 1018.13 1.59422693e+01 3.28640670e-01 
471 1019.93 1.60076504e+01 2.81141967e-01 
470 1021.73 1.58974857e+01 2.45381549e-01 
469 1023.52 1.58522148e+01 2.51610726e-01 
468 1025.31 1.56072683e+01 2.98591971e-01 
467 1027.10 1.57157135e+01 2.17051879e-01 
466 1028.89 1.54799786e+01 2.35766828e-01 
465 1030.67 1.54627094e+01 1.76620170e-01 
464 1032.45 1.51946697e+01 2.18637124e-01 
463 1034.23 1.50910902e+01 2.23965451e-01 
462 1036.01 1.49121761e+01 1.92047238e-01 
461 1037.79 1.47747850e+01 2.47637555e-01 
460 1039.56 1.46016645e+01 2.22653329e-01 
459 1041.33 1.44859829e+01 2.29397297e-01 
458 1043.10 1.41752195e+01 2.66500086e-01 
457 1044.87 1.41677904e+01 1.86688110e-01 
456 1046.63 1.38714933e+01 2.47501194e-01 
455 1048.39 1.38403187e+01 2.65348107e-01 
454 1050.15 1.37640972e+01 2.00658143e-01 
453 1051.91 1.36537094e+01 2.49050558e-01 
452 1053.67 1.35823755e+01 1.90366894e-01 
451 1055.42 1.35696783e+01 1.70255169e-01 
450 1057.17 1.33572273e+01 1.69426769e-01 
449 1058.92 1.32052994e+01 2.32853577e-01 
448 1060.67 1.31130590e+01 2.03454211e-01 
447 1062.41 1.30422001e+01 2.24606454e-01 
