% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from rooftopOct2017+in-field6+8Sept2017 and recorded on 2018-11-08 17:55:55.
% Based on the mean of c0s from 20170906 and 0908 (in-flight partial langley), and rooftop 20171024, and 1107.  C0err=2*stdev the variability within these 4 langleys.
Pix Wavelength C0 C0err
511 946.05 1.17421827e+01 9.46838284e+00 
510 947.95 1.20798273e+01 9.46146107e+00 
509 949.84 1.22410002e+01 9.20360661e+00 
508 951.73 1.23458948e+01 8.84780121e+00 
507 953.62 1.24114132e+01 8.53439617e+00 
506 955.51 1.25293570e+01 8.21236134e+00 
505 957.40 1.26590719e+01 7.91017437e+00 
504 959.28 1.29423361e+01 7.48005486e+00 
503 961.16 1.33002977e+01 6.90612268e+00 
502 963.03 1.34309740e+01 6.20212460e+00 
501 964.90 1.39304991e+01 5.33449030e+00 
500 966.78 1.40093641e+01 4.46100616e+00 
499 968.64 1.45808430e+01 3.47993016e+00 
498 970.51 1.46619778e+01 2.89973211e+00 
497 972.37 1.49847813e+01 2.79301572e+00 
496 974.23 1.48865032e+01 3.08190918e+00 
495 976.09 1.52154245e+01 3.08142161e+00 
494 977.95 1.51933098e+01 2.96010137e+00 
493 979.80 1.54226103e+01 2.49126577e+00 
492 981.65 1.55623751e+01 2.07092047e+00 
491 983.50 1.58148012e+01 1.60395348e+00 
490 985.34 1.57878819e+01 1.28297985e+00 
489 987.18 1.58965321e+01 9.67736244e-01 
488 989.02 1.58849936e+01 7.60964930e-01 
487 990.86 1.60187969e+01 6.12922609e-01 
486 992.70 1.58626747e+01 6.05737746e-01 
485 994.53 1.60909615e+01 4.92162615e-01 
484 996.36 1.59043751e+01 5.23153186e-01 
483 998.19 1.60759296e+01 4.39067841e-01 
482 1000.01 1.60155182e+01 4.06524241e-01 
481 1001.83 1.58365221e+01 4.53064829e-01 
480 1003.65 1.58934212e+01 3.78287733e-01 
479 1005.47 1.58568001e+01 4.09950346e-01 
478 1007.29 1.58835678e+01 4.25350577e-01 
477 1009.10 1.60819035e+01 4.25826341e-01 
476 1010.91 1.60345001e+01 4.47895825e-01 
475 1012.72 1.62237263e+01 3.32352579e-01 
474 1014.53 1.60027637e+01 3.96710664e-01 
473 1016.33 1.62291622e+01 3.07552338e-01 
472 1018.13 1.59306154e+01 4.16172117e-01 
471 1019.93 1.59997044e+01 3.80091488e-01 
470 1021.73 1.59009390e+01 3.72084618e-01 
469 1023.52 1.58445950e+01 3.41636270e-01 
468 1025.31 1.55960598e+01 3.82793903e-01 
467 1027.10 1.57094069e+01 3.04834038e-01 
466 1028.89 1.54638147e+01 3.09766501e-01 
465 1030.67 1.54440784e+01 2.23898441e-01 
464 1032.45 1.51616316e+01 2.42544219e-01 
463 1034.23 1.50488501e+01 2.09651023e-01 
462 1036.01 1.48843555e+01 2.14138046e-01 
461 1037.79 1.47415018e+01 2.62850910e-01 
460 1039.56 1.45708599e+01 2.49608338e-01 
459 1041.33 1.44555855e+01 2.54532278e-01 
458 1043.10 1.41575775e+01 3.24243605e-01 
457 1044.87 1.41759071e+01 2.89172173e-01 
456 1046.63 1.38823395e+01 3.61532331e-01 
455 1048.39 1.38527145e+01 3.84422064e-01 
454 1050.15 1.37917604e+01 3.41238409e-01 
453 1051.91 1.36560059e+01 3.47412825e-01 
452 1053.67 1.35860224e+01 2.87234545e-01 
451 1055.42 1.35673189e+01 2.50564933e-01 
450 1057.17 1.33610039e+01 2.57330865e-01 
449 1058.92 1.32133474e+01 3.48987073e-01 
448 1060.67 1.31508121e+01 3.67034823e-01 
447 1062.41 1.30778809e+01 4.00243014e-01 
446 1064.15 1.28677578e+01 4.52412486e-01 
445 1065.89 1.27738466e+01 4.14531320e-01 
444 1067.63 1.24066954e+01 4.44638044e-01 
443 1069.37 1.22770462e+01 4.03659135e-01 
442 1071.10 1.20508642e+01 4.23970699e-01 
441 1072.83 1.19818192e+01 4.08393562e-01 
440 1074.56 1.18705177e+01 4.00446057e-01 
439 1076.29 1.17435150e+01 4.15212154e-01 
438 1078.02 1.16391554e+01 4.02954072e-01 
437 1079.74 1.14956827e+01 4.46829647e-01 
436 1081.46 1.13647041e+01 4.66801614e-01 
435 1083.18 1.12992859e+01 5.77000678e-01 
434 1084.90 1.11735640e+01 7.13402510e-01 
433 1086.61 1.12714291e+01 7.44895816e-01 
432 1088.33 1.12306128e+01 8.48487735e-01 
431 1090.04 1.12256317e+01 9.60803449e-01 
430 1091.75 1.11300182e+01 1.11146855e+00 
429 1093.45 1.10256376e+01 1.30508327e+00 
428 1095.16 1.09514227e+01 1.46454859e+00 
427 1096.86 1.09679918e+01 1.70724618e+00 
426 1098.56 1.11025257e+01 2.00829291e+00 
