% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from rooftopOct2017+in-field6+8Sept2017 and recorded on 2018-11-08 17:27:41.
% Based on the mean of c0s from 20170906 and 0908 (in-flight partial langley), and rooftop 20171024, and 1107.  C0err=2*stdev the variability within these 4 langleys.
Pix Wavelength C0 C0err
511 946.05 1.26546097e+01 9.15904903e+00 
510 947.95 1.30064125e+01 9.18208218e+00 
509 949.84 1.31360350e+01 8.91916561e+00 
508 951.73 1.31975775e+01 8.55686569e+00 
507 953.62 1.32308207e+01 8.24957752e+00 
506 955.51 1.33189688e+01 7.94052267e+00 
505 957.40 1.34201717e+01 7.64941883e+00 
504 959.28 1.36667461e+01 7.24284554e+00 
503 961.16 1.39585581e+01 6.66611099e+00 
502 963.03 1.40142241e+01 5.97104454e+00 
501 964.90 1.44344950e+01 5.14031363e+00 
500 966.78 1.44157181e+01 4.26941490e+00 
499 968.64 1.48904257e+01 3.31651449e+00 
498 970.51 1.49040890e+01 2.73471999e+00 
497 972.37 1.52289457e+01 2.65387011e+00 
496 974.23 1.51520195e+01 2.92123270e+00 
495 976.09 1.54926147e+01 2.94245839e+00 
494 977.95 1.54474230e+01 2.80412579e+00 
493 979.80 1.56325922e+01 2.35300875e+00 
492 981.65 1.57270756e+01 1.93882918e+00 
491 983.50 1.59292011e+01 1.48028600e+00 
490 985.34 1.58603773e+01 1.15742826e+00 
489 987.18 1.59464493e+01 8.67305994e-01 
488 989.02 1.59073410e+01 6.66549981e-01 
487 990.86 1.60364666e+01 5.36656857e-01 
486 992.70 1.58760195e+01 5.27968049e-01 
485 994.53 1.60982609e+01 4.27473605e-01 
484 996.36 1.59148273e+01 4.55468923e-01 
483 998.19 1.60817451e+01 3.81132334e-01 
482 1000.01 1.60242195e+01 3.54204595e-01 
481 1001.83 1.58393040e+01 3.92562836e-01 
480 1003.65 1.58969975e+01 3.27997029e-01 
479 1005.47 1.58604689e+01 3.55406284e-01 
478 1007.29 1.58901758e+01 3.69547844e-01 
477 1009.10 1.60870323e+01 3.69489133e-01 
476 1010.91 1.60383434e+01 3.88269603e-01 
475 1012.72 1.62273750e+01 2.88287967e-01 
474 1014.53 1.60067291e+01 3.44018936e-01 
473 1016.33 1.62358742e+01 2.68033981e-01 
472 1018.13 1.59419680e+01 3.63973379e-01 
471 1019.93 1.60136776e+01 3.35047394e-01 
470 1021.73 1.59153385e+01 3.28606039e-01 
469 1023.52 1.58536758e+01 2.98640132e-01 
468 1025.31 1.56057644e+01 3.34338099e-01 
467 1027.10 1.57107697e+01 2.64064342e-01 
466 1028.89 1.54664345e+01 2.68521458e-01 
465 1030.67 1.54388208e+01 1.95322201e-01 
464 1032.45 1.51577311e+01 2.10772455e-01 
463 1034.23 1.50452003e+01 1.82295322e-01 
462 1036.01 1.48815203e+01 1.85882017e-01 
461 1037.79 1.47421026e+01 2.27651432e-01 
460 1039.56 1.45675669e+01 2.16668054e-01 
459 1041.33 1.44557037e+01 2.20432073e-01 
458 1043.10 1.41662722e+01 2.83482760e-01 
457 1044.87 1.41889639e+01 2.57147372e-01 
456 1046.63 1.38905373e+01 3.15235496e-01 
455 1048.39 1.38639793e+01 3.36709201e-01 
454 1050.15 1.38006020e+01 2.98154414e-01 
453 1051.91 1.36597242e+01 3.01327407e-01 
452 1053.67 1.35895996e+01 2.49266207e-01 
451 1055.42 1.35684795e+01 2.17057690e-01 
