% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2018-11-02 17:05:37.
% Langley at MLO outside 1.8x the STD of 501 nm Langley residuals were screened out. 
% Including only the good days at MLO
% Averages of c0 from multiple days including: , infl-ig-ht, Ames--2-01, Ames--2-01, Ames--2-01. See the list of files below
% 20170906_NIR_C0_refined_langley_4STARBam.dat
% 20171023_4STARB_NIR_C0_refined_ground_langley_am.dat
% 20171024_4STARB_NIR_C0_refined_ground_langley_am.dat
% 20171025_4STARB_NIR_C0_refined_ground_langley_am.dat
Pix Wavelength C0 C0err
511 946.05 8.75771844e+00 3.21795046e+00 
510 947.95 9.07941712e+00 3.22979473e+00 
509 949.84 9.31831587e+00 3.17470188e+00 
508 951.73 9.51522816e+00 3.08492050e+00 
507 953.62 9.67198920e+00 3.02245064e+00 
506 955.51 9.89204050e+00 2.94838770e+00 
505 957.40 1.01238279e+01 2.87303540e+00 
504 959.28 1.05271835e+01 2.73482300e+00 
503 961.16 1.10375724e+01 2.54161863e+00 
502 963.03 1.13646667e+01 2.30821840e+00 
501 964.90 1.21015336e+01 1.98499985e+00 
500 966.78 1.24450870e+01 1.71534893e+00 
499 968.64 1.33095579e+01 1.33722071e+00 
498 970.51 1.35864889e+01 1.16825247e+00 
497 972.37 1.39432373e+01 1.08966241e+00 
496 974.23 1.37657788e+01 1.23131022e+00 
495 976.09 1.40730901e+01 1.19830591e+00 
494 977.95 1.40880044e+01 1.22734882e+00 
493 979.80 1.44631333e+01 1.06735552e+00 
492 981.65 1.47224304e+01 9.48464613e-01 
491 983.50 1.51251202e+01 7.75994944e-01 
490 985.34 1.51864614e+01 7.52419802e-01 
489 987.18 1.54022298e+01 6.47606838e-01 
488 989.02 1.54560094e+01 6.23674000e-01 
487 990.86 1.56513555e+01 5.55232367e-01 
486 992.70 1.54854612e+01 6.30140908e-01 
485 994.53 1.57638810e+01 5.46796396e-01 
484 996.36 1.55611420e+01 6.11591317e-01 
483 998.19 1.57699740e+01 5.60489540e-01 
482 1000.01 1.57075000e+01 5.64194375e-01 
481 1001.83 1.55170743e+01 6.11394826e-01 
480 1003.65 1.55922358e+01 5.26429926e-01 
479 1005.47 1.55657651e+01 5.39652291e-01 
478 1007.29 1.55747879e+01 5.60401693e-01 
477 1009.10 1.57858644e+01 5.24610974e-01 
476 1010.91 1.57117126e+01 5.88302674e-01 
475 1012.72 1.59544010e+01 4.77219738e-01 
474 1014.53 1.57101517e+01 5.56299818e-01 
473 1016.33 1.59742129e+01 4.36087041e-01 
472 1018.13 1.56512439e+01 5.26695362e-01 
471 1019.93 1.57505362e+01 4.72367079e-01 
470 1021.73 1.56206820e+01 4.92831144e-01 
469 1023.52 1.55968192e+01 4.59688654e-01 
468 1025.31 1.53368218e+01 4.97905869e-01 
467 1027.10 1.54735341e+01 4.37559598e-01 
466 1028.89 1.52072525e+01 5.04706477e-01 
465 1030.67 1.51996908e+01 4.68577739e-01 
464 1032.45 1.49100454e+01 5.08988019e-01 
463 1034.23 1.48202329e+01 4.65014167e-01 
462 1036.01 1.46589358e+01 4.42229904e-01 
461 1037.79 1.45205422e+01 4.46741602e-01 
460 1039.56 1.43456938e+01 4.47862387e-01 
459 1041.33 1.42359855e+01 4.34481520e-01 
458 1043.10 1.39073427e+01 4.74169650e-01 
457 1044.87 1.39444041e+01 4.05874535e-01 
456 1046.63 1.36549866e+01 4.07169505e-01 
455 1048.39 1.36230643e+01 4.15413656e-01 
454 1050.15 1.35528045e+01 4.15344421e-01 
453 1051.91 1.34309356e+01 4.33274382e-01 
452 1053.67 1.33582325e+01 4.18651576e-01 
451 1055.42 1.33688052e+01 3.69064809e-01 
450 1057.17 1.31416263e+01 4.05010944e-01 
449 1058.92 1.29881928e+01 4.11718372e-01 
448 1060.67 1.29124878e+01 4.12891045e-01 
447 1062.41 1.28409881e+01 4.08392711e-01 
446 1064.15 1.25971596e+01 4.66739844e-01 
445 1065.89 1.25386837e+01 3.72794964e-01 
444 1067.63 1.21504507e+01 4.13976672e-01 
443 1069.37 1.20262311e+01 3.91613830e-01 
442 1071.10 1.17909191e+01 4.10420521e-01 
441 1072.83 1.17222536e+01 3.94416217e-01 
440 1074.56 1.16081150e+01 3.70463315e-01 
439 1076.29 1.14850907e+01 3.75004585e-01 
438 1078.02 1.13792627e+01 3.44234400e-01 
437 1079.74 1.12427359e+01 3.29685609e-01 
436 1081.46 1.10817080e+01 3.43628102e-01 
435 1083.18 1.10040052e+01 3.56634418e-01 
434 1084.90 1.08398214e+01 3.91260178e-01 
433 1086.61 1.09144075e+01 3.96319295e-01 
432 1088.33 1.08356776e+01 4.43354765e-01 
431 1090.04 1.08174629e+01 4.62302565e-01 
430 1091.75 1.06526487e+01 5.35534846e-01 
429 1093.45 1.05155439e+01 5.77804469e-01 
428 1095.16 1.03705494e+01 6.45004392e-01 
427 1096.86 1.03259428e+01 6.91255575e-01 
426 1098.56 1.03398228e+01 7.84377968e-01 
425 1100.26 1.02465332e+01 9.30940767e-01 
424 1101.96 1.01443315e+01 1.05532657e+00 
423 1103.65 1.01650636e+01 1.13614139e+00 
422 1105.35 9.94524384e+00 1.26393821e+00 
421 1107.04 9.99188472e+00 1.37326564e+00 
420 1108.73 9.68157743e+00 1.57065617e+00 
419 1110.41 9.38005090e+00 1.81042781e+00 
418 1112.10 8.79404438e+00 2.18286521e+00 
417 1113.78 8.02176810e+00 2.71421809e+00 
416 1115.46 7.28413439e+00 3.18530353e+00 
415 1117.14 6.78063332e+00 3.52624713e+00 
414 1118.82 6.38618873e+00 3.68880386e+00 
413 1120.50 6.27566147e+00 3.79880849e+00 
412 1122.17 5.97028155e+00 3.87998499e+00 
411 1123.84 6.05679260e+00 3.91800332e+00 
410 1125.51 5.83837480e+00 3.99667697e+00 
409 1127.18 6.00356132e+00 3.97367307e+00 
408 1128.85 6.43692625e+00 3.67932292e+00 
407 1130.51 6.69189871e+00 3.54775915e+00 
406 1132.17 6.41895246e+00 3.60116108e+00 
405 1133.83 6.40164626e+00 3.65282342e+00 
404 1135.49 6.53356301e+00 3.42208034e+00 
403 1137.15 7.49652743e+00 2.87932541e+00 
402 1138.80 8.06598615e+00 2.43331145e+00 
401 1140.46 8.14919781e+00 2.40621910e+00 
400 1142.11 7.51815545e+00 2.76583717e+00 
399 1143.76 6.96331395e+00 3.19325068e+00 
398 1145.41 6.51783741e+00 3.44232032e+00 
397 1147.05 6.65201581e+00 3.39890291e+00 
396 1148.70 7.08933652e+00 3.08760589e+00 
395 1150.34 7.44638871e+00 2.90876045e+00 
394 1151.98 7.51272415e+00 2.79508966e+00 
393 1153.62 7.96199264e+00 2.62155940e+00 
392 1155.26 8.14509500e+00 2.35411895e+00 
391 1156.89 8.70568215e+00 2.04845519e+00 
390 1158.53 8.79253674e+00 1.82205951e+00 
389 1160.16 9.17003034e+00 1.57686924e+00 
388 1161.79 9.21494960e+00 1.38930403e+00 
387 1163.42 9.55184912e+00 1.19923112e+00 
386 1165.04 9.53446675e+00 1.11280261e+00 
385 1166.67 9.63238002e+00 1.03098046e+00 
384 1168.29 9.69586944e+00 9.09949684e-01 
383 1169.91 9.83095551e+00 8.30880600e-01 
382 1171.53 9.58354973e+00 8.90320979e-01 
381 1173.15 9.50199557e+00 8.90647214e-01 
380 1174.77 9.35417056e+00 8.67998055e-01 
379 1176.38 9.27508520e+00 8.22298725e-01 
