% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-11-08 19:25:28.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , ORAC-LE-S , Ames- r-oo, Ames- r-oo, Ames- r-oo, Ames- r-oo, Ames- r-oo, Ames- r-oo. See the list of files below
% 20170815_NIR_C0_refined_averaged_MLO_inflightsubset_polyfit.dat
% 20171023_NIR_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171024_NIR_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171025_NIR_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171026_NIR_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171030_NIR_C0_refined_langley_4STARam.dat
% 20171107_NIR_C0_refined_langley_4STARam.dat
Pix Wavelength C0 C0err
511 949.79 3.29877465e+00 7.28124863e-01 
510 949.79 3.88290203e+00 7.22479808e-01 
509 951.68 4.22720616e+00 7.39824653e-01 
508 953.57 4.30879450e+00 7.31430737e-01 
507 955.46 4.72402362e+00 7.47639106e-01 
506 957.34 4.85535726e+00 7.33418970e-01 
505 959.22 5.36308611e+00 7.24188471e-01 
504 961.10 5.55406342e+00 6.91899723e-01 
503 962.98 6.11495728e+00 6.60383594e-01 
502 964.85 6.29122310e+00 6.19835703e-01 
501 966.72 6.95082919e+00 5.70900355e-01 
500 968.59 7.18581879e+00 5.41725967e-01 
499 970.45 7.64625854e+00 5.28282308e-01 
498 972.32 7.55985233e+00 5.54837062e-01 
497 974.18 7.87307680e+00 5.78185255e-01 
496 976.04 7.82070737e+00 5.73521140e-01 
495 977.89 8.24383300e+00 5.74775162e-01 
494 979.74 8.27741014e+00 5.62296937e-01 
493 981.59 8.65192974e+00 5.61864891e-01 
492 983.44 8.64795875e+00 5.43086459e-01 
491 985.29 8.95731160e+00 5.37092565e-01 
