% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2018-04-12 18:07:04.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, Ames- r-oo. See the list of files below
% 20170605_NIR_C0_refined_Langley_MLO_May2017_averages.dat
% 20170807_NIR_C0_refined_langley_4STARpm.dat
% 20170807_NIR_C0_refined_langley_4STAR_subset_pm.dat
% 20170809_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_NIR_C0_refined_high_alt_low_m_frompolyfit.dat
% 20171205_NIR_C0_refined_langley_4STARpm_Ames_roof_.dat
Pix Wavelength C0 C0err
511 949.79 4.63933504e+00 8.48990604e-01 
510 949.79 5.01455831e+00 4.41670096e-01 
509 951.68 5.38336175e+00 4.30485424e-01 
508 953.57 5.44118084e+00 4.19061680e-01 
507 955.46 5.88280663e+00 4.22595824e-01 
506 957.34 5.99000276e+00 4.08753563e-01 
505 959.22 6.46184865e+00 3.73981181e-01 
504 961.10 6.56484617e+00 3.35349846e-01 
503 962.98 7.01147262e+00 2.82087794e-01 
502 964.85 7.03421085e+00 2.25769092e-01 
501 966.72 7.55177251e+00 1.69822983e-01 
500 968.59 7.61497630e+00 1.23757583e-01 
499 970.45 8.01891865e+00 1.09016896e-01 
498 972.32 7.96624882e+00 1.28573685e-01 
497 974.18 8.30325495e+00 1.40640917e-01 
496 976.04 8.23702792e+00 1.44043870e-01 
495 977.89 8.58420250e+00 1.19373104e-01 
494 979.74 8.51263701e+00 8.61575461e-02 
493 981.59 8.81056600e+00 6.76037739e-02 
492 983.44 8.70401427e+00 5.38331938e-02 
491 985.29 8.96696581e+00 5.80409509e-02 
490 987.13 8.77191257e+00 5.48469427e-02 
489 988.97 9.02073042e+00 5.61334057e-02 
488 990.81 8.83232469e+00 5.99577983e-02 
487 992.65 9.00867014e+00 6.70107882e-02 
486 994.48 8.82061479e+00 5.79062186e-02 
485 996.31 8.96084235e+00 5.89893373e-02 
484 998.14 8.71065526e+00 5.12617188e-02 
483 999.97 8.86706718e+00 5.07080965e-02 
482 1001.79 8.58005768e+00 5.36007037e-02 
481 1003.62 8.66204948e+00 5.49572072e-02 
480 1005.44 8.44981633e+00 5.27351375e-02 
479 1007.25 8.69676730e+00 5.46458546e-02 
478 1009.07 8.51249639e+00 5.15012351e-02 
477 1010.88 8.66995581e+00 5.76567427e-02 
476 1012.69 8.41663101e+00 5.34935898e-02 
475 1014.50 8.53729654e+00 5.66245798e-02 
474 1016.31 8.32648230e+00 5.47709073e-02 
473 1018.11 8.47833159e+00 5.37686410e-02 
472 1019.91 8.24248338e+00 5.18172695e-02 
471 1021.71 8.39873955e+00 5.09423934e-02 
470 1023.51 8.17640776e+00 5.04545987e-02 
469 1025.30 8.34271966e+00 5.67580542e-02 
468 1027.09 8.22611766e+00 6.51144366e-02 
467 1028.88 8.39231152e+00 6.65391876e-02 
466 1030.67 8.22771536e+00 6.80916447e-02 
465 1032.46 8.39565288e+00 7.59268585e-02 
464 1034.24 8.23943716e+00 7.56819208e-02 
463 1036.02 8.42293941e+00 7.58436428e-02 
462 1037.80 8.31336125e+00 6.68559670e-02 
461 1039.58 8.51366268e+00 7.50952125e-02 
460 1041.35 8.38026664e+00 6.84445694e-02 
459 1043.12 8.54169477e+00 7.85420502e-02 
458 1044.89 8.45687199e+00 7.62319076e-02 
457 1046.66 8.66379484e+00 7.78392738e-02 
456 1048.43 8.58722692e+00 7.93874631e-02 
455 1050.19 8.81208282e+00 7.80005626e-02 
454 1051.95 8.65851603e+00 6.96209322e-02 
453 1053.71 8.89581913e+00 7.44633693e-02 
452 1055.47 8.72511800e+00 7.68291562e-02 
451 1057.23 8.85952245e+00 7.47273959e-02 
450 1058.98 8.71779458e+00 7.13505143e-02 
449 1060.73 8.90556283e+00 7.80389468e-02 
448 1062.48 8.71346665e+00 8.07682699e-02 
447 1064.23 8.85293214e+00 8.05916010e-02 
446 1065.97 8.54978824e+00 7.95917255e-02 
445 1067.71 8.58882793e+00 7.05864104e-02 
444 1069.46 8.39209103e+00 6.35575113e-02 
443 1071.19 8.50318755e+00 7.14326197e-02 
442 1072.93 8.33642610e+00 6.90877648e-02 
441 1074.67 8.43446708e+00 7.05192001e-02 
440 1076.40 8.24484584e+00 6.18515140e-02 
439 1078.13 8.29051079e+00 5.69605246e-02 
