% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2018-04-12 18:07:04.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -av-g-, infl-ig-ht, infl-ig-ht, high- a-lt, high- a-lt, Ames- r-oo. See the list of files below
% 20170605_VIS_C0_refined_Langley_MLO_May2017_averages.dat
% 20170807_VIS_C0_refined_langley_4STARpm.dat
% 20170807_VIS_C0_refined_langley_4STAR_subset_pm.dat
% 20170809_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20170815_VIS_C0_refined_high_alt_low_m_frompolyfit.dat
% 20171205_VIS_C0_refined_langley_4STARpm_Ames_roof_.dat
Pix Wavelength C0 C0err
0 173.18 -6.66666667e-01 5.16397779e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 5.04691930e+37 1.23623771e+38 
43 207.44 1.32832368e-01 2.77486127e+00 
44 208.24 -5.06159344e-01 1.10982886e+00 
45 209.04 -5.85668747e-01 9.12764323e-01 
46 209.84 -5.10835265e-01 1.05045829e+00 
47 210.64 -4.18940440e-01 1.02110828e+00 
48 211.44 -4.25098660e-01 1.03924214e+00 
49 212.24 -4.66611346e-01 1.01522187e+00 
50 213.04 3.31980536e-01 2.47469933e+00 
51 213.85 1.15445904e+00 4.81512070e+00 
52 214.65 1.91405641e+00 6.65366125e+00 
53 215.45 5.93564322e+34 1.45392972e+35 
54 216.25 6.31402073e+33 1.54661290e+34 
55 217.05 6.76038592e+32 1.65594960e+33 
56 217.85 7.28285992e+31 1.78392907e+32 
57 218.65 7.81594560e+30 1.91450786e+31 
58 219.46 8.38017353e+29 2.05271491e+30 
59 220.26 9.05342572e+28 2.21762734e+29 
60 221.06 9.71340728e+27 2.37928915e+28 
61 221.86 1.06502607e+27 2.60877042e+27 
62 222.66 1.15436564e+26 2.82760679e+26 
63 223.47 1.25714461e+25 3.07936283e+25 
64 224.27 1.36139517e+24 3.33472351e+24 
65 225.07 1.47966282e+23 3.62441890e+23 
66 225.87 1.62978335e+22 3.99213760e+22 
67 226.68 1.81804593e+21 4.45328487e+21 
68 227.48 2.12191835e+20 5.19761723e+20 
69 228.28 2.89398175e+19 7.08877861e+19 
70 229.08 5.63723570e+18 1.38083510e+19 
71 229.89 2.14459762e+18 5.25316986e+18 
72 230.69 2.04959047e+18 5.02045083e+18 
73 231.49 5.30678042e+18 1.29989042e+19 
74 232.30 3.01425367e+19 7.38338344e+19 
75 233.10 2.80222085e+20 6.86401123e+20 
76 233.90 3.19908922e+21 7.83613622e+21 
77 234.71 4.01166333e+22 9.82652819e+22 
78 235.51 5.19357127e+23 1.27215995e+24 
79 236.32 6.95710575e+24 1.70413592e+25 
80 237.12 9.41587488e+25 2.30640889e+26 
81 237.92 1.29224017e+27 3.16532904e+27 
82 238.73 1.80432620e+28 4.41967852e+28 
83 239.53 2.53272982e+29 6.20389571e+29 
84 240.34 3.40516282e+30 8.34091139e+30 
85 241.14 4.28571618e+31 1.04978178e+32 
86 241.94 4.97786780e+32 1.21932361e+33 
87 242.75 5.28384252e+33 1.29427180e+34 
88 243.55 5.12937715e+34 1.25643567e+35 
89 244.36 8.84005151e-01 4.17427422e+00 
90 245.16 5.49931104e-01 3.31536653e+00 
91 245.97 1.90062111e-02 2.06110742e+00 
92 246.77 -4.81467540e-01 9.87055026e-01 
93 247.58 -5.18948592e-01 9.21235228e-01 
94 248.38 -4.57936315e-01 9.37599625e-01 
95 249.19 -4.73201432e-01 1.00264782e+00 
96 249.99 -4.94793498e-01 9.42889206e-01 
97 250.80 -5.33378815e-01 8.55868282e-01 
98 251.60 1.49975524e+11 3.67363508e+11 
99 252.41 -5.39873811e-01 1.01834738e+00 
100 253.21 -5.53463082e-01 9.48463177e-01 
101 254.02 -4.66070618e-01 1.13362429e+00 
102 254.82 -5.13360743e-01 1.08206540e+00 
103 255.63 -5.90476966e-01 8.60513711e-01 
104 256.44 -5.96093492e-01 8.49207180e-01 
105 257.24 -5.32262570e-01 9.74144617e-01 
106 258.05 1.02006821e+06 2.49864800e+06 
107 258.85 -2.51693091e-01 1.17506416e+00 
108 259.66 -5.38740504e-01 9.00896840e-01 
109 260.46 -4.91718150e-01 9.48827132e-01 
110 261.27 -4.72043591e-01 9.82455583e-01 
111 262.08 -5.07325931e-01 9.09773813e-01 
112 262.88 -3.30531697e-01 1.28373689e+00 
113 263.69 2.81800422e-01 2.69077828e+00 
114 264.49 4.79774802e-01 3.15988880e+00 
115 265.30 6.69413353e-01 3.62895247e+00 
116 266.11 1.45258201e+34 3.55808473e+34 
117 266.91 1.17133887e+33 2.86918254e+33 
118 267.72 8.17530250e+31 2.00253196e+32 
119 268.53 4.85457905e+30 1.18912416e+31 
