% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2017-12-19 15:06:37.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , Ames- r-oo, Ames- r-oo, Ames- r-oo, Ames- r-oo, Ames- r-oo, Ames- r-oo. See the list of files below
% 20171025_NIR_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171026_NIR_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171101_NIR_C0_refined_langley_4STARam.dat
% 20171107_NIR_C0_refined_langley_4STARam.dat
% 20171205_NIR_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171205_NIR_C0_refined_langley_4STARpm_Ames_roof_.dat
Pix Wavelength C0 C0err
511 949.79 3.09504227e+00 1.79590680e-01 
510 949.79 3.75269079e+00 6.82716636e-01 
509 951.68 4.11207958e+00 6.81424158e-01 
508 953.57 4.19810772e+00 6.67886912e-01 
507 955.46 4.60873215e+00 6.75882702e-01 
506 957.34 4.73866582e+00 6.62339955e-01 
505 959.22 5.25214346e+00 6.62628447e-01 
504 961.10 5.45098305e+00 6.21126293e-01 
503 962.98 6.00717330e+00 5.82512243e-01 
502 964.85 6.17432276e+00 5.10296098e-01 
501 966.72 6.83269811e+00 4.40420919e-01 
500 968.59 7.05612095e+00 3.50426928e-01 
499 970.45 7.52400684e+00 3.12502647e-01 
498 972.32 7.42534733e+00 3.24564583e-01 
497 974.18 7.72263392e+00 3.49596989e-01 
496 976.04 7.66826423e+00 3.34131446e-01 
495 977.89 8.08200089e+00 2.93204315e-01 
494 979.74 8.11679101e+00 2.40355873e-01 
493 981.59 8.48652998e+00 1.94010159e-01 
492 983.44 8.48177433e+00 1.43393507e-01 
491 985.29 8.78963407e+00 1.17588888e-01 
490 987.13 8.65137370e+00 1.02107488e-01 
