% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2017-12-19 15:06:37.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , Ames- r-oo, Ames- r-oo, Ames- r-oo, Ames- r-oo, Ames- r-oo, Ames- r-oo. See the list of files below
% 20171025_VIS_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171026_VIS_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171101_VIS_C0_refined_langley_4STARam.dat
% 20171107_VIS_C0_refined_langley_4STARam.dat
% 20171205_VIS_C0_refined_langley_4STARam_Ames_roof_.dat
% 20171205_VIS_C0_refined_langley_4STARpm_Ames_roof_.dat
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 0.00000000e+00 
47 210.64 -1.00000000e+00 0.00000000e+00 
48 211.44 -1.00000000e+00 0.00000000e+00 
49 212.24 -1.00000000e+00 0.00000000e+00 
50 213.04 -1.00000000e+00 0.00000000e+00 
51 213.85 -1.00000000e+00 0.00000000e+00 
52 214.65 -1.00000000e+00 0.00000000e+00 
53 215.45 -1.00000000e+00 0.00000000e+00 
54 216.25 -1.00000000e+00 0.00000000e+00 
55 217.05 -1.00000000e+00 0.00000000e+00 
56 217.85 -1.00000000e+00 0.00000000e+00 
57 218.65 -1.00000000e+00 0.00000000e+00 
58 219.46 -1.00000000e+00 0.00000000e+00 
59 220.26 -1.00000000e+00 0.00000000e+00 
60 221.06 -1.00000000e+00 0.00000000e+00 
61 221.86 -1.00000000e+00 0.00000000e+00 
62 222.66 -5.24952033e-01 1.16362512e+00 
63 223.47 -4.20637368e-01 1.41914282e+00 
64 224.27 3.82093757e+37 9.35934738e+37 
65 225.07 4.96455658e+00 7.94087830e+00 
66 225.87 2.22679317e+00 2.62787962e+00 
67 226.68 2.23774747e+00 2.53275071e+00 
68 227.48 9.22822352e+00 1.55922819e+01 
69 228.28 5.00625249e+00 1.67292290e+00 
70 229.08 4.96421544e+00 1.64415579e+00 
71 229.89 5.14132086e+00 1.75213289e+00 
72 230.69 4.74215416e+00 1.23713516e+00 
73 231.49 5.08248258e+00 1.67971422e+00 
74 232.30 4.70861030e+00 1.53540676e+00 
75 233.10 1.19114636e+01 2.13423976e+01 
76 233.90 2.31031247e+00 2.59281149e+00 
77 234.71 2.82122425e+00 3.46595555e+00 
78 235.51 4.70469252e+36 1.15240961e+37 
79 236.32 -2.20100045e-01 1.91035694e+00 
80 237.12 4.06707133e-02 2.54911224e+00 
81 237.92 -1.00000000e+00 0.00000000e+00 
82 238.73 -1.00000000e+00 0.00000000e+00 
83 239.53 -1.00000000e+00 0.00000000e+00 
84 240.34 -1.00000000e+00 0.00000000e+00 
85 241.14 -1.00000000e+00 0.00000000e+00 
86 241.94 -1.00000000e+00 0.00000000e+00 
87 242.75 -1.00000000e+00 0.00000000e+00 
88 243.55 -1.00000000e+00 0.00000000e+00 
89 244.36 -1.00000000e+00 0.00000000e+00 
90 245.16 -1.00000000e+00 0.00000000e+00 
91 245.97 -1.00000000e+00 0.00000000e+00 
92 246.77 -1.00000000e+00 0.00000000e+00 
93 247.58 -1.00000000e+00 0.00000000e+00 
94 248.38 -1.00000000e+00 0.00000000e+00 
95 249.19 -1.00000000e+00 0.00000000e+00 
96 249.99 -1.00000000e+00 0.00000000e+00 
97 250.80 -1.00000000e+00 0.00000000e+00 
98 251.60 -1.00000000e+00 0.00000000e+00 
99 252.41 -1.00000000e+00 0.00000000e+00 
100 253.21 -1.00000000e+00 0.00000000e+00 
101 254.02 -1.00000000e+00 0.00000000e+00 
102 254.82 -1.00000000e+00 0.00000000e+00 
103 255.63 -1.00000000e+00 0.00000000e+00 
104 256.44 -1.00000000e+00 0.00000000e+00 
105 257.24 -1.00000000e+00 0.00000000e+00 
106 258.05 -1.00000000e+00 0.00000000e+00 
107 258.85 -1.00000000e+00 0.00000000e+00 
108 259.66 -1.00000000e+00 0.00000000e+00 
109 260.46 -1.00000000e+00 0.00000000e+00 
110 261.27 -1.00000000e+00 0.00000000e+00 
111 262.08 -1.00000000e+00 0.00000000e+00 
112 262.88 -1.00000000e+00 0.00000000e+00 
113 263.69 -1.00000000e+00 0.00000000e+00 
114 264.49 -1.00000000e+00 0.00000000e+00 
115 265.30 -1.00000000e+00 0.00000000e+00 
116 266.11 -1.00000000e+00 0.00000000e+00 
