% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\4STAR\roof\4STAR_20171207starsun.mat and recorded on 2017-12-19 14:58:29.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 2.97183418e+00 8.91550258e-02 
510 949.79 5.42410278e+00 1.62723079e-01 
509 951.68 5.84740877e+00 1.75422266e-01 
508 953.57 5.94329405e+00 1.78298816e-01 
507 955.46 6.42606735e+00 1.92782015e-01 
506 957.34 6.55780983e+00 1.96734294e-01 
505 959.22 7.15801191e+00 2.14740351e-01 
504 961.10 7.31838799e+00 2.19551638e-01 
503 962.98 7.91863155e+00 2.37558946e-01 
502 964.85 8.01323128e+00 2.40396932e-01 
501 966.72 8.69328690e+00 2.60798603e-01 
500 968.59 8.81606483e+00 2.64481932e-01 
499 970.45 9.30704212e+00 2.79211253e-01 
498 972.32 9.21235275e+00 2.76370585e-01 
497 974.18 9.58809185e+00 2.87642747e-01 
496 976.04 9.50629425e+00 2.85188824e-01 
495 977.89 9.92827797e+00 2.97848344e-01 
494 979.74 9.86042595e+00 2.95812786e-01 
493 981.59 1.02199068e+01 3.06597203e-01 
492 983.44 1.01142836e+01 3.03428501e-01 
491 985.29 1.03991461e+01 3.11974376e-01 
490 987.13 1.01967440e+01 3.05902332e-01 
489 988.97 1.04525537e+01 3.13576609e-01 
488 990.81 1.02366486e+01 3.07099462e-01 
487 992.65 1.04239693e+01 3.12719077e-01 
486 994.48 1.02079306e+01 3.06237906e-01 
485 996.31 1.03839045e+01 3.11517119e-01 
484 998.14 1.01296148e+01 3.03888440e-01 
483 999.97 1.02972050e+01 3.08916152e-01 
482 1001.79 9.97300053e+00 2.99190015e-01 
481 1003.62 1.00511932e+01 3.01535785e-01 
480 1005.44 9.81201553e+00 2.94360459e-01 
479 1007.25 1.01058855e+01 3.03176552e-01 
478 1009.07 9.87232876e+00 2.96169877e-01 
477 1010.88 1.00541506e+01 3.01624507e-01 
476 1012.69 9.76642895e+00 2.92992860e-01 
475 1014.50 9.88014889e+00 2.96404481e-01 
474 1016.31 9.62709904e+00 2.88812965e-01 
473 1018.11 9.83607292e+00 2.95082182e-01 
472 1019.91 9.56938362e+00 2.87081510e-01 
471 1021.71 9.74322128e+00 2.92296648e-01 
470 1023.51 9.48985767e+00 2.84695745e-01 
469 1025.30 9.67972851e+00 2.90391862e-01 
468 1027.09 9.52973747e+00 2.85892129e-01 
467 1028.88 9.69948292e+00 2.90984482e-01 
466 1030.67 9.51617622e+00 2.85485297e-01 
465 1032.46 9.70586300e+00 2.91175902e-01 
464 1034.24 9.53371716e+00 2.86011517e-01 
463 1036.02 9.75576401e+00 2.92672932e-01 
462 1037.80 9.62355328e+00 2.88706601e-01 
461 1039.58 9.86904144e+00 2.96071231e-01 
460 1041.35 9.71457005e+00 2.91437089e-01 
459 1043.12 9.90952206e+00 2.97285676e-01 
458 1044.89 9.83043194e+00 2.94912964e-01 
457 1046.66 1.00734367e+01 3.02203089e-01 
456 1048.43 9.98167992e+00 2.99450397e-01 
455 1050.19 1.02436676e+01 3.07310015e-01 
454 1051.95 1.00529213e+01 3.01587641e-01 
453 1053.71 1.03073864e+01 3.09221596e-01 
452 1055.47 1.01213131e+01 3.03639382e-01 
451 1057.23 1.02837887e+01 3.08513671e-01 
450 1058.98 1.01376553e+01 3.04129660e-01 
449 1060.73 1.03286772e+01 3.09860319e-01 
448 1062.48 1.01155472e+01 3.03466409e-01 
447 1064.23 1.02816830e+01 3.08450490e-01 
446 1065.97 9.95259857e+00 2.98577964e-01 
445 1067.71 1.00060558e+01 3.00181687e-01 
444 1069.46 9.77766132e+00 2.93329835e-01 
443 1071.19 9.90702534e+00 2.97210753e-01 
442 1072.93 9.71136665e+00 2.91341007e-01 
441 1074.67 9.81350136e+00 2.94405043e-01 
440 1076.40 9.60457230e+00 2.88137168e-01 
439 1078.13 9.65546227e+00 2.89663881e-01 
