% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\20180207_day3\4STAR_20180207starsun.mat and recorded on 2018-02-07 12:07:14.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.51340771e+00 1.35402232e-01 
510 949.79 4.73359299e+00 1.42007783e-01 
509 951.68 5.11255169e+00 1.53376549e-01 
508 953.57 5.17133570e+00 1.55140072e-01 
507 955.46 5.61912537e+00 1.68573767e-01 
506 957.34 5.72023296e+00 1.71606988e-01 
505 959.22 6.18855381e+00 1.85656607e-01 
504 961.10 6.29856682e+00 1.88957006e-01 
503 962.98 6.73007250e+00 2.01902181e-01 
502 964.85 6.76284027e+00 2.02885211e-01 
501 966.72 7.27400684e+00 2.18220204e-01 
500 968.59 7.34342527e+00 2.20302761e-01 
499 970.45 7.76776171e+00 2.33032852e-01 
498 972.32 7.71402264e+00 2.31420681e-01 
497 974.18 8.07440281e+00 2.42232084e-01 
496 976.04 7.99496222e+00 2.39848867e-01 
495 977.89 8.31989193e+00 2.49596760e-01 
494 979.74 8.24605942e+00 2.47381777e-01 
493 981.59 8.56676865e+00 2.57003069e-01 
492 983.44 8.47336006e+00 2.54200816e-01 
491 985.29 8.73352337e+00 2.62005687e-01 
490 987.13 8.55159378e+00 2.56547809e-01 
489 988.97 8.78152466e+00 2.63445735e-01 
488 990.81 8.59837055e+00 2.57951111e-01 
487 992.65 8.75962925e+00 2.62788892e-01 
486 994.48 8.56886864e+00 2.57066071e-01 
485 996.31 8.71435642e+00 2.61430681e-01 
484 998.14 8.46749783e+00 2.54024923e-01 
483 999.97 8.63831711e+00 2.59149522e-01 
482 1001.79 8.36509609e+00 2.50952870e-01 
481 1003.62 8.42901802e+00 2.52870530e-01 
480 1005.44 8.20969009e+00 2.46290699e-01 
479 1007.25 8.44523525e+00 2.53357053e-01 
478 1009.07 8.25608253e+00 2.47682482e-01 
477 1010.88 8.43437290e+00 2.53031194e-01 
476 1012.69 8.17888927e+00 2.45366678e-01 
475 1014.50 8.30084705e+00 2.49025404e-01 
474 1016.31 8.09866810e+00 2.42960036e-01 
473 1018.11 8.24189281e+00 2.47256786e-01 
472 1019.91 7.99279737e+00 2.39783928e-01 
471 1021.71 8.16750526e+00 2.45025158e-01 
470 1023.51 7.93324423e+00 2.37997323e-01 
469 1025.30 8.09673500e+00 2.42902055e-01 
468 1027.09 7.97505283e+00 2.39251584e-01 
467 1028.88 8.11672783e+00 2.43501842e-01 
466 1030.67 7.94206905e+00 2.38262072e-01 
465 1032.46 8.09878159e+00 2.42963448e-01 
464 1034.24 7.93632793e+00 2.38089845e-01 
463 1036.02 8.11030006e+00 2.43309006e-01 
462 1037.80 8.00249481e+00 2.40074843e-01 
461 1039.58 8.19087887e+00 2.45726362e-01 
460 1041.35 8.06691742e+00 2.42007524e-01 
459 1043.12 8.22737217e+00 2.46821165e-01 
458 1044.89 8.13325596e+00 2.43997678e-01 
457 1046.66 8.33571434e+00 2.50071436e-01 
456 1048.43 8.24445152e+00 2.47333542e-01 
455 1050.19 8.50041580e+00 2.55012482e-01 
454 1051.95 8.36580563e+00 2.50974178e-01 
453 1053.71 8.61760426e+00 2.58528113e-01 
452 1055.47 8.46940327e+00 2.54082084e-01 
451 1057.23 8.59276390e+00 2.57782906e-01 
450 1058.98 8.45183563e+00 2.53555059e-01 
449 1060.73 8.61766052e+00 2.58529812e-01 
448 1062.48 8.43165684e+00 2.52949715e-01 
447 1064.23 8.56907654e+00 2.57072300e-01 
446 1065.97 8.31628036e+00 2.49488413e-01 
445 1067.71 8.35043430e+00 2.50513017e-01 
444 1069.46 8.15055561e+00 2.44516671e-01 
443 1071.19 8.25557899e+00 2.47667372e-01 
442 1072.93 8.10758400e+00 2.43227527e-01 
441 1074.67 8.23269558e+00 2.46980861e-01 
440 1076.40 8.04133987e+00 2.41240203e-01 
439 1078.13 8.08046150e+00 2.42413849e-01 
438 1079.86 7.82486916e+00 2.34746069e-01 
437 1081.58 7.88777304e+00 2.36633196e-01 
436 1083.31 7.75078487e+00 2.32523546e-01 
435 1085.03 7.92078972e+00 2.37623692e-01 
434 1086.75 7.83243942e+00 2.34973177e-01 
433 1088.47 7.97296524e+00 2.39188954e-01 
432 1090.19 7.90047503e+00 2.37014249e-01 
431 1091.90 8.01468468e+00 2.40440547e-01 
430 1093.61 7.85960293e+00 2.35788092e-01 
429 1095.33 8.03928471e+00 2.41178542e-01 
428 1097.03 8.06382179e+00 2.41914660e-01 
427 1098.74 8.33318233e+00 2.49995470e-01 
426 1100.45 8.32885265e+00 2.49865577e-01 
425 1102.15 8.59529591e+00 2.57858872e-01 
424 1103.85 8.56896400e+00 2.57068932e-01 
423 1105.55 8.82443523e+00 2.64733046e-01 
422 1107.25 8.72191238e+00 2.61657357e-01 
421 1108.94 8.83357906e+00 2.65007377e-01 
420 1110.64 8.56749725e+00 2.57024914e-01 
419 1112.33 8.47288322e+00 2.54186511e-01 
418 1114.02 7.94062281e+00 2.38218680e-01 
417 1115.70 7.80871868e+00 2.34261557e-01 
416 1117.39 7.47928143e+00 2.24378437e-01 
415 1119.07 7.37353325e+00 2.21205994e-01 
414 1120.76 7.11328983e+00 2.13398695e-01 
413 1122.44 7.12132311e+00 2.13639691e-01 
412 1124.12 6.99235678e+00 2.09770709e-01 
411 1125.79 7.27599478e+00 2.18279839e-01 
410 1127.47 7.40110683e+00 2.22033203e-01 
409 1129.14 7.90482187e+00 2.37144649e-01 
408 1130.81 7.50833416e+00 2.25250021e-01 
407 1132.48 7.19468641e+00 2.15840593e-01 
406 1134.15 7.04530191e+00 2.11359054e-01 
405 1135.81 7.36871719e+00 2.21061513e-01 
404 1137.48 8.02523422e+00 2.40757033e-01 
403 1139.14 8.42411137e+00 2.52723336e-01 
402 1140.80 8.19794273e+00 2.45938286e-01 
401 1142.46 8.05878735e+00 2.41763622e-01 
400 1144.12 7.70275307e+00 2.31082588e-01 
399 1145.77 7.71218395e+00 2.31365517e-01 
398 1147.43 7.70958233e+00 2.31287464e-01 
397 1149.08 7.96458483e+00 2.38937542e-01 
396 1150.73 7.99518919e+00 2.39855677e-01 
395 1152.38 8.25399017e+00 2.47619703e-01 
394 1154.02 8.27020645e+00 2.48106197e-01 
393 1155.67 8.58362675e+00 2.57508814e-01 
392 1157.31 8.52724171e+00 2.55817264e-01 
391 1158.95 8.66879463e+00 2.60063827e-01 
390 1160.59 8.65117455e+00 2.59535223e-01 
389 1162.23 8.87407684e+00 2.66222298e-01 
388 1163.87 8.82918072e+00 2.64875412e-01 
387 1165.50 8.93162060e+00 2.67948627e-01 
386 1167.13 8.82458687e+00 2.64737606e-01 
385 1168.76 8.94465828e+00 2.68339753e-01 
384 1170.39 8.83263969e+00 2.64979184e-01 
383 1172.02 8.80989170e+00 2.64296740e-01 
382 1173.65 8.63429165e+00 2.59028763e-01 
381 1175.27 8.61290264e+00 2.58387089e-01 
380 1176.90 8.48716545e+00 2.54614949e-01 
379 1178.52 8.46089458e+00 2.53826827e-01 
378 1180.14 8.24306202e+00 2.47291863e-01 
377 1181.75 8.24599266e+00 2.47379780e-01 
376 1183.37 8.04095459e+00 2.41228640e-01 
375 1184.99 8.06410408e+00 2.41923124e-01 
374 1186.60 7.92901993e+00 2.37870604e-01 
373 1188.21 7.93130589e+00 2.37939179e-01 
372 1189.82 7.86080599e+00 2.35824183e-01 
371 1191.43 8.06838894e+00 2.42051661e-01 
370 1193.04 7.93786097e+00 2.38135830e-01 
369 1194.64 7.91580009e+00 2.37474009e-01 
368 1196.24 7.70277882e+00 2.31083363e-01 
367 1197.85 7.74941206e+00 2.32482359e-01 
366 1199.45 7.64519024e+00 2.29355708e-01 
365 1201.05 7.70758629e+00 2.31227592e-01 
364 1202.64 7.63760376e+00 2.29128107e-01 
363 1204.24 7.68481350e+00 2.30544403e-01 
362 1205.83 7.61752701e+00 2.28525817e-01 
361 1207.43 7.67184877e+00 2.30155468e-01 
360 1209.02 7.60366774e+00 2.28110030e-01 
359 1210.61 7.71741676e+00 2.31522501e-01 
358 1212.19 7.69374514e+00 2.30812356e-01 
357 1213.78 7.84441137e+00 2.35332340e-01 
356 1215.37 7.77238369e+00 2.33171508e-01 
355 1216.95 7.84291887e+00 2.35287562e-01 
354 1218.53 7.79686451e+00 2.33905941e-01 
353 1220.11 7.86983728e+00 2.36095116e-01 
352 1221.69 7.81841660e+00 2.34552503e-01 
351 1223.27 7.85313129e+00 2.35593945e-01 
350 1224.84 7.84160662e+00 2.35248193e-01 
349 1226.42 7.91720247e+00 2.37516075e-01 
348 1227.99 7.89682388e+00 2.36904711e-01 
347 1229.56 8.00847530e+00 2.40254253e-01 
346 1231.13 7.95367527e+00 2.38610253e-01 
345 1232.70 8.02493000e+00 2.40747899e-01 
344 1234.27 7.94711685e+00 2.38413513e-01 
343 1235.84 7.93181467e+00 2.37954438e-01 
342 1237.40 7.84602547e+00 2.35380769e-01 
341 1238.96 7.85216188e+00 2.35564858e-01 
340 1240.52 7.69389009e+00 2.30816707e-01 
339 1242.08 7.84119511e+00 2.35235855e-01 
338 1243.64 7.82928419e+00 2.34878525e-01 
337 1245.20 7.89145565e+00 2.36743674e-01 
336 1246.75 7.83936501e+00 2.35180944e-01 
335 1248.31 7.87698174e+00 2.36309454e-01 
334 1249.86 7.80194092e+00 2.34058231e-01 
333 1251.41 7.83697319e+00 2.35109195e-01 
332 1252.96 7.74996996e+00 2.32499093e-01 
331 1254.51 7.75970459e+00 2.32791141e-01 
330 1256.06 7.69678879e+00 2.30903670e-01 
329 1257.61 7.70380354e+00 2.31114104e-01 
328 1259.15 7.59871674e+00 2.27961496e-01 
327 1260.69 7.57105398e+00 2.27131620e-01 
326 1262.23 7.42886972e+00 2.22866088e-01 
325 1263.77 7.39990377e+00 2.21997112e-01 
324 1265.31 7.21814537e+00 2.16544360e-01 
323 1266.85 7.17949533e+00 2.15384856e-01 
322 1268.39 7.22426987e+00 2.16728091e-01 
321 1269.92 7.34841871e+00 2.20452562e-01 
320 1271.46 7.48997021e+00 2.24699110e-01 
319 1272.99 7.56453133e+00 2.26935938e-01 
318 1274.52 7.52513361e+00 2.25754008e-01 
317 1276.05 7.60745764e+00 2.28223726e-01 
316 1277.58 7.52677536e+00 2.25803256e-01 
315 1279.10 7.41806602e+00 2.22541988e-01 
314 1280.63 7.30722237e+00 2.19216675e-01 
313 1282.15 7.30773211e+00 2.19231963e-01 
312 1283.68 7.36508751e+00 2.20952630e-01 
311 1285.20 7.56091261e+00 2.26827383e-01 
310 1286.72 7.53665161e+00 2.26099551e-01 
309 1288.24 7.54106951e+00 2.26232082e-01 
308 1289.75 7.45308924e+00 2.23592684e-01 
307 1291.27 7.47613096e+00 2.24283934e-01 
306 1292.78 7.48571968e+00 2.24571586e-01 
305 1294.30 7.50848293e+00 2.25254491e-01 
304 1295.81 7.45421076e+00 2.23626316e-01 
303 1297.32 7.45642519e+00 2.23692760e-01 
302 1298.83 7.37695694e+00 2.21308708e-01 
301 1300.34 7.33880234e+00 2.20164075e-01 
300 1301.85 7.27401733e+00 2.18220517e-01 
299 1303.35 7.24340820e+00 2.17302248e-01 
298 1304.86 7.13871002e+00 2.14161307e-01 
297 1306.36 7.12564373e+00 2.13769317e-01 
296 1307.86 7.04139090e+00 2.11241722e-01 
