% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\20180208_day4\4STARB_20180208starsun.mat and recorded on 2018-02-08 14:26:08.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 5.01616478e+00 1.50484949e-01 
510 947.95 5.15706921e+00 1.54712081e-01 
509 949.84 5.27407360e+00 1.58222213e-01 
508 951.73 5.33303165e+00 1.59990951e-01 
507 953.62 5.38217402e+00 1.61465228e-01 
506 955.51 5.46916389e+00 1.64074913e-01 
505 957.40 5.57096100e+00 1.67128831e-01 
504 959.28 5.69908381e+00 1.70972511e-01 
503 961.16 5.82501411e+00 1.74750417e-01 
502 963.03 5.93104744e+00 1.77931428e-01 
501 964.90 6.04930973e+00 1.81479290e-01 
500 966.78 6.14231968e+00 1.84269592e-01 
499 968.64 6.30529308e+00 1.89158797e-01 
498 970.51 6.38057518e+00 1.91417262e-01 
497 972.37 6.48804569e+00 1.94641367e-01 
496 974.23 6.52371120e+00 1.95711330e-01 
495 976.09 6.59704971e+00 1.97911486e-01 
494 977.95 6.64742804e+00 1.99422836e-01 
493 979.80 6.75771189e+00 2.02731356e-01 
492 981.65 6.81306887e+00 2.04392061e-01 
491 983.50 6.91558743e+00 2.07467616e-01 
490 985.34 6.91679955e+00 2.07503989e-01 
489 987.18 6.95141983e+00 2.08542600e-01 
488 989.02 6.93709087e+00 2.08112732e-01 
487 990.86 6.97202873e+00 2.09160864e-01 
486 992.70 6.91556120e+00 2.07466841e-01 
485 994.53 6.99347544e+00 2.09804267e-01 
484 996.36 6.94514370e+00 2.08354309e-01 
483 998.19 7.01324606e+00 2.10397378e-01 
482 1000.01 6.99720716e+00 2.09916219e-01 
481 1001.83 6.98108053e+00 2.09432423e-01 
480 1003.65 6.95139456e+00 2.08541840e-01 
479 1005.47 6.96469164e+00 2.08940744e-01 
478 1007.29 6.94463348e+00 2.08339006e-01 
477 1009.10 7.03751993e+00 2.11125597e-01 
476 1010.91 7.05723953e+00 2.11717188e-01 
475 1012.72 7.10826159e+00 2.13247851e-01 
474 1014.53 7.04393387e+00 2.11318016e-01 
473 1016.33 7.10657883e+00 2.13197365e-01 
472 1018.13 7.03077221e+00 2.10923165e-01 
471 1019.93 7.07052946e+00 2.12115884e-01 
470 1021.73 7.00748777e+00 2.10224628e-01 
469 1023.52 7.00498056e+00 2.10149422e-01 
468 1025.31 6.93631458e+00 2.08089441e-01 
467 1027.10 6.95868158e+00 2.08760440e-01 
466 1028.89 6.87544632e+00 2.06263393e-01 
465 1030.67 6.86091185e+00 2.05827355e-01 
464 1032.45 6.77836466e+00 2.03350946e-01 
463 1034.23 6.75253057e+00 2.02575922e-01 
462 1036.01 6.65193462e+00 1.99558035e-01 
461 1037.79 6.63493347e+00 1.99047998e-01 
460 1039.56 6.55829811e+00 1.96748942e-01 
459 1041.33 6.52931690e+00 1.95879504e-01 
458 1043.10 6.43407154e+00 1.93022147e-01 
457 1044.87 6.39941692e+00 1.91982508e-01 
456 1046.63 6.29419899e+00 1.88825965e-01 
455 1048.39 6.28263187e+00 1.88478962e-01 
454 1050.15 6.21148205e+00 1.86344460e-01 
453 1051.91 6.21939182e+00 1.86581761e-01 
452 1053.67 6.15952158e+00 1.84785649e-01 
451 1055.42 6.14575291e+00 1.84372589e-01 
450 1057.17 6.06781197e+00 1.82034358e-01 
449 1058.92 6.06478214e+00 1.81943461e-01 
448 1060.67 6.01582098e+00 1.80474624e-01 
447 1062.41 6.00578642e+00 1.80173591e-01 
446 1064.15 5.91355371e+00 1.77406609e-01 
445 1065.89 5.86793137e+00 1.76037937e-01 
444 1067.63 5.72231913e+00 1.71669573e-01 
443 1069.37 5.66320705e+00 1.69896215e-01 
442 1071.10 5.57236052e+00 1.67170823e-01 
441 1072.83 5.54508257e+00 1.66352481e-01 
440 1074.56 5.48365211e+00 1.64509565e-01 
439 1076.29 5.48272896e+00 1.64481863e-01 
438 1078.02 5.41619301e+00 1.62485793e-01 
437 1079.74 5.39365292e+00 1.61809593e-01 
436 1081.46 5.30209732e+00 1.59062922e-01 
435 1083.18 5.32278824e+00 1.59683645e-01 
434 1084.90 5.26604176e+00 1.57981247e-01 
433 1086.61 5.30392933e+00 1.59117877e-01 
432 1088.33 5.26635408e+00 1.57990620e-01 
431 1090.04 5.32893467e+00 1.59868047e-01 
430 1091.75 5.26915503e+00 1.58074647e-01 
429 1093.45 5.27594805e+00 1.58278435e-01 
428 1095.16 5.24875593e+00 1.57462671e-01 
427 1096.86 5.30677366e+00 1.59203216e-01 
426 1098.56 5.36095667e+00 1.60828695e-01 
425 1100.26 5.45180225e+00 1.63554072e-01 
424 1101.96 5.47301674e+00 1.64190501e-01 
423 1103.65 5.52736902e+00 1.65821075e-01 
422 1105.35 5.52616978e+00 1.65785089e-01 
421 1107.04 5.56549597e+00 1.66964874e-01 
420 1108.73 5.52340174e+00 1.65702045e-01 
419 1110.41 5.51793480e+00 1.65538043e-01 
418 1112.10 5.39861488e+00 1.61958441e-01 
417 1113.78 5.26091909e+00 1.57827571e-01 
416 1115.46 5.06102943e+00 1.51830882e-01 
415 1117.14 4.95382690e+00 1.48614809e-01 
414 1118.82 4.80855703e+00 1.44256711e-01 
