% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\20180208_day4\4STAR_20180208starsun.mat and recorded on 2018-08-06 16:04:18.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.58342934e+00 1.37502879e-01 
510 949.79 4.97726440e+00 1.49317935e-01 
509 951.68 5.34701633e+00 1.60410494e-01 
508 953.57 5.39643955e+00 1.61893189e-01 
507 955.46 5.84931612e+00 1.75479487e-01 
506 957.34 5.95697594e+00 1.78709283e-01 
505 959.22 6.42873573e+00 1.92862079e-01 
504 961.10 6.50311184e+00 1.95093349e-01 
503 962.98 6.92944908e+00 2.07883477e-01 
502 964.85 6.93249512e+00 2.07974851e-01 
501 966.72 7.42150354e+00 2.22645104e-01 
500 968.59 7.46299887e+00 2.23889962e-01 
499 970.45 7.87187910e+00 2.36156374e-01 
498 972.32 7.82974911e+00 2.34892473e-01 
497 974.18 8.16762733e+00 2.45028824e-01 
496 976.04 8.10289764e+00 2.43086934e-01 
495 977.89 8.41359806e+00 2.52407938e-01 
494 979.74 8.32603359e+00 2.49781013e-01 
493 981.59 8.62335491e+00 2.58700639e-01 
492 983.44 8.50412464e+00 2.55123734e-01 
491 985.29 8.75541401e+00 2.62662411e-01 
490 987.13 8.56600666e+00 2.56980211e-01 
489 988.97 8.78493404e+00 2.63548017e-01 
488 990.81 8.59916973e+00 2.57975101e-01 
487 992.65 8.76569653e+00 2.62970895e-01 
486 994.48 8.57621384e+00 2.57286429e-01 
485 996.31 8.71417141e+00 2.61425138e-01 
484 998.14 8.47185516e+00 2.54155666e-01 
483 999.97 8.62874794e+00 2.58862436e-01 
482 1001.79 8.34994221e+00 2.50498265e-01 
481 1003.62 8.43481731e+00 2.53044516e-01 
480 1005.44 8.21733379e+00 2.46520013e-01 
479 1007.25 8.44163609e+00 2.53249079e-01 
478 1009.07 8.26759243e+00 2.48027772e-01 
477 1010.88 8.43365574e+00 2.53009677e-01 
476 1012.69 8.17154884e+00 2.45146468e-01 
475 1014.50 8.29482460e+00 2.48844743e-01 
474 1016.31 8.08392525e+00 2.42517754e-01 
473 1018.11 8.23960781e+00 2.47188240e-01 
472 1019.91 7.99953461e+00 2.39986032e-01 
471 1021.71 8.15881634e+00 2.44764492e-01 
470 1023.51 7.93434906e+00 2.38030478e-01 
469 1025.30 8.10784054e+00 2.43235216e-01 
468 1027.09 7.97801590e+00 2.39340484e-01 
467 1028.88 8.11243534e+00 2.43373066e-01 
466 1030.67 7.93840981e+00 2.38152295e-01 
465 1032.46 8.10471725e+00 2.43141517e-01 
464 1034.24 7.95866823e+00 2.38760054e-01 
463 1036.02 8.11384964e+00 2.43415490e-01 
