% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\4STAR_20180209starsun.mat and recorded on 2019-04-28 12:20:07.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.29958820e+00 1.28987640e-01 
510 949.79 4.69928312e+00 1.40978500e-01 
509 951.68 5.07735443e+00 1.52320638e-01 
508 953.57 5.13968086e+00 1.54190421e-01 
507 955.46 5.56018353e+00 1.66805506e-01 
506 957.34 5.68546009e+00 1.70563802e-01 
505 959.22 6.16738319e+00 1.85021490e-01 
504 961.10 6.29710579e+00 1.88913167e-01 
503 962.98 6.73514652e+00 2.02054396e-01 
502 964.85 6.78488779e+00 2.03546628e-01 
501 966.72 7.30467653e+00 2.19140291e-01 
500 968.59 7.39392328e+00 2.21817702e-01 
499 970.45 7.80820084e+00 2.34246030e-01 
498 972.32 7.76669168e+00 2.33000755e-01 
497 974.18 8.08422279e+00 2.42526680e-01 
496 976.04 8.03388882e+00 2.41016671e-01 
495 977.89 8.35891533e+00 2.50767469e-01 
494 979.74 8.31460094e+00 2.49438033e-01 
493 981.59 8.63347912e+00 2.59004384e-01 
492 983.44 8.54723835e+00 2.56417155e-01 
491 985.29 8.80169964e+00 2.64050990e-01 
490 987.13 8.62638187e+00 2.58791447e-01 
489 988.97 8.85216618e+00 2.65564978e-01 
488 990.81 8.65743256e+00 2.59722978e-01 
487 992.65 8.82179928e+00 2.64653981e-01 
486 994.48 8.62934685e+00 2.58880407e-01 
485 996.31 8.76578045e+00 2.62973428e-01 
484 998.14 8.51694870e+00 2.55508453e-01 
483 999.97 8.67917824e+00 2.60375351e-01 
482 1001.79 8.40063572e+00 2.52019078e-01 
481 1003.62 8.47725773e+00 2.54317731e-01 
480 1005.44 8.26193142e+00 2.47857943e-01 
479 1007.25 8.48759460e+00 2.54627824e-01 
478 1009.07 8.30630112e+00 2.49189034e-01 
477 1010.88 8.48712444e+00 2.54613727e-01 
476 1012.69 8.22736263e+00 2.46820882e-01 
475 1014.50 8.35208416e+00 2.50562519e-01 
474 1016.31 8.15127277e+00 2.44538188e-01 
473 1018.11 8.29617977e+00 2.48885393e-01 
472 1019.91 8.04806423e+00 2.41441920e-01 
471 1021.71 8.20449352e+00 2.46134803e-01 
470 1023.51 7.98682928e+00 2.39604875e-01 
469 1025.30 8.16336441e+00 2.44900927e-01 
468 1027.09 8.04426956e+00 2.41328090e-01 
467 1028.88 8.17465878e+00 2.45239764e-01 
466 1030.67 8.00380421e+00 2.40114123e-01 
465 1032.46 8.17207050e+00 2.45162115e-01 
464 1034.24 8.00918388e+00 2.40275517e-01 
463 1036.02 8.18220615e+00 2.45466188e-01 
462 1037.80 8.07495117e+00 2.42248535e-01 
461 1039.58 8.27760983e+00 2.48328298e-01 
460 1041.35 8.13974285e+00 2.44192287e-01 
459 1043.12 8.30349922e+00 2.49104977e-01 
458 1044.89 8.20949268e+00 2.46284783e-01 
457 1046.66 8.41280746e+00 2.52384216e-01 
456 1048.43 8.33964825e+00 2.50189453e-01 
455 1050.19 8.57657814e+00 2.57297337e-01 
454 1051.95 8.43264771e+00 2.52979428e-01 
453 1053.71 8.68656254e+00 2.60596871e-01 
452 1055.47 8.53964043e+00 2.56189227e-01 
451 1057.23 8.68314934e+00 2.60494471e-01 
450 1058.98 8.52575779e+00 2.55772740e-01 
449 1060.73 8.69961166e+00 2.60988355e-01 
448 1062.48 8.50701046e+00 2.55210310e-01 
447 1064.23 8.64924622e+00 2.59477377e-01 
446 1065.97 8.39683056e+00 2.51904905e-01 
445 1067.71 8.43910599e+00 2.53173172e-01 
444 1069.46 8.22898865e+00 2.46869653e-01 
443 1071.19 8.33420181e+00 2.50026047e-01 
442 1072.93 8.17749500e+00 2.45324850e-01 
441 1074.67 8.29401207e+00 2.48820364e-01 
440 1076.40 8.10115719e+00 2.43034720e-01 
439 1078.13 8.15024090e+00 2.44507223e-01 
