% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\20180209_day5\4STARB_20180209starsun.mat and recorded on 2018-02-09 14:23:47.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
0 171.70 -1.00000000e+00 -1.00000000e+00 
1 172.51 -1.00000000e+00 -1.00000000e+00 
2 173.33 -1.00000000e+00 -1.00000000e+00 
3 174.14 -1.00000000e+00 -1.00000000e+00 
4 174.95 -1.00000000e+00 -1.00000000e+00 
5 175.76 -1.00000000e+00 -1.00000000e+00 
6 176.58 -1.00000000e+00 -1.00000000e+00 
7 177.39 -1.00000000e+00 -1.00000000e+00 
8 178.20 -1.00000000e+00 -1.00000000e+00 
9 179.01 -1.00000000e+00 -1.00000000e+00 
10 179.83 -1.00000000e+00 -1.00000000e+00 
11 180.64 -1.00000000e+00 -1.00000000e+00 
12 181.45 -1.00000000e+00 -1.00000000e+00 
13 182.26 -1.00000000e+00 -1.00000000e+00 
14 183.08 -1.00000000e+00 -1.00000000e+00 
15 183.89 -1.00000000e+00 -1.00000000e+00 
16 184.70 -1.00000000e+00 -1.00000000e+00 
17 185.51 -1.00000000e+00 -1.00000000e+00 
18 186.33 -1.00000000e+00 -1.00000000e+00 
19 187.14 -1.00000000e+00 -1.00000000e+00 
20 187.95 -1.00000000e+00 -1.00000000e+00 
21 188.76 -1.00000000e+00 -1.00000000e+00 
22 189.57 -1.00000000e+00 -1.00000000e+00 
23 190.39 -1.00000000e+00 -1.00000000e+00 
24 191.20 -1.00000000e+00 -1.00000000e+00 
25 192.01 -1.00000000e+00 -1.00000000e+00 
26 192.82 -1.00000000e+00 -1.00000000e+00 
27 193.64 -1.00000000e+00 -1.00000000e+00 
28 194.45 -1.00000000e+00 -1.00000000e+00 
29 195.26 -1.00000000e+00 -1.00000000e+00 
30 196.07 -1.00000000e+00 -1.00000000e+00 
31 196.89 -1.00000000e+00 -1.00000000e+00 
32 197.70 -1.00000000e+00 -1.00000000e+00 
33 198.51 -1.00000000e+00 -1.00000000e+00 
34 199.32 -1.00000000e+00 -1.00000000e+00 
35 200.14 -1.00000000e+00 -1.00000000e+00 
36 200.95 -1.00000000e+00 -1.00000000e+00 
37 201.76 -1.00000000e+00 -1.00000000e+00 
38 202.57 -1.00000000e+00 -1.00000000e+00 
39 203.39 -1.00000000e+00 -1.00000000e+00 
40 204.20 -1.00000000e+00 -1.00000000e+00 
41 205.01 -1.00000000e+00 -1.00000000e+00 
42 205.82 -1.00000000e+00 -1.00000000e+00 
43 206.64 -1.00000000e+00 -1.00000000e+00 
44 207.45 -1.00000000e+00 -1.00000000e+00 
45 208.26 -1.00000000e+00 -1.00000000e+00 
46 209.07 -1.00000000e+00 -1.00000000e+00 
47 209.88 -1.00000000e+00 -1.00000000e+00 
48 210.70 -1.00000000e+00 -1.00000000e+00 
49 211.51 -1.00000000e+00 -1.00000000e+00 
50 212.32 -1.00000000e+00 -1.00000000e+00 
51 213.13 -1.00000000e+00 -1.00000000e+00 
52 213.95 -1.00000000e+00 -1.00000000e+00 
53 214.76 -1.00000000e+00 -1.00000000e+00 
54 215.57 -1.00000000e+00 -1.00000000e+00 
55 216.38 2.86182634e+22 8.58547937e+20 
56 217.19 4.57484186e-01 1.37245255e-02 
57 218.01 1.03095651e+00 3.09286956e-02 
58 218.82 1.04771924e+00 3.14315781e-02 
59 219.63 1.47764492e+00 4.43293490e-02 
60 220.44 1.08653367e+00 3.25960107e-02 
61 221.26 1.03938341e+00 3.11815031e-02 
62 222.07 8.32642198e-01 2.49792654e-02 
63 222.88 1.15180993e+00 3.45542990e-02 
64 223.69 1.01142490e+00 3.03427465e-02 
65 224.50 9.67821896e-01 2.90346574e-02 
66 225.32 8.92810941e-01 2.67843287e-02 
67 226.13 9.93217707e-01 2.97965314e-02 
68 226.94 9.58752930e-01 2.87625883e-02 
69 227.75 8.70958686e-01 2.61287615e-02 
70 228.56 8.08583736e-01 2.42575128e-02 
71 229.38 8.22737575e-01 2.46821269e-02 
72 230.19 8.25888395e-01 2.47766525e-02 
73 231.00 8.62159133e-01 2.58647744e-02 
74 231.81 9.62263048e-01 2.88678911e-02 
75 232.63 8.68377686e-01 2.60513313e-02 
76 233.44 8.69438350e-01 2.60831509e-02 
77 234.25 9.87791777e-01 2.96337530e-02 
78 235.06 9.97835577e-01 2.99350675e-02 
79 235.87 1.04324448e+00 3.12973335e-02 
80 236.69 9.06676948e-01 2.72003077e-02 
81 237.50 9.03852165e-01 2.71155648e-02 
82 238.31 1.00204682e+00 3.00614052e-02 
83 239.12 1.22071898e+00 3.66215706e-02 
84 239.93 9.15441871e-01 2.74632555e-02 
85 240.74 8.62626255e-01 2.58787870e-02 
86 241.56 1.09472978e+00 3.28418948e-02 
87 242.37 -1.00000000e+00 -1.00000000e+00 
88 243.18 -1.00000000e+00 -1.00000000e+00 
89 243.99 -1.00000000e+00 -1.00000000e+00 
90 244.80 -1.00000000e+00 -1.00000000e+00 
91 245.62 -1.00000000e+00 -1.00000000e+00 
92 246.43 -1.00000000e+00 -1.00000000e+00 
93 247.24 -1.00000000e+00 -1.00000000e+00 
94 248.05 -1.00000000e+00 -1.00000000e+00 
95 248.86 -1.00000000e+00 -1.00000000e+00 
96 249.68 -1.00000000e+00 -1.00000000e+00 
97 250.49 -1.00000000e+00 -1.00000000e+00 
98 251.30 -1.00000000e+00 -1.00000000e+00 
99 252.11 -1.00000000e+00 -1.00000000e+00 
100 252.92 -1.00000000e+00 -1.00000000e+00 
101 253.73 -1.00000000e+00 -1.00000000e+00 
102 254.55 -1.00000000e+00 -1.00000000e+00 
103 255.36 -1.00000000e+00 -1.00000000e+00 
104 256.17 -1.00000000e+00 -1.00000000e+00 
105 256.98 -1.00000000e+00 -1.00000000e+00 
106 257.79 -1.00000000e+00 -1.00000000e+00 
107 258.60 -1.00000000e+00 -1.00000000e+00 
108 259.42 -1.00000000e+00 -1.00000000e+00 
109 260.23 -1.00000000e+00 -1.00000000e+00 
110 261.04 -1.00000000e+00 -1.00000000e+00 
111 261.85 -1.00000000e+00 -1.00000000e+00 
112 262.66 -1.00000000e+00 -1.00000000e+00 
113 263.47 -1.00000000e+00 -1.00000000e+00 
114 264.29 -1.00000000e+00 -1.00000000e+00 
115 265.10 -1.00000000e+00 -1.00000000e+00 
116 265.91 -1.00000000e+00 -1.00000000e+00 
117 266.72 4.99396560e+07 1.49818963e+06 
118 267.53 6.05204046e-01 1.81561206e-02 
119 268.34 9.50609863e-01 2.85182968e-02 
120 269.15 1.08698976e+00 3.26096937e-02 
121 269.97 1.15894985e+00 3.47684957e-02 
122 270.78 9.00795579e-01 2.70238668e-02 
123 271.59 9.50820208e-01 2.85246056e-02 
124 272.40 9.38804030e-01 2.81641204e-02 
125 273.21 9.24481988e-01 2.77344603e-02 
126 274.02 1.00125206e+00 3.00375614e-02 
127 274.83 8.82099748e-01 2.64629927e-02 
128 275.65 9.17399585e-01 2.75219884e-02 
