% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\4STAR_20180209starsun.mat and recorded on 2019-04-28 12:20:07.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 -1.00000000e+00 -1.00000000e+00 
51 213.85 -1.00000000e+00 -1.00000000e+00 
52 214.65 -1.00000000e+00 -1.00000000e+00 
53 215.45 -1.00000000e+00 -1.00000000e+00 
54 216.25 -1.00000000e+00 -1.00000000e+00 
55 217.05 -1.00000000e+00 -1.00000000e+00 
56 217.85 5.35905266e+00 1.60771579e-01 
57 218.65 3.99248838e+00 1.19774655e-01 
58 219.46 4.78513193e+00 1.43553957e-01 
59 220.26 5.46867085e+00 1.64060131e-01 
60 221.06 5.24714613e+00 1.57414377e-01 
61 221.86 5.19968319e+00 1.55990496e-01 
62 222.66 5.22457647e+00 1.56737298e-01 
63 223.47 5.26515150e+00 1.57954544e-01 
64 224.27 5.30082226e+00 1.59024671e-01 
65 225.07 5.39428949e+00 1.61828682e-01 
66 225.87 5.44506550e+00 1.63351968e-01 
67 226.68 5.52583599e+00 1.65775076e-01 
68 227.48 5.24646568e+00 1.57393977e-01 
69 228.28 5.13753700e+00 1.54126108e-01 
70 229.08 5.01204062e+00 1.50361225e-01 
71 229.89 4.88273144e+00 1.46481946e-01 
72 230.69 4.82334280e+00 1.44700289e-01 
73 231.49 4.91138792e+00 1.47341639e-01 
74 232.30 5.06777525e+00 1.52033255e-01 
75 233.10 5.12000704e+00 1.53600216e-01 
76 233.90 5.27105999e+00 1.58131793e-01 
77 234.71 5.21860075e+00 1.56558022e-01 
78 235.51 5.19698620e+00 1.55909583e-01 
79 236.32 4.97434568e+00 1.49230376e-01 
80 237.12 4.99926567e+00 1.49977967e-01 
81 237.92 4.81861687e+00 1.44558504e-01 
82 238.73 4.47270536e+00 1.34181157e-01 
83 239.53 4.72437096e+00 1.41731128e-01 
84 240.34 3.88242745e+00 1.16472825e-01 
85 241.14 1.06765490e+01 3.20296466e-01 
86 241.94 -1.00000000e+00 -1.00000000e+00 
87 242.75 -1.00000000e+00 -1.00000000e+00 
88 243.55 -1.00000000e+00 -1.00000000e+00 
89 244.36 -1.00000000e+00 -1.00000000e+00 
90 245.16 -1.00000000e+00 -1.00000000e+00 
91 245.97 -1.00000000e+00 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 -1.00000000e+00 -1.00000000e+00 
113 263.69 -1.00000000e+00 -1.00000000e+00 
114 264.49 -1.00000000e+00 -1.00000000e+00 
115 265.30 -1.00000000e+00 -1.00000000e+00 
116 266.11 -1.00000000e+00 -1.00000000e+00 
117 266.91 -1.00000000e+00 -1.00000000e+00 
118 267.72 3.08412027e+00 9.25236046e-02 
119 268.53 3.73728490e+00 1.12118550e-01 
120 269.33 4.36429787e+00 1.30928934e-01 
121 270.14 4.54518604e+00 1.36355579e-01 
122 270.95 4.64024496e+00 1.39207348e-01 
123 271.75 4.49130726e+00 1.34739220e-01 
124 272.56 4.59171629e+00 1.37751490e-01 
125 273.37 4.66381168e+00 1.39914349e-01 
126 274.17 4.84135294e+00 1.45240590e-01 
127 274.98 4.74014854e+00 1.42204463e-01 
128 275.79 4.72109175e+00 1.41632751e-01 
129 276.59 4.39007902e+00 1.31702363e-01 
130 277.40 4.20340109e+00 1.26102030e-01 
131 278.21 4.57704353e+00 1.37311310e-01 
132 279.01 5.80378675e+00 1.74113601e-01 
133 279.82 5.36766624e+00 1.61029994e-01 
134 280.63 4.91343021e+00 1.47402912e-01 
135 281.43 4.53427553e+00 1.36028260e-01 
136 282.24 4.21137810e+00 1.26341343e-01 
137 283.05 3.88158321e+00 1.16447493e-01 
138 283.86 3.64153099e+00 1.09245926e-01 
139 284.66 3.36704969e+00 1.01011492e-01 
140 285.47 3.20981717e+00 9.62945148e-02 
141 286.28 2.99773359e+00 8.99320096e-02 
142 287.09 2.85654831e+00 8.56964514e-02 
143 287.89 2.72038245e+00 8.16114768e-02 
144 288.70 2.60803032e+00 7.82409087e-02 
145 289.51 2.46195364e+00 7.38586113e-02 
146 290.32 2.37737131e+00 7.13211372e-02 
147 291.12 2.28454542e+00 6.85363635e-02 
148 291.93 2.19510746e+00 6.58532232e-02 
149 292.74 2.11568403e+00 6.34705201e-02 
150 293.55 2.08853436e+00 6.26560301e-02 
151 294.35 2.02968001e+00 6.08903989e-02 
152 295.16 1.97931659e+00 5.93794994e-02 
153 295.97 1.94047797e+00 5.82143404e-02 
154 296.78 1.90063322e+00 5.70189953e-02 
155 297.58 1.85401475e+00 5.56204431e-02 
156 298.39 1.81748915e+00 5.45246750e-02 
157 299.20 1.78354049e+00 5.35062142e-02 
158 300.01 1.78141475e+00 5.34424409e-02 
159 300.81 1.75518942e+00 5.26556820e-02 
160 301.62 1.74340069e+00 5.23020215e-02 
161 302.43 1.71336675e+00 5.14010042e-02 
162 303.24 1.71002674e+00 5.13008013e-02 
163 304.04 1.68111920e+00 5.04335761e-02 
164 304.85 1.68825984e+00 5.06477952e-02 
165 305.66 1.67575526e+00 5.02726585e-02 
166 306.47 1.66576254e+00 4.99728769e-02 
167 307.28 1.64680767e+00 4.94042300e-02 
168 308.08 1.68172729e+00 5.04518189e-02 
169 308.89 1.66710424e+00 5.00131287e-02 
170 309.70 1.66987896e+00 5.00963703e-02 
171 310.51 1.65521955e+00 4.96565849e-02 
172 311.32 1.64811718e+00 4.94435169e-02 
173 312.12 1.66178751e+00 4.98536266e-02 
174 312.93 1.67259157e+00 5.01777455e-02 
175 313.74 1.66764808e+00 5.00294417e-02 
176 314.55 1.68855882e+00 5.06567657e-02 
177 315.36 1.68429637e+00 5.05288914e-02 
178 316.16 1.69193530e+00 5.07580601e-02 
179 316.97 1.72409034e+00 5.17227091e-02 
180 317.78 1.71383309e+00 5.14149927e-02 
181 318.59 1.72828531e+00 5.18485606e-02 
182 319.40 1.74285960e+00 5.22857867e-02 
183 320.20 1.76801503e+00 5.30404523e-02 
184 321.01 1.77298343e+00 5.31895012e-02 
185 321.82 1.81030464e+00 5.43091409e-02 
186 322.63 1.81770432e+00 5.45311309e-02 
187 323.43 1.85714400e+00 5.57143204e-02 
188 324.24 1.86234474e+00 5.58703430e-02 
189 325.05 1.89383268e+00 5.68149798e-02 
190 325.86 1.91963255e+00 5.75889759e-02 
191 326.67 1.95498180e+00 5.86494543e-02 
192 327.48 1.95211112e+00 5.85633330e-02 
193 328.28 2.01884246e+00 6.05652742e-02 
194 329.09 2.05959320e+00 6.17877953e-02 
195 329.90 2.09449315e+00 6.28347918e-02 
196 330.71 2.15696263e+00 6.47088811e-02 
197 331.52 2.25105453e+00 6.75316378e-02 
198 332.32 2.41093636e+00 7.23280907e-02 
199 333.13 2.73214006e+00 8.19642022e-02 
200 333.94 3.26535940e+00 9.79607850e-02 
201 334.75 4.08747625e+00 1.22624286e-01 
202 335.55 5.14063263e+00 1.54218972e-01 
203 336.36 6.66782713e+00 2.00034812e-01 
204 337.17 9.12761497e+00 2.73828447e-01 
205 337.98 1.24767323e+01 3.74301970e-01 
206 338.79 1.64221992e+01 4.92665976e-01 
207 339.60 2.07859535e+01 6.23578608e-01 
208 340.40 2.45761509e+01 7.37284541e-01 
209 341.21 2.78212852e+01 8.34638536e-01 
210 342.02 3.18766041e+01 9.56298113e-01 
211 342.83 3.51097908e+01 1.05329370e+00 
212 343.63 3.59105148e+01 1.07731545e+00 
213 344.44 3.73652687e+01 1.12095809e+00 
214 345.25 4.15037537e+01 1.24511266e+00 
215 346.06 4.52511864e+01 1.35753560e+00 
216 346.87 4.77192001e+01 1.43157601e+00 
217 347.67 4.94894791e+01 1.48468435e+00 
218 348.48 5.12883797e+01 1.53865135e+00 
219 349.29 5.44245682e+01 1.63273704e+00 
220 350.10 5.98542404e+01 1.79562724e+00 
221 350.90 6.31580238e+01 1.89474070e+00 
222 351.71 6.32687378e+01 1.89806211e+00 
223 352.52 6.48387299e+01 1.94516194e+00 
224 353.33 7.09384232e+01 2.12815261e+00 
225 354.14 7.78918152e+01 2.33675456e+00 
226 354.94 8.07389450e+01 2.42216825e+00 
227 355.75 7.90624695e+01 2.37187409e+00 
228 356.56 7.44812469e+01 2.23443747e+00 
229 357.37 7.03093262e+01 2.10927987e+00 
230 358.18 6.99810028e+01 2.09943008e+00 
231 358.98 7.91841812e+01 2.37552547e+00 
232 359.79 9.06366272e+01 2.71909881e+00 
233 360.60 9.14831924e+01 2.74449587e+00 
234 361.41 9.04692154e+01 2.71407652e+00 
235 362.21 9.56995392e+01 2.87098622e+00 
236 363.02 1.01189919e+02 3.03569746e+00 
237 363.83 1.04390083e+02 3.13170242e+00 
238 364.64 1.09787155e+02 3.29361463e+00 
239 365.44 1.19820068e+02 3.59460211e+00 
240 366.25 1.27640221e+02 3.82920671e+00 
241 367.06 1.28192596e+02 3.84577799e+00 
242 367.87 1.26112022e+02 3.78336072e+00 
243 368.67 1.28338516e+02 3.85015559e+00 
244 369.48 1.33784683e+02 4.01354027e+00 
245 370.29 1.34419464e+02 4.03258371e+00 
246 371.10 1.32757233e+02 3.98271704e+00 
247 371.90 1.29082062e+02 3.87246180e+00 
248 372.71 1.21555237e+02 3.64665699e+00 
249 373.52 1.15031815e+02 3.45095444e+00 
250 374.33 1.15091019e+02 3.45273066e+00 
251 375.13 1.23550316e+02 3.70650959e+00 
252 375.94 1.34292419e+02 4.02877235e+00 
253 376.75 1.45984009e+02 4.37952042e+00 
254 377.56 1.59430191e+02 4.78290558e+00 
255 378.36 1.61724548e+02 4.85173655e+00 
256 379.17 1.52786240e+02 4.58358717e+00 
257 379.98 1.50566635e+02 4.51699924e+00 
258 380.78 1.50048019e+02 4.50144053e+00 
259 381.59 1.35654083e+02 4.06962252e+00 
260 382.40 1.15281601e+02 3.45844793e+00 
261 383.20 1.07197617e+02 3.21592855e+00 
262 384.01 1.17728333e+02 3.53184986e+00 
263 384.82 1.32733627e+02 3.98200893e+00 
264 385.63 1.38006912e+02 4.14020729e+00 
265 386.43 1.38977600e+02 4.16932821e+00 
266 387.24 1.39816650e+02 4.19449949e+00 
267 388.05 1.42002197e+02 4.26006603e+00 
268 388.85 1.50978806e+02 4.52936411e+00 
269 389.66 1.64877563e+02 4.94632673e+00 
270 390.47 1.75363846e+02 5.26091528e+00 
271 391.27 1.75353561e+02 5.26060677e+00 
272 392.08 1.54732010e+02 4.64196014e+00 
273 392.89 1.24693718e+02 3.74081159e+00 
274 393.69 1.20647827e+02 3.61943483e+00 
275 394.50 1.46032898e+02 4.38098717e+00 
276 395.31 1.61085526e+02 4.83256578e+00 
277 396.11 1.47468094e+02 4.42404270e+00 
278 396.92 1.40520248e+02 4.21560764e+00 
279 397.73 1.69211884e+02 5.07635641e+00 
280 398.53 2.07736969e+02 6.23210907e+00 
281 399.34 2.30330368e+02 6.90991116e+00 
282 400.15 2.41301865e+02 7.23905611e+00 
283 400.95 2.49553619e+02 7.48660851e+00 
284 401.76 2.56086578e+02 7.68259716e+00 
285 402.57 2.57503540e+02 7.72510624e+00 
286 403.37 2.55972046e+02 7.67916155e+00 
287 404.18 2.55008270e+02 7.65024805e+00 
288 404.99 2.54045715e+02 7.62137127e+00 
289 405.79 2.52915955e+02 7.58747864e+00 
290 406.60 2.54122162e+02 7.62366486e+00 
291 407.40 2.61158478e+02 7.83475447e+00 
292 408.21 2.71453217e+02 8.14359665e+00 
293 409.02 2.74585571e+02 8.23756695e+00 
294 409.82 2.70238190e+02 8.10714531e+00 
295 410.63 2.74111084e+02 8.22333241e+00 
296 411.43 2.86273621e+02 8.58820820e+00 
297 412.24 2.92544281e+02 8.77632809e+00 
298 413.05 2.92248016e+02 8.76744080e+00 
299 413.85 2.91433899e+02 8.74301720e+00 
300 414.66 2.91063812e+02 8.73191452e+00 
301 415.46 2.91278992e+02 8.73836994e+00 
302 416.27 2.90432312e+02 8.71296978e+00 
303 417.08 2.85083984e+02 8.55251980e+00 
304 417.88 2.79053619e+02 8.37160873e+00 
305 418.69 2.76109650e+02 8.28328991e+00 
306 419.49 2.75759277e+02 8.27277851e+00 
307 420.30 2.78668121e+02 8.36004353e+00 
308 421.11 2.81093719e+02 8.43281174e+00 
309 421.91 2.77385498e+02 8.32156467e+00 
310 422.72 2.72127380e+02 8.16382122e+00 
311 423.52 2.72317169e+02 8.16951466e+00 
312 424.33 2.75371002e+02 8.26113033e+00 
313 425.13 2.77215820e+02 8.31647491e+00 
314 425.94 2.77888672e+02 8.33666039e+00 
315 426.74 2.78071075e+02 8.34213257e+00 
316 427.55 2.78573792e+02 8.35721397e+00 
317 428.36 2.76375885e+02 8.29127693e+00 
318 429.16 2.65999054e+02 7.97997141e+00 
319 429.96 2.55553497e+02 7.66660500e+00 
320 430.77 2.67528015e+02 8.02584076e+00 
321 431.58 2.99528046e+02 8.98584175e+00 
322 432.38 3.29635803e+02 9.88907433e+00 
323 433.19 3.43864136e+02 1.03159237e+01 
324 433.99 3.53114929e+02 1.05934477e+01 
325 434.80 3.70592651e+02 1.11177797e+01 
326 435.60 3.93609375e+02 1.18082809e+01 
327 436.41 4.08923798e+02 1.22677135e+01 
328 437.21 4.09928253e+02 1.22978477e+01 
329 438.02 4.06136780e+02 1.21841030e+01 
330 438.82 4.11365906e+02 1.23409767e+01 
331 439.63 4.26433594e+02 1.27930079e+01 
332 440.43 4.46258667e+02 1.33877602e+01 
333 441.24 4.66961975e+02 1.40088596e+01 
334 442.04 4.85394196e+02 1.45618258e+01 
335 442.85 4.97990173e+02 1.49397049e+01 
336 443.65 5.06215790e+02 1.51864738e+01 
337 444.45 5.10243500e+02 1.53073053e+01 
338 445.26 5.10882568e+02 1.53264771e+01 
339 446.06 5.16685852e+02 1.55005760e+01 
340 446.87 5.30701355e+02 1.59210405e+01 
341 447.67 5.46600464e+02 1.63980141e+01 
342 448.48 5.58490295e+02 1.67547092e+01 
343 449.28 5.70490540e+02 1.71147156e+01 
344 450.09 5.84209595e+02 1.75262871e+01 
345 450.89 5.91759033e+02 1.77527714e+01 
346 451.70 5.86094055e+02 1.75828209e+01 
347 452.50 5.75013733e+02 1.72504120e+01 
348 453.30 5.71413208e+02 1.71423969e+01 
349 454.11 5.76331055e+02 1.72899323e+01 
350 454.91 5.86189697e+02 1.75856915e+01 
351 455.72 5.96622437e+02 1.78986740e+01 
352 456.52 6.04992859e+02 1.81497860e+01 
353 457.32 6.08059692e+02 1.82417908e+01 
354 458.13 6.06542847e+02 1.81962852e+01 
355 458.93 6.05943604e+02 1.81783085e+01 
356 459.74 6.10671631e+02 1.83201485e+01 
357 460.54 6.19893860e+02 1.85968151e+01 
358 461.34 6.29443542e+02 1.88833065e+01 
359 462.15 6.35500854e+02 1.90650253e+01 
360 462.95 6.35495117e+02 1.90648537e+01 
361 463.76 6.31247864e+02 1.89374352e+01 
362 464.56 6.27249146e+02 1.88174744e+01 
363 465.36 6.24542480e+02 1.87362747e+01 
364 466.17 6.22939087e+02 1.86881733e+01 
365 466.97 6.23798706e+02 1.87139606e+01 
366 467.77 6.27367310e+02 1.88210201e+01 
367 468.58 6.31103699e+02 1.89331112e+01 
368 469.38 6.31315002e+02 1.89394493e+01 
369 470.18 6.32146362e+02 1.89643917e+01 
370 470.99 6.39701355e+02 1.91910400e+01 
371 471.79 6.50174988e+02 1.95052490e+01 
372 472.59 6.58420837e+02 1.97526245e+01 
373 473.40 6.64209473e+02 1.99262848e+01 
374 474.20 6.68313843e+02 2.00494156e+01 
375 475.00 6.70472229e+02 2.01141663e+01 
376 475.81 6.71899902e+02 2.01569977e+01 
377 476.61 6.75833252e+02 2.02749977e+01 
378 477.41 6.82947998e+02 2.04884396e+01 
379 478.21 6.89461304e+02 2.06838398e+01 
380 479.02 6.94095947e+02 2.08228779e+01 
381 479.82 6.97058777e+02 2.09117641e+01 
382 480.62 7.00622681e+02 2.10186806e+01 
383 481.43 7.02562744e+02 2.10768814e+01 
384 482.23 7.01240723e+02 2.10372219e+01 
385 483.03 6.95770630e+02 2.08731194e+01 
386 483.84 6.84151672e+02 2.05245495e+01 
387 484.64 6.61068115e+02 1.98320427e+01 
388 485.44 6.32729309e+02 1.89818802e+01 
389 486.24 6.17961365e+02 1.85388412e+01 
390 487.04 6.23652954e+02 1.87095890e+01 
391 487.85 6.42835571e+02 1.92850666e+01 
392 488.65 6.63699158e+02 1.99109745e+01 
393 489.45 6.78014954e+02 2.03404484e+01 
394 490.26 6.82448914e+02 2.04734669e+01 
395 491.06 6.78862183e+02 2.03658657e+01 
396 491.86 6.73911743e+02 2.02173519e+01 
397 492.66 6.74399414e+02 2.02319832e+01 
398 493.46 6.81677124e+02 2.04503136e+01 
399 494.27 6.89365356e+02 2.06809616e+01 
400 495.07 6.93069336e+02 2.07920799e+01 
401 495.87 6.94396484e+02 2.08318939e+01 
402 496.67 6.91243530e+02 2.07373066e+01 
403 497.48 6.85500671e+02 2.05650196e+01 
404 498.28 6.80266296e+02 2.04079895e+01 
405 499.08 6.74377869e+02 2.02313366e+01 
406 499.88 6.67230896e+02 2.00169277e+01 
407 500.68 6.60952148e+02 1.98285637e+01 
408 501.48 6.58391357e+02 1.97517414e+01 
409 502.29 6.61303650e+02 1.98391094e+01 
410 503.09 6.65842651e+02 1.99752789e+01 
411 503.89 6.71511414e+02 2.01453419e+01 
412 504.69 6.78615234e+02 2.03584576e+01 
413 505.49 6.84171265e+02 2.05251389e+01 
414 506.29 6.84616089e+02 2.05384827e+01 
415 507.09 6.80216980e+02 2.04065094e+01 
416 507.90 6.76644226e+02 2.02993259e+01 
417 508.70 6.76048889e+02 2.02814674e+01 
418 509.50 6.77272705e+02 2.03181820e+01 
419 510.30 6.79115723e+02 2.03734722e+01 
420 511.10 6.78300476e+02 2.03490143e+01 
421 511.90 6.73938782e+02 2.02181625e+01 
422 512.71 6.66593628e+02 1.99978085e+01 
423 513.51 6.58795532e+02 1.97638664e+01 
424 514.31 6.53072388e+02 1.95921707e+01 
425 515.11 6.43160583e+02 1.92948170e+01 
426 515.91 6.25386414e+02 1.87615929e+01 
427 516.71 6.07745483e+02 1.82323647e+01 
428 517.51 5.98910156e+02 1.79673042e+01 
429 518.31 6.04290833e+02 1.81287251e+01 
430 519.11 6.20017700e+02 1.86005306e+01 
431 519.91 6.35311462e+02 1.90593433e+01 
432 520.71 6.46619141e+02 1.93985748e+01 
433 521.52 6.50949585e+02 1.95284882e+01 
434 522.32 6.53492676e+02 1.96047802e+01 
435 523.12 6.58860229e+02 1.97658062e+01 
436 523.92 6.64341309e+02 1.99302387e+01 
437 524.72 6.64210144e+02 1.99263039e+01 
438 525.52 6.53876953e+02 1.96163082e+01 
439 526.32 6.41480957e+02 1.92444286e+01 
440 527.12 6.40170959e+02 1.92051296e+01 
441 527.92 6.50549316e+02 1.95164795e+01 
442 528.72 6.65416687e+02 1.99625015e+01 
443 529.52 6.77318604e+02 2.03195572e+01 
444 530.32 6.82513672e+02 2.04754105e+01 
445 531.12 6.79509277e+02 2.03852787e+01 
446 531.92 6.72560547e+02 2.01768169e+01 
447 532.72 6.66858154e+02 2.00057449e+01 
448 533.52 6.67169495e+02 2.00150852e+01 
449 534.32 6.73445313e+02 2.02033596e+01 
450 535.12 6.79059082e+02 2.03717728e+01 
451 535.92 6.79552734e+02 2.03865814e+01 
452 536.72 6.77377686e+02 2.03213310e+01 
453 537.52 6.74416809e+02 2.02325039e+01 
454 538.32 6.70166992e+02 2.01050091e+01 
455 539.12 6.64030273e+02 1.99209080e+01 
456 539.92 6.58554626e+02 1.97566395e+01 
457 540.72 6.57245178e+02 1.97173557e+01 
458 541.52 6.59987793e+02 1.97996330e+01 
459 542.32 6.65157471e+02 1.99547234e+01 
460 543.12 6.70067871e+02 2.01020355e+01 
461 543.92 6.73802490e+02 2.02140751e+01 
462 544.72 6.76390381e+02 2.02917118e+01 
463 545.52 6.76422302e+02 2.02926693e+01 
464 546.32 6.73306946e+02 2.01992092e+01 
465 547.12 6.69591675e+02 2.00877495e+01 
466 547.91 6.67893677e+02 2.00368099e+01 
467 548.71 6.67855103e+02 2.00356522e+01 
468 549.51 6.68281982e+02 2.00484600e+01 
469 550.31 6.67936951e+02 2.00381088e+01 
470 551.11 6.67085205e+02 2.00125561e+01 
471 551.91 6.66124634e+02 1.99837399e+01 
472 552.71 6.65867676e+02 1.99760303e+01 
473 553.51 6.67683167e+02 2.00304947e+01 
474 554.31 6.68990112e+02 2.00697041e+01 
475 555.10 6.67065796e+02 2.00119743e+01 
476 555.90 6.62852173e+02 1.98855648e+01 
477 556.70 6.57507202e+02 1.97252159e+01 
478 557.50 6.49740479e+02 1.94922142e+01 
479 558.30 6.43573792e+02 1.93072128e+01 
480 559.10 6.42543518e+02 1.92763062e+01 
481 559.90 6.43829834e+02 1.93148956e+01 
482 560.70 6.47418213e+02 1.94225464e+01 
483 561.49 6.53074585e+02 1.95922375e+01 
484 562.29 6.56792175e+02 1.97037659e+01 
485 563.09 6.58244141e+02 1.97473240e+01 
486 563.89 6.59143982e+02 1.97743187e+01 
