% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\20180210_day6\4STAR_20180210starsun.mat and recorded on 2018-02-10 13:51:00.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 -1.00000000e+00 -1.00000000e+00 
51 213.85 -1.00000000e+00 -1.00000000e+00 
52 214.65 -1.00000000e+00 -1.00000000e+00 
53 215.45 -1.00000000e+00 -1.00000000e+00 
54 216.25 -1.00000000e+00 -1.00000000e+00 
55 217.05 -1.00000000e+00 -1.00000000e+00 
56 217.85 -1.00000000e+00 -1.00000000e+00 
57 218.65 -1.00000000e+00 -1.00000000e+00 
58 219.46 5.05221748e+00 1.51566520e-01 
59 220.26 5.54852152e+00 1.66455641e-01 
60 221.06 5.10954905e+00 1.53286472e-01 
61 221.86 5.36330652e+00 1.60899192e-01 
62 222.66 5.45924997e+00 1.63777500e-01 
63 223.47 5.60271549e+00 1.68081462e-01 
64 224.27 5.60664940e+00 1.68199480e-01 
65 225.07 5.69446325e+00 1.70833901e-01 
66 225.87 5.82572460e+00 1.74771741e-01 
67 226.68 5.88527393e+00 1.76558211e-01 
68 227.48 6.03118610e+00 1.80935577e-01 
69 228.28 6.27747250e+00 1.88324168e-01 
70 229.08 6.14165354e+00 1.84249610e-01 
71 229.89 6.33878613e+00 1.90163583e-01 
72 230.69 6.32965279e+00 1.89889580e-01 
73 231.49 6.23837042e+00 1.87151119e-01 
74 232.30 6.12396717e+00 1.83719009e-01 
75 233.10 5.91818857e+00 1.77545652e-01 
76 233.90 5.68760300e+00 1.70628086e-01 
77 234.71 5.54835224e+00 1.66450560e-01 
78 235.51 5.45762587e+00 1.63728774e-01 
79 236.32 5.45487833e+00 1.63646355e-01 
80 237.12 5.11145973e+00 1.53343797e-01 
81 237.92 4.99130058e+00 1.49739012e-01 
82 238.73 5.30163097e+00 1.59048930e-01 
83 239.53 4.84153748e+00 1.45246118e-01 
84 240.34 4.52332258e+00 1.35699674e-01 
85 241.14 -1.00000000e+00 -1.00000000e+00 
86 241.94 -1.00000000e+00 -1.00000000e+00 
87 242.75 -1.00000000e+00 -1.00000000e+00 
88 243.55 -1.00000000e+00 -1.00000000e+00 
89 244.36 -1.00000000e+00 -1.00000000e+00 
90 245.16 -1.00000000e+00 -1.00000000e+00 
91 245.97 -1.00000000e+00 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 -1.00000000e+00 -1.00000000e+00 
113 263.69 -1.00000000e+00 -1.00000000e+00 
114 264.49 -1.00000000e+00 -1.00000000e+00 
115 265.30 -1.00000000e+00 -1.00000000e+00 
116 266.11 -1.00000000e+00 -1.00000000e+00 
117 266.91 -1.00000000e+00 -1.00000000e+00 
118 267.72 -1.00000000e+00 -1.00000000e+00 
119 268.53 7.08230257e-01 2.12469082e-02 
120 269.33 4.40326166e+00 1.32097855e-01 
121 270.14 4.20945072e+00 1.26283526e-01 
122 270.95 4.53316879e+00 1.35995060e-01 
123 271.75 4.71590805e+00 1.41477242e-01 
124 272.56 4.68410206e+00 1.40523061e-01 
125 273.37 4.74843693e+00 1.42453104e-01 
126 274.17 4.97324514e+00 1.49197355e-01 
127 274.98 5.25123119e+00 1.57536939e-01 
128 275.79 5.31317139e+00 1.59395143e-01 
129 276.59 5.51488543e+00 1.65446565e-01 
130 277.40 5.67971087e+00 1.70391321e-01 
131 278.21 5.98989201e+00 1.79696754e-01 
132 279.01 6.13671207e+00 1.84101358e-01 
133 279.82 5.58038282e+00 1.67411491e-01 
134 280.63 5.03296232e+00 1.50988877e-01 
135 281.43 4.64270592e+00 1.39281183e-01 
136 282.24 4.26479292e+00 1.27943784e-01 
137 283.05 3.96234035e+00 1.18870214e-01 
138 283.86 3.71946383e+00 1.11583918e-01 
139 284.66 3.47938895e+00 1.04381666e-01 
140 285.47 3.24911571e+00 9.74734724e-02 
141 286.28 3.06985903e+00 9.20957699e-02 
142 287.09 2.90429497e+00 8.71288478e-02 
143 287.89 2.73066521e+00 8.19199532e-02 
144 288.70 2.62800407e+00 7.88401216e-02 
145 289.51 2.46293068e+00 7.38879219e-02 
146 290.32 2.40069246e+00 7.20207766e-02 
147 291.12 2.34482098e+00 7.03446269e-02 
148 291.93 2.21235991e+00 6.63708001e-02 
149 292.74 2.17111707e+00 6.51335120e-02 
150 293.55 2.09622288e+00 6.28866851e-02 
151 294.35 2.02907038e+00 6.08721115e-02 
152 295.16 1.98499703e+00 5.95499128e-02 
153 295.97 1.92989933e+00 5.78969792e-02 
154 296.78 1.88928604e+00 5.66785820e-02 
155 297.58 1.84568095e+00 5.53704277e-02 
156 298.39 1.80206966e+00 5.40620908e-02 
157 299.20 1.82008231e+00 5.46024702e-02 
158 300.01 1.78785753e+00 5.36357276e-02 
159 300.81 1.76908708e+00 5.30726127e-02 
160 301.62 1.72697449e+00 5.18092364e-02 
161 302.43 1.71940839e+00 5.15822507e-02 
162 303.24 1.72750640e+00 5.18251918e-02 
163 304.04 1.69779396e+00 5.09338193e-02 
164 304.85 1.70579767e+00 5.11739291e-02 
165 305.66 1.68323398e+00 5.04970178e-02 
166 306.47 1.68150878e+00 5.04452623e-02 
167 307.28 1.67031169e+00 5.01093492e-02 
168 308.08 1.67137849e+00 5.01413532e-02 
169 308.89 1.66140246e+00 4.98420745e-02 
170 309.70 1.66723382e+00 5.00170141e-02 
171 310.51 1.66396642e+00 4.99189943e-02 
172 311.32 1.65913701e+00 4.97741103e-02 
173 312.12 1.66362691e+00 4.99088056e-02 
174 312.93 1.65547216e+00 4.96641658e-02 
175 313.74 1.69692540e+00 5.09077609e-02 
176 314.55 1.67713714e+00 5.03141135e-02 
177 315.36 1.68979275e+00 5.06937839e-02 
178 316.16 1.69304299e+00 5.07912897e-02 
179 316.97 1.70265174e+00 5.10795526e-02 
180 317.78 1.73315084e+00 5.19945249e-02 
181 318.59 1.72916281e+00 5.18748835e-02 
182 319.40 1.72477436e+00 5.17432317e-02 
183 320.20 1.75312150e+00 5.25936447e-02 
184 321.01 1.78741002e+00 5.36223017e-02 
185 321.82 1.78763092e+00 5.36289290e-02 
186 322.63 1.82290232e+00 5.46870679e-02 
187 323.43 1.80673480e+00 5.42020425e-02 
188 324.24 1.86103690e+00 5.58311082e-02 
189 325.05 1.86912525e+00 5.60737588e-02 
190 325.86 1.90419579e+00 5.71258739e-02 
191 326.67 1.92813194e+00 5.78439571e-02 
192 327.48 1.97124922e+00 5.91374785e-02 
193 328.28 1.99406147e+00 5.98218441e-02 
194 329.09 2.07052255e+00 6.21156767e-02 
195 329.90 2.09134078e+00 6.27402216e-02 
196 330.71 2.15195370e+00 6.45586103e-02 
197 331.52 2.23501730e+00 6.70505166e-02 
198 332.32 2.40823698e+00 7.22471103e-02 
199 333.13 2.68228197e+00 8.04684609e-02 
200 333.94 3.32961416e+00 9.98884216e-02 
201 334.75 4.16957951e+00 1.25087380e-01 
202 335.55 5.29329157e+00 1.58798754e-01 
203 336.36 6.95799351e+00 2.08739802e-01 
204 337.17 9.49071121e+00 2.84721345e-01 
205 337.98 1.28379440e+01 3.85138333e-01 
206 338.79 1.69111767e+01 5.07335305e-01 
207 339.60 2.13894272e+01 6.41682804e-01 
208 340.40 2.52373047e+01 7.57119119e-01 
209 341.21 2.84790516e+01 8.54371548e-01 
210 342.02 3.24918098e+01 9.74754274e-01 
211 342.83 3.57559052e+01 1.07267714e+00 
212 343.63 3.63897057e+01 1.09169114e+00 
213 344.44 3.78226395e+01 1.13467920e+00 
214 345.25 4.20071144e+01 1.26021338e+00 
215 346.06 4.56855736e+01 1.37056720e+00 
216 346.87 4.81328812e+01 1.44398642e+00 
217 347.67 4.98433685e+01 1.49530101e+00 
218 348.48 5.15908737e+01 1.54772615e+00 
219 349.29 5.48545647e+01 1.64563692e+00 
220 350.10 6.01950989e+01 1.80585301e+00 
221 350.90 6.35254211e+01 1.90576267e+00 
222 351.71 6.34928970e+01 1.90478694e+00 
223 352.52 6.51350403e+01 1.95405126e+00 
224 353.33 7.12948914e+01 2.13884664e+00 
225 354.14 7.82905502e+01 2.34871650e+00 
226 354.94 8.10495377e+01 2.43148613e+00 
227 355.75 7.93664246e+01 2.38099265e+00 
228 356.56 7.48368530e+01 2.24510550e+00 
229 357.37 7.05286560e+01 2.11585975e+00 
230 358.18 7.02472916e+01 2.10741878e+00 
231 358.98 7.95185547e+01 2.38555670e+00 
232 359.79 9.09228363e+01 2.72768497e+00 
233 360.60 9.17481003e+01 2.75244308e+00 
234 361.41 9.06938171e+01 2.72081447e+00 
235 362.21 9.60329666e+01 2.88098907e+00 
236 363.02 1.01464409e+02 3.04393220e+00 
237 363.83 1.04689178e+02 3.14067531e+00 
238 364.64 1.10084442e+02 3.30253315e+00 
239 365.44 1.20042702e+02 3.60128117e+00 
240 366.25 1.27918182e+02 3.83754539e+00 
241 367.06 1.28426117e+02 3.85278344e+00 
242 367.87 1.26498260e+02 3.79494786e+00 
243 368.67 1.28609848e+02 3.85829544e+00 
244 369.48 1.34160248e+02 4.02480745e+00 
245 370.29 1.34696060e+02 4.04088163e+00 
246 371.10 1.33040695e+02 3.99122095e+00 
247 371.90 1.29322464e+02 3.87967396e+00 
248 372.71 1.21871422e+02 3.65614271e+00 
249 373.52 1.15331802e+02 3.45995402e+00 
250 374.33 1.15320641e+02 3.45961928e+00 
251 375.13 1.23789795e+02 3.71369386e+00 
252 375.94 1.34578064e+02 4.03734207e+00 
253 376.75 1.46188187e+02 4.38564539e+00 
254 377.56 1.59651413e+02 4.78954220e+00 
255 378.36 1.61941238e+02 4.85823727e+00 
256 379.17 1.53010071e+02 4.59030199e+00 
257 379.98 1.50438248e+02 4.51314735e+00 
258 380.78 1.50193466e+02 4.50580406e+00 
259 381.59 1.35771149e+02 4.07313442e+00 
260 382.40 1.15519821e+02 3.46559453e+00 
261 383.20 1.07496605e+02 3.22489810e+00 
262 384.01 1.18009071e+02 3.54027224e+00 
263 384.82 1.33010696e+02 3.99032092e+00 
264 385.63 1.38311874e+02 4.14935637e+00 
265 386.43 1.39394211e+02 4.18182611e+00 
266 387.24 1.40253021e+02 4.20759058e+00 
267 388.05 1.42492462e+02 4.27477407e+00 
268 388.85 1.51611206e+02 4.54833603e+00 
269 389.66 1.65547897e+02 4.96643686e+00 
270 390.47 1.76054657e+02 5.28163958e+00 
271 391.27 1.75950592e+02 5.27851772e+00 
272 392.08 1.55180878e+02 4.65542650e+00 
273 392.89 1.25235794e+02 3.75707388e+00 
274 393.69 1.21257332e+02 3.63771987e+00 
275 394.50 1.46611023e+02 4.39833069e+00 
276 395.31 1.61510315e+02 4.84530926e+00 
277 396.11 1.48043915e+02 4.44131756e+00 
278 396.92 1.41314484e+02 4.23943472e+00 
279 397.73 1.69771484e+02 5.09314442e+00 
280 398.53 2.08167419e+02 6.24502277e+00 
281 399.34 2.30795853e+02 6.92387581e+00 
282 400.15 2.41780075e+02 7.25340223e+00 
283 400.95 2.50012665e+02 7.50038004e+00 
284 401.76 2.56516022e+02 7.69548082e+00 
285 402.57 2.57972534e+02 7.73917580e+00 
286 403.37 2.56429932e+02 7.69289780e+00 
287 404.18 2.55492569e+02 7.66477728e+00 
288 404.99 2.54517258e+02 7.63551760e+00 
289 405.79 2.53490540e+02 7.60471630e+00 
290 406.60 2.54801895e+02 7.64405680e+00 
291 407.40 2.61948303e+02 7.85844898e+00 
292 408.21 2.72184998e+02 8.16555023e+00 
293 409.02 2.75263611e+02 8.25790787e+00 
294 409.82 2.71219666e+02 8.13659000e+00 
295 410.63 2.75315857e+02 8.25947571e+00 
296 411.43 2.87440948e+02 8.62322807e+00 
297 412.24 2.93872772e+02 8.81618309e+00 
298 413.05 2.93733795e+02 8.81201363e+00 
299 413.85 2.93083221e+02 8.79249668e+00 
300 414.66 2.92703613e+02 8.78110886e+00 
301 415.46 2.92899933e+02 8.78699780e+00 
302 416.27 2.91923767e+02 8.75771332e+00 
303 417.08 2.86496368e+02 8.59489059e+00 
304 417.88 2.80274078e+02 8.40822220e+00 
305 418.69 2.77182922e+02 8.31548786e+00 
306 419.49 2.76709625e+02 8.30128860e+00 
307 420.30 2.79381805e+02 8.38145447e+00 
308 421.11 2.81484833e+02 8.44454479e+00 
309 421.91 2.77637970e+02 8.32913876e+00 
310 422.72 2.72108307e+02 8.16324902e+00 
311 423.52 2.72009979e+02 8.16029930e+00 
312 424.33 2.74860291e+02 8.24580860e+00 
313 425.13 2.76439392e+02 8.29318142e+00 
314 425.94 2.76745636e+02 8.30236912e+00 
315 426.74 2.76745514e+02 8.30236530e+00 
316 427.55 2.77012329e+02 8.31036949e+00 
317 428.36 2.74517639e+02 8.23552895e+00 
318 429.16 2.64210968e+02 7.92632914e+00 
319 429.96 2.54108582e+02 7.62325764e+00 
320 430.77 2.65614136e+02 7.96842384e+00 
321 431.58 2.97008240e+02 8.91024685e+00 
322 432.38 3.26927582e+02 9.80782700e+00 
323 433.19 3.41369141e+02 1.02410746e+01 
324 433.99 3.50842621e+02 1.05252790e+01 
325 434.80 3.68217133e+02 1.10465136e+01 
326 435.60 3.91065613e+02 1.17319679e+01 
327 436.41 4.06368286e+02 1.21910486e+01 
328 437.21 4.07703430e+02 1.22311029e+01 
329 438.02 4.04384277e+02 1.21315279e+01 
330 438.82 4.09713684e+02 1.22914104e+01 
331 439.63 4.24674683e+02 1.27402401e+01 
332 440.43 4.44582458e+02 1.33374739e+01 
333 441.24 4.65347137e+02 1.39604139e+01 
334 442.04 4.83821472e+02 1.45146446e+01 
335 442.85 4.96629486e+02 1.48988848e+01 
336 443.65 5.05027649e+02 1.51508293e+01 
337 444.45 5.09023590e+02 1.52707081e+01 
338 445.26 5.09816681e+02 1.52945004e+01 
339 446.06 5.15760315e+02 1.54728098e+01 
340 446.87 5.29718933e+02 1.58915682e+01 
341 447.67 5.45747009e+02 1.63724098e+01 
342 448.48 5.57977661e+02 1.67393303e+01 
343 449.28 5.70152771e+02 1.71045837e+01 
344 450.09 5.83726990e+02 1.75118103e+01 
345 450.89 5.91167358e+02 1.77350216e+01 
346 451.70 5.85669189e+02 1.75700760e+01 
347 452.50 5.74733887e+02 1.72420158e+01 
348 453.30 5.71023132e+02 1.71306934e+01 
349 454.11 5.75831665e+02 1.72749500e+01 
350 454.91 5.85734253e+02 1.75720272e+01 
351 455.72 5.96235657e+02 1.78870697e+01 
352 456.52 6.04830505e+02 1.81449146e+01 
353 457.32 6.08140869e+02 1.82442265e+01 
354 458.13 6.06859619e+02 1.82057877e+01 
355 458.93 6.06360107e+02 1.81908035e+01 
356 459.74 6.11034241e+02 1.83310280e+01 
357 460.54 6.20020386e+02 1.86006107e+01 
358 461.34 6.29427612e+02 1.88828278e+01 
359 462.15 6.35450256e+02 1.90635071e+01 
360 462.95 6.35439941e+02 1.90631981e+01 
361 463.76 6.31186157e+02 1.89355850e+01 
362 464.56 6.27240479e+02 1.88172150e+01 
363 465.36 6.24488281e+02 1.87346478e+01 
364 466.17 6.22941467e+02 1.86882439e+01 
365 466.97 6.23868591e+02 1.87160568e+01 
366 467.77 6.27492920e+02 1.88247871e+01 
367 468.58 6.31151550e+02 1.89345474e+01 
368 469.38 6.31493225e+02 1.89447975e+01 
369 470.18 6.32488037e+02 1.89746418e+01 
370 470.99 6.39962769e+02 1.91988831e+01 
371 471.79 6.50230469e+02 1.95069141e+01 
372 472.59 6.58407043e+02 1.97522106e+01 
373 473.40 6.64251648e+02 1.99275494e+01 
374 474.20 6.68412354e+02 2.00523701e+01 
375 475.00 6.70625061e+02 2.01187515e+01 
376 475.81 6.72156006e+02 2.01646805e+01 
377 476.61 6.76267822e+02 2.02880344e+01 
378 477.41 6.83234253e+02 2.04970284e+01 
379 478.21 6.89779663e+02 2.06933899e+01 
380 479.02 6.94446838e+02 2.08334045e+01 
381 479.82 6.97443787e+02 2.09233131e+01 
382 480.62 7.00925110e+02 2.10277538e+01 
383 481.43 7.02612305e+02 2.10783691e+01 
384 482.23 7.01009705e+02 2.10302906e+01 
385 483.03 6.95533142e+02 2.08659935e+01 
386 483.84 6.83873169e+02 2.05161953e+01 
387 484.64 6.60723022e+02 1.98216915e+01 
388 485.44 6.32769165e+02 1.89830742e+01 
389 486.24 6.18117859e+02 1.85435352e+01 
390 487.04 6.23408264e+02 1.87022476e+01 
391 487.85 6.42136169e+02 1.92640858e+01 
392 488.65 6.63020630e+02 1.98906193e+01 
393 489.45 6.77143250e+02 2.03142967e+01 
394 490.26 6.81388550e+02 2.04416561e+01 
395 491.06 6.77923462e+02 2.03377037e+01 
396 491.86 6.73019653e+02 2.01905899e+01 
397 492.66 6.73392029e+02 2.02017612e+01 
398 493.46 6.80549500e+02 2.04164848e+01 
399 494.27 6.88307678e+02 2.06492310e+01 
400 495.07 6.92144958e+02 2.07643490e+01 
401 495.87 6.93456787e+02 2.08037033e+01 
402 496.67 6.90326538e+02 2.07097969e+01 
403 497.48 6.84624878e+02 2.05387459e+01 
404 498.28 6.79398193e+02 2.03819466e+01 
405 499.08 6.73267456e+02 2.01980228e+01 
406 499.88 6.66074768e+02 1.99822426e+01 
407 500.68 6.59836426e+02 1.97950935e+01 
408 501.48 6.57274353e+02 1.97182312e+01 
409 502.29 6.59938110e+02 1.97981434e+01 
410 503.09 6.64357422e+02 1.99307232e+01 
411 503.89 6.70007507e+02 2.01002254e+01 
412 504.69 6.77156799e+02 2.03147049e+01 
413 505.49 6.82701172e+02 2.04810352e+01 
414 506.29 6.83119934e+02 2.04935989e+01 
415 507.09 6.78910461e+02 2.03673134e+01 
416 507.90 6.75196106e+02 2.02558823e+01 
417 508.70 6.74405518e+02 2.02321663e+01 
418 509.50 6.75564209e+02 2.02669258e+01 
419 510.30 6.77295959e+02 2.03188782e+01 
420 511.10 6.76505859e+02 2.02951756e+01 
421 511.90 6.72104675e+02 2.01631393e+01 
422 512.71 6.64811890e+02 1.99443569e+01 
423 513.51 6.57160889e+02 1.97148266e+01 
424 514.31 6.51386780e+02 1.95416031e+01 
425 515.11 6.41515503e+02 1.92454643e+01 
426 515.91 6.23998657e+02 1.87199593e+01 
427 516.71 6.06849487e+02 1.82054844e+01 
428 517.51 5.98021790e+02 1.79406528e+01 
429 518.31 6.03245728e+02 1.80973721e+01 
430 519.11 6.18667786e+02 1.85600338e+01 
431 519.91 6.33926758e+02 1.90178032e+01 
432 520.71 6.45131592e+02 1.93539486e+01 
433 521.52 6.49512451e+02 1.94853745e+01 
434 522.32 6.52052429e+02 1.95615730e+01 
435 523.12 6.57405029e+02 1.97221508e+01 
436 523.92 6.62684326e+02 1.98805294e+01 
437 524.72 6.62400635e+02 1.98720188e+01 
438 525.52 6.52216309e+02 1.95664902e+01 
439 526.32 6.40252441e+02 1.92075729e+01 
440 527.12 6.39061707e+02 1.91718521e+01 
441 527.92 6.49131348e+02 1.94739399e+01 
442 528.72 6.63988464e+02 1.99196548e+01 
443 529.52 6.76052734e+02 2.02815819e+01 
444 530.32 6.81190735e+02 2.04357224e+01 
445 531.12 6.78283691e+02 2.03485107e+01 
446 531.92 6.71338196e+02 2.01401463e+01 
447 532.72 6.65725464e+02 1.99717636e+01 
448 533.52 6.65803223e+02 1.99740963e+01 
449 534.32 6.71849304e+02 2.01554794e+01 
450 535.12 6.77375732e+02 2.03212719e+01 
451 535.92 6.77884338e+02 2.03365307e+01 
452 536.72 6.76055664e+02 2.02816696e+01 
453 537.52 6.73293152e+02 2.01987953e+01 
454 538.32 6.68986572e+02 2.00695972e+01 
455 539.12 6.63018799e+02 1.98905640e+01 
456 539.92 6.57710754e+02 1.97313232e+01 
457 540.72 6.56459961e+02 1.96937981e+01 
458 541.52 6.59097168e+02 1.97729149e+01 
459 542.32 6.64262390e+02 1.99278717e+01 
460 543.12 6.69236389e+02 2.00770912e+01 
461 543.92 6.72971863e+02 2.01891556e+01 
462 544.72 6.75500732e+02 2.02650223e+01 
463 545.52 6.75499512e+02 2.02649860e+01 
464 546.32 6.72496094e+02 2.01748829e+01 
465 547.12 6.68778931e+02 2.00633678e+01 
466 547.91 6.67018738e+02 2.00105629e+01 
467 548.71 6.66781189e+02 2.00034351e+01 
468 549.51 6.67085510e+02 2.00125656e+01 
469 550.31 6.66823792e+02 2.00047131e+01 
470 551.11 6.66039795e+02 1.99811935e+01 
471 551.91 6.65269165e+02 1.99580746e+01 
472 552.71 6.65165405e+02 1.99549618e+01 
473 553.51 6.67042236e+02 2.00112667e+01 
474 554.31 6.68119141e+02 2.00435734e+01 
475 555.10 6.66062012e+02 1.99818611e+01 
476 555.90 6.61656250e+02 1.98496876e+01 
477 556.70 6.56377319e+02 1.96913204e+01 
478 557.50 6.48539429e+02 1.94561825e+01 
479 558.30 6.42211792e+02 1.92663536e+01 
480 559.10 6.41305359e+02 1.92391605e+01 
481 559.90 6.42381775e+02 1.92714539e+01 
482 560.70 6.45663086e+02 1.93698921e+01 
483 561.49 6.51431763e+02 1.95429535e+01 
484 562.29 6.55255005e+02 1.96576500e+01 
485 563.09 6.56896790e+02 1.97069035e+01 
486 563.89 6.57768799e+02 1.97330647e+01 
