% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\20180211_day7\4STARB_20180211starsun.mat and recorded on 2018-02-11 11:57:43.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 4.85607624e+00 1.45682290e-01 
510 947.95 5.02531433e+00 1.50759429e-01 
509 949.84 5.11942863e+00 1.53582856e-01 
508 951.73 5.20913982e+00 1.56274199e-01 
507 953.62 5.26965380e+00 1.58089608e-01 
506 955.51 5.34484100e+00 1.60345227e-01 
505 957.40 5.42934942e+00 1.62880480e-01 
504 959.28 5.56774807e+00 1.67032436e-01 
503 961.16 5.73614502e+00 1.72084346e-01 
502 963.03 5.82751131e+00 1.74825341e-01 
501 964.90 6.06175327e+00 1.81852594e-01 
500 966.78 6.11852694e+00 1.83555812e-01 
499 968.64 6.37320280e+00 1.91196084e-01 
498 970.51 6.41630936e+00 1.92489281e-01 
497 972.37 6.57331753e+00 1.97199523e-01 
496 974.23 6.54182863e+00 1.96254864e-01 
495 976.09 6.69728231e+00 2.00918466e-01 
494 977.95 6.70868969e+00 2.01260686e-01 
493 979.80 6.82795525e+00 2.04838663e-01 
492 981.65 6.90810347e+00 2.07243100e-01 
491 983.50 7.03294897e+00 2.10988462e-01 
490 985.34 7.02348232e+00 2.10704476e-01 
489 987.18 7.06844807e+00 2.12053448e-01 
488 989.02 7.04825640e+00 2.11447686e-01 
487 990.86 7.10384035e+00 2.13115215e-01 
486 992.70 7.03693438e+00 2.11108029e-01 
485 994.53 7.13999510e+00 2.14199856e-01 
484 996.36 7.07007837e+00 2.12102354e-01 
483 998.19 7.11794758e+00 2.13538423e-01 
482 1000.01 7.09728718e+00 2.12918609e-01 
481 1001.83 7.01890469e+00 2.10567147e-01 
480 1003.65 7.05045319e+00 2.11513594e-01 
479 1005.47 7.03836393e+00 2.11150914e-01 
478 1007.29 7.04978561e+00 2.11493567e-01 
477 1009.10 7.15128851e+00 2.14538649e-01 
476 1010.91 7.14333725e+00 2.14300111e-01 
475 1012.72 7.22743416e+00 2.16823027e-01 
474 1014.53 7.12486887e+00 2.13746071e-01 
473 1016.33 7.24448586e+00 2.17334569e-01 
472 1018.13 7.12999582e+00 2.13899881e-01 
471 1019.93 7.18543911e+00 2.15563178e-01 
470 1021.73 7.15604877e+00 2.14681461e-01 
469 1023.52 7.13594818e+00 2.14078441e-01 
468 1025.31 7.03594780e+00 2.11078435e-01 
467 1027.10 7.09467840e+00 2.12840348e-01 
466 1028.89 7.00293732e+00 2.10088119e-01 
465 1030.67 7.00069809e+00 2.10020944e-01 
464 1032.45 6.89714813e+00 2.06914440e-01 
463 1034.23 6.84991789e+00 2.05497533e-01 
462 1036.01 6.77540541e+00 2.03262165e-01 
461 1037.79 6.72114420e+00 2.01634333e-01 
460 1039.56 6.66512680e+00 1.99953809e-01 
459 1041.33 6.64794731e+00 1.99438423e-01 
458 1043.10 6.57019901e+00 1.97105974e-01 
457 1044.87 6.59690762e+00 1.97907224e-01 
456 1046.63 6.48765850e+00 1.94629759e-01 
455 1048.39 6.46246243e+00 1.93873867e-01 
454 1050.15 6.44282150e+00 1.93284646e-01 
453 1051.91 6.37764835e+00 1.91329449e-01 
452 1053.67 6.36318445e+00 1.90895528e-01 
451 1055.42 6.35529280e+00 1.90658778e-01 
450 1057.17 6.27040195e+00 1.88112065e-01 
449 1058.92 6.21570826e+00 1.86471254e-01 
