% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\20180212_day8\4STAR_20180212starsun.mat and recorded on 2018-09-17 01:03:35.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 -1.00000000e+00 -1.00000000e+00 
51 213.85 -1.00000000e+00 -1.00000000e+00 
52 214.65 -1.00000000e+00 -1.00000000e+00 
53 215.45 3.63894796e+00 1.09168440e-01 
54 216.25 3.20135522e+00 9.60406587e-02 
55 217.05 4.41766357e+00 1.32529914e-01 
56 217.85 4.15825129e+00 1.24747537e-01 
57 218.65 4.35186243e+00 1.30555868e-01 
58 219.46 4.46469355e+00 1.33940801e-01 
59 220.26 4.55820847e+00 1.36746258e-01 
60 221.06 4.44864464e+00 1.33459345e-01 
61 221.86 4.46203756e+00 1.33861125e-01 
62 222.66 4.39953423e+00 1.31986022e-01 
63 223.47 4.41557455e+00 1.32467240e-01 
64 224.27 4.38448906e+00 1.31534666e-01 
65 225.07 4.53877497e+00 1.36163250e-01 
66 225.87 4.54435349e+00 1.36330605e-01 
67 226.68 4.52189064e+00 1.35656714e-01 
68 227.48 4.41311598e+00 1.32393479e-01 
69 228.28 4.36286640e+00 1.30885988e-01 
70 229.08 4.35212803e+00 1.30563840e-01 
71 229.89 4.52534199e+00 1.35760263e-01 
72 230.69 4.46278620e+00 1.33883581e-01 
73 231.49 4.42923927e+00 1.32877171e-01 
74 232.30 4.37611771e+00 1.31283537e-01 
75 233.10 4.42484856e+00 1.32745460e-01 
76 233.90 4.44328547e+00 1.33298561e-01 
77 234.71 4.37506628e+00 1.31251991e-01 
78 235.51 4.35598183e+00 1.30679458e-01 
79 236.32 4.15450954e+00 1.24635287e-01 
80 237.12 4.27799129e+00 1.28339738e-01 
81 237.92 4.12834740e+00 1.23850420e-01 
82 238.73 4.08314705e+00 1.22494414e-01 
83 239.53 3.78462911e+00 1.13538876e-01 
84 240.34 3.95302534e+00 1.18590757e-01 
85 241.14 3.57611394e+00 1.07283421e-01 
86 241.94 3.55164289e+00 1.06549285e-01 
87 242.75 4.10253811e+00 1.23076141e-01 
88 243.55 5.59558105e+00 1.67867437e-01 
89 244.36 -1.00000000e+00 -1.00000000e+00 
90 245.16 -1.00000000e+00 -1.00000000e+00 
91 245.97 -1.00000000e+00 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 -1.00000000e+00 -1.00000000e+00 
113 263.69 -1.00000000e+00 -1.00000000e+00 
114 264.49 -1.00000000e+00 -1.00000000e+00 
115 265.30 5.31625319e+00 1.59487590e-01 
116 266.11 2.81095290e+00 8.43285844e-02 
117 266.91 3.41529489e+00 1.02458850e-01 
118 267.72 3.28545952e+00 9.85637829e-02 
119 268.53 3.61101532e+00 1.08330458e-01 
120 269.33 3.55581832e+00 1.06674552e-01 
121 270.14 3.77502608e+00 1.13250785e-01 
122 270.95 3.71647143e+00 1.11494146e-01 
123 271.75 3.78965664e+00 1.13689698e-01 
124 272.56 3.81923342e+00 1.14577003e-01 
125 273.37 3.97828865e+00 1.19348660e-01 
126 274.17 3.98630977e+00 1.19589292e-01 
127 274.98 3.98369503e+00 1.19510852e-01 
128 275.79 3.85478663e+00 1.15643598e-01 
129 276.59 3.98836303e+00 1.19650893e-01 
130 277.40 4.37127924e+00 1.31138384e-01 
131 278.21 4.91110659e+00 1.47333205e-01 
132 279.01 5.27061749e+00 1.58118531e-01 
133 279.82 4.88157701e+00 1.46447316e-01 
134 280.63 4.52202892e+00 1.35660872e-01 
135 281.43 4.19430351e+00 1.25829101e-01 
136 282.24 3.88896418e+00 1.16668925e-01 
137 283.05 3.64703608e+00 1.09411083e-01 
138 283.86 3.44053245e+00 1.03215970e-01 
139 284.66 3.21567535e+00 9.64702591e-02 
140 285.47 3.05205226e+00 9.15615708e-02 
141 286.28 2.86607695e+00 8.59823078e-02 
142 287.09 2.75741506e+00 8.27224553e-02 
143 287.89 2.64506674e+00 7.93519989e-02 
144 288.70 2.50693226e+00 7.52079710e-02 
145 289.51 2.41037822e+00 7.23113492e-02 
146 290.32 2.33576417e+00 7.00729266e-02 
147 291.12 2.25042057e+00 6.75126165e-02 
148 291.93 2.17030764e+00 6.51092306e-02 
149 292.74 2.12238121e+00 6.36714399e-02 
150 293.55 2.05341125e+00 6.16023391e-02 
151 294.35 2.03829432e+00 6.11488298e-02 
152 295.16 1.96642852e+00 5.89928553e-02 
153 295.97 1.92010152e+00 5.76030463e-02 
154 296.78 1.89039803e+00 5.67119420e-02 
155 297.58 1.85792291e+00 5.57376891e-02 
156 298.39 1.82579148e+00 5.47737442e-02 
157 299.20 1.79140151e+00 5.37420437e-02 
158 300.01 1.80357325e+00 5.41071966e-02 
159 300.81 1.75014067e+00 5.25042191e-02 
160 301.62 1.74799395e+00 5.24398200e-02 
161 302.43 1.72942185e+00 5.18826544e-02 
162 303.24 1.72945905e+00 5.18837720e-02 
163 304.04 1.70625925e+00 5.11877760e-02 
164 304.85 1.70026052e+00 5.10078147e-02 
165 305.66 1.69837260e+00 5.09511791e-02 
166 306.47 1.68392992e+00 5.05178981e-02 
167 307.28 1.68129277e+00 5.04387841e-02 
168 308.08 1.67835736e+00 5.03507219e-02 
169 308.89 1.68372762e+00 5.05118296e-02 
170 309.70 1.68028128e+00 5.04084378e-02 
171 310.51 1.68539476e+00 5.05618416e-02 
172 311.32 1.68609369e+00 5.05828112e-02 
173 312.12 1.68633819e+00 5.05901463e-02 
174 312.93 1.70007122e+00 5.10021374e-02 
175 313.74 1.67976260e+00 5.03928773e-02 
176 314.55 1.70417666e+00 5.11252992e-02 
177 315.36 1.69780600e+00 5.09341806e-02 
178 316.16 1.72174704e+00 5.16524129e-02 
179 316.97 1.71519732e+00 5.14559187e-02 
180 317.78 1.73020136e+00 5.19060418e-02 
181 318.59 1.73621178e+00 5.20863533e-02 
182 319.40 1.75758088e+00 5.27274273e-02 
183 320.20 1.76508117e+00 5.29524349e-02 
184 321.01 1.80097055e+00 5.40291183e-02 
185 321.82 1.80307257e+00 5.40921763e-02 
186 322.63 1.81139135e+00 5.43417409e-02 
187 323.43 1.84425354e+00 5.53276055e-02 
188 324.24 1.85796177e+00 5.57388514e-02 
189 325.05 1.89895439e+00 5.69686331e-02 
190 325.86 1.91447842e+00 5.74343540e-02 
191 326.67 1.94855452e+00 5.84566370e-02 
192 327.48 1.97232032e+00 5.91696091e-02 
193 328.28 2.02622604e+00 6.07867800e-02 
194 329.09 2.05814409e+00 6.17443211e-02 
195 329.90 2.09768891e+00 6.29306659e-02 
196 330.71 2.16534233e+00 6.49602711e-02 
197 331.52 2.22854400e+00 6.68563172e-02 
198 332.32 2.40594482e+00 7.21783414e-02 
199 333.13 2.68322968e+00 8.04968923e-02 
200 333.94 3.14009714e+00 9.42029133e-02 
201 334.75 3.87272263e+00 1.16181679e-01 
202 335.55 4.82168007e+00 1.44650400e-01 
203 336.36 6.26405096e+00 1.87921524e-01 
204 337.17 8.53922653e+00 2.56176800e-01 
205 337.98 1.16764908e+01 3.50294709e-01 
206 338.79 1.53952513e+01 4.61857527e-01 
207 339.60 1.96026287e+01 5.88078856e-01 
208 340.40 2.32283897e+01 6.96851671e-01 
209 341.21 2.65277557e+01 7.95832694e-01 
210 342.02 3.05351295e+01 9.16053891e-01 
211 342.83 3.36640396e+01 1.00992119e+00 
212 343.63 3.43601418e+01 1.03080428e+00 
213 344.44 3.62549744e+01 1.08764923e+00 
214 345.25 4.04710083e+01 1.21413028e+00 
215 346.06 4.41234589e+01 1.32370377e+00 
216 346.87 4.65790100e+01 1.39737034e+00 
217 347.67 4.83293304e+01 1.44987988e+00 
218 348.48 5.01908264e+01 1.50572479e+00 
219 349.29 5.36470947e+01 1.60941279e+00 
220 350.10 5.90163269e+01 1.77048981e+00 
221 350.90 6.21272812e+01 1.86381841e+00 
222 351.71 6.21709938e+01 1.86512983e+00 
223 352.52 6.40840378e+01 1.92252111e+00 
224 353.33 7.03680878e+01 2.11104274e+00 
225 354.14 7.71404114e+01 2.31421232e+00 
226 354.94 7.96925583e+01 2.39077663e+00 
227 355.75 7.78272171e+01 2.33481646e+00 
228 356.56 7.33001938e+01 2.19900584e+00 
229 357.37 6.93145676e+01 2.07943702e+00 
230 358.18 6.96262512e+01 2.08878756e+00 
231 358.98 7.96123810e+01 2.38837147e+00 
232 359.79 9.04342346e+01 2.71302700e+00 
233 360.60 9.06472931e+01 2.71941876e+00 
234 361.41 9.01899338e+01 2.70569801e+00 
235 362.21 9.57896576e+01 2.87368965e+00 
236 363.02 1.01093994e+02 3.03281975e+00 
237 363.83 1.04261139e+02 3.12783408e+00 
238 364.64 1.10003891e+02 3.30011678e+00 
239 365.44 1.20244125e+02 3.60732365e+00 
240 366.25 1.27666389e+02 3.82999158e+00 
241 367.06 1.27823547e+02 3.83470631e+00 
242 367.87 1.25855034e+02 3.77565098e+00 
243 368.67 1.28531799e+02 3.85595393e+00 
244 369.48 1.33897446e+02 4.01692343e+00 
245 370.29 1.34100891e+02 4.02302694e+00 
246 371.10 1.32460358e+02 3.97381067e+00 
247 371.90 1.28550690e+02 3.85652065e+00 
248 372.71 1.21024307e+02 3.63072920e+00 
249 373.52 1.14757614e+02 3.44272852e+00 
250 374.33 1.15429680e+02 3.46289039e+00 
251 375.13 1.24240402e+02 3.72721195e+00 
252 375.94 1.35000397e+02 4.05001211e+00 
253 376.75 1.46872498e+02 4.40617514e+00 
254 377.56 1.60305542e+02 4.80916643e+00 
255 378.36 1.61421234e+02 4.84263706e+00 
256 379.17 1.52305298e+02 4.56915903e+00 
257 379.98 1.50786774e+02 4.52360344e+00 
258 380.78 1.49556351e+02 4.48669052e+00 
259 381.59 1.34038879e+02 4.02116632e+00 
260 382.40 1.14032455e+02 3.42097378e+00 
261 383.20 1.07296524e+02 3.21889567e+00 
262 384.01 1.18957993e+02 3.56873989e+00 
263 384.82 1.33530380e+02 4.00591135e+00 
264 385.63 1.37935272e+02 4.13805819e+00 
265 386.43 1.38913544e+02 4.16740608e+00 
266 387.24 1.39573380e+02 4.18720150e+00 
267 388.05 1.41921234e+02 4.25763702e+00 
268 388.85 1.51600647e+02 4.54801941e+00 
269 389.66 1.65480896e+02 4.96442699e+00 
270 390.47 1.75394958e+02 5.26184893e+00 
271 391.27 1.74198563e+02 5.22595692e+00 
272 392.08 1.51892624e+02 4.55677891e+00 
273 392.89 1.22473389e+02 3.67420173e+00 
274 393.69 1.21155434e+02 3.63466311e+00 
275 394.50 1.47571701e+02 4.42715120e+00 
276 395.31 1.60434937e+02 4.81304789e+00 
277 396.11 1.45493317e+02 4.36479950e+00 
278 396.92 1.40860779e+02 4.22582340e+00 
279 397.73 1.71775726e+02 5.15327168e+00 
280 398.53 2.09655090e+02 6.28965282e+00 
281 399.34 2.30893494e+02 6.92680502e+00 
282 400.15 2.41304169e+02 7.23912525e+00 
283 400.95 2.49498779e+02 7.48496342e+00 
284 401.76 2.55742935e+02 7.67228794e+00 
285 402.57 2.56899658e+02 7.70698977e+00 
286 403.37 2.55357986e+02 7.66073942e+00 
287 404.18 2.54645203e+02 7.63935614e+00 
288 404.99 2.53802216e+02 7.61406660e+00 
289 405.79 2.52599335e+02 7.57798004e+00 
290 406.60 2.53773300e+02 7.61319923e+00 
291 407.40 2.60929810e+02 7.82789421e+00 
292 408.21 2.70828491e+02 8.12485504e+00 
293 409.02 2.72952637e+02 8.18857956e+00 
294 409.82 2.68613007e+02 8.05839062e+00 
295 410.63 2.73495392e+02 8.20486164e+00 
296 411.43 2.85573792e+02 8.56721401e+00 
297 412.24 2.91027863e+02 8.73083591e+00 
298 413.05 2.90249420e+02 8.70748234e+00 
299 413.85 2.89219879e+02 8.67659664e+00 
300 414.66 2.88439667e+02 8.65318966e+00 
301 415.46 2.88520966e+02 8.65562916e+00 
302 416.27 2.87194885e+02 8.61584663e+00 
303 417.08 2.81701141e+02 8.45103455e+00 
304 417.88 2.76039612e+02 8.28118801e+00 
305 418.69 2.73685730e+02 8.21057224e+00 
306 419.49 2.73728912e+02 8.21186733e+00 
307 420.30 2.76898621e+02 8.30695820e+00 
308 421.11 2.79085297e+02 8.37255859e+00 
309 421.91 2.75128845e+02 8.25386524e+00 
310 422.72 2.70315125e+02 8.10945415e+00 
311 423.52 2.71357697e+02 8.14073086e+00 
312 424.33 2.75003845e+02 8.25011539e+00 
313 425.13 2.77314606e+02 8.31943798e+00 
314 425.94 2.78298035e+02 8.34894085e+00 
315 426.74 2.78850647e+02 8.36551952e+00 
316 427.55 2.79681580e+02 8.39044762e+00 
317 428.36 2.77058563e+02 8.31175709e+00 
318 429.16 2.66089874e+02 7.98269606e+00 
319 429.96 2.56239380e+02 7.68718147e+00 
320 430.77 2.70403046e+02 8.11209106e+00 
321 431.58 3.03532135e+02 9.10596371e+00 
322 432.38 3.33441956e+02 1.00032587e+01 
323 433.19 3.47216797e+02 1.04165039e+01 
324 433.99 3.56761353e+02 1.07028408e+01 
325 434.80 3.74663147e+02 1.12398949e+01 
326 435.60 3.97433380e+02 1.19230013e+01 
327 436.41 4.11725037e+02 1.23517513e+01 
328 437.21 4.11708130e+02 1.23512440e+01 
329 438.02 4.07914978e+02 1.22374496e+01 
330 438.82 4.13732605e+02 1.24119778e+01 
331 439.63 4.29270416e+02 1.28781128e+01 
332 440.43 4.49539368e+02 1.34861813e+01 
333 441.24 4.70626648e+02 1.41187992e+01 
334 442.04 4.88967743e+02 1.46690321e+01 
335 442.85 5.01204559e+02 1.50361366e+01 
336 443.65 5.08913879e+02 1.52674160e+01 
337 444.45 5.12256653e+02 1.53676996e+01 
338 445.26 5.12424500e+02 1.53727350e+01 
339 446.06 5.18315979e+02 1.55494795e+01 
340 446.87 5.32734558e+02 1.59820366e+01 
341 447.67 5.48999146e+02 1.64699745e+01 
342 448.48 5.61411072e+02 1.68423328e+01 
343 449.28 5.74179443e+02 1.72253838e+01 
344 450.09 5.88160217e+02 1.76448059e+01 
345 450.89 5.95087891e+02 1.78526363e+01 
346 451.70 5.88593933e+02 1.76578178e+01 
347 452.50 5.77326782e+02 1.73198032e+01 
348 453.30 5.73763977e+02 1.72129192e+01 
349 454.11 5.78690796e+02 1.73607235e+01 
350 454.91 5.88469055e+02 1.76540718e+01 
351 455.72 5.99055542e+02 1.79716663e+01 
352 456.52 6.07830688e+02 1.82349205e+01 
353 457.32 6.11241150e+02 1.83372345e+01 
354 458.13 6.10120667e+02 1.83036194e+01 
355 458.93 6.10113403e+02 1.83034019e+01 
356 459.74 6.15171875e+02 1.84551563e+01 
357 460.54 6.24149780e+02 1.87244930e+01 
358 461.34 6.33301941e+02 1.89990578e+01 
359 462.15 6.38710754e+02 1.91613235e+01 
360 462.95 6.37989014e+02 1.91396713e+01 
361 463.76 6.33258118e+02 1.89977436e+01 
362 464.56 6.29385925e+02 1.88815784e+01 
363 465.36 6.27191711e+02 1.88157520e+01 
364 466.17 6.26480896e+02 1.87944260e+01 
365 466.97 6.28169495e+02 1.88450851e+01 
366 467.77 6.32473511e+02 1.89742050e+01 
367 468.58 6.36228516e+02 1.90868549e+01 
368 469.38 6.35925537e+02 1.90777664e+01 
369 470.18 6.36393555e+02 1.90918064e+01 
370 470.99 6.43520142e+02 1.93056049e+01 
371 471.79 6.53432190e+02 1.96029663e+01 
372 472.59 6.61231750e+02 1.98369522e+01 
373 473.40 6.66913757e+02 2.00074120e+01 
374 474.20 6.71374390e+02 2.01412315e+01 
375 475.00 6.74148987e+02 2.02244701e+01 
376 475.81 6.76468079e+02 2.02940426e+01 
377 476.61 6.81475342e+02 2.04442596e+01 
378 477.41 6.89062622e+02 2.06718788e+01 
379 478.21 6.95538818e+02 2.08661652e+01 
380 479.02 6.99499756e+02 2.09849930e+01 
381 479.82 7.01899414e+02 2.10569820e+01 
382 480.62 7.04773254e+02 2.11431980e+01 
383 481.43 7.05933960e+02 2.11780186e+01 
384 482.23 7.04032959e+02 2.11209888e+01 
385 483.03 6.98212463e+02 2.09463730e+01 
386 483.84 6.86291809e+02 2.05887547e+01 
387 484.64 6.62910339e+02 1.98873100e+01 
388 485.44 6.35409668e+02 1.90622902e+01 
389 486.24 6.22280884e+02 1.86684265e+01 
390 487.04 6.29485535e+02 1.88845654e+01 
391 487.85 6.49252991e+02 1.94775906e+01 
392 488.65 6.69647888e+02 2.00894375e+01 
393 489.45 6.82761108e+02 2.04828339e+01 
394 490.26 6.85961060e+02 2.05788326e+01 
395 491.06 6.81766541e+02 2.04529953e+01 
396 491.86 6.76862671e+02 2.03058796e+01 
397 492.66 6.77935425e+02 2.03380623e+01 
398 493.46 6.85907104e+02 2.05772133e+01 
399 494.27 6.94038025e+02 2.08211403e+01 
400 495.07 6.98234131e+02 2.09470234e+01 
401 495.87 6.99817688e+02 2.09945297e+01 
402 496.67 6.96603882e+02 2.08981171e+01 
403 497.48 6.90874817e+02 2.07262440e+01 
404 498.28 6.85384949e+02 2.05615482e+01 
405 499.08 6.78784180e+02 2.03635254e+01 
406 499.88 6.71040894e+02 2.01312275e+01 
407 500.68 6.64147095e+02 1.99244137e+01 
408 501.48 6.61503601e+02 1.98451080e+01 
409 502.29 6.64402405e+02 1.99320717e+01 
410 503.09 6.69088684e+02 2.00726604e+01 
411 503.89 6.75381287e+02 2.02614384e+01 
412 504.69 6.83317017e+02 2.04995098e+01 
413 505.49 6.89601379e+02 2.06880417e+01 
414 506.29 6.90419312e+02 2.07125797e+01 
415 507.09 6.86495728e+02 2.05948715e+01 
416 507.90 6.82929443e+02 2.04878826e+01 
417 508.70 6.82074829e+02 2.04622440e+01 
418 509.50 6.82948608e+02 2.04884586e+01 
419 510.30 6.84144531e+02 2.05243359e+01 
420 511.10 6.82511414e+02 2.04753418e+01 
421 511.90 6.77326050e+02 2.03197823e+01 
422 512.71 6.69531006e+02 2.00859299e+01 
423 513.51 6.61916626e+02 1.98574982e+01 
424 514.31 6.56468140e+02 1.96940441e+01 
425 515.11 6.46605835e+02 1.93981743e+01 
426 515.91 6.29101746e+02 1.88730526e+01 
427 516.71 6.12380066e+02 1.83714027e+01 
428 517.51 6.04547058e+02 1.81364117e+01 
429 518.31 6.11242310e+02 1.83372688e+01 
430 519.11 6.27396301e+02 1.88218899e+01 
431 519.91 6.42555481e+02 1.92766647e+01 
432 520.71 6.53158386e+02 1.95947514e+01 
433 521.52 6.56747681e+02 1.97024307e+01 
434 522.32 6.58885071e+02 1.97665520e+01 
435 523.12 6.63870361e+02 1.99161110e+01 
436 523.92 6.68954346e+02 2.00686302e+01 
437 524.72 6.68224976e+02 2.00467491e+01 
438 525.52 6.57590942e+02 1.97277279e+01 
439 526.32 6.46112732e+02 1.93833828e+01 
440 527.12 6.45981812e+02 1.93794537e+01 
441 527.92 6.57158386e+02 1.97147522e+01 
442 528.72 6.72538757e+02 2.01761627e+01 
443 529.52 6.84671875e+02 2.05401554e+01 
444 530.32 6.89498779e+02 2.06849632e+01 
445 531.12 6.86019287e+02 2.05805779e+01 
446 531.92 6.78566711e+02 2.03570023e+01 
447 532.72 6.72520813e+02 2.01756248e+01 
448 533.52 6.72653259e+02 2.01795979e+01 
449 534.32 6.78950256e+02 2.03685074e+01 
450 535.12 6.84117432e+02 2.05235233e+01 
451 535.92 6.84147461e+02 2.05244236e+01 
452 536.72 6.82099854e+02 2.04629955e+01 
453 537.52 6.79316162e+02 2.03794842e+01 
454 538.32 6.75306580e+02 2.02591972e+01 
455 539.12 6.69711731e+02 2.00913525e+01 
456 539.92 6.64899658e+02 1.99469891e+01 
457 540.72 6.64272217e+02 1.99281673e+01 
458 541.52 6.67350220e+02 2.00205059e+01 
459 542.32 6.72774170e+02 2.01832256e+01 
460 543.12 6.77730469e+02 2.03319149e+01 
461 543.92 6.81190430e+02 2.04357128e+01 
462 544.72 6.83346069e+02 2.05003815e+01 
463 545.52 6.82740234e+02 2.04822063e+01 
464 546.32 6.78935364e+02 2.03680611e+01 
465 547.12 6.74655457e+02 2.02396641e+01 
466 547.91 6.72664185e+02 2.01799259e+01 
467 548.71 6.72217834e+02 2.01665344e+01 
468 549.51 6.72640442e+02 2.01792126e+01 
469 550.31 6.72561523e+02 2.01768456e+01 
470 551.11 6.72101501e+02 2.01630459e+01 
471 551.91 6.71722473e+02 2.01516743e+01 
472 552.71 6.72127808e+02 2.01638336e+01 
473 553.51 6.74690552e+02 2.02407169e+01 
474 554.31 6.76264587e+02 2.02879372e+01 
475 555.10 6.74358887e+02 2.02307663e+01 
476 555.90 6.69944275e+02 2.00983276e+01 
477 556.70 6.64085388e+02 1.99225616e+01 
478 557.50 6.55625366e+02 1.96687603e+01 
479 558.30 6.49009705e+02 1.94702911e+01 
480 559.10 6.47749207e+02 1.94324760e+01 
481 559.90 6.48617432e+02 1.94585228e+01 
482 560.70 6.52070740e+02 1.95621223e+01 
483 561.49 6.57839050e+02 1.97351723e+01 
484 562.29 6.61391602e+02 1.98417473e+01 
485 563.09 6.63140808e+02 1.98942242e+01 
486 563.89 6.64255432e+02 1.99276638e+01 
487 564.69 6.63616577e+02 1.99084969e+01 
