% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2018-02-14 09:11:54.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -go-od, MLO -go-od, MLO -go-od, MLO -go-od. See the list of files below
% 20180209_NIR_C0_refined_langley_4STARBam_MLOFeb2018_day5_.dat
% 20180210_NIR_C0_refined_langley_4STARBam_MLOFeb2018_day6.dat
% 20180211_NIR_C0_refined_langley_4STARBam_MLOFeb2018_day7.dat
% 20180212_NIR_C0_refined_langley_4STARBam_MLOFeb2018_day8.dat
Pix Wavelength C0 C0err
511 946.05 4.84017432e+00 1.04547640e-01 
510 947.95 5.01134169e+00 1.06437137e-01 
509 949.84 5.10415149e+00 1.10900342e-01 
508 951.73 5.18336773e+00 1.14851118e-01 
507 953.62 5.24449587e+00 1.10642046e-01 
506 955.51 5.32332432e+00 1.05118262e-01 
505 957.40 5.40663051e+00 1.05855018e-01 
504 959.28 5.54684031e+00 9.74275069e-02 
503 961.16 5.72214747e+00 9.28364052e-02 
502 963.03 5.79249275e+00 9.75090571e-02 
501 964.90 6.02730429e+00 9.39992590e-02 
500 966.78 6.06174207e+00 9.37256822e-02 
499 968.64 6.32673514e+00 8.62149142e-02 
498 970.51 6.36081791e+00 8.49512398e-02 
497 972.37 6.52854729e+00 8.46109168e-02 
496 974.23 6.48856103e+00 8.95076811e-02 
495 976.09 6.64885890e+00 9.32682290e-02 
494 977.95 6.65251601e+00 9.25613852e-02 
493 979.80 6.77560496e+00 8.72830541e-02 
492 981.65 6.85126877e+00 7.94118337e-02 
491 983.50 6.97943687e+00 7.41249288e-02 
490 985.34 6.96318602e+00 7.29095304e-02 
489 987.18 7.01022875e+00 7.08430729e-02 
488 989.02 6.99263275e+00 6.31514243e-02 
487 990.86 7.04629111e+00 6.17492768e-02 
486 992.70 6.97385955e+00 6.41606719e-02 
485 994.53 7.08145702e+00 6.32909356e-02 
484 996.36 7.00049531e+00 6.86449064e-02 
483 998.19 7.08343053e+00 4.42501712e-02 
482 1000.01 7.06117487e+00 4.42459779e-02 
481 1001.83 6.98127568e+00 4.18740270e-02 
480 1003.65 7.02309692e+00 3.99581846e-02 
479 1005.47 7.00281048e+00 4.97437981e-02 
478 1007.29 7.01555562e+00 5.02259637e-02 
477 1009.10 7.11130095e+00 6.01903759e-02 
476 1010.91 7.09168923e+00 6.98166402e-02 
475 1012.72 7.19327450e+00 6.26145008e-02 
474 1014.53 7.08542013e+00 6.01275865e-02 
473 1016.33 7.21559358e+00 6.03566356e-02 
472 1018.13 7.08826065e+00 6.14602452e-02 
471 1019.93 7.14283752e+00 6.37949878e-02 
470 1021.73 7.11499977e+00 6.22225001e-02 
469 1023.52 7.09002936e+00 6.79693304e-02 
468 1025.31 6.98638808e+00 6.61463723e-02 
467 1027.10 7.04978585e+00 7.08913078e-02 
466 1028.89 6.94910991e+00 7.67279808e-02 
465 1030.67 6.95184326e+00 7.14440600e-02 
464 1032.45 6.84367216e+00 7.04785989e-02 
463 1034.23 6.80398822e+00 6.33428710e-02 
462 1036.01 6.73689509e+00 5.67464646e-02 
461 1037.79 6.68549764e+00 5.63308667e-02 
460 1039.56 6.63268757e+00 5.80577484e-02 
459 1041.33 6.59759200e+00 7.38876484e-02 
458 1043.10 6.50480771e+00 8.23582690e-02 
457 1044.87 6.53308570e+00 8.70940453e-02 
456 1046.63 6.40838492e+00 9.67476678e-02 
455 1048.39 6.38355589e+00 9.90578778e-02 
454 1050.15 6.35893834e+00 1.06182013e-01 
453 1051.91 6.29100442e+00 1.02290216e-01 
452 1053.67 6.27940345e+00 1.00357090e-01 
451 1055.42 6.27819610e+00 9.84355144e-02 
450 1057.17 6.19690859e+00 8.97564442e-02 
449 1058.92 6.15132285e+00 7.92140707e-02 
448 1060.67 6.13766420e+00 8.59114443e-02 
447 1062.41 6.10468674e+00 8.60517613e-02 
446 1064.15 5.99496436e+00 8.13487281e-02 
445 1065.89 5.94590986e+00 6.73095640e-02 
444 1067.63 5.77832162e+00 6.33175384e-02 
443 1069.37 5.72305274e+00 6.33721913e-02 
442 1071.10 5.63540459e+00 6.87682785e-02 
441 1072.83 5.62010908e+00 7.59530447e-02 
440 1074.56 5.60229409e+00 8.15547350e-02 
439 1076.29 5.55511939e+00 7.77159095e-02 
438 1078.02 5.52663421e+00 7.80901043e-02 
437 1079.74 5.46845520e+00 7.68289083e-02 
436 1081.46 5.40851736e+00 7.46134011e-02 
435 1083.18 5.39108777e+00 6.92608430e-02 
434 1084.90 5.33613384e+00 7.54104999e-02 
433 1086.61 5.38125574e+00 7.27780881e-02 
432 1088.33 5.35726690e+00 7.22351013e-02 
431 1090.04 5.37622583e+00 6.55609429e-02 
430 1091.75 5.34710789e+00 5.95037478e-02 
429 1093.45 5.31839037e+00 5.75425618e-02 
428 1095.16 5.31024623e+00 6.84023853e-02 
427 1096.86 5.33965564e+00 7.06173022e-02 
426 1098.56 5.43998682e+00 7.80615529e-02 
425 1100.26 5.46878636e+00 6.98347572e-02 
424 1101.96 5.49110317e+00 7.17865899e-02 
423 1103.65 5.55694103e+00 7.31036526e-02 
422 1105.35 5.53023672e+00 8.12155545e-02 
421 1107.04 5.59724092e+00 8.35198652e-02 
420 1108.73 5.50812495e+00 8.97242660e-02 
419 1110.41 5.45513797e+00 8.90510650e-02 
418 1112.10 5.31551862e+00 9.11299295e-02 
417 1113.78 5.09654296e+00 1.06430966e-01 
416 1115.46 4.86473024e+00 1.25563933e-01 
415 1117.14 4.70132053e+00 1.31151624e-01 
414 1118.82 4.53144133e+00 1.33482350e-01 
413 1120.50 4.48155427e+00 1.40956061e-01 
412 1122.17 4.31429458e+00 1.48629203e-01 
411 1123.84 4.34007442e+00 1.58383105e-01 
410 1125.51 4.30175543e+00 1.51135865e-01 
409 1127.18 4.45977008e+00 1.45295030e-01 
408 1128.85 4.64054370e+00 1.37700197e-01 
407 1130.51 4.71639168e+00 1.30440999e-01 
406 1132.17 4.48073339e+00 1.38008256e-01 
405 1133.83 4.41336226e+00 1.36234283e-01 
404 1135.49 4.40484404e+00 1.20156602e-01 
403 1137.15 4.79408538e+00 1.05027203e-01 
402 1138.80 5.06478620e+00 8.36196524e-02 
401 1140.46 5.18401015e+00 9.43930250e-02 
400 1142.11 5.04925382e+00 1.12302980e-01 
399 1143.76 4.96398652e+00 1.39180561e-01 
398 1145.41 4.81592548e+00 1.55222008e-01 
397 1147.05 4.83863342e+00 1.57015326e-01 
396 1148.70 4.94365442e+00 1.46543385e-01 
395 1150.34 5.07217824e+00 1.37806565e-01 
394 1151.98 5.10532427e+00 1.20444124e-01 
393 1153.62 5.28199494e+00 1.18301792e-01 
392 1155.26 5.29545963e+00 1.11764837e-01 
391 1156.89 5.48214412e+00 1.07812378e-01 
390 1158.53 5.45960570e+00 9.83134449e-02 
389 1160.16 5.57050765e+00 8.88035191e-02 
388 1161.79 5.54666948e+00 7.16626431e-02 
387 1163.42 5.68094909e+00 7.45441989e-02 
386 1165.04 5.66170179e+00 8.09948176e-02 
385 1166.67 5.68614149e+00 8.61667372e-02 
384 1168.29 5.65490926e+00 8.69799198e-02 
