% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2019-04-28 13:59:09.
% Langley at MLO outside of 1.8x the STD of 501 nm Langley residuals were screened out. 
% c0 from best days at MLO
% Averages of c0 from multiple days including: , MLO -go-od, MLO -go-od, MLO -go-od, MLO -go-od. See the list of files below
% 20180209_NIR_C0_refined_langley_4STARam_MLOFeb2018_day5_shortwvl.dat
% 20180210_NIR_C0_refined_langley_4STARam_MLOFeb2018_day6_shortwvl.dat
% 20180211_NIR_C0_refined_langley_4STARam_MLOFeb2018_day7_shortwvl.dat
% 20180212_NIR_C0_refined_langley_4STARam_MLOFeb2018_day8_shortwvl.dat
Pix Wavelength C0 C0err
511 949.79 4.63066339e+00 2.49655302e-01 
510 949.79 4.85234368e+00 1.57716447e-01 
509 951.68 5.23615623e+00 1.60617508e-01 
508 953.57 5.29584491e+00 1.60746963e-01 
507 955.46 5.72833705e+00 1.65657399e-01 
506 957.34 5.84870970e+00 1.64065407e-01 
505 959.22 6.32610774e+00 1.63989963e-01 
504 961.10 6.45058024e+00 1.43483771e-01 
503 962.98 6.88111556e+00 1.45746625e-01 
502 964.85 6.91855049e+00 1.27578774e-01 
501 966.72 7.42315066e+00 1.10268168e-01 
500 968.59 7.49434054e+00 9.11005057e-02 
499 970.45 7.91458047e+00 9.70409209e-02 
498 972.32 7.86928797e+00 9.77419177e-02 
497 974.18 8.17869806e+00 8.80385471e-02 
496 976.04 8.13441658e+00 9.53319170e-02 
495 977.89 8.44797444e+00 7.81105604e-02 
494 979.74 8.39358163e+00 7.02932713e-02 
493 981.59 8.70702887e+00 7.27815173e-02 
492 983.44 8.61579228e+00 6.43034311e-02 
491 985.29 8.87081981e+00 6.17890400e-02 
490 987.13 8.68446207e+00 5.78233094e-02 
489 988.97 8.90549421e+00 5.93023228e-02 
488 990.81 8.72138715e+00 6.23186441e-02 
487 992.65 8.88076306e+00 6.51587238e-02 
486 994.48 8.68578506e+00 5.30453259e-02 
485 996.31 8.83144092e+00 6.39686204e-02 
484 998.14 8.58238482e+00 6.17083070e-02 
483 999.97 8.73767781e+00 5.85010507e-02 
482 1001.79 8.45983791e+00 5.15502078e-02 
481 1003.62 8.54033732e+00 5.45239034e-02 
480 1005.44 8.31824422e+00 5.25727323e-02 
479 1007.25 8.53921080e+00 5.20049517e-02 
478 1009.07 8.36281943e+00 5.14521696e-02 
477 1010.88 8.54467249e+00 5.18913182e-02 
476 1012.69 8.28226637e+00 5.21843596e-02 
475 1014.50 8.40350175e+00 4.80658212e-02 
474 1016.31 8.20471549e+00 5.22645846e-02 
473 1018.11 8.34915137e+00 4.89137131e-02 
472 1019.91 8.10080886e+00 4.52617876e-02 
471 1021.71 8.25782442e+00 4.47519942e-02 
470 1023.51 8.05957162e+00 5.50569207e-02 
469 1025.30 8.22082948e+00 5.22492027e-02 
468 1027.09 8.11289406e+00 6.53389413e-02 
467 1028.88 8.23855710e+00 6.36012920e-02 
466 1030.67 8.08441091e+00 7.29505796e-02 
465 1032.46 8.23907185e+00 6.23844452e-02 
464 1034.24 8.07809782e+00 6.15967676e-02 
463 1036.02 8.24611878e+00 6.11158441e-02 
462 1037.80 8.13520026e+00 5.36136781e-02 
461 1039.58 8.33121872e+00 5.16759726e-02 
460 1041.35 8.21241832e+00 6.53402683e-02 
459 1043.12 8.37448359e+00 6.88276797e-02 
458 1044.89 8.28201842e+00 7.05660288e-02 
457 1046.66 8.47978234e+00 5.73819815e-02 
456 1048.43 8.41161489e+00 6.53544369e-02 
455 1050.19 8.63939571e+00 5.56875120e-02 
454 1051.95 8.50192809e+00 6.50555526e-02 
453 1053.71 8.74757647e+00 5.28220328e-02 
452 1055.47 8.60481096e+00 5.98419319e-02 
451 1057.23 8.73950577e+00 5.93204766e-02 
450 1058.98 8.58953214e+00 6.22850507e-02 
449 1060.73 8.76002646e+00 5.67168368e-02 
448 1062.48 8.57004928e+00 5.44715194e-02 
447 1064.23 8.70261813e+00 4.45550274e-02 
446 1065.97 8.46233105e+00 5.36457715e-02 
445 1067.71 8.49590564e+00 5.56974487e-02 
444 1069.46 8.29131556e+00 5.92953092e-02 
443 1071.19 8.39164090e+00 5.59966170e-02 
442 1072.93 8.23405838e+00 5.30525780e-02 
441 1074.67 8.34091997e+00 5.02074864e-02 
440 1076.40 8.15729833e+00 5.88239521e-02 
439 1078.13 8.19978976e+00 5.25386287e-02 
438 1079.86 7.97476864e+00 5.73910974e-02 
437 1081.58 8.01787889e+00 5.32716834e-02 
436 1083.31 7.90736806e+00 7.47863006e-02 
435 1085.03 8.05748427e+00 7.65217901e-02 
434 1086.75 7.98708224e+00 8.13011224e-02 
433 1088.47 8.11471152e+00 7.19031551e-02 
432 1090.19 8.04973758e+00 8.29536757e-02 
431 1091.90 8.13819242e+00 7.85883055e-02 
430 1093.61 7.99543655e+00 8.21614349e-02 
429 1095.33 8.18458342e+00 7.52720380e-02 
428 1097.03 8.23018169e+00 9.14417593e-02 
427 1098.74 8.47034883e+00 9.51749284e-02 
426 1100.45 8.46118593e+00 9.62547271e-02 
425 1102.15 8.73410058e+00 9.87702836e-02 
424 1103.85 8.71304989e+00 1.02776591e-01 
423 1105.55 8.94265675e+00 1.01329897e-01 
422 1107.25 8.84919429e+00 1.23831471e-01 
421 1108.94 8.93686843e+00 1.24347164e-01 
420 1110.64 8.66492534e+00 1.68297480e-01 
419 1112.33 8.52766442e+00 1.76388909e-01 
418 1114.02 7.99623823e+00 2.51678161e-01 
417 1115.70 7.87226427e+00 2.98445978e-01 
416 1117.39 7.56565130e+00 3.25395018e-01 
415 1119.07 7.47124887e+00 3.48823047e-01 
414 1120.76 7.23967481e+00 3.67418928e-01 
413 1122.44 7.21358526e+00 3.81106289e-01 
412 1124.12 7.14907276e+00 4.05279403e-01 
411 1125.79 7.45106077e+00 3.94123276e-01 
410 1127.47 7.59522831e+00 3.82977938e-01 
409 1129.14 8.09187806e+00 3.57129758e-01 
408 1130.81 7.64410865e+00 3.59394514e-01 
407 1132.48 7.31279576e+00 3.65682811e-01 
406 1134.15 7.17487955e+00 3.68702394e-01 
405 1135.81 7.51891375e+00 3.33913903e-01 
404 1137.48 8.21133959e+00 2.72526567e-01 
403 1139.14 8.59702683e+00 2.43310613e-01 
402 1140.80 8.34941864e+00 2.62198800e-01 
401 1142.46 8.21339559e+00 2.94929504e-01 
400 1144.12 7.86914349e+00 3.25800726e-01 
399 1145.77 7.85987782e+00 3.42901659e-01 
398 1147.43 7.84951985e+00 3.23663547e-01 
397 1149.08 8.08063817e+00 2.71503732e-01 
396 1150.73 8.11293638e+00 2.66405773e-01 
395 1152.38 8.36744022e+00 2.35421741e-01 
394 1154.02 8.39488363e+00 2.18992243e-01 
393 1155.67 8.69473100e+00 1.82674395e-01 
392 1157.31 8.64927626e+00 1.74373933e-01 
391 1158.95 8.76202679e+00 1.47044055e-01 
390 1160.59 8.75441385e+00 1.18078557e-01 
389 1162.23 8.97895765e+00 1.00526343e-01 
388 1163.87 8.94784069e+00 9.87211242e-02 
387 1165.50 9.03799677e+00 9.25073805e-02 
386 1167.13 8.93147492e+00 8.28764752e-02 
385 1168.76 9.04792189e+00 6.72028364e-02 
384 1170.39 8.93242598e+00 6.59300971e-02 
383 1172.02 8.92416310e+00 8.17904733e-02 
382 1173.65 8.73616028e+00 9.15282653e-02 
381 1175.27 8.71305990e+00 8.11595639e-02 
380 1176.90 8.60307503e+00 8.97768694e-02 
379 1178.52 8.56081534e+00 9.54710854e-02 
378 1180.14 8.34824872e+00 9.45381751e-02 
377 1181.75 8.34225727e+00 1.04664381e-01 
376 1183.37 8.16021919e+00 9.84304495e-02 
375 1184.99 8.19848347e+00 1.13149743e-01 
374 1186.60 8.06366575e+00 9.71551421e-02 
373 1188.21 8.07278276e+00 1.01759212e-01 
372 1189.82 7.99294913e+00 9.92571154e-02 
371 1191.43 8.18907714e+00 8.78843416e-02 
370 1193.04 8.07401466e+00 7.89792360e-02 
369 1194.64 8.05025208e+00 8.92268952e-02 
368 1196.24 7.85035539e+00 9.45214068e-02 
367 1197.85 7.89641905e+00 9.84954791e-02 
366 1199.45 7.79437661e+00 1.01223217e-01 
365 1201.05 7.85272074e+00 1.11100277e-01 
364 1202.64 7.78147256e+00 1.02460138e-01 
363 1204.24 7.82114529e+00 9.11254647e-02 
362 1205.83 7.73198402e+00 7.25536940e-02 
361 1207.43 7.76941097e+00 6.60253930e-02 
360 1209.02 7.71070385e+00 6.33595521e-02 
359 1210.61 7.82226670e+00 5.30680089e-02 
358 1212.19 7.79022109e+00 5.64291494e-02 
357 1213.78 7.90476620e+00 4.08291587e-02 
356 1215.37 7.86129212e+00 4.27506207e-02 
355 1216.95 7.94051099e+00 4.81614105e-02 
354 1218.53 7.90480649e+00 4.97926593e-02 
353 1220.11 7.96075583e+00 4.24232588e-02 
352 1221.69 7.91785789e+00 4.41989163e-02 
351 1223.27 7.95455361e+00 3.64409284e-02 
350 1224.84 7.92417061e+00 3.09169829e-02 
349 1226.42 7.99466074e+00 3.19059600e-02 
348 1227.99 7.94432664e+00 2.07760713e-02 
347 1229.56 8.09430480e+00 2.47013611e-02 
346 1231.13 8.03569603e+00 2.25703545e-02 
345 1232.70 8.09912014e+00 3.88162805e-02 
344 1234.27 8.04272520e+00 4.66227193e-02 
343 1235.84 8.04333448e+00 5.24020820e-02 
342 1237.40 7.96549916e+00 5.30970289e-02 
341 1238.96 7.95559561e+00 4.80204265e-02 
340 1240.52 7.82828760e+00 5.58959683e-02 
339 1242.08 7.94660759e+00 5.10738895e-02 
338 1243.64 7.94064617e+00 4.96652359e-02 
337 1245.20 8.00045264e+00 5.46320734e-02 
336 1246.75 7.96823800e+00 5.94813021e-02 
335 1248.31 7.99810243e+00 6.01478411e-02 
334 1249.86 7.93088591e+00 5.05177409e-02 
333 1251.41 7.96473157e+00 5.04746338e-02 
332 1252.96 7.88827622e+00 6.45921669e-02 
331 1254.51 7.89339685e+00 6.65682676e-02 
330 1256.06 7.80772662e+00 5.04490125e-02 
329 1257.61 7.80328369e+00 3.54817819e-02 
328 1259.15 7.69804442e+00 2.87496502e-02 
327 1260.69 7.66609907e+00 3.27814928e-02 
326 1262.23 7.54161775e+00 3.47344972e-02 
325 1263.77 7.49531114e+00 2.55443608e-02 
324 1265.31 7.30751359e+00 2.69444523e-02 
323 1266.85 7.28387988e+00 3.32214311e-02 
322 1268.39 7.31833887e+00 2.63269636e-02 
321 1269.92 7.40700149e+00 1.97047629e-02 
320 1271.46 7.58454454e+00 2.14049161e-02 
319 1272.99 7.63598680e+00 1.07849897e-02 
318 1274.52 7.62128127e+00 2.51291329e-02 
317 1276.05 7.68193472e+00 2.54760504e-02 
316 1277.58 7.57837450e+00 2.42735322e-02 
315 1279.10 7.45516908e+00 3.12020330e-02 
314 1280.63 7.39701581e+00 4.75003182e-02 
313 1282.15 7.40153945e+00 3.79600129e-02 
312 1283.68 7.48898256e+00 5.06982660e-02 
311 1285.20 7.66167665e+00 4.52761664e-02 
310 1286.72 7.63197565e+00 5.10066749e-02 
309 1288.24 7.62828160e+00 3.83289847e-02 
308 1289.75 7.53230572e+00 3.29971353e-02 
307 1291.27 7.54783428e+00 2.70689897e-02 
306 1292.78 7.57856595e+00 2.65364130e-02 
305 1294.30 7.58631480e+00 3.04810947e-02 
304 1295.81 7.52350414e+00 3.39435797e-02 
303 1297.32 7.52316868e+00 3.76178409e-02 
302 1298.83 7.45510507e+00 4.12004721e-02 
301 1300.34 7.41434133e+00 5.77110273e-02 
300 1301.85 7.36883485e+00 5.68240208e-02 
299 1303.35 7.33243024e+00 6.66255721e-02 
298 1304.86 7.23329842e+00 6.88937928e-02 
297 1306.36 7.20410382e+00 6.70301964e-02 
296 1307.86 7.12828493e+00 6.75381624e-02 
