% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\20180212_day8\4STARB_20180212starsun.mat and recorded on 2018-02-12 14:34:01.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 4.98064899e+00 1.49419472e-01 
510 947.95 5.15520334e+00 1.54656097e-01 
509 949.84 5.25468159e+00 1.57640442e-01 
508 951.73 5.33446312e+00 1.60033897e-01 
507 953.62 5.38984346e+00 1.61695302e-01 
506 955.51 5.46218824e+00 1.63865641e-01 
505 957.40 5.54383516e+00 1.66315049e-01 
504 959.28 5.67291451e+00 1.70187429e-01 
503 961.16 5.84678745e+00 1.75403625e-01 
502 963.03 5.91295624e+00 1.77388683e-01 
501 964.90 6.14467812e+00 1.84340343e-01 
500 966.78 6.16369247e+00 1.84910774e-01 
499 968.64 6.42423439e+00 1.92727029e-01 
498 970.51 6.44968891e+00 1.93490669e-01 
497 972.37 6.62378359e+00 1.98713511e-01 
496 974.23 6.58650351e+00 1.97595105e-01 
495 976.09 6.75608397e+00 2.02682525e-01 
494 977.95 6.75271893e+00 2.02581570e-01 
493 979.80 6.86888027e+00 2.06066415e-01 
492 981.65 6.92426252e+00 2.07727879e-01 
491 983.50 7.05015373e+00 2.11504608e-01 
490 985.34 7.02399826e+00 2.10719943e-01 
489 987.18 7.07438755e+00 2.12231621e-01 
488 989.02 7.04372883e+00 2.11311862e-01 
487 990.86 7.09295177e+00 2.12788552e-01 
486 992.70 7.01710272e+00 2.10513085e-01 
485 994.53 7.12267971e+00 2.13680387e-01 
484 996.36 7.04264402e+00 2.11279318e-01 
483 998.19 7.11856937e+00 2.13557079e-01 
482 1000.01 7.09949923e+00 2.12984979e-01 
481 1001.83 7.01603556e+00 2.10481063e-01 
480 1003.65 7.05854368e+00 2.11756304e-01 
479 1005.47 7.05272579e+00 2.11581767e-01 
478 1007.29 7.06688213e+00 2.12006465e-01 
477 1009.10 7.17417431e+00 2.15225235e-01 
476 1010.91 7.16035461e+00 2.14810640e-01 
475 1012.72 7.26407194e+00 2.17922151e-01 
474 1014.53 7.14835072e+00 2.14450523e-01 
473 1016.33 7.28664780e+00 2.18599439e-01 
472 1018.13 7.15145493e+00 2.14543641e-01 
471 1019.93 7.20840454e+00 2.16252133e-01 
470 1021.73 7.18034077e+00 2.15410218e-01 
469 1023.52 7.15837717e+00 2.14751318e-01 
468 1025.31 7.05060911e+00 2.11518273e-01 
467 1027.10 7.12541962e+00 2.13762581e-01 
466 1028.89 7.02429056e+00 2.10728720e-01 
465 1030.67 7.02535534e+00 2.10760653e-01 
464 1032.45 6.91173697e+00 2.07352102e-01 
463 1034.23 6.86709642e+00 2.06012890e-01 
462 1036.01 6.79526329e+00 2.03857899e-01 
461 1037.79 6.74566555e+00 2.02369973e-01 
460 1039.56 6.69797373e+00 2.00939208e-01 
459 1041.33 6.67385340e+00 2.00215608e-01 
458 1043.10 6.58182001e+00 1.97454602e-01 
457 1044.87 6.61860323e+00 1.98558092e-01 
456 1046.63 6.49439049e+00 1.94831714e-01 
455 1048.39 6.47373438e+00 1.94212034e-01 
454 1050.15 6.45702648e+00 1.93710789e-01 
453 1051.91 6.38125753e+00 1.91437721e-01 
452 1053.67 6.36822319e+00 1.91046700e-01 
451 1055.42 6.36981297e+00 1.91094384e-01 
450 1057.17 6.27574205e+00 1.88272268e-01 
449 1058.92 6.22277451e+00 1.86683238e-01 
448 1060.67 6.22120762e+00 1.86636224e-01 
447 1062.41 6.19392633e+00 1.85817793e-01 
446 1064.15 6.07839060e+00 1.82351723e-01 
445 1065.89 6.02037287e+00 1.80611193e-01 
444 1067.63 5.84701204e+00 1.75410360e-01 
443 1069.37 5.79577923e+00 1.73873380e-01 
442 1071.10 5.70721626e+00 1.71216488e-01 
441 1072.83 5.69923687e+00 1.70977101e-01 
440 1074.56 5.69005919e+00 1.70701772e-01 
439 1076.29 5.63650417e+00 1.69095129e-01 
438 1078.02 5.60780954e+00 1.68234289e-01 
437 1079.74 5.54603052e+00 1.66380912e-01 
436 1081.46 5.47589064e+00 1.64276719e-01 
435 1083.18 5.45133543e+00 1.63540065e-01 
434 1084.90 5.39309216e+00 1.61792770e-01 
433 1086.61 5.44704294e+00 1.63411289e-01 
432 1088.33 5.42416620e+00 1.62724987e-01 
431 1090.04 5.44786835e+00 1.63436055e-01 
430 1091.75 5.41023302e+00 1.62306994e-01 
429 1093.45 5.37217712e+00 1.61165312e-01 
428 1095.16 5.36945438e+00 1.61083639e-01 
427 1096.86 5.40485620e+00 1.62145689e-01 
426 1098.56 5.50845432e+00 1.65253624e-01 
425 1100.26 5.53431702e+00 1.66029513e-01 
424 1101.96 5.56241417e+00 1.66872427e-01 
423 1103.65 5.63561153e+00 1.69068351e-01 
422 1105.35 5.62074757e+00 1.68622434e-01 
421 1107.04 5.70013237e+00 1.71003968e-01 
420 1108.73 5.61969137e+00 1.68590739e-01 
419 1110.41 5.57005310e+00 1.67101592e-01 
418 1112.10 5.44049358e+00 1.63214803e-01 
417 1113.78 5.24344254e+00 1.57303274e-01 
416 1115.46 5.03873539e+00 1.51162058e-01 
415 1117.14 4.88228226e+00 1.46468461e-01 
414 1118.82 4.71672821e+00 1.41501844e-01 
413 1120.50 4.68213940e+00 1.40464187e-01 
412 1122.17 4.52083588e+00 1.35625079e-01 
411 1123.84 4.56496954e+00 1.36949092e-01 
410 1125.51 4.50904560e+00 1.35271370e-01 
409 1127.18 4.66407299e+00 1.39922187e-01 
408 1128.85 4.83199644e+00 1.44959897e-01 
407 1130.51 4.90019417e+00 1.47005826e-01 
406 1132.17 4.67197609e+00 1.40159279e-01 
405 1133.83 4.60633802e+00 1.38190135e-01 
404 1135.49 4.57613182e+00 1.37283951e-01 
403 1137.15 4.94413090e+00 1.48323923e-01 
402 1138.80 5.18436289e+00 1.55530885e-01 
401 1140.46 5.31950283e+00 1.59585088e-01 
400 1142.11 5.20679283e+00 1.56203791e-01 
399 1143.76 5.16092014e+00 1.54827610e-01 
398 1145.41 5.03181601e+00 1.50954485e-01 
397 1147.05 5.05798626e+00 1.51739582e-01 
396 1148.70 5.14887905e+00 1.54466376e-01 
395 1150.34 5.26653957e+00 1.57996193e-01 
394 1151.98 5.27568722e+00 1.58270612e-01 
393 1153.62 5.45023346e+00 1.63507000e-01 
392 1155.26 5.44648600e+00 1.63394585e-01 
391 1156.89 5.62626457e+00 1.68787941e-01 
390 1158.53 5.58704567e+00 1.67611375e-01 
389 1160.16 5.68853855e+00 1.70656160e-01 
388 1161.79 5.63384628e+00 1.69015393e-01 
387 1163.42 5.76354694e+00 1.72906414e-01 
386 1165.04 5.74703407e+00 1.72411025e-01 
385 1166.67 5.77673817e+00 1.73302144e-01 
384 1168.29 5.74676085e+00 1.72402829e-01 
383 1169.91 5.77198887e+00 1.73159659e-01 
382 1171.53 5.64112663e+00 1.69233799e-01 
381 1173.15 5.56474400e+00 1.66942313e-01 
380 1174.77 5.48828650e+00 1.64648592e-01 
379 1176.38 5.39041901e+00 1.61712572e-01 
378 1178.00 5.40944290e+00 1.62283286e-01 
377 1179.61 5.33837938e+00 1.60151377e-01 
376 1181.22 5.27446079e+00 1.58233821e-01 
375 1182.83 5.22292566e+00 1.56687766e-01 
374 1184.43 5.17947674e+00 1.55384302e-01 
373 1186.04 5.12138081e+00 1.53641418e-01 
372 1187.64 5.13795757e+00 1.54138729e-01 
371 1189.24 5.09323597e+00 1.52797073e-01 
370 1190.84 5.09921837e+00 1.52976558e-01 
369 1192.44 5.08654690e+00 1.52596414e-01 
368 1194.04 4.99977064e+00 1.49993122e-01 
367 1195.64 4.91740847e+00 1.47522256e-01 
366 1197.23 4.81412792e+00 1.44423842e-01 
365 1198.82 4.75664186e+00 1.42699257e-01 
364 1200.41 4.72217941e+00 1.41665384e-01 
363 1202.00 4.67902374e+00 1.40370712e-01 
362 1203.59 4.66607189e+00 1.39982164e-01 
361 1205.17 4.63612700e+00 1.39083803e-01 
360 1206.76 4.62247276e+00 1.38674185e-01 
359 1208.34 4.60523796e+00 1.38157144e-01 
358 1209.92 4.62104750e+00 1.38631418e-01 
357 1211.50 4.60950136e+00 1.38285041e-01 
356 1213.08 4.60515976e+00 1.38154790e-01 
355 1214.66 4.58178902e+00 1.37453675e-01 
354 1216.23 4.57968521e+00 1.37390554e-01 
353 1217.80 4.51977015e+00 1.35593101e-01 
352 1219.38 4.48880482e+00 1.34664148e-01 
351 1220.95 4.48400593e+00 1.34520173e-01 
350 1222.52 4.42059755e+00 1.32617921e-01 
349 1224.08 4.39361000e+00 1.31808296e-01 
348 1225.65 4.33979225e+00 1.30193770e-01 
347 1227.21 4.31227493e+00 1.29368246e-01 
346 1228.78 4.32591009e+00 1.29777297e-01 
345 1230.34 4.31273460e+00 1.29382044e-01 
344 1231.90 4.28484344e+00 1.28545299e-01 
343 1233.46 4.29664993e+00 1.28899500e-01 
342 1235.01 4.22974157e+00 1.26892254e-01 
341 1236.57 4.22503662e+00 1.26751095e-01 
340 1238.12 4.16376305e+00 1.24912888e-01 
339 1239.67 4.16701794e+00 1.25010535e-01 
338 1241.23 4.09145308e+00 1.22743592e-01 
337 1242.78 4.13385725e+00 1.24015719e-01 
336 1244.32 4.07357979e+00 1.22207396e-01 
335 1245.87 4.10612631e+00 1.23183787e-01 
334 1247.42 4.06149864e+00 1.21844962e-01 
333 1248.96 4.05912113e+00 1.21773630e-01 
332 1250.50 4.03038979e+00 1.20911695e-01 
331 1252.04 4.07353210e+00 1.22205965e-01 
330 1253.58 4.03128242e+00 1.20938472e-01 
329 1255.12 4.01333761e+00 1.20400131e-01 
328 1256.66 3.96507049e+00 1.18952118e-01 
327 1258.19 3.92678285e+00 1.17803484e-01 
326 1259.73 3.86025333e+00 1.15807600e-01 
325 1261.26 3.77259755e+00 1.13177925e-01 
324 1262.79 3.71862960e+00 1.11558884e-01 
323 1264.32 3.67260432e+00 1.10178128e-01 
322 1265.85 3.59628129e+00 1.07888438e-01 
321 1267.38 3.53935623e+00 1.06180690e-01 
320 1268.90 3.52870369e+00 1.05861112e-01 
319 1270.43 3.58201456e+00 1.07460439e-01 
318 1271.95 3.61984110e+00 1.08595230e-01 
317 1273.47 3.63159347e+00 1.08947806e-01 
316 1274.99 3.62116098e+00 1.08634830e-01 
315 1276.51 3.59674287e+00 1.07902288e-01 
314 1278.03 3.54551744e+00 1.06365524e-01 
313 1279.55 3.44933844e+00 1.03480153e-01 
312 1281.06 3.41122484e+00 1.02336742e-01 
311 1282.58 3.38321280e+00 1.01496384e-01 
310 1284.09 3.38078451e+00 1.01423532e-01 
309 1285.60 3.43624735e+00 1.03087418e-01 
308 1287.11 3.44433331e+00 1.03330001e-01 
307 1288.62 3.41105032e+00 1.02331512e-01 
306 1290.13 3.39151096e+00 1.01745330e-01 
305 1291.63 3.40451670e+00 1.02135502e-01 
304 1293.14 3.39077616e+00 1.01723284e-01 
303 1294.64 3.35957623e+00 1.00787289e-01 
302 1296.14 3.34167576e+00 1.00250274e-01 
301 1297.64 3.33275843e+00 9.99827534e-02 
300 1299.14 3.27592516e+00 9.82777551e-02 
299 1300.64 3.25979233e+00 9.77937728e-02 
298 1302.14 3.21861243e+00 9.65583697e-02 
297 1303.64 3.19621849e+00 9.58865583e-02 
296 1305.13 3.16211820e+00 9.48635489e-02 
295 1306.62 3.16074109e+00 9.48222354e-02 
294 1308.12 3.11416864e+00 9.34250578e-02 
293 1309.61 3.07787609e+00 9.23362821e-02 
292 1311.10 3.04331827e+00 9.12995487e-02 
291 1312.58 2.97526574e+00 8.92579705e-02 
290 1314.07 2.96578884e+00 8.89736637e-02 
289 1315.56 2.92640018e+00 8.77920091e-02 
288 1317.04 2.92220640e+00 8.76661912e-02 
287 1318.52 2.90868497e+00 8.72605518e-02 
286 1320.01 2.85495591e+00 8.56486782e-02 
285 1321.49 2.85934901e+00 8.57804716e-02 
284 1322.97 2.86969852e+00 8.60909522e-02 
283 1324.45 2.83975506e+00 8.51926506e-02 
282 1325.92 2.76068902e+00 8.28206688e-02 
281 1327.40 2.74985194e+00 8.24955553e-02 
280 1328.87 2.64422560e+00 7.93267712e-02 
279 1330.35 2.61246610e+00 7.83739835e-02 
278 1331.82 2.59453583e+00 7.78360739e-02 
277 1333.29 2.56864643e+00 7.70593956e-02 
276 1334.76 2.55326843e+00 7.65980557e-02 
275 1336.23 2.54239154e+00 7.62717426e-02 
274 1337.70 2.51056910e+00 7.53170699e-02 
273 1339.17 2.49266815e+00 7.47800469e-02 
272 1340.63 2.39711237e+00 7.19133690e-02 
271 1342.10 2.34440517e+00 7.03321546e-02 
270 1343.56 2.21276259e+00 6.63828775e-02 
269 1345.02 2.04870343e+00 6.14611022e-02 
268 1346.48 1.89427853e+00 5.68283573e-02 
267 1347.94 1.75044501e+00 5.25133498e-02 
266 1349.40 1.57882214e+00 4.73646633e-02 
265 1350.86 1.42224514e+00 4.26673554e-02 
264 1352.31 1.21697426e+00 3.65092270e-02 
263 1353.77 1.06487823e+00 3.19463462e-02 
262 1355.22 9.26126838e-01 2.77838055e-02 
261 1356.67 8.37355912e-01 2.51206774e-02 
260 1358.13 6.88096046e-01 2.06428822e-02 
259 1359.58 5.24540663e-01 1.57362204e-02 
258 1361.03 4.64692742e-01 1.39407823e-02 
257 1362.47 4.47238863e-01 1.34171657e-02 
256 1363.92 4.91125584e-01 1.47337671e-02 
255 1365.37 5.19603550e-01 1.55881066e-02 
254 1366.81 4.91207391e-01 1.47362221e-02 
253 1368.25 4.45995003e-01 1.33798504e-02 
252 1369.70 4.75300163e-01 1.42590050e-02 
251 1371.14 5.56281626e-01 1.66884493e-02 
250 1372.58 6.53581083e-01 1.96074322e-02 
249 1374.02 7.77933359e-01 2.33380012e-02 
248 1375.46 8.45087767e-01 2.53526326e-02 
247 1376.89 8.15244555e-01 2.44573373e-02 
246 1378.33 7.01147318e-01 2.10344195e-02 
245 1379.76 5.36716819e-01 1.61015037e-02 
244 1381.20 4.11223769e-01 1.23367133e-02 
243 1382.63 3.69178832e-01 1.10753654e-02 
242 1384.06 3.96666706e-01 1.19000012e-02 
241 1385.49 5.27794838e-01 1.58338454e-02 
240 1386.92 6.68501496e-01 2.00550444e-02 
239 1388.35 7.99548030e-01 2.39864402e-02 
238 1389.78 7.83675551e-01 2.35102661e-02 
237 1391.20 7.83139110e-01 2.34941728e-02 
236 1392.63 6.57306612e-01 1.97191983e-02 
235 1394.05 5.87454677e-01 1.76236406e-02 
234 1395.48 6.32202864e-01 1.89660862e-02 
233 1396.90 6.38104498e-01 1.91431344e-02 
232 1398.32 6.34492576e-01 1.90347768e-02 
231 1399.74 6.80287957e-01 2.04086378e-02 
230 1401.16 6.50962174e-01 1.95288658e-02 
229 1402.57 6.57600820e-01 1.97280254e-02 
228 1403.99 7.26178169e-01 2.17853449e-02 
227 1405.41 7.04928339e-01 2.11478509e-02 
226 1406.82 7.20744491e-01 2.16223355e-02 
225 1408.23 7.61358738e-01 2.28407625e-02 
224 1409.65 8.18666458e-01 2.45599933e-02 
223 1411.06 8.48779440e-01 2.54633836e-02 
222 1412.47 8.86890471e-01 2.66067144e-02 
221 1413.88 9.29681897e-01 2.78904568e-02 
