% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\MLO\2018_Febuary\20180215_day11\4STAR_20180215starsun.mat and recorded on 2018-02-20 13:03:17.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 3.55137277e+00 1.06541187e-01 
510 949.79 4.02526379e+00 1.20757915e-01 
509 951.68 4.37722826e+00 1.31316841e-01 
508 953.57 4.46493626e+00 1.33948088e-01 
507 955.46 4.88745213e+00 1.46623567e-01 
506 957.34 5.02520561e+00 1.50756165e-01 
505 959.22 5.52267218e+00 1.65680170e-01 
504 961.10 5.69051647e+00 1.70715496e-01 
503 962.98 6.18664932e+00 1.85599476e-01 
502 964.85 6.31163120e+00 1.89348936e-01 
501 966.72 6.91405678e+00 2.07421705e-01 
500 968.59 7.08115768e+00 2.12434724e-01 
499 970.45 7.53483868e+00 2.26045161e-01 
498 972.32 7.46650839e+00 2.23995253e-01 
497 974.18 7.76325893e+00 2.32897773e-01 
496 976.04 7.71118927e+00 2.31335685e-01 
495 977.89 8.09049320e+00 2.42714792e-01 
494 979.74 8.10023403e+00 2.43007019e-01 
493 981.59 8.45638466e+00 2.53691554e-01 
492 983.44 8.43338203e+00 2.53001451e-01 
491 985.29 8.73274899e+00 2.61982471e-01 
490 987.13 8.58139038e+00 2.57441700e-01 
489 988.97 8.82931137e+00 2.64879346e-01 
488 990.81 8.65207386e+00 2.59562224e-01 
487 992.65 8.82309055e+00 2.64692724e-01 
486 994.48 8.62781334e+00 2.58834392e-01 
485 996.31 8.77850246e+00 2.63355076e-01 
484 998.14 8.52624321e+00 2.55787283e-01 
483 999.97 8.68134308e+00 2.60440290e-01 
482 1001.79 8.39562130e+00 2.51868635e-01 
481 1003.62 8.48307514e+00 2.54492253e-01 
480 1005.44 8.25875473e+00 2.47762635e-01 
479 1007.25 8.47683334e+00 2.54305005e-01 
478 1009.07 8.30404568e+00 2.49121368e-01 
477 1010.88 8.47967911e+00 2.54390359e-01 
476 1012.69 8.21634007e+00 2.46490195e-01 
475 1014.50 8.33878136e+00 2.50163436e-01 
