% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2018-09-10 11:23:37.
% Langley at MLO outside of 1.8x the STD of 501 nm Langley residuals were screened out. 
% c0 from best days at MLO
% Averages of c0 from multiple days including: 2018-08-11 AM, 2018-08-12 AM.
% C:\_star\IOP\MLO\MLO_2018_Aug\starmat\20180811_4STAR_VIS_C0_refined_ground_langley_am.dat
% C:\_star\IOP\MLO\MLO_2018_Aug\starmat\20180812_4STAR_VIS_C0_refined_ground_langley_am.dat
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 0.00000000e+00 
47 210.64 -1.00000000e+00 0.00000000e+00 
48 211.44 -1.00000000e+00 0.00000000e+00 
49 212.24 -1.00000000e+00 0.00000000e+00 
50 213.04 -1.00000000e+00 0.00000000e+00 
51 213.85 -1.00000000e+00 0.00000000e+00 
52 214.65 -1.00000000e+00 0.00000000e+00 
53 215.45 9.71230745e-01 2.78774125e+00 
54 216.25 1.89077782e+00 4.08817721e+00 
55 217.05 1.60148406e+00 3.67905404e+00 
56 217.85 2.06912136e+00 4.34039305e+00 
57 218.65 1.93536616e+00 4.15123463e+00 
58 219.46 2.01518560e+00 4.26411636e+00 
59 220.26 2.01520491e+00 4.26414367e+00 
60 221.06 1.91724372e+00 4.12560563e+00 
61 221.86 1.99483180e+00 4.23533175e+00 
62 222.66 2.03746653e+00 4.29562635e+00 
63 223.47 2.04223346e+00 4.30236783e+00 
64 224.27 2.14005804e+00 4.44071267e+00 
65 225.07 2.12928390e+00 4.42547574e+00 
66 225.87 2.18626070e+00 4.50605310e+00 
67 226.68 2.17695188e+00 4.49288844e+00 
68 227.48 2.24950195e+00 4.59548972e+00 
69 228.28 1.13037918e+01 7.97290150e+00 
70 229.08 8.80609370e+00 4.39036575e+00 
71 229.89 1.17372656e+01 8.41084528e+00 
72 230.69 1.08243663e+01 7.08729302e+00 
73 231.49 9.74561954e+00 5.73442098e+00 
74 232.30 9.73624159e+00 5.81316007e+00 
75 233.10 2.19360781e+00 4.51644347e+00 
76 233.90 2.10369253e+00 4.38928407e+00 
77 234.71 2.05491090e+00 4.32029643e+00 
78 235.51 1.99349976e+00 4.23344795e+00 
79 236.32 1.95051908e+00 4.17266411e+00 
80 237.12 1.85378409e+00 4.03586016e+00 
81 237.92 1.84326625e+00 4.02098569e+00 
82 238.73 1.76705122e+00 3.91320136e+00 
83 239.53 1.74067354e+00 3.87589769e+00 
84 240.34 1.87063479e+00 4.05969066e+00 
85 241.14 1.79410720e+00 3.95146430e+00 
86 241.94 1.83587670e+00 4.01053530e+00 
87 242.75 2.01524306e+00 4.26419762e+00 
88 243.55 6.97060705e-01 2.40000627e+00 
89 244.36 -1.00000000e+00 0.00000000e+00 
90 245.16 -1.00000000e+00 0.00000000e+00 
91 245.97 -1.00000000e+00 0.00000000e+00 
92 246.77 -1.00000000e+00 0.00000000e+00 
93 247.58 -1.00000000e+00 0.00000000e+00 
94 248.38 -1.00000000e+00 0.00000000e+00 
95 249.19 -1.00000000e+00 0.00000000e+00 
96 249.99 -1.00000000e+00 0.00000000e+00 
97 250.80 -1.00000000e+00 0.00000000e+00 
98 251.60 -1.00000000e+00 0.00000000e+00 
99 252.41 -1.00000000e+00 0.00000000e+00 
100 253.21 -1.00000000e+00 0.00000000e+00 
101 254.02 -1.00000000e+00 0.00000000e+00 
102 254.82 -1.00000000e+00 0.00000000e+00 
103 255.63 -1.00000000e+00 0.00000000e+00 
104 256.44 -1.00000000e+00 0.00000000e+00 
105 257.24 -1.00000000e+00 0.00000000e+00 
106 258.05 -1.00000000e+00 0.00000000e+00 
107 258.85 -1.00000000e+00 0.00000000e+00 
108 259.66 -1.00000000e+00 0.00000000e+00 
109 260.46 -1.00000000e+00 0.00000000e+00 
110 261.27 -1.00000000e+00 0.00000000e+00 
111 262.08 -1.00000000e+00 0.00000000e+00 
112 262.88 -1.00000000e+00 0.00000000e+00 
113 263.69 -1.00000000e+00 0.00000000e+00 
114 264.49 -1.00000000e+00 0.00000000e+00 
115 265.30 -1.06520146e-01 1.26357133e+00 
116 266.11 1.45427573e+00 3.47087002e+00 
117 266.91 1.41313112e+00 3.41268276e+00 
118 267.72 1.54773521e+00 3.60304169e+00 
119 268.53 1.54803204e+00 3.60346148e+00 
120 269.33 1.56931400e+00 3.63355871e+00 
121 270.14 1.64183712e+00 3.73612188e+00 
122 270.95 1.60235023e+00 3.68027900e+00 
123 271.75 1.65773011e+00 3.75859796e+00 
