% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2018-09-10 11:23:37.
% Langley at MLO outside of 1.8x the STD of 501 nm Langley residuals were screened out. 
% c0 from best days at MLO
% Averages of c0 from multiple days including: 2018-08-11 AM, 2018-08-12 AM.
% C:\_star\IOP\MLO\MLO_2018_Aug\starmat\20180811_4STAR_NIR_C0_refined_ground_langley_am.dat
% C:\_star\IOP\MLO\MLO_2018_Aug\starmat\20180812_4STAR_NIR_C0_refined_ground_langley_am.dat
Pix Wavelength C0 C0err
511 949.79 3.99931061e+00 2.14463903e-01 
510 949.79 4.59346676e+00 1.57020952e-01 
509 951.68 4.96644091e+00 1.64437788e-01 
508 953.57 5.03366685e+00 1.53219984e-01 
507 955.46 5.48225284e+00 1.68993012e-01 
506 957.34 5.60501718e+00 1.66330345e-01 
505 959.22 6.08900547e+00 1.52032780e-01 
504 961.10 6.24758362e+00 1.46657885e-01 
503 962.98 6.73052168e+00 1.48041983e-01 
502 964.85 6.77153015e+00 1.16862760e-01 
501 966.72 7.33991909e+00 1.10201531e-01 
500 968.59 7.43786215e+00 8.42785228e-02 
499 970.45 7.85919380e+00 8.46423363e-02 
498 972.32 7.81471372e+00 9.75436551e-02 
497 974.18 8.13807631e+00 1.04114848e-01 
496 976.04 8.05468178e+00 8.80619613e-02 
495 977.89 8.40413237e+00 8.76593771e-02 
494 979.74 8.34700489e+00 6.88416535e-02 
493 981.59 8.64299440e+00 5.80446350e-02 
492 983.44 8.56076098e+00 5.99301211e-02 
491 985.29 8.82337951e+00 4.12621061e-02 
490 987.13 8.60154105e+00 2.03903079e-02 
489 988.97 8.82578611e+00 1.54324853e-02 
488 990.81 8.59417009e+00 3.21192649e-03 
487 992.65 8.77779150e+00 1.88146972e-04 
486 994.48 8.58238506e+00 2.44518939e-03 
485 996.31 8.75056648e+00 2.35644749e-02 
484 998.14 8.50572681e+00 5.75888976e-04 
483 999.97 8.67283726e+00 1.62855389e-02 
482 1001.79 8.39757585e+00 1.14362996e-02 
481 1003.62 8.50553561e+00 2.29568793e-02 
480 1005.44 8.28487062e+00 1.30345023e-02 
479 1007.25 8.55163479e+00 3.12156390e-02 
478 1009.07 8.35937786e+00 2.10869142e-02 
477 1010.88 8.51640988e+00 1.52578299e-02 
476 1012.69 8.24800158e+00 1.59483692e-03 
475 1014.50 8.36167240e+00 1.53724731e-02 
474 1016.31 8.13750792e+00 2.29076434e-03 
473 1018.11 8.29345226e+00 9.30197556e-03 
472 1019.91 8.05171346e+00 1.47419531e-02 
471 1021.71 8.19610929e+00 8.63503952e-03 
470 1023.51 7.97332478e+00 1.79309552e-03 
469 1025.30 8.12774801e+00 8.43678799e-03 
