% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\_star\IOP\MLO\MLO_2018_Aug\starsun\4STARB_20180811starsun.mat and recorded on 2018-08-13 17:21:15.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
0 171.70 -1.00000000e+00 -1.00000000e+00 
1 172.51 -1.00000000e+00 -1.00000000e+00 
2 173.33 -1.00000000e+00 -1.00000000e+00 
3 174.14 -1.00000000e+00 -1.00000000e+00 
4 174.95 -1.00000000e+00 -1.00000000e+00 
5 175.76 -1.00000000e+00 -1.00000000e+00 
6 176.58 -1.00000000e+00 -1.00000000e+00 
7 177.39 -1.00000000e+00 -1.00000000e+00 
8 178.20 -1.00000000e+00 -1.00000000e+00 
9 179.01 -1.00000000e+00 -1.00000000e+00 
10 179.83 -1.00000000e+00 -1.00000000e+00 
11 180.64 -1.00000000e+00 -1.00000000e+00 
12 181.45 -1.00000000e+00 -1.00000000e+00 
13 182.26 -1.00000000e+00 -1.00000000e+00 
14 183.08 -1.00000000e+00 -1.00000000e+00 
15 183.89 -1.00000000e+00 -1.00000000e+00 
16 184.70 -1.00000000e+00 -1.00000000e+00 
17 185.51 -1.00000000e+00 -1.00000000e+00 
18 186.33 -1.00000000e+00 -1.00000000e+00 
19 187.14 -1.00000000e+00 -1.00000000e+00 
20 187.95 -1.00000000e+00 -1.00000000e+00 
21 188.76 -1.00000000e+00 -1.00000000e+00 
22 189.57 -1.00000000e+00 -1.00000000e+00 
23 190.39 -1.00000000e+00 -1.00000000e+00 
24 191.20 -1.00000000e+00 -1.00000000e+00 
25 192.01 -1.00000000e+00 -1.00000000e+00 
26 192.82 -1.00000000e+00 -1.00000000e+00 
27 193.64 -1.00000000e+00 -1.00000000e+00 
28 194.45 -1.00000000e+00 -1.00000000e+00 
29 195.26 -1.00000000e+00 -1.00000000e+00 
30 196.07 -1.00000000e+00 -1.00000000e+00 
31 196.89 -1.00000000e+00 -1.00000000e+00 
32 197.70 -1.00000000e+00 -1.00000000e+00 
33 198.51 -1.00000000e+00 -1.00000000e+00 
34 199.32 -1.00000000e+00 -1.00000000e+00 
35 200.14 -1.00000000e+00 -1.00000000e+00 
36 200.95 -1.00000000e+00 -1.00000000e+00 
37 201.76 -1.00000000e+00 -1.00000000e+00 
38 202.57 -1.00000000e+00 -1.00000000e+00 
39 203.39 -1.00000000e+00 -1.00000000e+00 
40 204.20 -1.00000000e+00 -1.00000000e+00 
41 205.01 -1.00000000e+00 -1.00000000e+00 
42 205.82 -1.00000000e+00 -1.00000000e+00 
43 206.64 -1.00000000e+00 -1.00000000e+00 
44 207.45 -1.00000000e+00 -1.00000000e+00 
45 208.26 -1.00000000e+00 -1.00000000e+00 
46 209.07 -1.00000000e+00 -1.00000000e+00 
47 209.88 -1.00000000e+00 -1.00000000e+00 
48 210.70 -1.00000000e+00 -1.00000000e+00 
49 211.51 -1.00000000e+00 -1.00000000e+00 
50 212.32 -1.00000000e+00 -1.00000000e+00 
51 213.13 -1.00000000e+00 -1.00000000e+00 
52 213.95 -1.00000000e+00 -1.00000000e+00 
53 214.76 3.34224296e+00 1.00267291e-01 
54 215.57 3.40556359e+00 1.02166906e-01 
55 216.38 3.11600256e+00 9.34800804e-02 
56 217.19 2.66529870e+00 7.99589604e-02 
57 218.01 2.84491229e+00 8.53473693e-02 
58 218.82 2.84588909e+00 8.53766724e-02 
59 219.63 3.02952576e+00 9.08857733e-02 
60 220.44 3.03001118e+00 9.09003317e-02 
61 221.26 2.94405603e+00 8.83216783e-02 
62 222.07 2.95215321e+00 8.85645971e-02 
63 222.88 3.07167459e+00 9.21502411e-02 
64 223.69 3.06215143e+00 9.18645412e-02 
65 224.50 3.12731504e+00 9.38194543e-02 
66 225.32 3.26973081e+00 9.80919227e-02 
67 226.13 3.32015753e+00 9.96047258e-02 
68 226.94 3.38478947e+00 1.01543687e-01 
69 227.75 3.46628690e+00 1.03988610e-01 
70 228.56 3.51358747e+00 1.05407625e-01 
71 229.38 3.56913614e+00 1.07074082e-01 
72 230.19 3.57379556e+00 1.07213870e-01 
73 231.00 3.47871208e+00 1.04361363e-01 
74 231.81 3.36888075e+00 1.01066425e-01 
75 232.63 3.35215139e+00 1.00564539e-01 
76 233.44 3.21062541e+00 9.63187590e-02 
77 234.25 3.06645298e+00 9.19935927e-02 
78 235.06 3.08550882e+00 9.25652683e-02 
79 235.87 3.02366066e+00 9.07098204e-02 
80 236.69 2.97315145e+00 8.91945437e-02 
81 237.50 2.88103962e+00 8.64311904e-02 
82 238.31 2.94156384e+00 8.82469118e-02 
83 239.12 2.82786012e+00 8.48358050e-02 
84 239.93 2.79517031e+00 8.38551074e-02 
85 240.74 3.01074672e+00 9.03224051e-02 
86 241.56 2.81634092e+00 8.44902247e-02 
87 242.37 2.42709684e+00 7.28129074e-02 
88 243.18 2.61993647e+00 7.85980970e-02 
89 243.99 2.80984730e-01 8.42954218e-03 
90 244.80 -1.00000000e+00 -1.00000000e+00 
91 245.62 -1.00000000e+00 -1.00000000e+00 
92 246.43 -1.00000000e+00 -1.00000000e+00 
93 247.24 -1.00000000e+00 -1.00000000e+00 
94 248.05 -1.00000000e+00 -1.00000000e+00 
95 248.86 -1.00000000e+00 -1.00000000e+00 
96 249.68 -1.00000000e+00 -1.00000000e+00 
97 250.49 -1.00000000e+00 -1.00000000e+00 
98 251.30 -1.00000000e+00 -1.00000000e+00 
99 252.11 -1.00000000e+00 -1.00000000e+00 
100 252.92 -1.00000000e+00 -1.00000000e+00 
101 253.73 -1.00000000e+00 -1.00000000e+00 
102 254.55 -1.00000000e+00 -1.00000000e+00 
103 255.36 -1.00000000e+00 -1.00000000e+00 
104 256.17 -1.00000000e+00 -1.00000000e+00 
105 256.98 -1.00000000e+00 -1.00000000e+00 
106 257.79 -1.00000000e+00 -1.00000000e+00 
107 258.60 -1.00000000e+00 -1.00000000e+00 
108 259.42 -1.00000000e+00 -1.00000000e+00 
109 260.23 -1.00000000e+00 -1.00000000e+00 
110 261.04 -1.00000000e+00 -1.00000000e+00 
111 261.85 -1.00000000e+00 -1.00000000e+00 
112 262.66 -1.00000000e+00 -1.00000000e+00 
113 263.47 -1.00000000e+00 -1.00000000e+00 
114 264.29 -1.00000000e+00 -1.00000000e+00 
115 265.10 3.10999346e+00 9.32998061e-02 
116 265.91 2.93777347e+00 8.81332010e-02 
117 266.72 2.74085593e+00 8.22256804e-02 
118 267.53 2.41081953e+00 7.23245889e-02 
119 268.34 3.01520634e+00 9.04561877e-02 
120 269.15 2.82632875e+00 8.47898647e-02 
121 269.97 2.82587576e+00 8.47762749e-02 
122 270.78 3.04323983e+00 9.12971944e-02 
123 271.59 3.02336073e+00 9.07008201e-02 
124 272.40 3.09142327e+00 9.27426964e-02 
125 273.21 3.12903357e+00 9.38710049e-02 
126 274.02 3.19440174e+00 9.58320498e-02 
127 274.83 3.40065646e+00 1.02019697e-01 
128 275.65 3.52001333e+00 1.05600402e-01 
