% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\_star\IOP\MLO\MLO_2018_Aug\starsun\4STAR_20180811starsun.mat and recorded on 2018-08-13 17:18:31.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 -1.00000000e+00 -1.00000000e+00 
51 213.85 -1.00000000e+00 -1.00000000e+00 
52 214.65 -1.00000000e+00 -1.00000000e+00 
53 215.45 2.94246149e+00 8.82738456e-02 
54 216.25 4.78155565e+00 1.43446669e-01 
55 217.05 4.20296812e+00 1.26089036e-01 
56 217.85 5.13824272e+00 1.54147282e-01 
57 218.65 4.87073231e+00 1.46121964e-01 
58 219.46 5.03037119e+00 1.50911137e-01 
59 220.26 5.03040981e+00 1.50912300e-01 
60 221.06 4.83448744e+00 1.45034626e-01 
61 221.86 4.98966360e+00 1.49689913e-01 
62 222.66 5.07493305e+00 1.52247995e-01 
63 223.47 5.08446693e+00 1.52534008e-01 
64 224.27 5.28011608e+00 1.58403486e-01 
65 225.07 5.25856781e+00 1.57757029e-01 
66 225.87 5.37252140e+00 1.61175638e-01 
67 226.68 5.35390377e+00 1.60617113e-01 
68 227.48 5.49900389e+00 1.64970115e-01 
69 228.28 5.66609907e+00 1.69982970e-01 
70 229.08 5.70163631e+00 1.71049088e-01 
71 229.89 5.78989983e+00 1.73696995e-01 
72 230.69 5.81289339e+00 1.74386799e-01 
73 231.49 5.69077158e+00 1.70723140e-01 
74 232.30 5.62571669e+00 1.68771505e-01 
75 233.10 5.38721561e+00 1.61616474e-01 
76 233.90 5.20738506e+00 1.56221554e-01 
77 234.71 5.10982180e+00 1.53294653e-01 
78 235.51 4.98699951e+00 1.49609983e-01 
79 236.32 4.90103817e+00 1.47031143e-01 
80 237.12 4.70756817e+00 1.41227052e-01 
81 237.92 4.68653250e+00 1.40595973e-01 
82 238.73 4.53410244e+00 1.36023074e-01 
83 239.53 4.48134708e+00 1.34440407e-01 
84 240.34 4.74126959e+00 1.42238081e-01 
85 241.14 4.58821440e+00 1.37646437e-01 
86 241.94 4.67175341e+00 1.40152603e-01 
87 242.75 5.03048611e+00 1.50914580e-01 
88 243.55 2.39412141e+00 7.18236417e-02 
89 244.36 -1.00000000e+00 -1.00000000e+00 
90 245.16 -1.00000000e+00 -1.00000000e+00 
91 245.97 -1.00000000e+00 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 -1.00000000e+00 -1.00000000e+00 
113 263.69 -1.00000000e+00 -1.00000000e+00 
114 264.49 -1.00000000e+00 -1.00000000e+00 
115 265.30 7.86959708e-01 2.36087907e-02 
116 266.11 3.90855145e+00 1.17256545e-01 
117 266.91 3.82626224e+00 1.14787869e-01 
118 267.72 4.09547043e+00 1.22864112e-01 
119 268.53 4.09606409e+00 1.22881919e-01 
120 269.33 4.13862801e+00 1.24158837e-01 
121 270.14 4.28367424e+00 1.28510222e-01 
122 270.95 4.20470047e+00 1.26141012e-01 
123 271.75 4.31546021e+00 1.29463807e-01 
124 272.56 4.44335318e+00 1.33300602e-01 
125 273.37 4.60687494e+00 1.38206244e-01 
126 274.17 4.60817575e+00 1.38245270e-01 
127 274.98 4.80976486e+00 1.44292951e-01 
128 275.79 4.90627575e+00 1.47188276e-01 
129 276.59 5.13977146e+00 1.54193148e-01 
130 277.40 5.26262140e+00 1.57878637e-01 
131 278.21 5.48741579e+00 1.64622471e-01 
132 279.01 5.31298923e+00 1.59389675e-01 
133 279.82 4.95932055e+00 1.48779616e-01 
134 280.63 4.54749250e+00 1.36424780e-01 
135 281.43 4.27673483e+00 1.28302038e-01 
136 282.24 3.94537234e+00 1.18361168e-01 
137 283.05 3.69983625e+00 1.10995084e-01 
138 283.86 3.45937824e+00 1.03781350e-01 
139 284.66 3.29468417e+00 9.88405272e-02 
140 285.47 3.11102009e+00 9.33305994e-02 
141 286.28 2.92526007e+00 8.77578035e-02 
142 287.09 2.80596066e+00 8.41788203e-02 
143 287.89 2.68819165e+00 8.06457475e-02 
144 288.70 2.61830282e+00 7.85490870e-02 
145 289.51 2.49601102e+00 7.48803318e-02 
146 290.32 2.37122607e+00 7.11367801e-02 
147 291.12 2.28658342e+00 6.85975030e-02 
148 291.93 2.21432710e+00 6.64298162e-02 
149 292.74 2.20158577e+00 6.60475716e-02 
150 293.55 2.10023499e+00 6.30070493e-02 
151 294.35 2.07715058e+00 6.23145178e-02 
152 295.16 2.00065708e+00 6.00197129e-02 
153 295.97 1.96777737e+00 5.90333194e-02 
154 296.78 1.94473708e+00 5.83421141e-02 
155 297.58 1.91918433e+00 5.75755313e-02 
156 298.39 1.88679671e+00 5.66039011e-02 
157 299.20 1.87354422e+00 5.62063269e-02 
158 300.01 1.81698048e+00 5.45094162e-02 
159 300.81 1.82716846e+00 5.48150539e-02 
160 301.62 1.79854155e+00 5.39562479e-02 
161 302.43 1.77886736e+00 5.33660203e-02 
162 303.24 1.79073966e+00 5.37221879e-02 
163 304.04 1.76576447e+00 5.29729351e-02 
164 304.85 1.75044787e+00 5.25134355e-02 
165 305.66 1.74593520e+00 5.23780547e-02 
166 306.47 1.75204539e+00 5.25613613e-02 
167 307.28 1.73615956e+00 5.20847887e-02 
168 308.08 1.72423816e+00 5.17271459e-02 
169 308.89 1.73065686e+00 5.19197062e-02 
170 309.70 1.72254276e+00 5.16762845e-02 
171 310.51 1.75031102e+00 5.25093302e-02 
172 311.32 1.74563217e+00 5.23689650e-02 
173 312.12 1.74346352e+00 5.23039065e-02 
174 312.93 1.74605548e+00 5.23816645e-02 
175 313.74 1.77311766e+00 5.31935282e-02 
176 314.55 1.77732003e+00 5.33195995e-02 
177 315.36 1.73921585e+00 5.21764755e-02 
178 316.16 1.76205778e+00 5.28617352e-02 
179 316.97 1.80338752e+00 5.41016273e-02 
180 317.78 1.78799522e+00 5.36398552e-02 
181 318.59 1.79710448e+00 5.39131351e-02 
182 319.40 1.82517743e+00 5.47553226e-02 
183 320.20 1.81690168e+00 5.45070507e-02 
184 321.01 1.86296785e+00 5.58890365e-02 
185 321.82 1.84575844e+00 5.53727522e-02 
186 322.63 1.90569532e+00 5.71708605e-02 
187 323.43 1.89715219e+00 5.69145642e-02 
188 324.24 1.94718933e+00 5.84156811e-02 
189 325.05 1.96742773e+00 5.90228327e-02 
190 325.86 1.98533511e+00 5.95600531e-02 
191 326.67 2.02439070e+00 6.07317202e-02 
192 327.48 2.07472897e+00 6.22418672e-02 
193 328.28 2.09441376e+00 6.28324151e-02 
194 329.09 2.13217258e+00 6.39651790e-02 
195 329.90 2.17204070e+00 6.51612207e-02 
196 330.71 2.25507879e+00 6.76523671e-02 
197 331.52 2.31905746e+00 6.95717260e-02 
198 332.32 2.47511625e+00 7.42534846e-02 
199 333.13 2.73828554e+00 8.21485668e-02 
200 333.94 3.21727133e+00 9.65181366e-02 
201 334.75 4.01768923e+00 1.20530680e-01 
202 335.55 5.05998230e+00 1.51799470e-01 
203 336.36 6.51684284e+00 1.95505291e-01 
204 337.17 8.99104595e+00 2.69731373e-01 
205 337.98 1.22636166e+01 3.67908508e-01 
206 338.79 1.62428131e+01 4.87284392e-01 
207 339.60 2.06367874e+01 6.19103611e-01 
208 340.40 2.44858704e+01 7.34576106e-01 
209 341.21 2.78861256e+01 8.36583793e-01 
210 342.02 3.21076012e+01 9.63228047e-01 
211 342.83 3.53395576e+01 1.06018674e+00 
212 343.63 3.62142944e+01 1.08642888e+00 
213 344.44 3.80888252e+01 1.14266479e+00 
214 345.25 4.24833374e+01 1.27450013e+00 
215 346.06 4.63037949e+01 1.38911390e+00 
216 346.87 4.87942200e+01 1.46382666e+00 
217 347.67 5.06795883e+01 1.52038765e+00 
218 348.48 5.26288261e+01 1.57886481e+00 
219 349.29 5.61981010e+01 1.68594301e+00 
220 350.10 6.18476028e+01 1.85542810e+00 
221 350.90 6.50616913e+01 1.95185077e+00 
222 351.71 6.50803680e+01 1.95241106e+00 
223 352.52 6.70274353e+01 2.01082301e+00 
224 353.33 7.36405487e+01 2.20921636e+00 
225 354.14 8.06630554e+01 2.41989160e+00 
226 354.94 8.33187561e+01 2.49956274e+00 
227 355.75 8.14108047e+01 2.44232416e+00 
228 356.56 7.66470032e+01 2.29941010e+00 
229 357.37 7.24647064e+01 2.17394114e+00 
230 358.18 7.27109756e+01 2.18132925e+00 
231 358.98 8.29589920e+01 2.48876977e+00 
232 359.79 9.43581085e+01 2.83074331e+00 
233 360.60 9.47421417e+01 2.84226418e+00 
234 361.41 9.40888977e+01 2.82266688e+00 
235 362.21 9.98003616e+01 2.99401093e+00 
236 363.02 1.05371399e+02 3.16114187e+00 
237 363.83 1.08843063e+02 3.26529193e+00 
238 364.64 1.14890656e+02 3.44671965e+00 
239 365.44 1.25515343e+02 3.76546025e+00 
240 366.25 1.33368637e+02 4.00105906e+00 
241 367.06 1.33478638e+02 4.00435925e+00 
242 367.87 1.31569626e+02 3.94708872e+00 
243 368.67 1.34449005e+02 4.03347015e+00 
244 369.48 1.40077438e+02 4.20232296e+00 
245 370.29 1.40535324e+02 4.21605968e+00 
246 371.10 1.38808319e+02 4.16424942e+00 
247 371.90 1.34758514e+02 4.04275560e+00 
248 372.71 1.26942932e+02 3.80828786e+00 
249 373.52 1.20438370e+02 3.61315107e+00 
250 374.33 1.21242355e+02 3.63727069e+00 
251 375.13 1.30640198e+02 3.91920590e+00 
252 375.94 1.42015121e+02 4.26045370e+00 
253 376.75 1.54564682e+02 4.63694048e+00 
254 377.56 1.68379715e+02 5.05139160e+00 
255 378.36 1.69721466e+02 5.09164381e+00 
256 379.17 1.60389343e+02 4.81168032e+00 
257 379.98 1.58456512e+02 4.75369549e+00 
258 380.78 1.57218445e+02 4.71655321e+00 
259 381.59 1.41226715e+02 4.23680162e+00 
260 382.40 1.20266144e+02 3.60798430e+00 
261 383.20 1.13061775e+02 3.39185333e+00 
262 384.01 1.24859718e+02 3.74579144e+00 
263 384.82 1.39914093e+02 4.19742298e+00 
264 385.63 1.44853897e+02 4.34561682e+00 
265 386.43 1.45807800e+02 4.37423420e+00 
266 387.24 1.46514786e+02 4.39544344e+00 
267 388.05 1.49090256e+02 4.47270775e+00 
268 388.85 1.58997604e+02 4.76992798e+00 
269 389.66 1.73243134e+02 5.19729424e+00 
270 390.47 1.83537231e+02 5.50611687e+00 
271 391.27 1.82037415e+02 5.46112251e+00 
272 392.08 1.59010422e+02 4.77031279e+00 
273 392.89 1.28857971e+02 3.86573911e+00 
274 393.69 1.27145630e+02 3.81436896e+00 
275 394.50 1.53605499e+02 4.60816479e+00 
276 395.31 1.66876144e+02 5.00628424e+00 
277 396.11 1.52127396e+02 4.56382179e+00 
278 396.92 1.47653992e+02 4.42961979e+00 
279 397.73 1.78776550e+02 5.36329651e+00 
280 398.53 2.17687897e+02 6.53063679e+00 
281 399.34 2.40030579e+02 7.20091724e+00 
282 400.15 2.51055466e+02 7.53166389e+00 
283 400.95 2.59376434e+02 7.78129292e+00 
284 401.76 2.65736389e+02 7.97209167e+00 
285 402.57 2.66926849e+02 8.00780582e+00 
286 403.37 2.65408264e+02 7.96224785e+00 
287 404.18 2.64491699e+02 7.93475103e+00 
288 404.99 2.63584808e+02 7.90754414e+00 
289 405.79 2.62456299e+02 7.87368917e+00 
290 406.60 2.63953583e+02 7.91860771e+00 
291 407.40 2.71399902e+02 8.14199734e+00 
292 408.21 2.81416382e+02 8.44249153e+00 
293 409.02 2.83639801e+02 8.50919437e+00 
294 409.82 2.79753479e+02 8.39260483e+00 
295 410.63 2.84739594e+02 8.54218769e+00 
296 411.43 2.96862549e+02 8.90587616e+00 
297 412.24 3.02637543e+02 9.07912636e+00 
298 413.05 3.02073242e+02 9.06219769e+00 
299 413.85 3.00996033e+02 9.02988052e+00 
300 414.66 3.00396545e+02 9.01189613e+00 
301 415.46 3.00720734e+02 9.02162170e+00 
302 416.27 2.99449768e+02 8.98349285e+00 
303 417.08 2.93968353e+02 8.81905079e+00 
304 417.88 2.88283447e+02 8.64850330e+00 
305 418.69 2.85661377e+02 8.56984138e+00 
306 419.49 2.85874756e+02 8.57624245e+00 
307 420.30 2.89261536e+02 8.67784595e+00 
308 421.11 2.91511047e+02 8.74533176e+00 
309 421.91 2.87798492e+02 8.63395500e+00 
310 422.72 2.83276459e+02 8.49829388e+00 
311 423.52 2.84339081e+02 8.53017235e+00 
312 424.33 2.88165955e+02 8.64497852e+00 
313 425.13 2.90682648e+02 8.72047901e+00 
314 425.94 2.91788635e+02 8.75365925e+00 
315 426.74 2.92510681e+02 8.77532005e+00 
316 427.55 2.93473114e+02 8.80419350e+00 
317 428.36 2.90755310e+02 8.72265911e+00 
318 429.16 2.79666382e+02 8.38999176e+00 
319 429.96 2.70301331e+02 8.10904026e+00 
320 430.77 2.85127106e+02 8.55381298e+00 
321 431.58 3.19336639e+02 9.58009911e+00 
322 432.38 3.50316193e+02 1.05094862e+01 
323 433.19 3.65045685e+02 1.09513702e+01 
324 433.99 3.75496399e+02 1.12648916e+01 
325 434.80 3.94459198e+02 1.18337755e+01 
326 435.60 4.18144135e+02 1.25443239e+01 
327 436.41 4.32982086e+02 1.29894629e+01 
328 437.21 4.33215881e+02 1.29964762e+01 
329 438.02 4.29902344e+02 1.28970699e+01 
330 438.82 4.36238831e+02 1.30871649e+01 
331 439.63 4.52330353e+02 1.35699110e+01 
332 440.43 4.73593292e+02 1.42077990e+01 
333 441.24 4.95461243e+02 1.48638372e+01 
334 442.04 5.14292725e+02 1.54287815e+01 
335 442.85 5.27095947e+02 1.58128786e+01 
336 443.65 5.35100952e+02 1.60530281e+01 
337 444.45 5.38406189e+02 1.61521854e+01 
338 445.26 5.39043518e+02 1.61713047e+01 
339 446.06 5.45732178e+02 1.63719654e+01 
340 446.87 5.60577515e+02 1.68173256e+01 
341 447.67 5.77117310e+02 1.73135185e+01 
342 448.48 5.89937622e+02 1.76981277e+01 
343 449.28 6.02882019e+02 1.80864601e+01 
344 450.09 6.16699707e+02 1.85009918e+01 
345 450.89 6.23181519e+02 1.86954460e+01 
346 451.70 6.16160889e+02 1.84848270e+01 
347 452.50 6.04812622e+02 1.81443787e+01 
348 453.30 6.01441711e+02 1.80432510e+01 
349 454.11 6.06605347e+02 1.81981602e+01 
350 454.91 6.17038574e+02 1.85111580e+01 
351 455.72 6.27991333e+02 1.88397408e+01 
352 456.52 6.36539246e+02 1.90961781e+01 
353 457.32 6.39516235e+02 1.91854877e+01 
354 458.13 6.38011230e+02 1.91403370e+01 
355 458.93 6.37790100e+02 1.91337032e+01 
356 459.74 6.42876038e+02 1.92862816e+01 
357 460.54 6.51997986e+02 1.95599403e+01 
358 461.34 6.61302368e+02 1.98390713e+01 
359 462.15 6.66943665e+02 2.00083103e+01 
360 462.95 6.66360352e+02 1.99908104e+01 
361 463.76 6.61867371e+02 1.98560219e+01 
362 464.56 6.57991211e+02 1.97397366e+01 
363 465.36 6.55403748e+02 1.96621132e+01 
364 466.17 6.54234070e+02 1.96270218e+01 
365 466.97 6.55622559e+02 1.96686764e+01 
366 467.77 6.59413696e+02 1.97824116e+01 
367 468.58 6.62724487e+02 1.98817348e+01 
368 469.38 6.62565247e+02 1.98769569e+01 
369 470.18 6.63832092e+02 1.99149628e+01 
370 470.99 6.71763184e+02 2.01528950e+01 
371 471.79 6.82061462e+02 2.04618435e+01 
372 472.59 6.90500366e+02 2.07150116e+01 
373 473.40 6.96937134e+02 2.09081135e+01 
374 474.20 7.01296570e+02 2.10388966e+01 
375 475.00 7.03731567e+02 2.11119461e+01 
376 475.81 7.05957886e+02 2.11787357e+01 
377 476.61 7.11035522e+02 2.13310661e+01 
378 477.41 7.18647583e+02 2.15594273e+01 
379 478.21 7.25633911e+02 2.17690182e+01 
380 479.02 7.30322571e+02 2.19096775e+01 
381 479.82 7.33350891e+02 2.20005264e+01 
382 480.62 7.37013550e+02 2.21104069e+01 
383 481.43 7.38686157e+02 2.21605854e+01 
384 482.23 7.36937988e+02 2.21081390e+01 
385 483.03 7.31062256e+02 2.19318676e+01 
386 483.84 7.18176575e+02 2.15452976e+01 
387 484.64 6.93103027e+02 2.07930908e+01 
388 485.44 6.64619507e+02 1.99385853e+01 
389 486.24 6.51605774e+02 1.95481739e+01 
390 487.04 6.58684021e+02 1.97605209e+01 
391 487.85 6.78984253e+02 2.03695278e+01 
392 488.65 7.00820557e+02 2.10246162e+01 
393 489.45 7.14916992e+02 2.14475098e+01 
394 490.26 7.18366333e+02 2.15509892e+01 
395 491.06 7.14717285e+02 2.14415188e+01 
396 491.86 7.10290039e+02 2.13087006e+01 
397 492.66 7.11507324e+02 2.13452206e+01 
398 493.46 7.19520630e+02 2.15856190e+01 
399 494.27 7.27444824e+02 2.18233452e+01 
400 495.07 7.31287109e+02 2.19386139e+01 
401 495.87 7.32512817e+02 2.19753838e+01 
402 496.67 7.28586182e+02 2.18575859e+01 
403 497.48 7.22516174e+02 2.16754856e+01 
404 498.28 7.17226563e+02 2.15167961e+01 
405 499.08 7.10606445e+02 2.13181934e+01 
406 499.88 7.02924988e+02 2.10877495e+01 
407 500.68 6.96637817e+02 2.08991337e+01 
408 501.48 6.94520020e+02 2.08355999e+01 
409 502.29 6.97298828e+02 2.09189644e+01 
410 503.09 7.01641418e+02 2.10492420e+01 
411 503.89 7.07750305e+02 2.12325096e+01 
412 504.69 7.15550659e+02 2.14665203e+01 
413 505.49 7.21425537e+02 2.16427670e+01 
414 506.29 7.21952393e+02 2.16585712e+01 
415 507.09 7.18187866e+02 2.15456352e+01 
416 507.90 7.14869934e+02 2.14460983e+01 
417 508.70 7.13958679e+02 2.14187603e+01 
418 509.50 7.14993347e+02 2.14498005e+01 
419 510.30 7.16580811e+02 2.14974251e+01 
420 511.10 7.15123962e+02 2.14537182e+01 
421 511.90 7.09829895e+02 2.12948971e+01 
422 512.71 7.01828491e+02 2.10548553e+01 
423 513.51 6.93585083e+02 2.08075523e+01 
424 514.31 6.87233643e+02 2.06170101e+01 
425 515.11 6.75812622e+02 2.02743778e+01 
426 515.91 6.57128906e+02 1.97138672e+01 
427 516.71 6.40128540e+02 1.92038555e+01 
428 517.51 6.32103882e+02 1.89631157e+01 
429 518.31 6.38547852e+02 1.91564350e+01 
430 519.11 6.54795532e+02 1.96438656e+01 
431 519.91 6.70386230e+02 2.01115875e+01 
432 520.71 6.81608276e+02 2.04482479e+01 
433 521.52 6.85644531e+02 2.05693359e+01 
434 522.32 6.88244385e+02 2.06473312e+01 
435 523.12 6.93657227e+02 2.08097172e+01 
436 523.92 6.98592407e+02 2.09577713e+01 
437 524.72 6.97106689e+02 2.09132004e+01 
438 525.52 6.85568665e+02 2.05670605e+01 
439 526.32 6.73644165e+02 2.02093258e+01 
440 527.12 6.73411011e+02 2.02023296e+01 
441 527.92 6.84237183e+02 2.05271149e+01 
442 528.72 6.99414368e+02 2.09824314e+01 
443 529.52 7.11617920e+02 2.13485374e+01 
444 530.32 7.16494019e+02 2.14948196e+01 
445 531.12 7.12790222e+02 2.13837070e+01 
446 531.92 7.05554016e+02 2.11666203e+01 
447 532.72 6.99934204e+02 2.09980259e+01 
448 533.52 7.00126099e+02 2.10037823e+01 
449 534.32 7.06200256e+02 2.11860085e+01 
450 535.12 7.11092834e+02 2.13327847e+01 
451 535.92 7.10791443e+02 2.13237438e+01 
452 536.72 7.08656677e+02 2.12597008e+01 
453 537.52 7.05599121e+02 2.11679745e+01 
454 538.32 7.00935181e+02 2.10280552e+01 
455 539.12 6.94857544e+02 2.08457260e+01 
456 539.92 6.89874023e+02 2.06962204e+01 
457 540.72 6.88857666e+02 2.06657295e+01 
458 541.52 6.91515503e+02 2.07454643e+01 
459 542.32 6.96900269e+02 2.09070072e+01 
460 543.12 7.02070801e+02 2.10621243e+01 
461 543.92 7.05748169e+02 2.11724453e+01 
462 544.72 7.08181396e+02 2.12454414e+01 
463 545.52 7.07835693e+02 2.12350712e+01 
464 546.32 7.04303955e+02 2.11291180e+01 
465 547.12 7.00412598e+02 2.10123787e+01 
466 547.91 6.98638733e+02 2.09591618e+01 
467 548.71 6.98109619e+02 2.09432888e+01 
468 549.51 6.98190796e+02 2.09457245e+01 
469 550.31 6.97975098e+02 2.09392529e+01 
470 551.11 6.97229675e+02 2.09168911e+01 
471 551.91 6.96795593e+02 2.09038677e+01 
472 552.71 6.97253906e+02 2.09176178e+01 
473 553.51 6.99782349e+02 2.09934711e+01 
474 554.31 7.01317932e+02 2.10395374e+01 
475 555.10 6.99436707e+02 2.09831009e+01 
476 555.90 6.95339844e+02 2.08601952e+01 
477 556.70 6.89775024e+02 2.06932507e+01 
478 557.50 6.81273560e+02 2.04382076e+01 
479 558.30 6.74566650e+02 2.02369995e+01 
480 559.10 6.73489990e+02 2.02047005e+01 
481 559.90 6.74139954e+02 2.02241993e+01 
482 560.70 6.77327271e+02 2.03198185e+01 
483 561.49 6.83273071e+02 2.04981918e+01 
484 562.29 6.87102905e+02 2.06130867e+01 
485 563.09 6.88645142e+02 2.06593552e+01 
486 563.89 6.89357117e+02 2.06807137e+01 
487 564.69 6.88212830e+02 2.06463852e+01 
