% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\_star\IOP\MLO\MLO_2018_Aug\starsun\4STARB_20180813starsun.mat and recorded on 2018-08-13 17:45:29.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 1.56595278e+01 4.69785839e-01 
510 947.95 1.60079174e+01 4.80237514e-01 
509 949.84 1.65258274e+01 4.95774835e-01 
508 951.73 1.69621086e+01 5.08863270e-01 
507 953.62 1.73663864e+01 5.20991564e-01 
506 955.51 1.77569370e+01 5.32708108e-01 
505 957.40 1.82338467e+01 5.47015429e-01 
504 959.28 1.89119511e+01 5.67358553e-01 
503 961.16 1.97104359e+01 5.91313064e-01 
502 963.03 2.04558430e+01 6.13675296e-01 
501 964.90 2.13065910e+01 6.39197707e-01 
500 966.78 2.21744785e+01 6.65234327e-01 
499 968.64 2.31799889e+01 6.95399642e-01 
498 970.51 2.38860321e+01 7.16580987e-01 
497 972.37 2.42911968e+01 7.28735924e-01 
496 974.23 2.44161377e+01 7.32484102e-01 
495 976.09 2.47480373e+01 7.42441118e-01 
494 977.95 2.51817856e+01 7.55453587e-01 
493 979.80 2.57881393e+01 7.73644209e-01 
492 981.65 2.63047466e+01 7.89142370e-01 
491 983.50 2.68491993e+01 8.05475950e-01 
490 985.34 2.71263313e+01 8.13789964e-01 
489 987.18 2.73270950e+01 8.19812834e-01 
488 989.02 2.74570045e+01 8.23710144e-01 
487 990.86 2.76404076e+01 8.29212248e-01 
486 992.70 2.77423439e+01 8.32270324e-01 
485 994.53 2.79205132e+01 8.37615371e-01 
484 996.36 2.79754868e+01 8.39264631e-01 
483 998.19 2.81429520e+01 8.44288588e-01 
482 1000.01 2.82449112e+01 8.47347319e-01 
481 1001.83 2.82813530e+01 8.48440588e-01 
480 1003.65 2.81909828e+01 8.45729470e-01 
479 1005.47 2.82969933e+01 8.48909795e-01 
478 1007.29 2.84293442e+01 8.52880299e-01 
477 1009.10 2.88074799e+01 8.64224374e-01 
476 1010.91 2.89995899e+01 8.69987726e-01 
475 1012.72 2.91124802e+01 8.73374403e-01 
474 1014.53 2.90948906e+01 8.72846723e-01 
473 1016.33 2.92246189e+01 8.76738548e-01 
472 1018.13 2.92238789e+01 8.76716375e-01 
471 1019.93 2.93081131e+01 8.79243374e-01 
470 1021.73 2.92114944e+01 8.76344860e-01 
469 1023.52 2.91805325e+01 8.75415981e-01 
468 1025.31 2.90784607e+01 8.72353792e-01 
467 1027.10 2.91203175e+01 8.73609543e-01 
466 1028.89 2.88779583e+01 8.66338730e-01 
465 1030.67 2.87298775e+01 8.61896336e-01 
464 1032.45 2.84799824e+01 8.54399443e-01 
463 1034.23 2.84096489e+01 8.52289438e-01 
462 1036.01 2.82576885e+01 8.47730637e-01 
461 1037.79 2.81996460e+01 8.45989406e-01 
460 1039.56 2.79797554e+01 8.39392662e-01 
459 1041.33 2.78590393e+01 8.35771203e-01 
458 1043.10 2.76255493e+01 8.28766465e-01 
457 1044.87 2.74980354e+01 8.24941039e-01 
