% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2018-09-25 09:43:28.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -au-g , In f-li-gh. See the list of files below
% 20180811_VIS_C0_refined_Langley_4STAR_averaged_with_MLO_2018_Aug_11_12.dat
% 20180921_4STAR_VIS_C0_refined_flight_langley_am.dat
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 0.00000000e+00 
47 210.64 -1.00000000e+00 0.00000000e+00 
48 211.44 -1.00000000e+00 0.00000000e+00 
49 212.24 -1.00000000e+00 0.00000000e+00 
50 213.04 -1.00000000e+00 0.00000000e+00 
51 213.85 -1.00000000e+00 0.00000000e+00 
52 214.65 -1.00000000e+00 0.00000000e+00 
53 215.45 -1.43846275e-02 1.39387063e+00 
54 216.25 4.45388910e-01 2.04408860e+00 
55 217.05 3.00742030e-01 1.83952702e+00 
56 217.85 5.34560680e-01 2.17019653e+00 
57 218.65 4.67683080e-01 2.07561732e+00 
58 219.46 5.07592800e-01 2.13205818e+00 
59 220.26 5.07602455e-01 2.13207184e+00 
60 221.06 3.30040491e+00 1.95608531e+00 
61 221.86 3.97385395e+00 2.79875996e+00 
62 222.66 3.64104557e+00 2.26780323e+00 
63 223.47 1.27443096e+00 1.08583671e+00 
64 224.27 1.28807655e+00 1.20488378e+00 
65 225.07 1.35558265e+00 1.09417880e+00 
66 225.87 1.38434643e+00 1.13407804e+00 
67 226.68 1.67352152e+00 7.11958050e-01 
68 227.48 2.16799390e+00 1.15269783e-01 
69 228.28 6.88194337e+00 6.25343803e+00 
70 229.08 5.75566042e+00 4.31396412e+00 
71 229.89 7.25941050e+00 6.33264341e+00 
72 230.69 6.81630920e+00 5.66824871e+00 
73 231.49 6.20785058e+00 5.00316084e+00 
74 232.30 6.09539355e+00 5.14893668e+00 
75 233.10 2.05435657e+00 1.96930985e-01 
76 233.90 1.68943655e+00 5.85846418e-01 
77 234.71 1.35090837e+00 9.95609927e-01 
78 235.51 1.24172782e+00 1.06316608e+00 
79 236.32 1.25051918e+00 9.89949347e-01 
80 237.12 3.17908287e+00 1.87425552e+00 
81 237.92 3.84192741e+00 2.82653372e+00 
82 238.73 3.60138869e+00 2.59414494e+00 
83 239.53 3.70336770e-01 1.93794885e+00 
84 240.34 4.35317395e-01 2.02984533e+00 
85 241.14 3.97053600e-01 1.97573215e+00 
86 241.94 4.17938350e-01 2.00526765e+00 
87 242.75 5.07621530e-01 2.13209881e+00 
88 243.55 -1.51469648e-01 1.20000313e+00 
89 244.36 -1.00000000e+00 0.00000000e+00 
90 245.16 -1.00000000e+00 0.00000000e+00 
91 245.97 -1.00000000e+00 0.00000000e+00 
92 246.77 -1.00000000e+00 0.00000000e+00 
93 247.58 -1.00000000e+00 0.00000000e+00 
94 248.38 -1.00000000e+00 0.00000000e+00 
95 249.19 -1.00000000e+00 0.00000000e+00 
96 249.99 -1.00000000e+00 0.00000000e+00 
97 250.80 -1.00000000e+00 0.00000000e+00 
98 251.60 -1.00000000e+00 0.00000000e+00 
99 252.41 -1.00000000e+00 0.00000000e+00 
100 253.21 -1.00000000e+00 0.00000000e+00 
101 254.02 -1.00000000e+00 0.00000000e+00 
102 254.82 -1.00000000e+00 0.00000000e+00 
103 255.63 -1.00000000e+00 0.00000000e+00 
104 256.44 -1.00000000e+00 0.00000000e+00 
105 257.24 -1.00000000e+00 0.00000000e+00 
106 258.05 -1.00000000e+00 0.00000000e+00 
107 258.85 -1.00000000e+00 0.00000000e+00 
108 259.66 -1.00000000e+00 0.00000000e+00 
109 260.46 -1.00000000e+00 0.00000000e+00 
110 261.27 -1.00000000e+00 0.00000000e+00 
111 262.08 -1.00000000e+00 0.00000000e+00 
112 262.88 -1.00000000e+00 0.00000000e+00 
113 263.69 -1.00000000e+00 0.00000000e+00 
114 264.49 -1.00000000e+00 0.00000000e+00 
115 265.30 -5.53260073e-01 6.31785664e-01 
116 266.11 2.27137865e-01 1.73543501e+00 
117 266.91 2.06565560e-01 1.70634138e+00 
118 267.72 2.73867605e-01 1.80152084e+00 
119 268.53 2.74016020e-01 1.80173073e+00 
120 269.33 2.84657000e-01 1.81677935e+00 
121 270.14 8.35604476e+00 9.49532351e+00 
122 270.95 3.56325006e+00 2.77313113e+00 
123 271.75 2.92036843e+00 1.78564024e+00 
