% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20180921starsun.mat and recorded on 2019-04-30 12:10:13.
% Using a high altitude AOD spectra from RaggedPoint AERONET station, which has been polyfit to extrapolate, calculating the c0 from the comparison 4STARs AOD at low airmass to AERONET. 
Pix Wavelength C0 C0err
0 173.18 0.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 0.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 1.13105927e+36 -1.00000000e+00 
51 213.85 1.42267407e+35 -1.00000000e+00 
52 214.65 1.78967308e+34 -1.00000000e+00 
53 215.45 2.25684098e+33 -1.00000000e+00 
54 216.25 2.85291948e+32 -1.00000000e+00 
55 217.05 3.57250032e+31 -1.00000000e+00 
56 217.85 4.55879701e+30 -1.00000000e+00 
57 218.65 5.76232376e+29 -1.00000000e+00 
58 219.46 7.28807872e+28 -1.00000000e+00 
59 220.26 9.27490781e+27 -1.00000000e+00 
60 221.06 1.17528877e+27 -1.00000000e+00 
61 221.86 1.49450060e+26 -1.00000000e+00 
62 222.66 1.90353070e+25 -1.00000000e+00 
63 223.47 2.42144674e+24 -1.00000000e+00 
64 224.27 3.09440097e+23 -1.00000000e+00 
65 225.07 3.96480698e+22 -1.00000000e+00 
66 225.87 5.06313698e+21 -1.00000000e+00 
67 226.68 6.58468065e+20 -1.00000000e+00 
68 227.48 8.93394011e+19 -1.00000000e+00 
69 228.28 1.40122334e+19 -1.00000000e+00 
70 229.08 3.07719852e+18 3.32024611e+17 
71 229.89 1.25169366e+18 1.35153129e+17 
72 230.69 1.19922538e+18 1.28007635e+17 
73 231.49 2.89415237e+18 3.06692963e+17 
74 232.30 1.47979752e+19 -1.00000000e+00 
75 233.10 1.17309684e+20 -1.00000000e+00 
76 233.90 1.13806533e+21 -1.00000000e+00 
77 234.71 1.19465163e+22 -1.00000000e+00 
78 235.51 1.30528774e+23 -1.00000000e+00 
79 236.32 1.45243423e+24 -1.00000000e+00 
80 237.12 1.63863062e+25 -1.00000000e+00 
81 237.92 1.86781659e+26 -1.00000000e+00 
82 238.73 2.17058956e+27 -1.00000000e+00 
83 239.53 2.53000170e+28 -1.00000000e+00 
84 240.34 2.83212294e+29 -1.00000000e+00 
85 241.14 2.96923515e+30 -1.00000000e+00 
86 241.94 2.87636166e+31 -1.00000000e+00 
87 242.75 2.57368605e+32 -1.00000000e+00 
88 243.55 2.12712328e+33 -1.00000000e+00 
89 244.36 1.61242185e+34 -1.00000000e+00 
90 245.16 1.11017938e+35 -1.00000000e+00 
91 245.97 6.85857287e+35 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 0.00000000e+00 
97 250.80 -1.00000000e+00 0.00000000e+00 
98 251.60 -1.00000000e+00 0.00000000e+00 
99 252.41 -1.00000000e+00 0.00000000e+00 
100 253.21 -1.00000000e+00 0.00000000e+00 
101 254.02 -1.00000000e+00 0.00000000e+00 
102 254.82 -1.00000000e+00 0.00000000e+00 
103 255.63 -1.00000000e+00 0.00000000e+00 
104 256.44 -1.00000000e+00 0.00000000e+00 
105 257.24 -1.00000000e+00 0.00000000e+00 
106 258.05 -1.00000000e+00 0.00000000e+00 
107 258.85 -1.00000000e+00 0.00000000e+00 
108 259.66 -1.00000000e+00 0.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 1.61261256e+36 -1.00000000e+00 
113 263.69 2.56379779e+35 -1.00000000e+00 
114 264.49 4.17067793e+34 -1.00000000e+00 
115 265.30 5.83128746e+33 -1.00000000e+00 
116 266.11 6.53945694e+32 -1.00000000e+00 
117 266.91 6.39684287e+31 -1.00000000e+00 
118 267.72 5.43403754e+30 -1.00000000e+00 
119 268.53 3.94044460e+29 -1.00000000e+00 
120 269.33 3.11548778e+28 -1.00000000e+00 
121 270.14 2.87339590e+27 -1.00000000e+00 
122 270.95 2.44040057e+26 -1.00000000e+00 
123 271.75 1.90926280e+25 -1.00000000e+00 
124 272.56 1.37617596e+24 -1.00000000e+00 
125 273.37 8.65961594e+22 -1.00000000e+00 
126 274.17 5.34308974e+21 -1.00000000e+00 
127 274.98 3.91347291e+20 -1.00000000e+00 
128 275.79 3.23317595e+19 -1.00000000e+00 
129 276.59 2.91343671e+18 2.52275573e+17 
130 277.40 2.71974921e+17 2.34163356e+16 
131 278.21 2.45397080e+16 1.95793667e+15 
132 279.01 2.41071495e+15 1.89164654e+14 
133 279.82 2.50014073e+14 1.91596625e+13 
134 280.63 2.53335689e+13 1.87729773e+12 
135 281.43 2.72859346e+12 1.89478961e+11 
136 282.24 3.53595228e+11 2.41148109e+10 
137 283.05 5.57968425e+10 3.72428954e+09 
138 283.86 9.31194982e+09 6.08157696e+08 
139 284.66 1.60330138e+09 9.97689520e+07 
140 285.47 3.09965504e+08 1.77861020e+07 
141 286.28 7.17245520e+07 4.07494250e+06 
142 287.09 1.77812680e+07 9.73240313e+05 
143 287.89 4.43676450e+06 2.49001250e+05 
144 288.70 1.23060700e+06 6.40288906e+04 
145 289.51 3.91795438e+05 2.09226738e+04 
146 290.32 1.39117125e+05 7.18841260e+03 
147 291.12 5.14065508e+04 2.50537012e+03 
148 291.93 2.00230137e+04 9.83239990e+02 
149 292.74 8.49170117e+03 4.08336853e+02 
150 293.55 3.90949170e+03 1.89186539e+02 
151 294.35 1.92175452e+03 9.29888840e+01 
152 295.16 1.00925250e+03 4.86125488e+01 
153 295.97 5.52990601e+02 2.47553959e+01 
154 296.78 3.20740845e+02 1.39528646e+01 
155 297.58 1.93868378e+02 8.79157639e+00 
156 298.39 1.23085533e+02 5.53344822e+00 
157 299.20 8.28580322e+01 3.30498624e+00 
158 300.01 5.82222786e+01 2.43468690e+00 
159 300.81 4.22095413e+01 1.80241716e+00 
160 301.62 3.16570244e+01 1.35599935e+00 
161 302.43 2.42860413e+01 1.01717353e+00 
162 303.24 1.95041389e+01 7.93587565e-01 
163 304.04 1.58069887e+01 6.51220262e-01 
164 304.85 1.31735392e+01 5.48623860e-01 
165 305.66 1.10504961e+01 4.29450393e-01 
166 306.47 9.51928806e+00 3.65600765e-01 
167 307.28 8.32434273e+00 3.28648150e-01 
168 308.08 7.46747065e+00 2.92791188e-01 
169 308.89 6.67385054e+00 2.72117645e-01 
170 309.70 6.02790546e+00 2.36958578e-01 
171 310.51 5.50910330e+00 2.18957826e-01 
172 311.32 5.10629225e+00 2.05757633e-01 
173 312.12 4.70170403e+00 1.82247758e-01 
174 312.93 4.38972998e+00 1.75765261e-01 
175 313.74 4.14795732e+00 1.55676290e-01 
176 314.55 3.95879507e+00 1.62420750e-01 
177 315.36 3.78246427e+00 1.37902573e-01 
178 316.16 3.65648794e+00 1.48287013e-01 
179 316.97 3.57022285e+00 1.38251737e-01 
180 317.78 3.43795109e+00 1.35315254e-01 
181 318.59 3.36537290e+00 1.24186821e-01 
182 319.40 3.28948736e+00 1.26417682e-01 
183 320.20 3.22069502e+00 1.24916509e-01 
184 321.01 3.17169213e+00 1.20899402e-01 
185 321.82 3.14010000e+00 1.21113598e-01 
186 322.63 3.12072349e+00 1.18289508e-01 
187 323.43 3.07712507e+00 1.11115940e-01 
188 324.24 3.05189490e+00 1.14892215e-01 
189 325.05 3.04942298e+00 1.15942553e-01 
190 325.86 3.02357864e+00 1.11247510e-01 
191 326.67 3.01240134e+00 1.13478415e-01 
192 327.48 3.02957797e+00 1.10685013e-01 
193 328.28 3.05119801e+00 1.13358006e-01 
194 329.09 3.04124188e+00 1.11194380e-01 
195 329.90 3.08783960e+00 1.10278465e-01 
196 330.71 3.14813972e+00 1.14293069e-01 
197 331.52 3.24536943e+00 1.10894866e-01 
198 332.32 3.41411495e+00 1.15285195e-01 
199 333.13 3.71833634e+00 1.32725492e-01 
200 333.94 4.33064032e+00 1.52219668e-01 
201 334.75 5.21914101e+00 1.77136540e-01 
202 335.55 6.39423084e+00 2.09204435e-01 
203 336.36 8.07738686e+00 2.58219123e-01 
204 337.17 1.06859236e+01 3.30344588e-01 
205 337.98 1.41141911e+01 4.39325035e-01 
206 338.79 1.81283398e+01 5.50596297e-01 
207 339.60 2.24881840e+01 6.74485922e-01 
208 340.40 2.62816963e+01 7.90267944e-01 
209 341.21 2.95645752e+01 8.88058960e-01 
210 342.02 3.34699059e+01 1.00379658e+00 
211 342.83 3.65171661e+01 1.09722364e+00 
212 343.63 3.71279335e+01 1.10206127e+00 
213 344.44 3.88801308e+01 1.17357492e+00 
214 345.25 4.31706276e+01 1.29469800e+00 
215 346.06 4.67962151e+01 1.40010512e+00 
216 346.87 4.91792946e+01 1.46837652e+00 
217 347.67 5.08920593e+01 1.51725888e+00 
218 348.48 5.27529411e+01 1.57058549e+00 
219 349.29 5.62085915e+01 1.68692470e+00 
220 350.10 6.15698509e+01 1.84618962e+00 
221 350.90 6.46030273e+01 1.93095207e+00 
222 351.71 6.45907059e+01 1.93169606e+00 
223 352.52 6.65151367e+01 1.98408115e+00 
224 353.33 7.29443512e+01 2.18068361e+00 
225 354.14 7.97733536e+01 2.37145519e+00 
226 354.94 8.22474365e+01 2.43635964e+00 
227 355.75 8.02410049e+01 2.37576962e+00 
228 356.56 7.55945129e+01 2.25534630e+00 
229 357.37 7.14241104e+01 2.13585520e+00 
230 358.18 7.18153687e+01 2.13034725e+00 
231 358.98 8.19070816e+01 2.44919300e+00 
232 359.79 9.27838593e+01 2.76614809e+00 
233 360.60 9.29701157e+01 2.77717781e+00 
234 361.41 9.24900284e+01 2.74973202e+00 
235 362.21 9.80539856e+01 2.92482615e+00 
236 363.02 1.03390366e+02 3.08299351e+00 
237 363.83 1.06648781e+02 3.19971347e+00 
238 364.64 1.12526428e+02 3.36366367e+00 
239 365.44 1.22886620e+02 3.67611432e+00 
240 366.25 1.30307297e+02 3.88249612e+00 
241 367.06 1.30375336e+02 3.86493707e+00 
242 367.87 1.28517044e+02 3.85607100e+00 
243 368.67 1.31218903e+02 3.90186834e+00 
244 369.48 1.36563416e+02 4.08191061e+00 
245 370.29 1.36881012e+02 4.08482027e+00 
246 371.10 1.35167160e+02 4.02110624e+00 
247 371.90 1.31157211e+02 3.89004540e+00 
248 372.71 1.23538651e+02 3.68911219e+00 
