% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\sleblanc\Research\ORACLES\data_2018\4STAR_20180922starsun.mat and recorded on 2018-09-25 11:26:00.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 -1.00000000e+00 -1.00000000e+00 
51 213.85 -1.00000000e+00 -1.00000000e+00 
52 214.65 -1.00000000e+00 -1.00000000e+00 
53 215.45 -1.00000000e+00 -1.00000000e+00 
54 216.25 7.18185425e+00 2.15455621e-01 
55 217.05 4.91054487e+00 1.47316352e-01 
56 217.85 3.75486159e+00 1.12645850e-01 
57 218.65 4.07182312e+00 1.22154690e-01 
58 219.46 3.81245017e+00 1.14373505e-01 
59 220.26 3.94461989e+00 1.18338600e-01 
60 221.06 4.01083708e+00 1.20325111e-01 
61 221.86 4.11316252e+00 1.23394877e-01 
62 222.66 4.07692146e+00 1.22307643e-01 
63 223.47 4.22457218e+00 1.26737162e-01 
64 224.27 4.18667841e+00 1.25600353e-01 
65 225.07 4.36349869e+00 1.30904958e-01 
66 225.87 4.40632010e+00 1.32189602e-01 
67 226.68 4.33681488e+00 1.30104452e-01 
68 227.48 4.39232349e+00 1.31769702e-01 
69 228.28 4.54262066e+00 1.36278614e-01 
70 229.08 4.54177141e+00 1.36253148e-01 
71 229.89 4.59341526e+00 1.37802452e-01 
72 230.69 4.62675858e+00 1.38802752e-01 
73 231.49 4.54378176e+00 1.36313453e-01 
74 232.30 4.34751511e+00 1.30425453e-01 
75 233.10 4.21378851e+00 1.26413658e-01 
76 233.90 4.16078997e+00 1.24823697e-01 
77 234.71 4.16936970e+00 1.25081092e-01 
78 235.51 3.93530154e+00 1.18059047e-01 
79 236.32 3.94440913e+00 1.18332274e-01 
80 237.12 3.84921741e+00 1.15476519e-01 
81 237.92 3.61082244e+00 1.08324677e-01 
82 238.73 3.65899229e+00 1.09769769e-01 
83 239.53 3.63387108e+00 1.09016135e-01 
84 240.34 3.36383390e+00 1.00915015e-01 
85 241.14 3.44896865e+00 1.03469059e-01 
86 241.94 3.78032923e+00 1.13409877e-01 
87 242.75 4.59735966e+00 1.37920797e-01 
88 243.55 -1.00000000e+00 -1.00000000e+00 
89 244.36 -1.00000000e+00 -1.00000000e+00 
90 245.16 -1.00000000e+00 -1.00000000e+00 
91 245.97 -1.00000000e+00 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 -1.00000000e+00 -1.00000000e+00 
113 263.69 -1.00000000e+00 -1.00000000e+00 
114 264.49 -1.00000000e+00 -1.00000000e+00 
115 265.30 -1.00000000e+00 -1.00000000e+00 
116 266.11 7.04036617e+00 2.11210981e-01 
117 266.91 2.92000866e+00 8.76002610e-02 
118 267.72 2.97953224e+00 8.93859640e-02 
119 268.53 3.23109484e+00 9.69328433e-02 
120 269.33 3.29271173e+00 9.87813547e-02 
121 270.14 3.25807667e+00 9.77422968e-02 
122 270.95 3.34520221e+00 1.00356065e-01 
123 271.75 3.44055867e+00 1.03216760e-01 
124 272.56 3.48334646e+00 1.04500391e-01 
125 273.37 3.57445002e+00 1.07233502e-01 
126 274.17 3.68060708e+00 1.10418215e-01 
127 274.98 3.83699083e+00 1.15109727e-01 
128 275.79 3.88358283e+00 1.16507486e-01 
129 276.59 3.94520688e+00 1.18356206e-01 
130 277.40 4.14281416e+00 1.24284424e-01 
131 278.21 4.36125231e+00 1.30837575e-01 
132 279.01 4.46501732e+00 1.33950517e-01 
133 279.82 4.22928047e+00 1.26878411e-01 
134 280.63 3.97373843e+00 1.19212151e-01 
135 281.43 3.73802638e+00 1.12140790e-01 
136 282.24 3.47700071e+00 1.04310021e-01 
137 283.05 3.26885772e+00 9.80657339e-02 
138 283.86 3.09673452e+00 9.29020345e-02 
139 284.66 2.92969322e+00 8.78907964e-02 
140 285.47 2.80602479e+00 8.41807425e-02 
141 286.28 2.67522526e+00 8.02567601e-02 
142 287.09 2.55967045e+00 7.67901167e-02 
143 287.89 2.42349792e+00 7.27049410e-02 
144 288.70 2.37059736e+00 7.11179227e-02 
145 289.51 2.26278639e+00 6.78835884e-02 
146 290.32 2.20243621e+00 6.60730898e-02 
147 291.12 2.14847660e+00 6.44542947e-02 
148 291.93 2.08109450e+00 6.24328367e-02 
149 292.74 2.01823187e+00 6.05469570e-02 
150 293.55 1.99004650e+00 5.97013943e-02 
151 294.35 1.92944288e+00 5.78832850e-02 
152 295.16 1.88201737e+00 5.64605221e-02 
153 295.97 1.85925937e+00 5.57777807e-02 
154 296.78 1.83795416e+00 5.51386252e-02 
155 297.58 1.80150700e+00 5.40452115e-02 
156 298.39 1.77540660e+00 5.32621965e-02 
157 299.20 1.75480616e+00 5.26441857e-02 
158 300.01 1.73967040e+00 5.21901101e-02 
159 300.81 1.73173332e+00 5.19520007e-02 
160 301.62 1.69515932e+00 5.08547798e-02 
161 302.43 1.68929791e+00 5.06789386e-02 
162 303.24 1.71603632e+00 5.14810905e-02 
163 304.04 1.69097424e+00 5.07292263e-02 
164 304.85 1.66898608e+00 5.00695817e-02 
165 305.66 1.67338777e+00 5.02016321e-02 
166 306.47 1.67858636e+00 5.03575914e-02 
167 307.28 1.65793300e+00 4.97379899e-02 
168 308.08 1.66433620e+00 4.99300845e-02 
169 308.89 1.66377759e+00 4.99133281e-02 
170 309.70 1.68499506e+00 5.05498499e-02 
171 310.51 1.64779663e+00 4.94338982e-02 
172 311.32 1.66698384e+00 5.00095151e-02 
173 312.12 1.64840901e+00 4.94522713e-02 
174 312.93 1.68998110e+00 5.06994314e-02 
175 313.74 1.71407008e+00 5.14221042e-02 
176 314.55 1.68353915e+00 5.05061746e-02 
177 315.36 1.68511355e+00 5.05534075e-02 
178 316.16 1.71691155e+00 5.15073463e-02 
179 316.97 1.70844138e+00 5.12532406e-02 
180 317.78 1.71894073e+00 5.15682213e-02 
181 318.59 1.74727607e+00 5.24182804e-02 
182 319.40 1.74771667e+00 5.24315014e-02 
183 320.20 1.78373349e+00 5.35120033e-02 
184 321.01 1.79944992e+00 5.39834984e-02 
185 321.82 1.82552373e+00 5.47657125e-02 
186 322.63 1.86784625e+00 5.60353883e-02 
187 323.43 1.86125636e+00 5.58376908e-02 
188 324.24 1.90982044e+00 5.72946146e-02 
189 325.05 1.93286300e+00 5.79858907e-02 
190 325.86 1.95401669e+00 5.86205013e-02 
191 326.67 1.97767568e+00 5.93302697e-02 
192 327.48 2.01617026e+00 6.04851097e-02 
193 328.28 2.03310108e+00 6.09930307e-02 
194 329.09 2.08075190e+00 6.24225587e-02 
195 329.90 2.11965728e+00 6.35897219e-02 
196 330.71 2.21046901e+00 6.63140714e-02 
197 331.52 2.30064106e+00 6.90192282e-02 
198 332.32 2.49514842e+00 7.48544559e-02 
199 333.13 2.83437824e+00 8.50313455e-02 
200 333.94 3.43688154e+00 1.03106447e-01 
201 334.75 4.27672100e+00 1.28301635e-01 
202 335.55 5.40827084e+00 1.62248120e-01 
203 336.36 7.04570770e+00 2.11371228e-01 
204 337.17 9.59684181e+00 2.87905246e-01 
205 337.98 1.30260258e+01 3.90780777e-01 
206 338.79 1.69773464e+01 5.09320378e-01 
207 339.60 2.13006592e+01 6.39019787e-01 
208 340.40 2.50543594e+01 7.51630783e-01 
209 341.21 2.82896881e+01 8.48690629e-01 
210 342.02 3.21565933e+01 9.64697778e-01 
211 342.83 3.51331367e+01 1.05399406e+00 
212 343.63 3.57092819e+01 1.07127845e+00 
213 344.44 3.74190063e+01 1.12257016e+00 
214 345.25 4.15710754e+01 1.24713230e+00 
215 346.06 4.51627960e+01 1.35488391e+00 
216 346.87 4.75164261e+01 1.42549276e+00 
217 347.67 4.92189102e+01 1.47656727e+00 
218 348.48 5.10225754e+01 1.53067732e+00 
219 349.29 5.44356651e+01 1.63306999e+00 
220 350.10 5.97522354e+01 1.79256701e+00 
221 350.90 6.27180328e+01 1.88154101e+00 
222 351.71 6.27137260e+01 1.88141179e+00 
223 352.52 6.45723419e+01 1.93717027e+00 
224 353.33 7.08649216e+01 2.12594771e+00 
225 354.14 7.75874100e+01 2.32762241e+00 
226 354.94 7.99893646e+01 2.39968085e+00 
227 355.75 7.80624084e+01 2.34187222e+00 
228 356.56 7.34034805e+01 2.20210433e+00 
229 357.37 6.93596649e+01 2.08079004e+00 
230 358.18 6.97130890e+01 2.09139276e+00 
231 358.98 7.96583252e+01 2.38974977e+00 
232 359.79 9.03241730e+01 2.70972514e+00 
233 360.60 9.05074921e+01 2.71522474e+00 
234 361.41 8.99788971e+01 2.69936681e+00 
235 362.21 9.55560455e+01 2.86668134e+00 
236 363.02 1.00751358e+02 3.02254081e+00 
237 363.83 1.03899643e+02 3.11698937e+00 
238 364.64 1.09685486e+02 3.29056454e+00 
239 365.44 1.19824585e+02 3.59473753e+00 
240 366.25 1.27118713e+02 3.81356144e+00 
241 367.06 1.27268700e+02 3.81806087e+00 
242 367.87 1.25356598e+02 3.76069784e+00 
243 368.67 1.28092377e+02 3.84277129e+00 
244 369.48 1.33287888e+02 3.99863672e+00 
245 370.29 1.33609619e+02 4.00828838e+00 
246 371.10 1.31954193e+02 3.95862579e+00 
247 371.90 1.28018616e+02 3.84055853e+00 
248 372.71 1.20463013e+02 3.61389041e+00 
249 373.52 1.14395546e+02 3.43186641e+00 
250 374.33 1.15170670e+02 3.45512009e+00 
251 375.13 1.24055763e+02 3.72167301e+00 
252 375.94 1.34712830e+02 4.04138470e+00 
253 376.75 1.46616119e+02 4.39848375e+00 
254 377.56 1.59568695e+02 4.78706074e+00 
255 378.36 1.60544067e+02 4.81632185e+00 
256 379.17 1.51735886e+02 4.55207634e+00 
257 379.98 1.50055954e+02 4.50167847e+00 
258 380.78 1.48482666e+02 4.45448017e+00 
259 381.59 1.33143372e+02 3.99430108e+00 
260 382.40 1.13579651e+02 3.40738964e+00 
261 383.20 1.07312386e+02 3.21937156e+00 
262 384.01 1.18757416e+02 3.56272244e+00 
263 384.82 1.32974350e+02 3.98923039e+00 
264 385.63 1.37489914e+02 4.12469721e+00 
265 386.43 1.38448059e+02 4.15344191e+00 
266 387.24 1.39139862e+02 4.17419577e+00 
267 388.05 1.41816040e+02 4.25448132e+00 
268 388.85 1.51425095e+02 4.54275274e+00 
269 389.66 1.65183121e+02 4.95549345e+00 
270 390.47 1.74893707e+02 5.24681139e+00 
271 391.27 1.73151627e+02 5.19454861e+00 
272 392.08 1.50808197e+02 4.52424574e+00 
273 392.89 1.22421364e+02 3.67264080e+00 
274 393.69 1.21538605e+02 3.64615822e+00 
275 394.50 1.46791641e+02 4.40374947e+00 
276 395.31 1.58772827e+02 4.76318502e+00 
277 396.11 1.44501160e+02 4.33503485e+00 
278 396.92 1.40807327e+02 4.22421980e+00 
279 397.73 1.70747162e+02 5.12241507e+00 
280 398.53 2.07224884e+02 6.21674633e+00 
281 399.34 2.28001297e+02 6.84003878e+00 
282 400.15 2.38215683e+02 7.14647055e+00 
283 400.95 2.46100891e+02 7.38302660e+00 
284 401.76 2.51946625e+02 7.55839872e+00 
285 402.57 2.52993378e+02 7.58980131e+00 
286 403.37 2.51379608e+02 7.54138803e+00 
287 404.18 2.50452240e+02 7.51356697e+00 
288 404.99 2.49316940e+02 7.47950840e+00 
289 405.79 2.48310242e+02 7.44930744e+00 
290 406.60 2.49897888e+02 7.49693680e+00 
291 407.40 2.57233917e+02 7.71701765e+00 
292 408.21 2.66996857e+02 8.00990582e+00 
293 409.02 2.69111847e+02 8.07335567e+00 
294 409.82 2.65657959e+02 7.96973896e+00 
295 410.63 2.70894470e+02 8.12683392e+00 
296 411.43 2.82596771e+02 8.47790337e+00 
297 412.24 2.88256104e+02 8.64768314e+00 
298 413.05 2.87858185e+02 8.63574600e+00 
299 413.85 2.87244202e+02 8.61732578e+00 
300 414.66 2.86879272e+02 8.60637856e+00 
301 415.46 2.87176117e+02 8.61528397e+00 
302 416.27 2.85722260e+02 8.57166767e+00 
303 417.08 2.80199890e+02 8.40599632e+00 
304 417.88 2.74287872e+02 8.22863579e+00 
305 418.69 2.71348389e+02 8.14045143e+00 
306 419.49 2.71007263e+02 8.13021755e+00 
307 420.30 2.73727875e+02 8.21183586e+00 
308 421.11 2.75168579e+02 8.25505733e+00 
309 421.91 2.70857147e+02 8.12571430e+00 
310 422.72 2.65970276e+02 7.97910833e+00 
311 423.52 2.66216553e+02 7.98649645e+00 
312 424.33 2.68833160e+02 8.06499481e+00 
313 425.13 2.70254669e+02 8.10764027e+00 
314 425.94 2.70368744e+02 8.11106205e+00 
315 426.74 2.70430634e+02 8.11291885e+00 
316 427.55 2.70717194e+02 8.12151623e+00 
317 428.36 2.67669922e+02 8.03009796e+00 
318 429.16 2.57073425e+02 7.71220255e+00 
319 429.96 2.48751099e+02 7.46253300e+00 
320 430.77 2.62294037e+02 7.86882114e+00 
321 431.58 2.94062988e+02 8.82188988e+00 
322 432.38 3.22330994e+02 9.66992950e+00 
323 433.19 3.35897583e+02 1.00769272e+01 
324 433.99 3.46140137e+02 1.03842039e+01 
325 434.80 3.64490997e+02 1.09347296e+01 
326 435.60 3.86903625e+02 1.16071091e+01 
327 436.41 4.00835175e+02 1.20250549e+01 
328 437.21 4.01504883e+02 1.20451469e+01 
329 438.02 3.99395264e+02 1.19818583e+01 
330 438.82 4.06341919e+02 1.21902580e+01 
331 439.63 4.22206116e+02 1.26661835e+01 
332 440.43 4.42556824e+02 1.32767048e+01 
333 441.24 4.63414886e+02 1.39024467e+01 
334 442.04 4.81476074e+02 1.44442825e+01 
335 442.85 4.93952484e+02 1.48185749e+01 
336 443.65 5.01993134e+02 1.50597944e+01 
337 444.45 5.05555328e+02 1.51666603e+01 
338 445.26 5.06700714e+02 1.52010212e+01 
339 446.06 5.13920349e+02 1.54176102e+01 
340 446.87 5.28609436e+02 1.58582830e+01 
341 447.67 5.44335999e+02 1.63300800e+01 
342 448.48 5.56563171e+02 1.66968956e+01 
343 449.28 5.69023438e+02 1.70707035e+01 
344 450.09 5.82314148e+02 1.74694252e+01 
345 450.89 5.88491211e+02 1.76547356e+01 
346 451.70 5.81909485e+02 1.74572849e+01 
347 452.50 5.71407227e+02 1.71422176e+01 
348 453.30 5.68742432e+02 1.70622730e+01 
349 454.11 5.74104980e+02 1.72231503e+01 
350 454.91 5.84278381e+02 1.75283508e+01 
351 455.72 5.94789124e+02 1.78436737e+01 
352 456.52 6.03057678e+02 1.80917301e+01 
353 457.32 6.06068420e+02 1.81820526e+01 
354 458.13 6.04874878e+02 1.81462460e+01 
355 458.93 6.04993774e+02 1.81498127e+01 
356 459.74 6.10257080e+02 1.83077126e+01 
357 460.54 6.19184570e+02 1.85755367e+01 
358 461.34 6.28262695e+02 1.88478813e+01 
359 462.15 6.33633301e+02 1.90089989e+01 
360 462.95 6.33143127e+02 1.89942932e+01 
361 463.76 6.28817139e+02 1.88645134e+01 
362 464.56 6.25166077e+02 1.87549820e+01 
363 465.36 6.22521606e+02 1.86756477e+01 
364 466.17 6.21182800e+02 1.86354847e+01 
365 466.97 6.22565796e+02 1.86769733e+01 
366 467.77 6.26323181e+02 1.87896957e+01 
367 468.58 6.29645569e+02 1.88893661e+01 
368 469.38 6.29699890e+02 1.88909969e+01 
369 470.18 6.31317993e+02 1.89395390e+01 
370 470.99 6.39443604e+02 1.91833076e+01 
371 471.79 6.49552429e+02 1.94865723e+01 
372 472.59 6.57481812e+02 1.97244549e+01 
373 473.40 6.63429260e+02 1.99028778e+01 
374 474.20 6.67489929e+02 2.00246983e+01 
375 475.00 6.69684937e+02 2.00905476e+01 
376 475.81 6.71667053e+02 2.01500111e+01 
377 476.61 6.76357788e+02 2.02907333e+01 
378 477.41 6.83400146e+02 2.05020046e+01 
379 478.21 6.89687866e+02 2.06906357e+01 
380 479.02 6.93943054e+02 2.08182907e+01 
381 479.82 6.96832825e+02 2.09049854e+01 
382 480.62 7.00208557e+02 2.10062561e+01 
383 481.43 7.01633057e+02 2.10489922e+01 
384 482.23 6.99795654e+02 2.09938698e+01 
385 483.03 6.93842773e+02 2.08152828e+01 
386 483.84 6.81279419e+02 2.04383831e+01 
387 484.64 6.57180908e+02 1.97154274e+01 
388 485.44 6.30113770e+02 1.89034138e+01 
389 486.24 6.18115173e+02 1.85434551e+01 
390 487.04 6.25336914e+02 1.87601070e+01 
391 487.85 6.44810486e+02 1.93443146e+01 
392 488.65 6.65435730e+02 1.99630718e+01 
393 489.45 6.78672241e+02 2.03601665e+01 
394 490.26 6.81724609e+02 2.04517384e+01 
395 491.06 6.77860413e+02 2.03358116e+01 
396 491.86 6.73576355e+02 2.02072906e+01 
397 492.66 6.74841736e+02 2.02452526e+01 
398 493.46 6.82599304e+02 2.04779797e+01 
399 494.27 6.90194214e+02 2.07058258e+01 
400 495.07 6.93873230e+02 2.08161964e+01 
401 495.87 6.94995422e+02 2.08498631e+01 
402 496.67 6.91367798e+02 2.07410336e+01 
403 497.48 6.85590881e+02 2.05677261e+01 
404 498.28 6.80460571e+02 2.04138165e+01 
405 499.08 6.73896362e+02 2.02168903e+01 
406 499.88 6.66451538e+02 1.99935455e+01 
407 500.68 6.60534973e+02 1.98160496e+01 
408 501.48 6.58776978e+02 1.97633095e+01 
409 502.29 6.61691956e+02 1.98507595e+01 
410 503.09 6.66001404e+02 1.99800415e+01 
411 503.89 6.71907593e+02 2.01572285e+01 
412 504.69 6.79129944e+02 2.03738976e+01 
413 505.49 6.84209412e+02 2.05262833e+01 
414 506.29 6.84092285e+02 2.05227680e+01 
415 507.09 6.80200073e+02 2.04060020e+01 
416 507.90 6.77071228e+02 2.03121376e+01 
417 508.70 6.76436523e+02 2.02930965e+01 
418 509.50 6.77526306e+02 2.03257885e+01 
419 510.30 6.79151367e+02 2.03745403e+01 
420 511.10 6.77965149e+02 2.03389549e+01 
421 511.90 6.73135864e+02 2.01940765e+01 
422 512.71 6.65556274e+02 1.99666882e+01 
423 513.51 6.57995605e+02 1.97398682e+01 
424 514.31 6.52099060e+02 1.95629711e+01 
425 515.11 6.41158325e+02 1.92347488e+01 
426 515.91 6.23211792e+02 1.86963539e+01 
427 516.71 6.06923889e+02 1.82077160e+01 
428 517.51 5.99602478e+02 1.79880753e+01 
429 518.31 6.06502686e+02 1.81950798e+01 
430 519.11 6.22420959e+02 1.86726284e+01 
431 519.91 6.37440186e+02 1.91232052e+01 
432 520.71 6.47932068e+02 1.94379616e+01 
433 521.52 6.51570679e+02 1.95471210e+01 
434 522.32 6.54197876e+02 1.96259365e+01 
435 523.12 6.59586060e+02 1.97875824e+01 
436 523.92 6.64305481e+02 1.99291649e+01 
437 524.72 6.62678650e+02 1.98803596e+01 
438 525.52 6.51538330e+02 1.95461502e+01 
439 526.32 6.40501343e+02 1.92150402e+01 
440 527.12 6.40917419e+02 1.92275219e+01 
441 527.92 6.51778564e+02 1.95533562e+01 
442 528.72 6.66422302e+02 1.99926682e+01 
443 529.52 6.78068298e+02 2.03420486e+01 
444 530.32 6.82638367e+02 2.04791508e+01 
445 531.12 6.79077148e+02 2.03723145e+01 
446 531.92 6.72215942e+02 2.01664791e+01 
447 532.72 6.67020935e+02 2.00106277e+01 
448 533.52 6.67379822e+02 2.00213947e+01 
449 534.32 6.73223816e+02 2.01967144e+01 
450 535.12 6.77709839e+02 2.03312950e+01 
451 535.92 6.77516296e+02 2.03254890e+01 
452 536.72 6.75725647e+02 2.02717686e+01 
453 537.52 6.72984680e+02 2.01895409e+01 
454 538.32 6.68628784e+02 2.00588627e+01 
455 539.12 6.62705811e+02 1.98811741e+01 
456 539.92 6.57881104e+02 1.97364330e+01 
457 540.72 6.57215088e+02 1.97164536e+01 
458 541.52 6.60068970e+02 1.98020687e+01 
459 542.32 6.65434753e+02 1.99630432e+01 
460 543.12 6.70645203e+02 2.01193562e+01 
461 543.92 6.74426453e+02 2.02327938e+01 
462 544.72 6.76824646e+02 2.03047390e+01 
463 545.52 6.76369751e+02 2.02910919e+01 
464 546.32 6.72987915e+02 2.01896381e+01 
465 547.12 6.69171936e+02 2.00751572e+01 
466 547.91 6.67457764e+02 2.00237331e+01 
467 548.71 6.66987549e+02 2.00096264e+01 
468 549.51 6.67061340e+02 2.00118408e+01 
469 550.31 6.66854309e+02 2.00056286e+01 
470 551.11 6.66265015e+02 1.99879513e+01 
471 551.91 6.65921021e+02 1.99776306e+01 
472 552.71 6.66516724e+02 1.99955025e+01 
473 553.51 6.68827759e+02 2.00648327e+01 
474 554.31 6.69721680e+02 2.00916500e+01 
475 555.10 6.67228394e+02 2.00168514e+01 
476 555.90 6.62637939e+02 1.98791389e+01 
477 556.70 6.57069397e+02 1.97120819e+01 
478 557.50 6.49092041e+02 1.94727612e+01 
479 558.30 6.43121948e+02 1.92936592e+01 
480 559.10 6.42631165e+02 1.92789345e+01 
481 559.90 6.43633362e+02 1.93090000e+01 
482 560.70 6.46984863e+02 1.94095459e+01 
483 561.49 6.52566589e+02 1.95769978e+01 
484 562.29 6.56043152e+02 1.96812954e+01 
485 563.09 6.57551453e+02 1.97265434e+01 
486 563.89 6.58312866e+02 1.97493858e+01 
487 564.69 6.57331055e+02 1.97199326e+01 
