% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2018-09-25 11:41:50.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -au-g , In f-li-gh, In f-li-gh. See the list of files below
% 20180811_VIS_C0_refined_Langley_4STAR_averaged_with_MLO_2018_Aug_11_12.dat
% 20180921_4STAR_VIS_C0_refined_flight_langley_am.dat
% 20180922_VIS_C0_4STAR_refined_flight_langley_am.dat
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 0.00000000e+00 
47 210.64 -1.00000000e+00 0.00000000e+00 
48 211.44 -1.00000000e+00 0.00000000e+00 
49 212.24 -1.00000000e+00 0.00000000e+00 
50 213.04 -1.00000000e+00 0.00000000e+00 
51 213.85 -1.00000000e+00 0.00000000e+00 
52 214.65 -1.00000000e+00 0.00000000e+00 
53 215.45 -3.42923085e-01 1.13809060e+00 
54 216.25 2.69087736e+00 4.14919320e+00 
55 217.05 1.83734298e+00 2.96232295e+00 
56 217.85 1.60799432e+00 2.41073760e+00 
57 218.65 1.66906309e+00 2.54637692e+00 
58 219.46 1.60921192e+00 2.43177510e+00 
59 220.26 1.65327493e+00 2.49209981e+00 
60 221.06 3.53721563e+00 1.44269637e+00 
61 221.86 4.02029014e+00 1.98065585e+00 
62 222.66 3.78633753e+00 1.62320516e+00 
63 223.47 2.25781136e+00 1.86832325e+00 
64 224.27 2.25427717e+00 1.87789866e+00 
65 225.07 2.35822133e+00 1.90117505e+00 
66 225.87 2.39167098e+00 1.92020176e+00 
67 226.68 2.56128597e+00 1.61796765e+00 
68 227.48 2.90943710e+00 1.28680130e+00 
69 228.28 6.10216913e+00 4.62351459e+00 
70 229.08 5.35103075e+00 3.12990714e+00 
71 229.89 6.37074542e+00 4.73501459e+00 
72 230.69 6.08645899e+00 4.20268553e+00 
73 231.49 5.65316097e+00 3.66590383e+00 
74 232.30 5.51276740e+00 3.77811251e+00 
75 233.10 2.77416722e+00 1.25450110e+00 
76 233.90 2.51322103e+00 1.48575590e+00 
77 234.71 2.29039548e+00 1.77299962e+00 
78 235.51 2.13958572e+00 1.72731223e+00 
79 236.32 2.14848250e+00 1.70558324e+00 
80 237.12 3.40246105e+00 1.38061954e+00 
81 237.92 3.76489242e+00 2.00310998e+00 
82 238.73 3.62058989e+00 1.83463894e+00 
83 239.53 1.45818154e+00 2.32981579e+00 
84 240.34 1.41148956e+00 2.21785309e+00 
85 241.14 1.41435862e+00 2.24866344e+00 
86 241.94 1.53873531e+00 2.40397725e+00 
87 242.75 1.87086757e+00 2.80147140e+00 
88 243.55 -4.34313098e-01 9.79798455e-01 
89 244.36 -1.00000000e+00 0.00000000e+00 
90 245.16 -1.00000000e+00 0.00000000e+00 
91 245.97 -1.00000000e+00 0.00000000e+00 
92 246.77 -1.00000000e+00 0.00000000e+00 
93 247.58 -1.00000000e+00 0.00000000e+00 
94 248.38 -1.00000000e+00 0.00000000e+00 
95 249.19 -1.00000000e+00 0.00000000e+00 
96 249.99 -1.00000000e+00 0.00000000e+00 
97 250.80 -1.00000000e+00 0.00000000e+00 
98 251.60 -1.00000000e+00 0.00000000e+00 
99 252.41 -1.00000000e+00 0.00000000e+00 
100 253.21 -1.00000000e+00 0.00000000e+00 
101 254.02 -1.00000000e+00 0.00000000e+00 
102 254.82 -1.00000000e+00 0.00000000e+00 
103 255.63 -1.00000000e+00 0.00000000e+00 
104 256.44 -1.00000000e+00 0.00000000e+00 
105 257.24 -1.00000000e+00 0.00000000e+00 
106 258.05 -1.00000000e+00 0.00000000e+00 
107 258.85 -1.00000000e+00 0.00000000e+00 
108 259.66 -1.00000000e+00 0.00000000e+00 
109 260.46 -1.00000000e+00 0.00000000e+00 
110 261.27 -1.00000000e+00 0.00000000e+00 
111 262.08 -1.00000000e+00 0.00000000e+00 
112 262.88 -1.00000000e+00 0.00000000e+00 
113 263.69 -1.00000000e+00 0.00000000e+00 
114 264.49 -1.00000000e+00 0.00000000e+00 
115 265.30 -7.02173382e-01 5.15850834e-01 
116 266.11 2.49821397e+00 4.12058580e+00 
117 266.91 1.11104659e+00 1.97738673e+00 
118 267.72 1.17575582e+00 2.01567500e+00 
119 268.53 1.25970896e+00 2.13023204e+00 
120 269.33 1.28734191e+00 2.16020247e+00 
121 270.14 6.65672206e+00 7.33100792e+00 
