% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2018-10-06 11:10:45.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -au-g , In f-li-gh, In f-li-gh, In f-li-gh. See the list of files below
% 20180811_NIR_C0_refined_Langley_4STAR_averaged_with_MLO_2018_Aug_11_12.dat
% 20180921_4STAR_NIR_C0_refined_flight_langley_am.dat
% 20180922_NIR_C0_4STAR_refined_flight_langley_am.dat
% 20181005_NIR_C0_4STAR_refined_flight_langley_am.dat
Pix Wavelength C0 C0err
511 949.79 4.87031010e+00 5.99944681e-01 
510 949.79 5.12924242e+00 3.87024482e-01 
509 951.68 5.51091486e+00 3.94063250e-01 
508 953.57 5.55633003e+00 3.76197579e-01 
507 955.46 6.01802975e+00 3.84947765e-01 
506 957.34 6.11001515e+00 3.62347968e-01 
505 959.22 6.57090533e+00 3.44265603e-01 
504 961.10 6.65927178e+00 2.97871746e-01 
503 962.98 7.08449876e+00 2.58453048e-01 
502 964.85 7.08364415e+00 2.31186931e-01 
501 966.72 7.58858431e+00 1.87348518e-01 
500 968.59 7.62647623e+00 1.44450133e-01 
499 970.45 8.03656959e+00 1.35520547e-01 
498 972.32 7.98920185e+00 1.34134954e-01 
497 974.18 8.32814229e+00 1.40456661e-01 
496 976.04 8.23022485e+00 1.30323931e-01 
495 977.89 8.57784283e+00 1.27171420e-01 
494 979.74 8.48040080e+00 9.58907634e-02 
493 981.59 8.77540982e+00 9.53107629e-02 
492 983.44 8.66235030e+00 7.49531854e-02 
491 985.29 8.91026116e+00 6.26924123e-02 
490 987.13 8.69534052e+00 7.00169984e-02 
489 988.97 8.92988741e+00 7.83107008e-02 
488 990.81 8.72765458e+00 9.49952246e-02 
487 992.65 8.90477169e+00 9.16943639e-02 
486 994.48 8.69964718e+00 8.36596001e-02 
485 996.31 8.85400057e+00 7.49158389e-02 
484 998.14 8.59726882e+00 6.88661576e-02 
483 999.97 8.75958109e+00 6.57926649e-02 
482 1001.79 8.47392046e+00 6.01751233e-02 
481 1003.62 8.55766952e+00 4.30063432e-02 
480 1005.44 8.33822643e+00 4.64529512e-02 
479 1007.25 8.58928847e+00 3.45213839e-02 
478 1009.07 8.38952398e+00 2.93960513e-02 
477 1010.88 8.56249404e+00 3.88796424e-02 
476 1012.69 8.30630934e+00 4.50971849e-02 
475 1014.50 8.42339802e+00 4.54696333e-02 
474 1016.31 8.20345748e+00 4.80881359e-02 
473 1018.11 8.36685657e+00 5.21194717e-02 
