% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2018-10-12 09:54:58.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -fe-b , In f-li-gh, In f-li-gh, In f-li-gh. See the list of files below
% 20180212_NIR_C0_4STAR_refined_averaged_MLO_Feb2018.dat
% 20180921_4STAR_NIR_C0_refined_flight_langley_am.dat
% 20180922_NIR_C0_4STAR_refined_flight_langley_am.dat
% 20181005_NIR_C0_4STAR_refined_flight_langley_am.dat
Pix Wavelength C0 C0err
511 949.79 4.98037675e+00 3.90825150e-01 
510 949.79 5.17329100e+00 3.07596017e-01 
509 951.68 5.55504850e+00 3.14639449e-01 
508 953.57 5.60003010e+00 2.97078480e-01 
507 955.46 6.05838233e+00 3.11520176e-01 
506 957.34 6.14856785e+00 2.92102486e-01 
505 959.22 6.60964480e+00 2.73384349e-01 
504 961.10 6.68781352e+00 2.46276208e-01 
503 962.98 7.10410968e+00 2.23214759e-01 
502 964.85 7.10337195e+00 1.96429672e-01 
501 966.72 7.59535811e+00 1.75474354e-01 
500 968.59 7.62932473e+00 1.39519105e-01 
499 970.45 8.04098624e+00 1.27885742e-01 
498 972.32 7.99209765e+00 1.29144519e-01 
497 974.18 8.32978505e+00 1.37499986e-01 
496 976.04 8.23841411e+00 1.15840704e-01 
495 977.89 8.58142656e+00 1.20680819e-01 
494 979.74 8.48423708e+00 8.88214920e-02 
493 981.59 8.78451437e+00 7.87453200e-02 
492 983.44 8.67029059e+00 6.09845001e-02 
491 985.29 8.91784537e+00 4.90232152e-02 
490 987.13 8.71231514e+00 4.25327629e-02 
489 988.97 8.94611007e+00 5.17860818e-02 
488 990.81 8.75618160e+00 4.60957352e-02 
487 992.65 8.92796987e+00 5.20120462e-02 
486 994.48 8.72438877e+00 4.13623421e-02 
485 996.31 8.87285519e+00 4.28229950e-02 
484 998.14 8.61607569e+00 3.95772359e-02 
483 999.97 8.77628881e+00 3.97553640e-02 
482 1001.79 8.48986971e+00 3.73031031e-02 
481 1003.62 8.56601691e+00 3.11090925e-02 
480 1005.44 8.34833950e+00 3.35866685e-02 
479 1007.25 8.58793950e+00 3.65301921e-02 
