% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2018-10-06 11:10:45.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , MLO -au-g , In f-li-gh, In f-li-gh, In f-li-gh. See the list of files below
% 20180811_VIS_C0_refined_Langley_4STAR_averaged_with_MLO_2018_Aug_11_12.dat
% 20180921_4STAR_VIS_C0_refined_flight_langley_am.dat
% 20180922_VIS_C0_4STAR_refined_flight_langley_am.dat
% 20181005_VIS_C0_4STAR_refined_flight_langley_am.dat
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 0.00000000e+00 
47 210.64 -1.00000000e+00 0.00000000e+00 
48 211.44 -1.00000000e+00 0.00000000e+00 
49 212.24 -1.00000000e+00 0.00000000e+00 
50 213.04 -1.00000000e+00 0.00000000e+00 
51 213.85 -1.00000000e+00 0.00000000e+00 
52 214.65 -1.00000000e+00 0.00000000e+00 
53 215.45 -5.07192314e-01 9.85615372e-01 
54 216.25 1.76815802e+00 3.85782927e+00 
55 217.05 1.12800723e+00 2.80408041e+00 
56 217.85 9.55995737e-01 2.36111113e+00 
57 218.65 1.00179732e+00 2.47055960e+00 
58 219.46 9.56908943e-01 2.37578411e+00 
59 220.26 9.89956200e-01 2.42906181e+00 
60 221.06 2.40291172e+00 2.55620095e+00 
61 221.86 2.76521760e+00 2.98599397e+00 
62 222.66 2.58975315e+00 2.73565106e+00 
63 223.47 1.44335852e+00 2.23168581e+00 
64 224.27 1.44070788e+00 2.23575093e+00 
65 225.07 1.51866600e+00 2.28671315e+00 
66 225.87 1.54375324e+00 2.30953990e+00 
67 226.68 1.67096448e+00 2.21718342e+00 
68 227.48 1.05852207e+01 1.53874794e+01 
69 228.28 8.68006092e+00 6.39009878e+00 
70 229.08 7.79128486e+00 5.50910516e+00 
71 229.89 8.05469782e+00 5.12734741e+00 
72 230.69 7.89623272e+00 4.98760138e+00 
73 231.49 7.79847426e+00 5.23151128e+00 
74 232.30 8.75844497e+00 7.18705650e+00 
75 233.10 1.18919411e+07 2.37838766e+07 
76 233.90 1.63491577e+00 2.13478981e+00 
77 234.71 1.46779661e+00 2.19142892e+00 
78 235.51 1.35468929e+00 2.11028939e+00 
79 236.32 1.36136187e+00 2.10180359e+00 
80 237.12 2.30184579e+00 2.47308634e+00 
81 237.92 2.57366932e+00 2.88981251e+00 
82 238.73 2.46544242e+00 2.75343351e+00 
83 239.53 8.43636155e-01 2.26480872e+00 
84 240.34 8.08617172e-01 2.17556170e+00 
85 241.14 8.10768963e-01 2.19733324e+00 
86 241.94 9.04051482e-01 2.33752690e+00 
87 242.75 1.15315068e+00 2.70048727e+00 
88 243.55 -5.75734824e-01 8.48530352e-01 
89 244.36 -1.00000000e+00 0.00000000e+00 
90 245.16 -1.00000000e+00 0.00000000e+00 
91 245.97 -1.00000000e+00 0.00000000e+00 
92 246.77 -1.00000000e+00 0.00000000e+00 
93 247.58 -1.00000000e+00 0.00000000e+00 
94 248.38 -1.00000000e+00 0.00000000e+00 
95 249.19 -1.00000000e+00 0.00000000e+00 
96 249.99 -1.00000000e+00 0.00000000e+00 
97 250.80 -1.00000000e+00 0.00000000e+00 
98 251.60 -1.00000000e+00 0.00000000e+00 
99 252.41 -1.00000000e+00 0.00000000e+00 
100 253.21 -1.00000000e+00 0.00000000e+00 
101 254.02 -1.00000000e+00 0.00000000e+00 
102 254.82 -1.00000000e+00 0.00000000e+00 
103 255.63 -1.00000000e+00 0.00000000e+00 
104 256.44 -1.00000000e+00 0.00000000e+00 
105 257.24 -1.00000000e+00 0.00000000e+00 
106 258.05 -1.00000000e+00 0.00000000e+00 
107 258.85 -1.00000000e+00 0.00000000e+00 
108 259.66 -1.00000000e+00 0.00000000e+00 
109 260.46 -1.00000000e+00 0.00000000e+00 
110 261.27 -1.00000000e+00 0.00000000e+00 
111 262.08 -1.00000000e+00 0.00000000e+00 
112 262.88 -1.00000000e+00 0.00000000e+00 
113 263.69 -1.00000000e+00 0.00000000e+00 
114 264.49 -1.00000000e+00 0.00000000e+00 
115 265.30 -7.76630037e-01 4.46739927e-01 
116 266.11 1.62366048e+00 3.79194675e+00 
117 266.91 5.83284945e-01 1.92894659e+00 
118 267.72 6.31816863e-01 1.97284283e+00 
119 268.53 6.94781720e-01 2.07408538e+00 
120 269.33 7.15506433e-01 2.10213377e+00 
