% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2019-04-29 17:18:29.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , In f-li-gh, In f-li-gh, In f-li-gh, MLO -fe-b . See the list of files below
% 20180921_4STAR_VIS_C0_refined_flight_langley_am.dat
% 20180922_VIS_C0_4STAR_refined_flight_langley_am.dat
% 20181005_VIS_C0_4STAR_refined_flight_langley_am.dat
% 20180212_VIS_C0_4STAR_refined_averaged_MLO_Feb2018_shortwvl.dat
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 0.00000000e+00 
47 210.64 -1.00000000e+00 0.00000000e+00 
48 211.44 -1.00000000e+00 0.00000000e+00 
49 212.24 -1.00000000e+00 0.00000000e+00 
50 213.04 -1.00000000e+00 0.00000000e+00 
51 213.85 -1.00000000e+00 0.00000000e+00 
52 214.65 -1.00000000e+00 0.00000000e+00 
53 215.45 -1.00000000e+00 0.00000000e+00 
54 216.25 1.04546356e+00 4.09092713e+00 
55 217.05 4.77636217e-01 2.95527244e+00 
56 217.85 5.86156189e-01 2.24146454e+00 
57 218.65 5.79986304e-01 2.40109500e+00 
58 219.46 5.64683288e-01 2.26998355e+00 
59 220.26 6.40446900e-01 2.33096783e+00 
60 221.06 2.06404743e+00 2.72623320e+00 
61 221.86 2.40398985e+00 3.19064172e+00 
62 222.66 2.21942255e+00 2.92878396e+00 
63 223.47 1.07437213e+00 2.22165573e+00 
64 224.27 1.04949476e+00 2.20934074e+00 
65 225.07 1.13598812e+00 2.27853167e+00 
66 225.87 2.70375923e+00 3.56425730e+00 
67 226.68 2.92407864e+00 3.58997345e+00 
68 227.48 1.15893974e+01 1.47812916e+01 
69 228.28 7.44997417e+00 6.18703256e+00 
70 229.08 7.24211285e+00 5.48365331e+00 
71 229.89 7.51902444e+00 4.70925322e+00 
72 230.69 9.33112757e+00 6.65702866e+00 
73 231.49 7.11417311e+00 5.06839480e+00 
74 232.30 7.95055715e+00 7.22204810e+00 
75 233.10 1.18919422e+07 2.37838759e+07 
76 233.90 2.84594334e+00 3.45507590e+00 
77 234.71 2.99127473e+00 4.05851185e+00 
78 235.51 9.93625991e-01 2.08799396e+00 
79 236.32 9.97128709e-01 2.09188908e+00 
80 237.12 1.96335387e+00 2.64176151e+00 
81 237.92 2.22651631e+00 3.08370581e+00 
82 238.73 2.11572370e+00 2.95328914e+00 
83 239.53 5.16240955e-01 2.18516522e+00 
84 240.34 3.96110190e-01 2.06045567e+00 
85 241.14 8.42026475e-01 2.21678733e+00 
86 241.94 1.95082307e-01 2.39016462e+00 
87 242.75 3.99339915e-01 2.79867983e+00 
88 243.55 -1.00000000e+00 0.00000000e+00 
89 244.36 -1.00000000e+00 0.00000000e+00 
90 245.16 -1.00000000e+00 0.00000000e+00 
91 245.97 -1.00000000e+00 0.00000000e+00 
92 246.77 -1.00000000e+00 0.00000000e+00 
93 247.58 -1.00000000e+00 0.00000000e+00 
94 248.38 -1.00000000e+00 0.00000000e+00 
95 249.19 -1.00000000e+00 0.00000000e+00 
96 249.99 -1.00000000e+00 0.00000000e+00 
97 250.80 -1.00000000e+00 0.00000000e+00 
98 251.60 -1.00000000e+00 0.00000000e+00 
99 252.41 -1.00000000e+00 0.00000000e+00 
100 253.21 -1.00000000e+00 0.00000000e+00 
101 254.02 -1.00000000e+00 0.00000000e+00 
102 254.82 -1.00000000e+00 0.00000000e+00 
103 255.63 -1.00000000e+00 0.00000000e+00 
104 256.44 -1.00000000e+00 0.00000000e+00 
105 257.24 -1.00000000e+00 0.00000000e+00 
106 258.05 -1.00000000e+00 0.00000000e+00 
107 258.85 -1.00000000e+00 0.00000000e+00 
108 259.66 -1.00000000e+00 0.00000000e+00 
109 260.46 -1.00000000e+00 0.00000000e+00 
110 261.27 -1.00000000e+00 0.00000000e+00 
111 262.08 -1.00000000e+00 0.00000000e+00 
112 262.88 -1.00000000e+00 0.00000000e+00 
113 263.69 -1.00000000e+00 0.00000000e+00 
114 264.49 -1.00000000e+00 0.00000000e+00 
115 265.30 -1.00000000e+00 0.00000000e+00 
116 266.11 1.01009154e+00 4.02018309e+00 
117 266.91 -1.99978350e-02 1.96000433e+00 
118 267.72 2.50140577e-01 1.88217723e+00 
119 268.53 3.53854016e-01 1.99775687e+00 
120 269.33 4.08446549e-01 2.02410211e+00 
