% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from 4STAR_20181007starsun.mat and recorded on 2019-04-30 11:23:32.
% Using a high altitude AOD spectra from ElFarafa AERONET station, which has been polyfit to extrapolate, calculating the c0 from the comparison 4STARs AOD at low airmass to AERONET. 
Pix Wavelength C0 C0err
511 949.79 5.44675684e+00 1.26785152e-02 
510 949.79 5.58957958e+00 1.23034660e-02 
509 951.68 5.98387527e+00 1.29527263e-02 
508 953.57 6.01280117e+00 1.31913042e-02 
507 955.46 6.47101450e+00 1.40152518e-02 
506 957.34 6.55195665e+00 1.35508673e-02 
505 959.22 6.99700737e+00 1.47736184e-02 
504 961.10 7.04005623e+00 1.12187741e-02 
503 962.98 7.44189644e+00 1.42752966e-02 
502 964.85 7.41516304e+00 1.50643634e-02 
501 966.72 7.88437843e+00 1.44425221e-02 
500 968.59 7.87945080e+00 1.38309682e-02 
499 970.45 8.27258968e+00 1.51913585e-02 
498 972.32 8.23160458e+00 1.59973707e-02 
497 974.18 8.56851959e+00 1.64213926e-02 
496 976.04 8.44913483e+00 1.60742048e-02 
495 977.89 8.78842163e+00 1.69740543e-02 
494 979.74 8.65464306e+00 1.54841375e-02 
493 981.59 8.93896580e+00 1.60169806e-02 
492 983.44 8.80595875e+00 1.64266713e-02 
491 985.29 9.05708122e+00 1.67928878e-02 
490 987.13 8.83569431e+00 1.52460895e-02 
489 988.97 9.06959343e+00 1.76740270e-02 
488 990.81 8.87636852e+00 1.81384590e-02 
487 992.65 9.05079651e+00 1.80238616e-02 
486 994.48 8.84619904e+00 1.57693531e-02 
485 996.31 8.99440575e+00 1.78390257e-02 
484 998.14 8.74237728e+00 1.64407399e-02 
483 999.97 8.89754772e+00 1.71747729e-02 
482 1001.79 8.61104298e+00 1.52770691e-02 
481 1003.62 8.68739891e+00 1.56665016e-02 
480 1005.44 8.46497726e+00 1.56097580e-02 
479 1007.25 8.71176624e+00 1.73521712e-02 
478 1009.07 8.51897240e+00 1.58201419e-02 
477 1010.88 8.70010471e+00 1.67216267e-02 
476 1012.69 8.43313026e+00 1.49837900e-02 
475 1014.50 8.55335617e+00 1.69617943e-02 
474 1016.31 8.32418823e+00 1.47178899e-02 
473 1018.11 8.48737907e+00 1.56793240e-02 
472 1019.91 8.25535583e+00 1.21310558e-02 
471 1021.71 8.42201328e+00 1.40540469e-02 
470 1023.51 8.18811035e+00 1.48391910e-02 
469 1025.30 8.37986088e+00 1.61803756e-02 
468 1027.09 8.24155617e+00 1.62144955e-02 
467 1028.88 8.39274311e+00 1.53831160e-02 
466 1030.67 8.23256969e+00 1.41155710e-02 
465 1032.46 8.43539047e+00 1.51783796e-02 
464 1034.24 8.27640724e+00 1.56634413e-02 
463 1036.02 8.48020267e+00 1.69778131e-02 
462 1037.80 8.36921215e+00 1.57306660e-02 
461 1039.58 8.58356667e+00 1.64671857e-02 
460 1041.35 8.43214798e+00 1.37162888e-02 
459 1043.12 8.59619999e+00 1.42229097e-02 
458 1044.89 8.50838566e+00 1.51883001e-02 
457 1046.66 8.73722935e+00 1.55090941e-02 
456 1048.43 8.64309597e+00 1.44104110e-02 
455 1050.19 8.87968063e+00 1.53815346e-02 
454 1051.95 8.71937656e+00 1.24414386e-02 
453 1053.71 8.96193886e+00 1.55182676e-02 
452 1055.47 8.78292465e+00 1.38533972e-02 
451 1057.23 8.91786671e+00 1.42234908e-02 
450 1058.98 8.75594234e+00 1.39347194e-02 
449 1060.73 8.93894386e+00 1.47543950e-02 
448 1062.48 8.74244881e+00 1.47571936e-02 
447 1064.23 8.89235592e+00 1.46664036e-02 
446 1065.97 8.60648918e+00 1.50016611e-02 
