% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20181007starsun.mat and recorded on 2019-04-30 11:23:31.
% Using a high altitude AOD spectra from ElFarafa AERONET station, which has been polyfit to extrapolate, calculating the c0 from the comparison 4STARs AOD at low airmass to AERONET. 
Pix Wavelength C0 C0err
0 173.18 0.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 1.95411925e+35 -1.00000000e+00 
49 212.24 2.83307406e+34 -1.00000000e+00 
50 213.04 4.09063700e+33 -1.00000000e+00 
51 213.85 5.94270640e+32 -1.00000000e+00 
52 214.65 8.61223570e+31 -1.00000000e+00 
53 215.45 1.25327998e+31 -1.00000000e+00 
54 216.25 1.82812282e+30 -1.00000000e+00 
55 217.05 2.65452475e+29 -1.00000000e+00 
56 217.85 3.87092097e+28 -1.00000000e+00 
57 218.65 5.65341055e+27 -1.00000000e+00 
58 219.46 8.28730750e+26 -1.00000000e+00 
59 220.26 1.20547563e+26 -1.00000000e+00 
60 221.06 1.77805330e+25 -1.00000000e+00 
61 221.86 2.59300982e+24 -1.00000000e+00 
62 222.66 3.81021354e+23 -1.00000000e+00 
63 223.47 5.59396884e+22 -1.00000000e+00 
64 224.27 8.24369838e+21 -1.00000000e+00 
65 225.07 1.20877852e+21 -1.00000000e+00 
66 225.87 1.78873038e+20 -1.00000000e+00 
67 226.68 2.67355246e+19 -1.00000000e+00 
68 227.48 4.16781895e+18 3.71736979e+17 
69 228.28 7.41916636e+17 6.08237119e+16 
70 229.08 1.81182594e+17 1.48237511e+16 
71 229.89 7.77440620e+16 6.01128455e+15 
72 230.69 7.50413594e+16 5.93052574e+15 
73 231.49 1.71439564e+17 1.37395607e+16 
74 232.30 7.78087545e+17 6.50960834e+16 
75 233.10 5.32754176e+18 4.61427612e+17 
76 233.90 4.43422352e+19 -1.00000000e+00 
77 234.71 3.98119720e+20 -1.00000000e+00 
78 235.51 3.68307586e+21 -1.00000000e+00 
79 236.32 3.47068036e+22 -1.00000000e+00 
80 237.12 3.30657635e+23 -1.00000000e+00 
81 237.92 3.17924792e+24 -1.00000000e+00 
82 238.73 3.12650799e+25 -1.00000000e+00 
83 239.53 3.05575997e+26 -1.00000000e+00 
84 240.34 2.92467018e+27 -1.00000000e+00 
85 241.14 2.60134863e+28 -1.00000000e+00 
86 241.94 2.15728827e+29 -1.00000000e+00 
87 242.75 1.65707009e+30 -1.00000000e+00 
88 243.55 1.18296873e+31 -1.00000000e+00 
89 244.36 7.76853072e+31 -1.00000000e+00 
90 245.16 4.68530749e+32 -1.00000000e+00 
91 245.97 2.54836750e+33 -1.00000000e+00 
92 246.77 1.20369887e+34 -1.00000000e+00 
93 247.58 5.15225098e+34 -1.00000000e+00 
94 248.38 2.08181683e+35 -1.00000000e+00 
95 249.19 7.38770211e+35 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 4.73046956e+35 -1.00000000e+00 
110 261.27 1.28648908e+35 -1.00000000e+00 
111 262.08 2.93797041e+34 -1.00000000e+00 
112 262.88 5.62529300e+33 -1.00000000e+00 
113 263.69 1.01613716e+33 -1.00000000e+00 
114 264.49 1.86486750e+32 -1.00000000e+00 
115 265.30 3.00273334e+31 -1.00000000e+00 
116 266.11 3.92239579e+30 -1.00000000e+00 
117 266.91 4.49201020e+29 -1.00000000e+00 
118 267.72 4.49949487e+28 -1.00000000e+00 
119 268.53 3.91140718e+27 -1.00000000e+00 
120 269.33 3.67713596e+26 -1.00000000e+00 
121 270.14 4.01380721e+25 -1.00000000e+00 
122 270.95 4.05471886e+24 -1.00000000e+00 
123 271.75 3.75607559e+23 -1.00000000e+00 
124 272.56 3.24052796e+22 -1.00000000e+00 
125 273.37 2.46821832e+21 -1.00000000e+00 
126 274.17 1.85267692e+20 -1.00000000e+00 
127 274.98 1.62215711e+19 -1.00000000e+00 
128 275.79 1.59119948e+18 1.38068063e+17 
129 276.59 1.68811680e+17 1.35472009e+16 
130 277.40 1.86288516e+16 1.40451605e+15 
131 278.21 1.99250740e+15 1.43438352e+14 
132 279.01 2.26837439e+14 1.53106126e+13 
133 279.82 2.76687812e+13 1.72849313e+12 
134 280.63 3.28795973e+12 1.97408457e+11 
135 281.43 4.14048125e+11 2.34196460e+10 
136 282.24 6.18989814e+10 3.08854400e+09 
137 283.05 1.09486121e+10 5.45195712e+08 
138 283.86 2.08798374e+09 9.02597680e+07 
139 284.66 4.03079456e+08 1.63588140e+07 
140 285.47 8.74303040e+07 3.33393100e+06 
141 286.28 2.24102500e+07 8.04640813e+05 
142 287.09 6.11873700e+06 2.09237609e+05 
143 287.89 1.68222313e+06 5.67950859e+04 
144 288.70 5.09344625e+05 1.42193848e+04 
145 289.51 1.75871203e+05 4.62111572e+03 
146 290.32 6.66841719e+04 1.74698596e+03 
147 291.12 2.64227441e+04 6.47615662e+02 
148 291.93 1.09919482e+04 2.58155304e+02 
149 292.74 4.95096680e+03 1.03241478e+02 
150 293.55 2.41190259e+03 4.54213028e+01 
151 294.35 1.24533093e+03 2.35604324e+01 
152 295.16 6.83421326e+02 1.26975183e+01 
153 295.97 3.91105713e+02 6.46181345e+00 
154 296.78 2.33970673e+02 4.11056852e+00 
155 297.58 1.46187439e+02 2.20743752e+00 
156 298.39 9.59177933e+01 1.43541288e+00 
157 299.20 6.65974579e+01 1.04676664e+00 
158 300.01 4.79119873e+01 7.78125823e-01 
159 300.81 3.53331795e+01 5.22864819e-01 
160 301.62 2.69988747e+01 3.96935701e-01 
161 302.43 2.12002621e+01 3.17118376e-01 
162 303.24 1.71891537e+01 2.60714889e-01 
163 304.04 1.42610168e+01 2.16965258e-01 
164 304.85 1.19026899e+01 1.58601224e-01 
165 305.66 1.02091465e+01 1.43798560e-01 
166 306.47 8.90551949e+00 1.24170169e-01 
167 307.28 7.85316181e+00 1.13175794e-01 
168 308.08 7.03727484e+00 9.72411782e-02 
169 308.89 6.37252522e+00 9.24556628e-02 
170 309.70 5.80386782e+00 8.00700635e-02 
171 310.51 5.34929085e+00 7.26621747e-02 
172 311.32 4.96605539e+00 7.05302656e-02 
173 312.12 4.59833908e+00 6.24111295e-02 
174 312.93 4.30770445e+00 6.18374981e-02 
175 313.74 4.07092237e+00 5.62453419e-02 
176 314.55 3.90062976e+00 5.51136881e-02 
177 315.36 3.76060009e+00 5.35736978e-02 
178 316.16 3.64553452e+00 4.95574251e-02 
179 316.97 3.55220795e+00 5.07539660e-02 
180 317.78 3.44843364e+00 4.74802889e-02 
181 318.59 3.34822631e+00 4.57166918e-02 
182 319.40 3.29654312e+00 4.51075360e-02 
183 320.20 3.26187205e+00 4.20225412e-02 
184 321.01 3.17399359e+00 4.26289365e-02 
185 321.82 3.15429401e+00 4.23371904e-02 
186 322.63 3.14643049e+00 4.41163927e-02 
187 323.43 3.09517670e+00 4.70654406e-02 
188 324.24 3.06654429e+00 4.12632488e-02 
189 325.05 3.06849813e+00 4.16833013e-02 
190 325.86 3.05051017e+00 4.03321348e-02 
191 326.67 3.05666924e+00 3.69249023e-02 
192 327.48 3.06060028e+00 3.63665707e-02 
193 328.28 3.08473539e+00 3.75233665e-02 
194 329.09 3.09064794e+00 3.89626436e-02 
195 329.90 3.12599683e+00 3.80669050e-02 
196 330.71 3.18053555e+00 4.00897078e-02 
197 331.52 3.28051734e+00 3.96031067e-02 
198 332.32 3.42684984e+00 3.81866209e-02 
199 333.13 3.73386121e+00 3.85432318e-02 
200 333.94 4.31858873e+00 4.05380204e-02 
201 334.75 5.17050362e+00 4.80068550e-02 
202 335.55 6.27225208e+00 5.13223298e-02 
203 336.36 7.88834858e+00 5.43067344e-02 
204 337.17 1.03774853e+01 6.52775317e-02 
205 337.98 1.36631403e+01 6.85997382e-02 
206 338.79 1.74849930e+01 7.87260309e-02 
207 339.60 2.16030617e+01 8.92004669e-02 
208 340.40 2.51955509e+01 9.64625180e-02 
209 341.21 2.83443871e+01 1.02168076e-01 
210 342.02 3.21087303e+01 1.08993784e-01 
211 342.83 3.49496613e+01 1.14547886e-01 
212 343.63 3.55226974e+01 1.12623565e-01 
213 344.44 3.73989868e+01 1.09432459e-01 
214 345.25 4.15312462e+01 1.13819651e-01 
215 346.06 4.50143242e+01 1.31065369e-01 
216 346.87 4.73091278e+01 1.33178473e-01 
217 347.67 4.90038834e+01 1.29639849e-01 
218 348.48 5.08770638e+01 1.38044387e-01 
219 349.29 5.43747864e+01 1.40944660e-01 
220 350.10 5.96429291e+01 1.50301516e-01 
221 350.90 6.24329147e+01 1.52406797e-01 
222 351.71 6.24444160e+01 1.57385364e-01 
223 352.52 6.45984268e+01 1.57668233e-01 
224 353.33 7.10175552e+01 1.63471520e-01 
225 354.14 7.75523453e+01 1.70123443e-01 
226 354.94 7.98243866e+01 1.76644817e-01 
227 355.75 7.78070374e+01 1.73866659e-01 
228 356.56 7.33247604e+01 1.64531916e-01 
229 357.37 6.94785843e+01 1.65834695e-01 
230 358.18 7.02650833e+01 1.56922475e-01 
231 358.98 8.05131989e+01 1.78736150e-01 
232 359.79 9.08400803e+01 1.86768398e-01 
233 360.60 9.07989731e+01 1.86021656e-01 
234 361.41 9.06953430e+01 1.95108607e-01 
235 362.21 9.64536591e+01 1.96118578e-01 
236 363.02 1.01659340e+02 2.07099497e-01 
237 363.83 1.04914162e+02 2.04624861e-01 
238 364.64 1.11051956e+02 1.93859190e-01 
239 365.44 1.21415764e+02 2.21237019e-01 
240 366.25 1.28612167e+02 2.34302491e-01 
241 367.06 1.28673203e+02 2.45775506e-01 
242 367.87 1.27065628e+02 2.26893052e-01 
243 368.67 1.30226395e+02 2.37030759e-01 
244 369.48 1.35459015e+02 2.37684175e-01 
245 370.29 1.35731430e+02 2.40658820e-01 
246 371.10 1.34177170e+02 2.37770006e-01 
247 371.90 1.30145584e+02 2.23279670e-01 
248 372.71 1.22728897e+02 2.39282086e-01 
