% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2019-04-30 12:22:48.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , In f-li-gh, In f-li-gh, In f-li-gh, MLO -fe-b , High- a-lt, High- a-lt, High- a-lt. See the list of files below
% 20180921_4STAR_NIR_C0_refined_flight_langley_am.dat
% 20180922_NIR_C0_4STAR_refined_flight_langley_am.dat
% 20181005_NIR_C0_4STAR_refined_flight_langley_am.dat
% 20180212_NIR_C0_4STAR_refined_averaged_MLO_Feb2018_shortwvl.dat
% 20180921_NIR_C0_refined_high_alt_low_m_frompolyfit_RaggedPoint.dat
% 20181007_NIR_C0_refined_high_alt_low_m_frompolyfit_ElFarafa.dat
% 20181015_NIR_C0_refined_high_alt_low_m_frompolyfit_ElFarafa.dat
Pix Wavelength C0 C0err
511 949.79 5.14465284e+00 2.75457678e-01 
510 949.79 5.30288446e+00 2.52993222e-01 
509 951.68 5.68982455e+00 2.56456879e-01 
508 953.57 5.73107398e+00 2.46505971e-01 
507 955.46 6.18931535e+00 2.54918893e-01 
506 957.34 6.27819710e+00 2.42065133e-01 
505 959.22 6.73241271e+00 2.30200035e-01 
504 961.10 6.80145988e+00 2.06236187e-01 
503 962.98 7.21030585e+00 1.95811688e-01 
502 964.85 7.20114647e+00 1.77483034e-01 
501 966.72 7.68550118e+00 1.63578667e-01 
500 968.59 7.70918105e+00 1.42449361e-01 
499 970.45 8.11307677e+00 1.30957118e-01 
498 972.32 8.06810250e+00 1.34246580e-01 
497 974.18 8.40407133e+00 1.37791806e-01 
496 976.04 8.30660398e+00 1.18041445e-01 
495 977.89 8.64556384e+00 1.20613184e-01 
494 979.74 8.53798066e+00 9.87801345e-02 
493 981.59 8.83248432e+00 9.10755565e-02 
492 983.44 8.71349893e+00 8.17696328e-02 
491 985.29 8.95899524e+00 7.82507592e-02 
490 987.13 8.74974203e+00 7.30280557e-02 
489 988.97 8.98365777e+00 7.49260907e-02 
488 990.81 8.79419984e+00 7.43445920e-02 
487 992.65 8.96610110e+00 7.74410642e-02 
486 994.48 8.76086463e+00 7.75736269e-02 
485 996.31 8.90823664e+00 7.41697487e-02 
484 998.14 8.65267723e+00 7.73715418e-02 
483 999.97 8.80973669e+00 7.59427059e-02 
482 1001.79 8.52331747e+00 7.42720202e-02 
481 1003.62 8.60034503e+00 7.35214332e-02 
480 1005.44 8.38087794e+00 7.64250740e-02 
479 1007.25 8.62221220e+00 7.60336339e-02 
478 1009.07 8.42669429e+00 7.43673550e-02 
477 1010.88 8.60614361e+00 7.49531471e-02 
476 1012.69 8.34696752e+00 7.03150851e-02 
475 1014.50 8.46866189e+00 6.94306188e-02 
474 1016.31 8.25099860e+00 6.66328287e-02 
473 1018.11 8.41237337e+00 6.60571919e-02 
472 1019.91 8.18142342e+00 6.85099965e-02 
471 1021.71 8.34567240e+00 6.87251356e-02 
470 1023.51 8.12180470e+00 6.39725000e-02 
469 1025.30 8.30052056e+00 7.01827703e-02 
468 1027.09 8.17141805e+00 6.79482141e-02 
467 1028.88 8.31063492e+00 7.36184867e-02 
466 1030.67 8.15059747e+00 7.44523680e-02 
465 1032.46 8.33984130e+00 8.48529927e-02 
464 1034.24 8.17999806e+00 8.64829494e-02 
463 1036.02 8.36996136e+00 9.39890073e-02 
462 1037.80 8.25687936e+00 9.91569061e-02 
461 1039.58 8.45953505e+00 1.03912276e-01 
460 1041.35 8.31145433e+00 1.03943334e-01 
