% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2019-04-30 12:22:47.
% Langley at MLO and airborne Data outside 2.0x the STD of 501 nm Langley residuals were screened out. 
% Including high Altitude rate spectra, matched to splined stratospheric AOD measured at MLO.
% Averages of c0 from multiple days including: , In f-li-gh, In f-li-gh, In f-li-gh, MLO -fe-b , High- a-lt, High- a-lt, High- a-lt. See the list of files below
% 20180921_4STAR_VIS_C0_refined_flight_langley_am.dat
% 20180922_VIS_C0_4STAR_refined_flight_langley_am.dat
% 20181005_VIS_C0_4STAR_refined_flight_langley_am.dat
% 20180212_VIS_C0_4STAR_refined_averaged_MLO_Feb2018_shortwvl.dat
% 20180921_VIS_C0_refined_high_alt_low_m_frompolyfit_RaggedPoint.dat
% 20181007_VIS_C0_refined_high_alt_low_m_frompolyfit_ElFarafa.dat
% 20181015_VIS_C0_refined_high_alt_low_m_frompolyfit_ElFarafa.dat
Pix Wavelength C0 C0err
0 173.18 -6.66666667e-01 5.16397779e-01 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 0.00000000e+00 
46 209.84 -1.00000000e+00 0.00000000e+00 
47 210.64 -1.00000000e+00 0.00000000e+00 
48 211.44 1.28773299e+35 2.33187675e+35 
49 212.24 1.83243041e+34 3.30120345e+34 
50 213.04 2.60695920e+33 4.67726897e+33 
51 213.85 3.70010865e+32 6.59532754e+32 
52 214.65 5.27705968e+31 9.36370218e+31 
53 215.45 7.53774457e+30 1.33044460e+31 
54 216.25 1.07913816e+30 1.89455410e+30 
55 217.05 1.54395345e+29 2.69908203e+29 
56 217.85 2.21782857e+28 3.86032370e+28 
57 218.65 3.16524721e+27 5.47270490e+27 
58 219.46 4.56871273e+26 7.86390596e+26 
59 220.26 6.54563267e+25 1.12171425e+26 
60 221.06 9.48094123e+24 1.61618554e+25 
61 221.86 1.36621842e+24 2.32088646e+24 
62 222.66 1.97347622e+23 3.33590516e+23 
63 223.47 2.85892842e+22 4.81406374e+22 
64 224.27 4.13061676e+21 6.91604318e+21 
65 225.07 5.98591815e+20 9.98887052e+20 
66 225.87 8.70055485e+19 1.44453958e+20 
67 226.68 1.28195634e+19 2.11988664e+19 
68 227.48 1.97030079e+18 3.24535674e+18 
69 228.28 3.46100239e+17 5.67998513e+17 
70 229.08 8.32372363e+16 1.36039501e+17 
71 229.89 3.56074163e+16 5.81476381e+16 
72 230.69 3.41938667e+16 5.57630272e+16 
73 231.49 7.84344637e+16 1.28047458e+17 
74 232.30 3.59271494e+17 5.87976964e+17 
75 233.10 2.50321103e+18 4.11620773e+18 
76 233.90 2.09517929e+19 3.45056647e+19 
77 234.71 1.90836135e+20 3.15545239e+20 
78 235.51 1.79097123e+21 2.97328234e+21 
79 236.32 1.71205132e+22 2.85380592e+22 
80 237.12 1.65170591e+23 2.76307678e+23 
81 237.92 1.62361247e+24 2.73336274e+24 
82 238.73 1.61017190e+25 2.71731954e+25 
83 239.53 1.60399666e+26 2.72185052e+26 
84 240.34 1.55479765e+27 2.64809438e+27 
85 241.14 1.40279652e+28 2.39913392e+28 
86 241.94 1.17700335e+29 2.01981512e+29 
87 242.75 9.18169690e+29 1.58273002e+30 
88 243.55 6.64142702e+30 1.14921498e+31 
89 244.36 4.42677662e+31 7.69306278e+31 
90 245.16 2.69751918e+32 4.70187245e+32 
91 245.97 1.48547334e+33 2.59849578e+33 
92 246.77 7.10110880e+33 1.24646619e+34 
93 247.58 3.06638441e+34 5.39606146e+34 
94 248.38 1.25064853e+35 2.20672252e+35 
95 249.19 4.48489725e+35 7.93710737e+35 
96 249.99 -1.00000000e+00 0.00000000e+00 
97 250.80 -1.00000000e+00 0.00000000e+00 
98 251.60 -1.00000000e+00 0.00000000e+00 
99 252.41 -1.00000000e+00 0.00000000e+00 
100 253.21 -1.00000000e+00 0.00000000e+00 
101 254.02 -1.00000000e+00 0.00000000e+00 
102 254.82 -1.00000000e+00 0.00000000e+00 
103 255.63 -1.00000000e+00 0.00000000e+00 
104 256.44 -1.00000000e+00 0.00000000e+00 
105 257.24 -1.00000000e+00 0.00000000e+00 
106 258.05 -1.00000000e+00 0.00000000e+00 
107 258.85 -1.00000000e+00 0.00000000e+00 
108 259.66 -1.00000000e+00 0.00000000e+00 
109 260.46 2.82127803e+35 4.96772257e+35 
110 261.27 7.59924052e+34 1.33439404e+35 
111 262.08 1.71591603e+34 3.00328650e+34 
112 262.88 3.23762142e+33 5.64274378e+33 
113 263.69 5.76379118e+32 1.00032927e+33 
114 264.49 1.04677350e+32 1.81120832e+32 
115 265.30 1.65421060e+31 2.84672992e+31 
116 266.11 2.12506547e+30 3.63932139e+30 
117 266.91 2.39522067e+29 4.08305046e+29 
