% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from 4STAR_20181015starsun.mat and recorded on 2019-04-29 18:55:29.
% Using a high altitude AOD spectra from El Farafa AERONET station, which has been polyfit to extrapolate, calculating the c0 from the comparison 4STARs AOD at low airmass to AERONET. 
Pix Wavelength C0 C0err
0 173.18 0.00000000e+00 0.00000000e+00 
1 173.98 -1.00000000e+00 0.00000000e+00 
2 174.77 -1.00000000e+00 0.00000000e+00 
3 175.56 -1.00000000e+00 0.00000000e+00 
4 176.36 -1.00000000e+00 0.00000000e+00 
5 177.15 -1.00000000e+00 0.00000000e+00 
6 177.94 -1.00000000e+00 0.00000000e+00 
7 178.74 -1.00000000e+00 0.00000000e+00 
8 179.53 -1.00000000e+00 0.00000000e+00 
9 180.33 -1.00000000e+00 0.00000000e+00 
10 181.12 -1.00000000e+00 0.00000000e+00 
11 181.92 -1.00000000e+00 0.00000000e+00 
12 182.71 -1.00000000e+00 0.00000000e+00 
13 183.51 -1.00000000e+00 0.00000000e+00 
14 184.30 -1.00000000e+00 0.00000000e+00 
15 185.10 -1.00000000e+00 0.00000000e+00 
16 185.89 -1.00000000e+00 0.00000000e+00 
17 186.69 -1.00000000e+00 0.00000000e+00 
18 187.49 -1.00000000e+00 0.00000000e+00 
19 188.28 -1.00000000e+00 0.00000000e+00 
20 189.08 -1.00000000e+00 0.00000000e+00 
21 189.88 -1.00000000e+00 0.00000000e+00 
22 190.67 -1.00000000e+00 0.00000000e+00 
23 191.47 -1.00000000e+00 0.00000000e+00 
24 192.27 -1.00000000e+00 0.00000000e+00 
25 193.07 -1.00000000e+00 0.00000000e+00 
26 193.86 -1.00000000e+00 0.00000000e+00 
27 194.66 -1.00000000e+00 0.00000000e+00 
28 195.46 -1.00000000e+00 0.00000000e+00 
29 196.26 -1.00000000e+00 0.00000000e+00 
30 197.05 -1.00000000e+00 0.00000000e+00 
31 197.85 -1.00000000e+00 0.00000000e+00 
32 198.65 -1.00000000e+00 0.00000000e+00 
33 199.45 -1.00000000e+00 0.00000000e+00 
34 200.25 -1.00000000e+00 0.00000000e+00 
35 201.05 -1.00000000e+00 0.00000000e+00 
36 201.85 -1.00000000e+00 0.00000000e+00 
37 202.65 -1.00000000e+00 0.00000000e+00 
38 203.44 -1.00000000e+00 0.00000000e+00 
39 204.24 -1.00000000e+00 0.00000000e+00 
40 205.04 -1.00000000e+00 0.00000000e+00 
41 205.84 -1.00000000e+00 0.00000000e+00 
42 206.64 -1.00000000e+00 0.00000000e+00 
43 207.44 -1.00000000e+00 0.00000000e+00 
44 208.24 -1.00000000e+00 0.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 5.77227870e+35 -1.00000000e+00 
49 212.24 8.16150842e+34 -1.00000000e+00 
50 213.04 1.15511182e+34 -1.00000000e+00 
51 213.85 1.62579455e+33 -1.00000000e+00 
52 214.65 2.30501224e+32 -1.00000000e+00 
53 215.45 3.26936676e+31 -1.00000000e+00 
54 216.25 4.64670616e+30 -1.00000000e+00 
55 217.05 6.60919594e+29 -1.00000000e+00 
56 217.85 9.43605042e+28 -1.00000000e+00 
57 218.65 1.33380727e+28 -1.00000000e+00 
58 219.46 1.91249689e+27 -1.00000000e+00 
59 220.26 2.72190397e+26 -1.00000000e+00 
60 221.06 3.91051144e+25 -1.00000000e+00 
61 221.86 5.60430071e+24 -1.00000000e+00 
62 222.66 8.03064376e+23 -1.00000000e+00 
63 223.47 1.15596017e+23 -1.00000000e+00 
64 224.27 1.65400022e+22 -1.00000000e+00 
65 225.07 2.38277237e+21 -1.00000000e+00 
66 225.87 3.43160253e+20 -1.00000000e+00 
67 226.68 5.01818558e+19 -1.00000000e+00 
68 227.48 7.65398576e+18 2.77534860e+17 
69 228.28 1.33468480e+18 4.89869796e+16 
70 229.08 3.18240824e+17 1.24610240e+16 
71 229.89 1.35900436e+17 4.87537790e+15 
72 230.69 1.30121841e+17 4.81625768e+15 
73 231.49 2.99167218e+17 1.11915165e+16 
74 232.30 1.37754142e+18 5.24589152e+16 
75 233.10 9.69172441e+18 5.45686899e+17 
76 233.90 8.13685224e+19 -1.00000000e+00 
77 234.71 7.46897088e+20 -1.00000000e+00 
78 235.51 7.06275154e+21 -1.00000000e+00 
79 236.32 6.80162754e+22 -1.00000000e+00 
80 237.12 6.60365912e+23 -1.00000000e+00 
81 237.92 6.56242690e+24 -1.00000000e+00 
82 238.73 6.53452343e+25 -1.00000000e+00 
83 239.53 6.56822001e+26 -1.00000000e+00 
84 240.34 6.40411570e+27 -1.00000000e+00 
85 241.14 5.81543046e+28 -1.00000000e+00 
86 241.94 4.90473181e+29 -1.00000000e+00 
87 242.75 3.85194805e+30 -1.00000000e+00 
88 243.55 2.80188748e+31 -1.00000000e+00 
89 244.36 1.87921290e+32 -1.00000000e+00 
90 245.16 1.14998076e+33 -1.00000000e+00 
91 245.97 6.36447257e+33 -1.00000000e+00 
92 246.77 3.05696641e+34 -1.00000000e+00 
93 247.58 1.32460555e+35 -1.00000000e+00 
94 248.38 5.42207438e+35 -1.00000000e+00 
95 249.19 1.95216814e+36 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 1.21971986e+36 -1.00000000e+00 
110 261.27 3.27305523e+35 -1.00000000e+00 
111 262.08 7.35752579e+34 -1.00000000e+00 
112 262.88 1.38004355e+34 -1.00000000e+00 
113 263.69 2.44213755e+33 -1.00000000e+00 
114 264.49 4.41577351e+32 -1.00000000e+00 
115 265.30 6.92253023e+31 -1.00000000e+00 
116 266.11 8.82799704e+30 -1.00000000e+00 
117 266.91 9.87931384e+29 -1.00000000e+00 
118 267.72 9.69533007e+28 -1.00000000e+00 
119 268.53 8.22649582e+27 -1.00000000e+00 
120 269.33 7.51175916e+26 -1.00000000e+00 
121 270.14 7.97670049e+25 -1.00000000e+00 
122 270.95 7.84640503e+24 -1.00000000e+00 
123 271.75 7.08934243e+23 -1.00000000e+00 
124 272.56 5.95710308e+22 -1.00000000e+00 
125 273.37 4.40148501e+21 -1.00000000e+00 
126 274.17 3.22050861e+20 -1.00000000e+00 
127 274.98 2.74638565e+19 1.09319019e+18 
128 275.79 2.62701200e+18 1.05589770e+17 
129 276.59 2.71122078e+17 1.01286410e+16 
130 277.40 2.91815153e+16 1.02070529e+15 
131 278.21 3.04772866e+15 1.03917782e+14 
132 279.01 3.41257633e+14 1.03654611e+13 
133 279.82 4.03590569e+13 1.16548921e+12 
134 280.63 4.67316978e+12 1.27385059e+11 
135 281.43 5.73022274e+11 1.59442903e+10 
136 282.24 8.39380992e+10 2.05746675e+09 
137 283.05 1.45924004e+10 3.59637920e+08 
138 283.86 2.71837107e+09 5.83778520e+07 
139 284.66 5.18619712e+08 1.04346400e+07 
140 285.47 1.10995112e+08 2.40804400e+06 
141 286.28 2.78733400e+07 5.42570813e+05 
142 287.09 7.56554300e+06 1.34214094e+05 
143 287.89 2.03527888e+06 3.63405664e+04 
144 288.70 6.08998938e+05 1.13642930e+04 
145 289.51 2.06453891e+05 3.65374097e+03 
146 290.32 7.73499531e+04 1.41062451e+03 
147 291.12 3.04208926e+04 4.82075592e+02 
148 291.93 1.24797871e+04 2.17666855e+02 
149 292.74 5.59790723e+03 9.57081909e+01 
150 293.55 2.70506177e+03 3.81722908e+01 
151 294.35 1.38662976e+03 2.10654392e+01 
152 295.16 7.55345764e+02 1.24888020e+01 
153 295.97 4.30746002e+02 6.31470585e+00 
154 296.78 2.55525589e+02 3.60997772e+00 
155 297.58 1.59063995e+02 2.42769122e+00 
156 298.39 1.03852097e+02 1.51813197e+00 
157 299.20 7.14832993e+01 9.85572100e-01 
158 300.01 5.11559258e+01 6.98695004e-01 
159 300.81 3.76600418e+01 5.08433223e-01 
160 301.62 2.87417698e+01 4.28730905e-01 
161 302.43 2.25198650e+01 3.14559162e-01 
162 303.24 1.81885281e+01 2.90501297e-01 
163 304.04 1.49856834e+01 2.00445607e-01 
164 304.85 1.25373774e+01 1.61143228e-01 
165 305.66 1.06579475e+01 1.59821779e-01 
166 306.47 9.29133129e+00 1.25583231e-01 
167 307.28 8.16748524e+00 1.13498122e-01 
168 308.08 7.34007645e+00 9.20620561e-02 
169 308.89 6.64495468e+00 1.07737526e-01 
170 309.70 6.03738213e+00 8.50188509e-02 
171 310.51 5.51971769e+00 6.92972094e-02 
172 311.32 5.14466000e+00 6.53352439e-02 
173 312.12 4.73424292e+00 6.32513836e-02 
174 312.93 4.44563150e+00 6.32556081e-02 
175 313.74 4.16038036e+00 9.83286649e-02 
176 314.55 3.99782157e+00 5.68550751e-02 
177 315.36 3.85711479e+00 5.09641394e-02 
178 316.16 3.72564626e+00 6.27469495e-02 
179 316.97 3.63319302e+00 5.13912924e-02 
180 317.78 3.52377367e+00 4.85325120e-02 
181 318.59 3.44376826e+00 5.05173653e-02 
182 319.40 3.37730742e+00 4.87169512e-02 
183 320.20 3.31351423e+00 5.03078140e-02 
184 321.01 3.25508189e+00 4.23290767e-02 
185 321.82 3.22614312e+00 4.64533530e-02 
186 322.63 3.18319154e+00 4.27227803e-02 
187 323.43 3.15624356e+00 4.74747084e-02 
188 324.24 3.12062454e+00 4.12704833e-02 
189 325.05 3.13748527e+00 4.17890213e-02 
190 325.86 3.12579083e+00 4.21103425e-02 
191 326.67 3.10299230e+00 4.52364385e-02 
192 327.48 3.12046814e+00 3.83485667e-02 
193 328.28 3.13888693e+00 4.17516716e-02 
194 329.09 3.12152863e+00 3.60743888e-02 
195 329.90 3.15997195e+00 3.67336124e-02 
196 330.71 3.22107530e+00 3.86647210e-02 
197 331.52 3.30390930e+00 3.95844467e-02 
198 332.32 3.45749211e+00 3.55835631e-02 
199 333.13 3.77192187e+00 4.13456112e-02 
200 333.94 4.35819435e+00 4.22565639e-02 
201 334.75 5.18357658e+00 4.25262563e-02 
202 335.55 6.28958654e+00 5.09689786e-02 
203 336.36 7.89213705e+00 5.58997877e-02 
204 337.17 1.03373795e+01 7.17043206e-02 
205 337.98 1.35825119e+01 7.23548234e-02 
206 338.79 1.73300858e+01 7.83739164e-02 
207 339.60 2.14029903e+01 1.02559470e-01 
208 340.40 2.49096870e+01 1.22887313e-01 
209 341.21 2.79748993e+01 9.55012292e-02 
210 342.02 3.16715279e+01 9.78488699e-02 
211 342.83 3.44304047e+01 1.00851089e-01 
212 343.63 3.49921112e+01 9.92983654e-02 
213 344.44 3.68475571e+01 9.75319892e-02 
214 345.25 4.09244919e+01 1.19811937e-01 
215 346.06 4.43105316e+01 1.14528611e-01 
216 346.87 4.65534325e+01 1.12164073e-01 
217 347.67 4.82456322e+01 1.09955244e-01 
218 348.48 5.00444946e+01 1.11277476e-01 
219 349.29 5.35263824e+01 1.27238885e-01 
220 350.10 5.87011871e+01 1.25433251e-01 
221 350.90 6.14490662e+01 1.44234568e-01 
222 351.71 6.14813843e+01 1.33390412e-01 
223 352.52 6.35657616e+01 1.23468623e-01 
224 353.33 6.99094086e+01 1.54844150e-01 
225 354.14 7.63124847e+01 1.50678217e-01 
226 354.94 7.85705948e+01 1.56608194e-01 
227 355.75 7.65459213e+01 1.45624682e-01 
228 356.56 7.21700668e+01 1.39738753e-01 
229 357.37 6.83591537e+01 1.41887963e-01 
230 358.18 6.92163315e+01 1.41631305e-01 
231 358.98 7.93797150e+01 1.63171783e-01 
232 359.79 8.94519348e+01 1.54075041e-01 
233 360.60 8.93986206e+01 1.62497357e-01 
234 361.41 8.93447876e+01 1.59233510e-01 
235 362.21 9.50115814e+01 1.78480431e-01 
236 363.02 1.00038956e+02 1.55128270e-01 
237 363.83 1.03349113e+02 1.82212770e-01 
238 364.64 1.09356682e+02 1.82282627e-01 
239 365.44 1.19544632e+02 1.82626262e-01 
240 366.25 1.26573524e+02 1.94880471e-01 
241 367.06 1.26575058e+02 2.09623381e-01 
242 367.87 1.25010994e+02 1.93261042e-01 
243 368.67 1.28093826e+02 2.12563068e-01 
244 369.48 1.33188370e+02 2.05397949e-01 
245 370.29 1.33409943e+02 2.01031610e-01 
246 371.10 1.31884079e+02 1.92952067e-01 
247 371.90 1.27922058e+02 1.87830031e-01 
248 372.71 1.20571121e+02 1.99069709e-01 
