% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblanc\Research\TMF\data\4STARB_20190925starsun.mat and recorded on 2019-09-26 18:13:45.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 1.43749666e+01 4.31248993e-01 
510 947.95 1.47184238e+01 4.41552728e-01 
509 949.84 1.52015171e+01 4.56045508e-01 
508 951.73 1.56299639e+01 4.68898922e-01 
507 953.62 1.60421391e+01 4.81264174e-01 
506 955.51 1.64570713e+01 4.93712127e-01 
505 957.40 1.69333630e+01 5.08000910e-01 
504 959.28 1.76085091e+01 5.28255284e-01 
503 961.16 1.83813477e+01 5.51440418e-01 
502 963.03 1.91252975e+01 5.73758900e-01 
501 964.90 2.00062141e+01 6.00186408e-01 
500 966.78 2.09181252e+01 6.27543747e-01 
499 968.64 2.19560699e+01 6.58682108e-01 
498 970.51 2.27029190e+01 6.81087554e-01 
497 972.37 2.30775928e+01 6.92327797e-01 
496 974.23 2.31458931e+01 6.94376767e-01 
495 976.09 2.34248219e+01 7.02744663e-01 
494 977.95 2.38068333e+01 7.14205027e-01 
493 979.80 2.44503632e+01 7.33510911e-01 
492 981.65 2.50234795e+01 7.50704408e-01 
491 983.50 2.55823784e+01 7.67471373e-01 
490 985.34 2.59327660e+01 7.77982950e-01 
489 987.18 2.62317848e+01 7.86953568e-01 
488 989.02 2.64587231e+01 7.93761671e-01 
487 990.86 2.66673660e+01 8.00020993e-01 
486 992.70 2.67498932e+01 8.02496791e-01 
485 994.53 2.69466629e+01 8.08399916e-01 
484 996.36 2.70004196e+01 8.10012579e-01 
483 998.19 2.71176739e+01 8.13530207e-01 
482 1000.01 2.71446934e+01 8.14340830e-01 
481 1001.83 2.71564159e+01 8.14692497e-01 
480 1003.65 2.71032791e+01 8.13098371e-01 
479 1005.47 2.72520447e+01 8.17561328e-01 
478 1007.29 2.74053593e+01 8.22160780e-01 
477 1009.10 2.77429848e+01 8.32289517e-01 
476 1010.91 2.79090996e+01 8.37273002e-01 
475 1012.72 2.80126953e+01 8.40380847e-01 
474 1014.53 2.79836388e+01 8.39509189e-01 
473 1016.33 2.80552368e+01 8.41657102e-01 
472 1018.13 2.79909439e+01 8.39728296e-01 
471 1019.93 2.80987625e+01 8.42962861e-01 
470 1021.73 2.81129150e+01 8.43387425e-01 
469 1023.52 2.81895905e+01 8.45687687e-01 
468 1025.31 2.81218243e+01 8.43654752e-01 
467 1027.10 2.81510849e+01 8.44532549e-01 
466 1028.89 2.79547768e+01 8.38643312e-01 
465 1030.67 2.78517418e+01 8.35552275e-01 
464 1032.45 2.75834961e+01 8.27504873e-01 
463 1034.23 2.74354057e+01 8.23062181e-01 
462 1036.01 2.72235565e+01 8.16706717e-01 
461 1037.79 2.71892548e+01 8.15677643e-01 
460 1039.56 2.69638023e+01 8.08914065e-01 
459 1041.33 2.67812843e+01 8.03438544e-01 
458 1043.10 2.64722195e+01 7.94166565e-01 
457 1044.87 2.62273636e+01 7.86820889e-01 
456 1046.63 2.60069847e+01 7.80209541e-01 
455 1048.39 2.59841270e+01 7.79523790e-01 
454 1050.15 2.58733673e+01 7.76201010e-01 
453 1051.91 2.58313293e+01 7.74939895e-01 
452 1053.67 2.57019653e+01 7.71058977e-01 
451 1055.42 2.56503544e+01 7.69510627e-01 
450 1057.17 2.54680595e+01 7.64041781e-01 
449 1058.92 2.53920841e+01 7.61762500e-01 
448 1060.67 2.52477036e+01 7.57431090e-01 
447 1062.41 2.51782684e+01 7.55348027e-01 
446 1064.15 2.49922543e+01 7.49767601e-01 
445 1065.89 2.47199554e+01 7.41598666e-01 
444 1067.63 2.42956047e+01 7.28868127e-01 
443 1069.37 2.40490265e+01 7.21470773e-01 
442 1071.10 2.38647366e+01 7.15942085e-01 
441 1072.83 2.37766228e+01 7.13298678e-01 
440 1074.56 2.35710182e+01 7.07130551e-01 
439 1076.29 2.34577217e+01 7.03731656e-01 
438 1078.02 2.32813225e+01 6.98439658e-01 
437 1079.74 2.31054173e+01 6.93162501e-01 
436 1081.46 2.28647614e+01 6.85942829e-01 
435 1083.18 2.27391701e+01 6.82175100e-01 
434 1084.90 2.25608025e+01 6.76824093e-01 
433 1086.61 2.25565643e+01 6.76696956e-01 
432 1088.33 2.25367241e+01 6.76101744e-01 
431 1090.04 2.25713654e+01 6.77140951e-01 
430 1091.75 2.23712616e+01 6.71137869e-01 
429 1093.45 2.22685986e+01 6.68057978e-01 
428 1095.16 2.22547874e+01 6.67643607e-01 
427 1096.86 2.24610672e+01 6.73831999e-01 
426 1098.56 2.26542549e+01 6.79627657e-01 
425 1100.26 2.27935143e+01 6.83805406e-01 
424 1101.96 2.28640709e+01 6.85922146e-01 
423 1103.65 2.29804325e+01 6.89412951e-01 
422 1105.35 2.29619713e+01 6.88859165e-01 
421 1107.04 2.29433918e+01 6.88301742e-01 
420 1108.73 2.25921841e+01 6.77765548e-01 
419 1110.41 2.19317417e+01 6.57952249e-01 
418 1112.10 2.06319218e+01 6.18957639e-01 
417 1113.78 1.88538170e+01 5.65614522e-01 
416 1115.46 1.71013165e+01 5.13039470e-01 
415 1117.14 1.58825026e+01 4.76475090e-01 
414 1118.82 1.50336695e+01 4.51010078e-01 
413 1120.50 1.44753742e+01 4.34261233e-01 
412 1122.17 1.40300140e+01 4.20900434e-01 
411 1123.84 1.38151493e+01 4.14454490e-01 
410 1125.51 1.40413008e+01 4.21239018e-01 
409 1127.18 1.46351986e+01 4.39055949e-01 
408 1128.85 1.57896042e+01 4.73688126e-01 
407 1130.51 1.62110901e+01 4.86332715e-01 
406 1132.17 1.53460751e+01 4.60382253e-01 
405 1133.83 1.49326391e+01 4.47979182e-01 
404 1135.49 1.57147284e+01 4.71441865e-01 
403 1137.15 1.81172733e+01 5.43518186e-01 
402 1138.80 2.01232605e+01 6.03697836e-01 
401 1140.46 2.05728455e+01 6.17185354e-01 
400 1142.11 1.95059452e+01 5.85178375e-01 
399 1143.76 1.82246628e+01 5.46739876e-01 
398 1145.41 1.73207188e+01 5.19621551e-01 
397 1147.05 1.73556252e+01 5.20668745e-01 
396 1148.70 1.82498779e+01 5.47496319e-01 
395 1150.34 1.91800976e+01 5.75402915e-01 
394 1151.98 1.99178486e+01 5.97535431e-01 
393 1153.62 2.09235725e+01 6.27707183e-01 
392 1155.26 2.19202614e+01 6.57607853e-01 
391 1156.89 2.29973469e+01 6.89920425e-01 
390 1158.53 2.36487617e+01 7.09462881e-01 
389 1160.16 2.44696236e+01 7.34088719e-01 
388 1161.79 2.51190758e+01 7.53572285e-01 
387 1163.42 2.57316914e+01 7.71950722e-01 
386 1165.04 2.59753819e+01 7.79261470e-01 
385 1166.67 2.62030754e+01 7.86092281e-01 
384 1168.29 2.65305634e+01 7.95916915e-01 
383 1169.91 2.67553539e+01 8.02660644e-01 
382 1171.53 2.64991512e+01 7.94974566e-01 
381 1173.15 2.63252182e+01 7.89756536e-01 
380 1174.77 2.59732513e+01 7.79197514e-01 
379 1176.38 2.59288712e+01 7.77866125e-01 
378 1178.00 2.57681274e+01 7.73043811e-01 
377 1179.61 2.52858543e+01 7.58575618e-01 
376 1181.22 2.48403740e+01 7.45211244e-01 
375 1182.83 2.46798706e+01 7.40396142e-01 
374 1184.43 2.45458717e+01 7.36376166e-01 
373 1186.04 2.45340176e+01 7.36020505e-01 
372 1187.64 2.45481129e+01 7.36443400e-01 
371 1189.24 2.47449036e+01 7.42347121e-01 
370 1190.84 2.50792217e+01 7.52376676e-01 
369 1192.44 2.53682308e+01 7.61046946e-01 
368 1194.04 2.52134571e+01 7.56403685e-01 
367 1195.64 2.47161369e+01 7.41484106e-01 
366 1197.23 2.42314682e+01 7.26944029e-01 
365 1198.82 2.40125065e+01 7.20375180e-01 
364 1200.41 2.35969925e+01 7.07909763e-01 
363 1202.00 2.36960583e+01 7.10881770e-01 
362 1203.59 2.37043705e+01 7.11131096e-01 
361 1205.17 2.36469002e+01 7.09407032e-01 
360 1206.76 2.36630478e+01 7.09891438e-01 
359 1208.34 2.35541992e+01 7.06625998e-01 
358 1209.92 2.34254246e+01 7.02762723e-01 
357 1211.50 2.36520615e+01 7.09561825e-01 
356 1213.08 2.38613453e+01 7.15840340e-01 
355 1214.66 2.41542282e+01 7.24626839e-01 
354 1216.23 2.42239361e+01 7.26718068e-01 
353 1217.80 2.42742157e+01 7.28226483e-01 
352 1219.38 2.41143646e+01 7.23430932e-01 
351 1220.95 2.39945984e+01 7.19837964e-01 
350 1222.52 2.39195576e+01 7.17586756e-01 
