% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2020-10-07 17:18:36.
% Interactive averages of c0 built for 4STARB by user: Samuel
% Averages of c0 from multiple days including: 2020-07-08 AM, 2020-08-24 AM, 2020-09-18 AM, 2020-09-29 AM, 2020-10-06 AM.
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20200708_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20200824_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20200918_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20200929_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20201006_NIR_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
Pix Wavelength C0 C0err
511 946.05 7.41068335e+00 1.33253419e+00 
510 947.95 7.75907574e+00 1.35212825e+00 
509 949.84 8.22787352e+00 1.38566988e+00 
508 951.73 8.67230463e+00 1.40327421e+00 
507 953.62 9.13443767e+00 1.40982178e+00 
506 955.51 9.75200004e+00 1.39659051e+00 
505 957.40 1.04351355e+01 1.38828997e+00 
504 959.28 1.12954455e+01 1.39060352e+00 
503 961.16 1.22871138e+01 1.39946678e+00 
502 963.03 1.33714907e+01 1.38885816e+00 
501 964.90 1.46781315e+01 1.35856943e+00 
500 966.78 1.62584061e+01 1.26792432e+00 
499 968.64 1.79898350e+01 1.16990905e+00 
498 970.51 1.92200249e+01 1.10008981e+00 
497 972.37 1.95828648e+01 1.10102067e+00 
496 974.23 1.94946766e+01 1.13845208e+00 
495 976.09 1.97960743e+01 1.14852665e+00 
494 977.95 2.05073441e+01 1.09461260e+00 
493 979.80 2.16321766e+01 1.00920444e+00 
492 981.65 2.26721390e+01 9.17384970e-01 
491 983.50 2.37826885e+01 8.03163346e-01 
490 985.34 2.46069347e+01 7.02641265e-01 
489 987.18 2.53022919e+01 6.19815631e-01 
488 989.02 2.57626259e+01 5.67289130e-01 
487 990.86 2.61800541e+01 5.23903160e-01 
486 992.70 2.64583279e+01 4.94918951e-01 
485 994.53 2.68018822e+01 4.84403534e-01 
484 996.36 2.69541912e+01 4.75176272e-01 
483 998.19 2.71253990e+01 4.87304062e-01 
482 1000.01 2.71262802e+01 4.97566007e-01 
481 1001.83 2.71278896e+01 4.95866728e-01 
480 1003.65 2.70740410e+01 4.92424231e-01 
479 1005.47 2.72843460e+01 4.92836231e-01 
478 1007.29 2.74641903e+01 5.10621809e-01 
477 1009.10 2.78469536e+01 5.27081836e-01 
476 1010.91 2.80422989e+01 5.25725130e-01 
475 1012.72 2.82161339e+01 5.14084917e-01 
474 1014.53 2.82485672e+01 5.00944700e-01 
473 1016.33 2.84000363e+01 5.12060280e-01 
472 1018.13 2.83453152e+01 5.03782483e-01 
471 1019.93 2.84588459e+01 4.84344935e-01 
470 1021.73 2.84133423e+01 4.55373230e-01 
469 1023.52 2.84574242e+01 4.37655301e-01 
468 1025.31 2.83947391e+01 4.34727708e-01 
467 1027.10 2.84450100e+01 4.31553989e-01 
466 1028.89 2.82578644e+01 4.29194964e-01 
465 1030.67 2.81608173e+01 4.24974071e-01 
464 1032.45 2.79067497e+01 4.29739832e-01 
463 1034.23 2.78025501e+01 4.47444536e-01 
462 1036.01 2.76074680e+01 4.68727581e-01 
461 1037.79 2.75505573e+01 4.83597409e-01 
460 1039.56 2.73395348e+01 4.78037900e-01 
459 1041.33 2.72348499e+01 4.61508548e-01 
458 1043.10 2.69625484e+01 4.65276997e-01 
457 1044.87 2.67883778e+01 4.75483351e-01 
456 1046.63 2.65605049e+01 4.89141455e-01 
455 1048.39 2.65347484e+01 4.94607617e-01 
454 1050.15 2.64135120e+01 4.96034068e-01 
453 1051.91 2.63813114e+01 5.02331181e-01 
452 1053.67 2.62458950e+01 5.07409403e-01 
451 1055.42 2.61539864e+01 4.91177799e-01 
450 1057.17 2.58976681e+01 4.67886017e-01 
449 1058.92 2.57771053e+01 4.49836917e-01 
448 1060.67 2.56029656e+01 4.55212417e-01 
447 1062.41 2.55234280e+01 4.65863192e-01 
446 1064.15 2.52683170e+01 4.64435825e-01 
445 1065.89 2.49471695e+01 4.32097094e-01 
444 1067.63 2.45002426e+01 4.12773413e-01 
443 1069.37 2.42700558e+01 4.00950369e-01 
442 1071.10 2.40203407e+01 3.96607517e-01 
441 1072.83 2.38896416e+01 3.91515098e-01 
440 1074.56 2.35938591e+01 3.78172939e-01 
439 1076.29 2.33709919e+01 3.73500859e-01 
438 1078.02 2.30586815e+01 3.83502964e-01 
437 1079.74 2.27655514e+01 3.76906203e-01 
436 1081.46 2.23818744e+01 3.81885987e-01 
435 1083.18 2.20923710e+01 4.05720795e-01 
434 1084.90 2.18031193e+01 4.39733383e-01 
433 1086.61 2.17721912e+01 4.71349284e-01 
432 1088.33 2.17158920e+01 5.01231000e-01 
431 1090.04 2.17002400e+01 5.28338888e-01 
430 1091.75 2.12605167e+01 5.79970020e-01 
429 1093.45 2.08416927e+01 6.43027155e-01 
428 1095.16 2.04274845e+01 7.45478583e-01 
427 1096.86 2.00711456e+01 8.63287840e-01 
426 1098.56 1.96617596e+01 9.95442976e-01 
425 1100.26 1.92073650e+01 1.12008758e+00 
424 1101.96 1.87730927e+01 1.21204985e+00 
423 1103.65 1.83781231e+01 1.29718151e+00 
422 1105.35 1.79135166e+01 1.36840176e+00 
421 1107.04 1.74281719e+01 1.42286896e+00 
420 1108.73 1.66801455e+01 1.44612633e+00 
419 1110.41 1.54478126e+01 1.48511169e+00 
418 1112.10 1.34734888e+01 1.53088060e+00 
417 1113.78 1.09395901e+01 1.53374683e+00 
416 1115.46 8.64113950e+00 1.50246669e+00 
415 1117.14 6.87292395e+00 1.46445301e+00 
414 1118.82 5.73341384e+00 1.41456569e+00 
413 1120.50 5.08376398e+00 1.37881353e+00 
412 1122.17 4.72730780e+00 1.34589956e+00 
411 1123.84 4.48724322e+00 1.32363184e+00 
410 1125.51 4.40331059e+00 1.34472075e+00 
409 1127.18 4.71671906e+00 1.39745008e+00 
408 1128.85 5.85194035e+00 1.54147767e+00 
407 1130.51 6.38302040e+00 1.57650749e+00 
406 1132.17 6.11386046e+00 1.47409491e+00 
405 1133.83 5.88616342e+00 1.44667679e+00 
404 1135.49 6.73643885e+00 1.52511502e+00 
403 1137.15 8.72656413e+00 1.77389781e+00 
402 1138.80 1.02009666e+01 1.96862508e+00 
401 1140.46 1.03634095e+01 1.98296606e+00 
400 1142.11 8.93258332e+00 1.88021220e+00 
399 1143.76 7.44693356e+00 1.73802671e+00 
398 1145.41 6.76070099e+00 1.62505727e+00 
397 1147.05 7.02324056e+00 1.62828006e+00 
396 1148.70 8.10511207e+00 1.73245694e+00 
395 1150.34 8.87751712e+00 1.84225311e+00 
394 1151.98 9.44358605e+00 1.90387128e+00 
393 1153.62 1.06733333e+01 1.94673306e+00 
392 1155.26 1.21944548e+01 1.93778656e+00 
391 1156.89 1.37796587e+01 1.92757386e+00 
390 1158.53 1.51484855e+01 1.84493675e+00 
389 1160.16 1.68259985e+01 1.71919704e+00 
388 1161.79 1.81902165e+01 1.61645987e+00 
387 1163.42 1.92880627e+01 1.54986286e+00 
386 1165.04 1.99320755e+01 1.49399356e+00 
385 1166.67 2.04830994e+01 1.43653935e+00 
384 1168.29 2.14507370e+01 1.32187992e+00 
383 1169.91 2.21248215e+01 1.22728310e+00 
382 1171.53 2.19334534e+01 1.18146263e+00 
381 1173.15 2.20499851e+01 1.10172451e+00 
380 1174.77 2.18035744e+01 1.06142388e+00 
379 1176.38 2.21966503e+01 9.73630851e-01 
378 1178.00 2.20781910e+01 9.83240795e-01 
377 1179.61 2.13738121e+01 1.05097235e+00 
376 1181.22 2.09289787e+01 1.08448207e+00 
375 1182.83 2.07966179e+01 1.10358620e+00 
374 1184.43 2.07890804e+01 1.08494545e+00 
373 1186.04 2.08423428e+01 1.06376761e+00 
372 1187.64 2.11018623e+01 1.01304211e+00 
371 1189.24 2.14717758e+01 9.55962037e-01 
370 1190.84 2.22518181e+01 8.47311229e-01 
369 1192.44 2.25877579e+01 8.27060630e-01 
368 1194.04 2.24588661e+01 7.98962665e-01 
367 1195.64 2.18336861e+01 8.16405858e-01 
366 1197.23 2.12852993e+01 8.27562317e-01 
365 1198.82 2.10440903e+01 8.12274981e-01 
364 1200.41 2.04918484e+01 8.24098539e-01 
363 1202.00 2.07465454e+01 7.52606396e-01 
362 1203.59 2.09645489e+01 6.74849775e-01 
361 1205.17 2.10772198e+01 6.27551149e-01 
360 1206.76 2.14802639e+01 5.75960707e-01 
359 1208.34 2.13224827e+01 6.11501231e-01 
358 1209.92 2.11930069e+01 6.43793403e-01 
357 1211.50 2.13462963e+01 6.90203767e-01 
356 1213.08 2.15796745e+01 6.97823311e-01 
355 1214.66 2.21014336e+01 6.03883186e-01 
354 1216.23 2.23527553e+01 5.15887900e-01 
353 1217.80 2.26684277e+01 4.22671573e-01 
352 1219.38 2.26105694e+01 3.92562104e-01 
351 1220.95 2.25730648e+01 3.95353831e-01 
350 1222.52 2.25985329e+01 3.68733546e-01 
349 1224.08 2.26149864e+01 3.57638303e-01 
348 1225.65 2.27724689e+01 3.16881426e-01 
347 1227.21 2.29855507e+01 2.67136026e-01 
346 1228.78 2.32153790e+01 2.18104584e-01 
345 1230.34 2.34521313e+01 1.99484248e-01 
344 1231.90 2.35547859e+01 1.78636229e-01 
343 1233.46 2.36291950e+01 1.64579983e-01 
342 1235.01 2.36245869e+01 1.42656689e-01 
341 1236.57 2.36379448e+01 1.40841441e-01 
340 1238.12 2.34831959e+01 1.55310100e-01 
339 1239.67 2.33846302e+01 1.85377996e-01 
338 1241.23 2.32214947e+01 1.95823696e-01 
337 1242.78 2.32305328e+01 2.02183738e-01 
336 1244.32 2.31690288e+01 1.95288346e-01 
335 1245.87 2.32173996e+01 1.88743424e-01 
334 1247.42 2.31378349e+01 1.78339114e-01 
333 1248.96 2.30303261e+01 1.64822319e-01 
332 1250.50 2.28296021e+01 1.59750341e-01 
331 1252.04 2.27036449e+01 1.60131470e-01 
330 1253.58 2.24671829e+01 1.64907912e-01 
329 1255.12 2.23355331e+01 1.85662366e-01 
328 1256.66 2.19981487e+01 2.57151420e-01 
327 1258.19 2.15769581e+01 3.48721988e-01 
326 1259.73 2.09257389e+01 4.47363603e-01 
325 1261.26 2.02835678e+01 5.23687165e-01 
324 1262.79 1.97737034e+01 5.46662446e-01 
323 1264.32 1.93527073e+01 5.73161018e-01 
322 1265.85 1.85484474e+01 6.57829281e-01 
321 1267.38 1.84771549e+01 6.70739640e-01 
320 1268.90 1.87014752e+01 6.13106708e-01 
319 1270.43 1.93731655e+01 5.25664268e-01 
318 1271.95 2.03797619e+01 3.73901900e-01 
317 1273.47 2.08281437e+01 2.82486240e-01 
316 1274.99 2.10203506e+01 2.28008713e-01 
315 1276.51 2.11240242e+01 1.89453294e-01 
314 1278.03 2.09128140e+01 1.59114694e-01 
313 1279.55 2.06415283e+01 1.28798782e-01 
312 1281.06 2.06342529e+01 1.31330654e-01 
311 1282.58 2.08768932e+01 1.53501915e-01 
310 1284.09 2.11879200e+01 1.85239118e-01 
309 1285.60 2.14247292e+01 2.21888262e-01 
308 1287.11 2.13720650e+01 2.46181348e-01 
307 1288.62 2.11323300e+01 2.82411706e-01 
306 1290.13 2.09989120e+01 3.14358405e-01 
305 1291.63 2.09468830e+01 3.25743049e-01 
304 1293.14 2.05405064e+01 4.12215660e-01 
303 1294.64 2.02698719e+01 4.58628595e-01 
302 1296.14 2.00373463e+01 4.84519580e-01 
301 1297.64 1.96396564e+01 5.23362728e-01 
300 1299.14 1.95130726e+01 5.16377949e-01 
299 1300.64 1.89745449e+01 5.71636061e-01 
298 1302.14 1.84598763e+01 6.34704494e-01 
297 1303.64 1.80527176e+01 6.80010817e-01 
