% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2020-10-07 17:18:36.
% Interactive averages of c0 built for 4STARB by user: Samuel
% Averages of c0 from multiple days including: 2020-07-08 AM, 2020-08-24 AM, 2020-09-18 AM, 2020-09-29 AM, 2020-10-06 AM.
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20200708_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20200824_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20200918_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20200929_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
% C:\Users\lebla\Research\4STAR\roof\20201006_4STARsisters_AmesRoofCloudy\20201006_VIS_C0_4STARB_AODmatch_toAERONET_fromNASA_Ames.dat
Pix Wavelength C0 C0err
0 171.70 0.00000000e+00 0.00000000e+00 
1 172.51 -1.00000000e+00 0.00000000e+00 
2 173.33 -1.00000000e+00 0.00000000e+00 
3 174.14 -1.00000000e+00 0.00000000e+00 
4 174.95 -1.00000000e+00 0.00000000e+00 
5 175.76 -1.00000000e+00 0.00000000e+00 
6 176.58 -1.00000000e+00 0.00000000e+00 
7 177.39 -1.00000000e+00 0.00000000e+00 
8 178.20 -1.00000000e+00 0.00000000e+00 
9 179.01 -1.00000000e+00 0.00000000e+00 
10 179.83 -1.00000000e+00 0.00000000e+00 
11 180.64 -1.00000000e+00 0.00000000e+00 
12 181.45 -1.00000000e+00 0.00000000e+00 
13 182.26 -1.00000000e+00 0.00000000e+00 
14 183.08 -1.00000000e+00 0.00000000e+00 
15 183.89 -1.00000000e+00 0.00000000e+00 
16 184.70 -1.00000000e+00 0.00000000e+00 
17 185.51 -1.00000000e+00 0.00000000e+00 
18 186.33 -1.00000000e+00 0.00000000e+00 
19 187.14 -1.00000000e+00 0.00000000e+00 
20 187.95 -1.00000000e+00 0.00000000e+00 
21 188.76 -1.00000000e+00 0.00000000e+00 
22 189.57 -1.00000000e+00 0.00000000e+00 
23 190.39 -1.00000000e+00 0.00000000e+00 
24 191.20 -1.00000000e+00 0.00000000e+00 
25 192.01 -1.00000000e+00 0.00000000e+00 
26 192.82 -1.00000000e+00 0.00000000e+00 
27 193.64 -1.00000000e+00 0.00000000e+00 
28 194.45 -1.00000000e+00 0.00000000e+00 
29 195.26 -1.00000000e+00 0.00000000e+00 
30 196.07 -1.00000000e+00 0.00000000e+00 
31 196.89 -1.00000000e+00 0.00000000e+00 
32 197.70 -1.00000000e+00 0.00000000e+00 
33 198.51 -1.00000000e+00 0.00000000e+00 
34 199.32 -1.00000000e+00 0.00000000e+00 
35 200.14 -1.00000000e+00 0.00000000e+00 
36 200.95 -1.00000000e+00 0.00000000e+00 
37 201.76 -1.00000000e+00 0.00000000e+00 
38 202.57 -1.00000000e+00 0.00000000e+00 
39 203.39 -1.00000000e+00 0.00000000e+00 
40 204.20 -1.00000000e+00 0.00000000e+00 
41 205.01 -1.00000000e+00 0.00000000e+00 
42 205.82 -1.00000000e+00 0.00000000e+00 
43 206.64 -1.00000000e+00 0.00000000e+00 
44 207.45 -1.00000000e+00 0.00000000e+00 
45 208.26 -1.00000000e+00 0.00000000e+00 
46 209.07 -1.00000000e+00 0.00000000e+00 
47 209.88 -1.00000000e+00 0.00000000e+00 
48 210.70 -1.00000000e+00 0.00000000e+00 
49 211.51 -1.00000000e+00 0.00000000e+00 
50 212.32 -1.00000000e+00 0.00000000e+00 
51 213.13 -1.00000000e+00 0.00000000e+00 
52 213.95 -1.00000000e+00 0.00000000e+00 
53 214.76 -1.00000000e+00 0.00000000e+00 
54 215.57 -1.00000000e+00 0.00000000e+00 
55 216.38 -1.00000000e+00 0.00000000e+00 
56 217.19 -1.00000000e+00 0.00000000e+00 
57 218.01 -1.00000000e+00 0.00000000e+00 
58 218.82 -1.00000000e+00 0.00000000e+00 
59 219.63 -1.00000000e+00 0.00000000e+00 
60 220.44 -1.00000000e+00 0.00000000e+00 
61 221.26 -1.00000000e+00 0.00000000e+00 
62 222.07 -1.00000000e+00 0.00000000e+00 
63 222.88 -1.00000000e+00 0.00000000e+00 
64 223.69 -1.00000000e+00 0.00000000e+00 
65 224.50 -1.00000000e+00 0.00000000e+00 
66 225.32 -1.00000000e+00 0.00000000e+00 
67 226.13 -1.00000000e+00 0.00000000e+00 
68 226.94 -1.00000000e+00 0.00000000e+00 
69 227.75 -1.00000000e+00 0.00000000e+00 
70 228.56 -1.00000000e+00 0.00000000e+00 
71 229.38 -1.00000000e+00 0.00000000e+00 
72 230.19 -1.00000000e+00 0.00000000e+00 
73 231.00 -1.00000000e+00 0.00000000e+00 
74 231.81 -1.00000000e+00 0.00000000e+00 
75 232.63 -1.00000000e+00 0.00000000e+00 
76 233.44 -1.00000000e+00 0.00000000e+00 
77 234.25 -1.00000000e+00 0.00000000e+00 
78 235.06 -1.00000000e+00 0.00000000e+00 
79 235.87 -1.00000000e+00 0.00000000e+00 
80 236.69 -1.00000000e+00 0.00000000e+00 
81 237.50 -1.00000000e+00 0.00000000e+00 
82 238.31 -1.00000000e+00 0.00000000e+00 
83 239.12 -1.00000000e+00 0.00000000e+00 
84 239.93 -1.00000000e+00 0.00000000e+00 
85 240.74 -1.00000000e+00 0.00000000e+00 
86 241.56 -1.00000000e+00 0.00000000e+00 
87 242.37 -1.00000000e+00 0.00000000e+00 
88 243.18 -1.00000000e+00 0.00000000e+00 
89 243.99 -1.00000000e+00 0.00000000e+00 
90 244.80 -1.00000000e+00 0.00000000e+00 
91 245.62 -1.00000000e+00 0.00000000e+00 
92 246.43 -1.00000000e+00 0.00000000e+00 
93 247.24 -1.00000000e+00 0.00000000e+00 
94 248.05 -1.00000000e+00 0.00000000e+00 
95 248.86 -1.00000000e+00 0.00000000e+00 
96 249.68 -1.00000000e+00 0.00000000e+00 
97 250.49 -1.00000000e+00 0.00000000e+00 
98 251.30 -1.00000000e+00 0.00000000e+00 
99 252.11 -1.00000000e+00 0.00000000e+00 
100 252.92 -1.00000000e+00 0.00000000e+00 
101 253.73 -1.00000000e+00 0.00000000e+00 
102 254.55 -1.00000000e+00 0.00000000e+00 
103 255.36 -1.00000000e+00 0.00000000e+00 
104 256.17 -1.00000000e+00 0.00000000e+00 
105 256.98 -1.00000000e+00 0.00000000e+00 
106 257.79 -1.00000000e+00 0.00000000e+00 
107 258.60 -1.00000000e+00 0.00000000e+00 
108 259.42 -1.00000000e+00 0.00000000e+00 
109 260.23 -1.00000000e+00 0.00000000e+00 
110 261.04 -1.00000000e+00 0.00000000e+00 
111 261.85 -1.00000000e+00 0.00000000e+00 
112 262.66 -1.00000000e+00 0.00000000e+00 
113 263.47 -1.00000000e+00 0.00000000e+00 
114 264.29 -1.00000000e+00 0.00000000e+00 
115 265.10 -1.00000000e+00 0.00000000e+00 
116 265.91 3.68741230e+36 8.24530456e+36 
117 266.72 2.56375616e+35 5.73273305e+35 
118 267.53 1.58982232e+34 3.55495077e+34 
119 268.34 9.51436148e+32 2.12747590e+33 
120 269.15 5.73963666e+31 1.28342177e+32 
121 269.97 3.43992540e+30 7.69190703e+30 
122 270.78 1.81066364e+36 4.04876643e+36 
123 271.59 4.15154299e+35 8.11253502e+35 
124 272.40 8.96979835e+33 1.74465616e+34 
125 273.21 1.61996521e+35 3.61716333e+35 
126 274.02 2.11064341e+33 4.70907979e+33 
127 274.83 3.55352681e+31 7.92156674e+31 
128 275.65 6.58655814e+29 1.46589092e+30 
129 276.46 1.38550959e+28 3.07697970e+28 
130 277.27 1.52224362e+37 3.40384021e+37 
131 278.08 9.27282770e+34 2.07346731e+35 
132 278.89 5.78530542e+32 1.29363362e+33 
133 279.70 4.32550081e+30 9.67211382e+30 
134 280.51 3.30111023e+28 7.38150685e+28 
135 281.33 3.03919115e+26 6.79583787e+26 
136 282.14 3.88005192e+24 8.67605929e+24 
137 282.95 6.88810827e+22 1.54022753e+23 
138 283.76 1.52075910e+21 3.40051879e+21 
139 284.57 3.55281632e+19 7.94432572e+19 
140 285.38 1.11056542e+18 2.48328882e+18 
141 286.19 4.22182044e+16 9.44016546e+16 
142 287.00 1.96892985e+15 4.40252828e+15 
143 287.81 1.06765520e+14 2.38717118e+14 
144 288.63 7.00219455e+12 1.56546365e+13 
145 289.44 5.52828655e+11 1.23565546e+12 
146 290.25 5.96388816e+10 1.33246233e+11 
147 291.06 6.77041282e+09 1.51129945e+10 
148 291.87 9.15961270e+08 2.04126270e+09 
149 292.68 1.44086171e+08 3.20122806e+08 
150 293.49 2.78211427e+07 6.15314165e+07 
151 294.30 6.02319563e+06 1.32063199e+07 
152 295.11 1.44826102e+06 3.13683913e+06 
153 295.93 3.96754952e+05 8.43809244e+05 
154 296.74 1.21334270e+05 2.51145771e+05 
155 297.55 4.29345613e+04 8.57940089e+04 
156 298.36 1.75955604e+04 3.37007281e+04 
157 299.17 7.65516549e+03 1.38239943e+04 
158 299.98 3.78447580e+03 6.40368674e+03 
159 300.79 1.97747678e+03 3.08317868e+03 
160 301.60 1.16130090e+03 1.67729462e+03 
161 302.41 7.24094619e+02 9.55553084e+02 
162 303.22 4.97617647e+02 5.82029427e+02 
163 304.03 3.51804741e+02 3.70210351e+02 
164 304.84 2.63890379e+02 2.42984041e+02 
165 305.66 2.06452768e+02 1.68569348e+02 
166 306.47 1.71727118e+02 1.23638498e+02 
167 307.28 1.49947353e+02 9.54367190e+01 
168 308.09 1.32311137e+02 7.31527836e+01 
169 308.90 1.17280391e+02 5.85347666e+01 
170 309.71 1.07894194e+02 4.84487032e+01 
171 310.52 1.07591536e+02 4.12920971e+01 
172 311.33 1.06514479e+02 3.47475137e+01 
173 312.14 1.00498991e+02 2.92632852e+01 
174 312.95 9.68373886e+01 2.55417284e+01 
175 313.76 9.51518891e+01 2.26846614e+01 
176 314.57 9.28542451e+01 2.01285181e+01 
177 315.38 8.99343445e+01 1.88056717e+01 
178 316.19 9.03247665e+01 1.72440891e+01 
179 317.00 9.59111665e+01 1.62568740e+01 
180 317.81 9.80560136e+01 1.54146609e+01 
181 318.62 9.64945373e+01 1.42857968e+01 
182 319.43 1.00210199e+02 1.40216562e+01 
183 320.25 1.04728095e+02 1.32381085e+01 
184 321.06 1.04534752e+02 1.26436202e+01 
185 321.87 1.02421288e+02 1.21987962e+01 
186 322.68 1.00261150e+02 1.18766891e+01 
187 323.49 1.01413866e+02 1.10087915e+01 
188 324.30 1.09644148e+02 1.08153413e+01 
189 325.11 1.21483493e+02 1.04863045e+01 
190 325.92 1.34408749e+02 1.06851966e+01 
191 326.73 1.42170099e+02 1.03741159e+01 
192 327.54 1.43654956e+02 1.01268028e+01 
193 328.35 1.43878034e+02 9.69049011e+00 
194 329.16 1.51220059e+02 9.32094095e+00 
195 329.97 1.59343842e+02 9.20494244e+00 
196 330.78 1.57701526e+02 8.92275545e+00 
197 331.59 1.53867221e+02 8.96355903e+00 
198 332.40 1.53522034e+02 8.78491570e+00 
199 333.21 1.52712003e+02 8.17465359e+00 
200 334.02 1.54152676e+02 7.85801106e+00 
201 334.83 1.57529697e+02 8.14460260e+00 
202 335.64 1.54094342e+02 7.38978849e+00 
203 336.45 1.46257031e+02 7.44371265e+00 
204 337.26 1.45596201e+02 7.40535834e+00 
205 338.07 1.53515662e+02 7.38657777e+00 
206 338.88 1.62077597e+02 7.04423059e+00 
207 339.69 1.70406930e+02 6.82878133e+00 
208 340.50 1.74303168e+02 6.70879993e+00 
209 341.31 1.71732538e+02 6.84430934e+00 
210 342.12 1.73446075e+02 6.60194463e+00 
211 342.93 1.76543057e+02 6.49063823e+00 
212 343.74 1.68046036e+02 6.32175343e+00 
213 344.55 1.59710199e+02 6.21322138e+00 
214 345.36 1.65337158e+02 6.07637334e+00 
215 346.17 1.71706113e+02 6.12098950e+00 
216 346.98 1.73168225e+02 6.12182684e+00 
217 347.79 1.72041830e+02 6.02618133e+00 
218 348.59 1.71251938e+02 5.91103577e+00 
219 349.40 1.74436490e+02 5.84076896e+00 
220 350.21 1.85534088e+02 5.92292747e+00 
221 351.02 1.92686972e+02 6.02026780e+00 
222 351.83 1.88353323e+02 5.73959247e+00 
223 352.64 1.85557248e+02 5.51997455e+00 
224 353.45 1.94922702e+02 5.60242142e+00 
225 354.26 2.08801126e+02 5.57711499e+00 
226 355.07 2.11589014e+02 5.63416894e+00 
227 355.88 2.02639572e+02 5.76676372e+00 
228 356.69 1.85430884e+02 5.10751274e+00 
229 357.50 1.69284885e+02 5.17503440e+00 
230 358.31 1.61201303e+02 5.13517577e+00 
231 359.12 1.73887717e+02 5.25548665e+00 
232 359.93 1.97380292e+02 5.19365931e+00 
233 360.74 1.98092541e+02 5.04724396e+00 
234 361.55 1.90988608e+02 4.80796588e+00 
235 362.35 1.97850436e+02 4.97407146e+00 
236 363.16 2.07116772e+02 4.80998337e+00 
237 363.97 2.11242090e+02 4.72540181e+00 
238 364.78 2.19044522e+02 4.87183958e+00 
239 365.59 2.36119119e+02 5.09536639e+00 
240 366.40 2.51567956e+02 4.99108439e+00 
241 367.21 2.52176721e+02 4.81095361e+00 
242 368.02 2.46259821e+02 4.59232043e+00 
243 368.83 2.47448770e+02 4.71372615e+00 
244 369.64 2.57538910e+02 4.64322080e+00 
245 370.44 2.58897324e+02 4.66568049e+00 
246 371.25 2.55594885e+02 4.58081538e+00 
247 372.06 2.49496503e+02 4.30225193e+00 
248 372.87 2.35645203e+02 4.28420647e+00 
249 373.68 2.22601721e+02 4.22290067e+00 
250 374.49 2.20966092e+02 4.15771901e+00 
251 375.30 2.36054620e+02 4.52979758e+00 
252 376.11 2.57070227e+02 4.50667996e+00 
253 376.92 2.78936304e+02 4.74338450e+00 
254 377.72 3.07093243e+02 4.72437169e+00 
255 378.53 3.15486475e+02 4.75531202e+00 
256 379.34 2.98780304e+02 4.44339953e+00 
257 380.15 2.93894690e+02 4.50734203e+00 
258 380.96 2.96754456e+02 4.60441375e+00 
259 381.77 2.71853290e+02 4.11085677e+00 
260 382.58 2.32762683e+02 3.91036447e+00 
261 383.38 2.14928552e+02 3.94242973e+00 
262 384.19 2.34929492e+02 4.53110147e+00 
263 385.00 2.66705859e+02 4.67941414e+00 
264 385.81 2.79222607e+02 4.52429884e+00 
265 386.62 2.82730414e+02 4.33379877e+00 
266 387.43 2.86105212e+02 4.36811326e+00 
267 388.23 2.90848724e+02 4.49528041e+00 
268 389.04 3.10420996e+02 4.80061519e+00 
269 389.85 3.41472607e+02 4.69308300e+00 
270 390.66 3.66230487e+02 4.81035150e+00 
271 391.47 3.71825757e+02 4.59170449e+00 
272 392.28 3.33398108e+02 4.05511942e+00 
273 393.08 2.69078668e+02 3.64116413e+00 
274 393.89 2.58133139e+02 4.32864977e+00 
275 394.70 3.15173340e+02 4.95263318e+00 
276 395.51 3.53631561e+02 4.55425935e+00 
277 396.32 3.25558197e+02 3.81899215e+00 
278 397.12 3.07343708e+02 4.20804803e+00 
279 397.93 3.70430627e+02 5.25921734e+00 
280 398.74 4.57644726e+02 5.51961238e+00 
281 399.55 5.09916321e+02 4.96107866e+00 
282 400.36 5.35331079e+02 5.04961766e+00 
283 401.16 5.54008215e+02 4.88190678e+00 
284 401.97 5.68826807e+02 4.75516671e+00 
285 402.78 5.71355578e+02 4.49576144e+00 
286 403.59 5.66816028e+02 4.26017721e+00 
287 404.39 5.63332141e+02 4.38404812e+00 
288 405.20 5.59246839e+02 4.35170159e+00 
289 406.01 5.55201257e+02 4.18261821e+00 
290 406.82 5.54936646e+02 4.05292950e+00 
291 407.63 5.67375903e+02 4.07451405e+00 
292 408.43 5.88445508e+02 4.11818068e+00 
293 409.24 5.94912891e+02 3.85846960e+00 
294 410.05 5.83951916e+02 3.64872111e+00 
295 410.86 5.92777759e+02 3.96597126e+00 
296 411.66 6.21453699e+02 3.95309747e+00 
297 412.47 6.36408545e+02 3.92367574e+00 
298 413.28 6.38997009e+02 3.33637854e+00 
299 414.08 6.41682764e+02 3.21162807e+00 
300 414.89 6.46089917e+02 3.10837830e+00 
301 415.70 6.52990955e+02 3.25354029e+00 
302 416.51 6.58792444e+02 2.86309365e+00 
303 417.31 6.53576904e+02 2.84611134e+00 
304 418.12 6.47484436e+02 2.85728813e+00 
305 418.93 6.48765320e+02 2.77628126e+00 
306 419.74 6.54947192e+02 2.74333588e+00 
307 420.54 6.69250476e+02 2.99694009e+00 
308 421.35 6.81966150e+02 2.61717164e+00 
309 422.16 6.76425110e+02 2.62028151e+00 
310 422.96 6.67385877e+02 2.70294937e+00 
311 423.77 6.71197156e+02 2.66032258e+00 
312 424.58 6.78994922e+02 2.58582095e+00 
313 425.38 6.81245361e+02 2.84931968e+00 
314 426.19 6.79638562e+02 2.84955919e+00 
315 427.00 6.73582483e+02 3.04925236e+00 
316 427.80 6.67657104e+02 3.19592827e+00 
317 428.61 6.54519177e+02 3.07297615e+00 
318 429.42 6.19467749e+02 2.88098505e+00 
319 430.23 5.81840674e+02 3.30581002e+00 
320 431.03 5.94570532e+02 3.84062646e+00 
321 431.84 6.54860547e+02 4.18892634e+00 
322 432.65 7.05293164e+02 4.00997471e+00 
323 433.45 7.19779773e+02 3.68381723e+00 
324 434.26 7.23660254e+02 4.24978057e+00 
325 435.06 7.45279395e+02 4.54867888e+00 
326 435.87 7.77079956e+02 5.08239854e+00 
327 436.68 7.93488916e+02 4.49701062e+00 
328 437.48 7.81445557e+02 4.83214559e+00 
329 438.29 7.61432227e+02 5.01578976e+00 
330 439.10 7.61748560e+02 5.02770018e+00 
331 439.90 7.79673718e+02 5.21153153e+00 
332 440.71 8.04537695e+02 5.71867001e+00 
333 441.52 8.33708215e+02 5.29392819e+00 
334 442.32 8.57404126e+02 5.54443202e+00 
335 443.13 8.70876404e+02 5.47286368e+00 
336 443.93 8.77844214e+02 5.49103259e+00 
337 444.74 8.77741284e+02 5.40161361e+00 
338 445.55 8.71194824e+02 5.55971985e+00 
339 446.35 8.76112756e+02 5.83549321e+00 
340 447.16 8.97226441e+02 6.69063293e+00 
341 447.96 9.19747656e+02 6.07123999e+00 
342 448.77 9.34698963e+02 6.33114107e+00 
343 449.58 9.51490491e+02 6.88458260e+00 
344 450.38 9.71899841e+02 6.72795262e+00 
345 451.19 9.80356360e+02 5.90654977e+00 
346 451.99 9.66049817e+02 6.01421271e+00 
347 452.80 9.44116711e+02 5.59789321e+00 
348 453.60 9.36832605e+02 5.55172939e+00 
349 454.41 9.42992615e+02 5.34208759e+00 
350 455.22 9.54628455e+02 6.09064554e+00 
351 456.02 9.70100268e+02 5.92642303e+00 
352 456.83 9.81944849e+02 5.34983841e+00 
353 457.63 9.84208557e+02 5.19003056e+00 
354 458.44 9.78702307e+02 5.05072696e+00 
355 459.24 9.76644861e+02 4.70759114e+00 
356 460.05 9.83489588e+02 4.87792971e+00 
357 460.85 9.96597608e+02 5.04432518e+00 
358 461.66 1.00889098e+03 5.04335240e+00 
359 462.46 1.01531121e+03 4.97354177e+00 
360 463.27 1.01114930e+03 5.06426144e+00 
361 464.08 9.99995900e+02 4.84860287e+00 
362 464.88 9.92067261e+02 4.61629715e+00 
363 465.69 9.87224792e+02 4.52397544e+00 
364 466.49 9.83634876e+02 4.29595166e+00 
365 467.30 9.84112390e+02 4.04616594e+00 
366 468.10 9.89571778e+02 4.32958796e+00 
367 468.91 9.94225403e+02 4.21591081e+00 
368 469.71 9.92266882e+02 3.74561867e+00 
369 470.52 9.91725964e+02 3.42444911e+00 
370 471.32 1.00349070e+03 3.65455427e+00 
371 472.13 1.01828729e+03 3.86673642e+00 
372 472.93 1.02709844e+03 3.49058679e+00 
373 473.73 1.03378940e+03 3.37018863e+00 
374 474.54 1.04023242e+03 3.51181536e+00 
375 475.34 1.04243503e+03 3.43269509e+00 
376 476.15 1.04357139e+03 2.96745638e+00 
377 476.95 1.05087498e+03 2.96414679e+00 
378 477.76 1.06222407e+03 3.21656964e+00 
379 478.56 1.07128430e+03 3.45064529e+00 
380 479.37 1.07611196e+03 3.30506373e+00 
381 480.17 1.07978826e+03 2.97241158e+00 
382 480.98 1.08355452e+03 2.91871277e+00 
383 481.78 1.08508635e+03 2.98157246e+00 
384 482.58 1.08140071e+03 2.93862553e+00 
385 483.39 1.07252185e+03 2.68202039e+00 
386 484.19 1.05421946e+03 3.07769850e+00 
387 485.00 1.01750349e+03 3.23376820e+00 
388 485.80 9.72998999e+02 3.24919925e+00 
389 486.61 9.54929578e+02 2.41814006e+00 
390 487.41 9.71193079e+02 2.00225053e+00 
391 488.21 1.00197321e+03 1.91105622e+00 
392 489.02 1.03278327e+03 1.85915550e+00 
393 489.82 1.05560408e+03 1.88006086e+00 
394 490.63 1.06226086e+03 2.35984764e+00 
395 491.43 1.05507463e+03 2.14716141e+00 
396 492.23 1.04965056e+03 2.33069781e+00 
397 493.04 1.05518821e+03 2.33977962e+00 
398 493.84 1.06939231e+03 2.04338529e+00 
399 494.64 1.08330771e+03 2.08173389e+00 
400 495.45 1.09038330e+03 2.25325224e+00 
401 496.25 1.09378113e+03 2.37968503e+00 
402 497.06 1.09133410e+03 2.62488020e+00 
403 497.86 1.08406916e+03 2.66659656e+00 
