% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from \\CLOUDGAZER\data_sunsat\rooftop\Fall_2020\data_processed\starsuns\4STARB_20201112starsun.mat and recorded on 2020-12-03 11:22:00.
% C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 200 m [Alt] and 360 seconds, measured on 20201112.
Pix Wavelength C0 C0err
511 946.05 8.03275013e+00 1.48109770e+00 
510 947.95 8.41744518e+00 1.50068784e+00 
509 949.84 8.92018795e+00 1.51225173e+00 
508 951.73 9.37385273e+00 1.53542781e+00 
507 953.62 9.86144066e+00 1.53368080e+00 
506 955.51 1.04759817e+01 1.52296770e+00 
505 957.40 1.11711302e+01 1.50905812e+00 
504 959.28 1.20215664e+01 1.50868630e+00 
503 961.16 1.30061102e+01 1.48929441e+00 
502 963.03 1.40444937e+01 1.48152387e+00 
501 964.90 1.52825642e+01 1.41821599e+00 
500 966.78 1.67373829e+01 1.36607599e+00 
499 968.64 1.83575878e+01 1.25560451e+00 
498 970.51 1.94880619e+01 1.20771968e+00 
497 972.37 1.98448944e+01 1.19987130e+00 
496 974.23 1.97611008e+01 1.23695409e+00 
495 976.09 2.00799561e+01 1.22422552e+00 
494 977.95 2.07626648e+01 1.20671916e+00 
493 979.80 2.18319016e+01 1.12850082e+00 
492 981.65 2.27924786e+01 1.07123649e+00 
491 983.50 2.38166485e+01 1.00185907e+00 
490 985.34 2.45267696e+01 9.54815924e-01 
489 987.18 2.51091881e+01 9.08610284e-01 
488 989.02 2.54958553e+01 8.93420041e-01 
487 990.86 2.58707752e+01 8.64247084e-01 
486 992.70 2.61105156e+01 8.70981038e-01 
485 994.53 2.64276752e+01 8.47295344e-01 
484 996.36 2.65430832e+01 8.57897460e-01 
483 998.19 2.66903019e+01 8.42713535e-01 
482 1000.01 2.67068558e+01 8.52223754e-01 
481 1001.83 2.67027893e+01 8.65246177e-01 
480 1003.65 2.66393814e+01 8.53989184e-01 
479 1005.47 2.68194008e+01 8.52479398e-01 
478 1007.29 2.70004311e+01 8.59514892e-01 
477 1009.10 2.73877773e+01 8.57018709e-01 
476 1010.91 2.75771351e+01 8.66724432e-01 
475 1012.72 2.77457466e+01 8.48889291e-01 
474 1014.53 2.77536488e+01 8.68410826e-01 
473 1016.33 2.79010582e+01 8.43097270e-01 
472 1018.13 2.78630676e+01 8.64789844e-01 
471 1019.93 2.79853058e+01 8.46190691e-01 
470 1021.73 2.79341125e+01 8.37415576e-01 
469 1023.52 2.79835854e+01 8.36366534e-01 
468 1025.31 2.79083004e+01 8.60472202e-01 
467 1027.10 2.79702225e+01 8.36643696e-01 
466 1028.89 2.77892246e+01 8.39044750e-01 
465 1030.67 2.76919975e+01 8.26092780e-01 
464 1032.45 2.74302635e+01 8.41508746e-01 
463 1034.23 2.73415527e+01 8.44426215e-01 
462 1036.01 2.71449051e+01 8.51452470e-01 
461 1037.79 2.70746670e+01 8.46856117e-01 
460 1039.56 2.68264618e+01 8.41069281e-01 
459 1041.33 2.66990337e+01 8.41156244e-01 
458 1043.10 2.64266434e+01 8.56443048e-01 
457 1044.87 2.62757225e+01 8.48373413e-01 
456 1046.63 2.60403290e+01 8.65695834e-01 
455 1048.39 2.59876881e+01 8.64268243e-01 
454 1050.15 2.58529930e+01 8.67219627e-01 
453 1051.91 2.58175507e+01 8.71484041e-01 
452 1053.67 2.57079659e+01 8.72318864e-01 
451 1055.42 2.56458721e+01 8.54473412e-01 
450 1057.17 2.53696461e+01 8.53741467e-01 
449 1058.92 2.52422810e+01 8.59413564e-01 
448 1060.67 2.50644550e+01 8.65696073e-01 
447 1062.41 2.49778996e+01 8.61110330e-01 
446 1064.15 2.47394505e+01 8.72843862e-01 
445 1065.89 2.44294243e+01 8.61280262e-01 
444 1067.63 2.39765854e+01 8.65277588e-01 
443 1069.37 2.37640686e+01 8.58053744e-01 
442 1071.10 2.35623245e+01 8.62912297e-01 
441 1072.83 2.34957275e+01 8.51732969e-01 
440 1074.56 2.32754192e+01 8.44045997e-01 
439 1076.29 2.30723457e+01 8.45151484e-01 
438 1078.02 2.27817440e+01 8.42530310e-01 
437 1079.74 2.25129948e+01 8.35010469e-01 
436 1081.46 2.21561451e+01 8.44040334e-01 
435 1083.18 2.19079342e+01 8.50018442e-01 
434 1084.90 2.16412849e+01 8.60853791e-01 
433 1086.61 2.16072865e+01 8.67121220e-01 
432 1088.33 2.15353966e+01 8.77376795e-01 
431 1090.04 2.15271740e+01 8.92932236e-01 
430 1091.75 2.11390743e+01 9.22116876e-01 
429 1093.45 2.07892895e+01 9.64498639e-01 
428 1095.16 2.04575043e+01 1.00483620e+00 
427 1096.86 2.01758747e+01 1.08229244e+00 
426 1098.56 1.98549786e+01 1.15754509e+00 
425 1100.26 1.95205250e+01 1.24408770e+00 
424 1101.96 1.92168694e+01 1.30689979e+00 
423 1103.65 1.89622993e+01 1.36214793e+00 
422 1105.35 1.86096897e+01 1.41670132e+00 
421 1107.04 1.82473888e+01 1.45433486e+00 
420 1108.73 1.75807896e+01 1.49282956e+00 
419 1110.41 1.64198227e+01 1.54506814e+00 
418 1112.10 1.45027924e+01 1.60070932e+00 
417 1113.78 1.19745426e+01 1.64179742e+00 
416 1115.46 9.63635159e+00 1.64993620e+00 
415 1117.14 7.81918001e+00 1.65362918e+00 
414 1118.82 6.59842491e+00 1.62933230e+00 
413 1120.50 5.86446095e+00 1.60118473e+00 
412 1122.17 5.42872572e+00 1.58496737e+00 
411 1123.84 5.13073921e+00 1.55267608e+00 
410 1125.51 5.01230478e+00 1.58052218e+00 
409 1127.18 5.33794785e+00 1.61034667e+00 
408 1128.85 6.54995441e+00 1.70088506e+00 
407 1130.51 7.12590647e+00 1.72353268e+00 
406 1132.17 6.83479548e+00 1.64723539e+00 
405 1133.83 6.60499525e+00 1.62929189e+00 
404 1135.49 7.45716381e+00 1.67587268e+00 
403 1137.15 9.52061939e+00 1.83528423e+00 
402 1138.80 1.10583801e+01 1.96790731e+00 
401 1140.46 1.12268171e+01 1.98705173e+00 
400 1142.11 9.77204895e+00 1.92998290e+00 
399 1143.76 8.27183247e+00 1.86394036e+00 
398 1145.41 7.57315826e+00 1.78244114e+00 
397 1147.05 7.91150951e+00 1.78254485e+00 
396 1148.70 9.11617947e+00 1.84783733e+00 
395 1150.34 1.00158825e+01 1.93237758e+00 
394 1151.98 1.06852903e+01 1.99191988e+00 
393 1153.62 1.19982920e+01 2.01272011e+00 
392 1155.26 1.35668268e+01 1.97951806e+00 
391 1156.89 1.51852045e+01 1.93415427e+00 
390 1158.53 1.64933090e+01 1.86099637e+00 
389 1160.16 1.80444965e+01 1.74841607e+00 
388 1161.79 1.93064117e+01 1.66684783e+00 
387 1163.42 2.03387184e+01 1.60851824e+00 
386 1165.04 2.09389191e+01 1.55937719e+00 
385 1166.67 2.14133244e+01 1.50653911e+00 
384 1168.29 2.21994038e+01 1.41573071e+00 
383 1169.91 2.27139759e+01 1.35405612e+00 
382 1171.53 2.24026394e+01 1.34277749e+00 
381 1173.15 2.24231644e+01 1.29279494e+00 
380 1174.77 2.21410828e+01 1.26446354e+00 
379 1176.38 2.24509830e+01 1.20296085e+00 
378 1178.00 2.23429565e+01 1.19528639e+00 
377 1179.61 2.16902771e+01 1.23640025e+00 
376 1181.22 2.12652149e+01 1.24334574e+00 
375 1182.83 2.11062946e+01 1.24217117e+00 
374 1184.43 2.10447884e+01 1.23095572e+00 
373 1186.04 2.10477428e+01 1.23264670e+00 
372 1187.64 2.12749710e+01 1.19915891e+00 
371 1189.24 2.16225910e+01 1.16217220e+00 
370 1190.84 2.23269272e+01 1.10323095e+00 
369 1192.44 2.26410999e+01 1.08105040e+00 
368 1194.04 2.24795017e+01 1.06387329e+00 
367 1195.64 2.18585720e+01 1.07363987e+00 
366 1197.23 2.13402557e+01 1.07987583e+00 
365 1198.82 2.10960217e+01 1.08206916e+00 
364 1200.41 2.05094452e+01 1.11624587e+00 
363 1202.00 2.06656113e+01 1.11655724e+00 
362 1203.59 2.08317680e+01 1.09428012e+00 
361 1205.17 2.09174385e+01 1.07982123e+00 
360 1206.76 2.13282204e+01 1.02449870e+00 
359 1208.34 2.12267513e+01 1.02812433e+00 
358 1209.92 2.11568184e+01 1.02149510e+00 
357 1211.50 2.13713989e+01 1.03951824e+00 
356 1213.08 2.16346302e+01 1.03486395e+00 
355 1214.66 2.20867615e+01 9.96973813e-01 
354 1216.23 2.22021160e+01 9.61824000e-01 
353 1217.80 2.24130611e+01 9.40871954e-01 
352 1219.38 2.22945747e+01 9.49556708e-01 
351 1220.95 2.22333050e+01 9.32924509e-01 
350 1222.52 2.22675476e+01 9.33864892e-01 
349 1224.08 2.22951469e+01 9.03777421e-01 
348 1225.65 2.24688148e+01 8.75945032e-01 
347 1227.21 2.26885128e+01 8.41903925e-01 
346 1228.78 2.28760242e+01 8.24595451e-01 
345 1230.34 2.30689125e+01 8.11490536e-01 
344 1231.90 2.31030350e+01 8.07000697e-01 
343 1233.46 2.31396179e+01 7.84313917e-01 
342 1235.01 2.30976486e+01 7.89915919e-01 
341 1236.57 2.30833435e+01 7.82683372e-01 
340 1238.12 2.29113960e+01 7.87620008e-01 
339 1239.67 2.27907104e+01 7.84260631e-01 
338 1241.23 2.26099339e+01 8.03464949e-01 
337 1242.78 2.25886478e+01 7.96170890e-01 
336 1244.32 2.24706879e+01 8.12895536e-01 
335 1245.87 2.24478836e+01 8.12745214e-01 
334 1247.42 2.23176479e+01 8.31597269e-01 
333 1248.96 2.21428795e+01 8.40369999e-01 
332 1250.50 2.19038944e+01 8.65246177e-01 
331 1252.04 2.17217770e+01 8.85856569e-01 
330 1253.58 2.14251137e+01 9.17225242e-01 
329 1255.12 2.11937675e+01 9.56951141e-01 
328 1256.66 2.07454681e+01 1.00200748e+00 
327 1258.19 2.01509209e+01 1.07453620e+00 
326 1259.73 1.92763386e+01 1.16323495e+00 
325 1261.26 1.83973579e+01 1.26620471e+00 
324 1262.79 1.77042217e+01 1.34554195e+00 
323 1264.32 1.71604900e+01 1.41017163e+00 
322 1265.85 1.62003098e+01 1.47978783e+00 
321 1267.38 1.61684799e+01 1.49268484e+00 
320 1268.90 1.65596008e+01 1.42850435e+00 
319 1270.43 1.74659348e+01 1.32525146e+00 
318 1271.95 1.88031788e+01 1.18312538e+00 
317 1273.47 1.94346962e+01 1.09242535e+00 
316 1274.99 1.97930222e+01 1.01433766e+00 
315 1276.51 2.00743542e+01 9.64786053e-01 
314 1278.03 2.00278111e+01 9.22823906e-01 
313 1279.55 1.98988762e+01 8.85084748e-01 
312 1281.06 2.00062008e+01 8.39726329e-01 
311 1282.58 2.03308296e+01 8.15439582e-01 
310 1284.09 2.07155781e+01 8.15164685e-01 
309 1285.60 2.10242100e+01 8.22092533e-01 
308 1287.11 2.10105343e+01 8.22029948e-01 
307 1288.62 2.08244152e+01 8.34000289e-01 
306 1290.13 2.07151642e+01 8.49039614e-01 
305 1291.63 2.07232208e+01 8.40754271e-01 
304 1293.14 2.04540329e+01 8.70142817e-01 
303 1294.64 2.02598114e+01 8.89714003e-01 
302 1296.14 2.00704880e+01 8.91577840e-01 
301 1297.64 1.97141800e+01 9.04010773e-01 
300 1299.14 1.95802746e+01 9.03813601e-01 
299 1300.64 1.91191998e+01 9.22665775e-01 
298 1302.14 1.86452808e+01 9.59197700e-01 
297 1303.64 1.82409344e+01 9.87174392e-01 
296 1305.13 1.78447437e+01 1.01710320e+00 
295 1306.62 1.75933743e+01 1.04439759e+00 
294 1308.12 1.72443676e+01 1.07213366e+00 
293 1309.61 1.68451481e+01 1.11219347e+00 
292 1311.10 1.60306568e+01 1.18980551e+00 
291 1312.58 1.56799870e+01 1.22357261e+00 
290 1314.07 1.55206852e+01 1.21275306e+00 
289 1315.56 1.53129559e+01 1.23281014e+00 
288 1317.04 1.51156330e+01 1.22423816e+00 
287 1318.52 1.49089298e+01 1.23385489e+00 
286 1320.01 1.42281532e+01 1.29679668e+00 
285 1321.49 1.41975479e+01 1.30659437e+00 
284 1322.97 1.44215994e+01 1.29254580e+00 
283 1324.45 1.39735489e+01 1.32170284e+00 
282 1325.92 1.31231899e+01 1.35253525e+00 
281 1327.40 1.17913027e+01 1.41028070e+00 
280 1328.87 9.95623684e+00 1.48256040e+00 
279 1330.35 8.92743874e+00 1.51318753e+00 
278 1331.82 8.85081482e+00 1.50181139e+00 
277 1333.29 9.09147930e+00 1.48709977e+00 
276 1334.76 9.54392433e+00 1.48104084e+00 
275 1336.23 9.83980751e+00 1.47643709e+00 
274 1337.70 9.47717381e+00 1.46341062e+00 
273 1339.17 9.23942280e+00 1.48503911e+00 
272 1340.63 8.60131264e+00 1.46586549e+00 
271 1342.10 7.34154701e+00 1.42440283e+00 
270 1343.56 6.12538815e+00 1.39729762e+00 
269 1345.02 4.29761362e+00 1.26092374e+00 
268 1346.48 2.88440442e+00 1.14895225e+00 
267 1347.94 1.80958986e+00 1.01691747e+00 
266 1349.40 9.14598703e-01 8.73458326e-01 
