% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from \\CLOUDGAZER\data_sunsat\rooftop\Fall_2020\data_processed\starsuns\4STAR_20201112starsun.mat and recorded on 2020-12-03 12:00:03.
% C0 built to match AOD from 4STAR to AERONET spline fit for NASA_Ames within 200 m [Alt] and 360 seconds, measured on 20201112.
Pix Wavelength C0 C0err
511 949.79 2.02094579e+00 2.82528728e-01 
510 949.79 2.19779897e+00 2.89301485e-01 
509 951.68 2.46361852e+00 3.10153335e-01 
508 953.57 2.56978178e+00 3.15725923e-01 
507 955.46 2.94696999e+00 3.48675698e-01 
506 957.34 3.10682487e+00 3.55874628e-01 
505 959.22 3.56708884e+00 3.89763623e-01 
504 961.10 3.80696702e+00 4.10330951e-01 
503 962.98 4.33414459e+00 4.51000124e-01 
502 964.85 4.60648251e+00 4.74254280e-01 
501 966.72 5.29527140e+00 5.37848353e-01 
500 968.59 5.60132360e+00 5.72842598e-01 
499 970.45 6.02562284e+00 6.17910683e-01 
498 972.32 5.90765095e+00 6.01396263e-01 
497 974.18 6.16833639e+00 6.20488107e-01 
496 976.04 6.18804741e+00 6.31561041e-01 
495 977.89 6.70095634e+00 6.75857246e-01 
494 979.74 6.83264780e+00 7.03693926e-01 
493 981.59 7.34454060e+00 7.53065348e-01 
492 983.44 7.44217110e+00 7.79106200e-01 
491 985.29 7.84608459e+00 8.21016073e-01 
490 987.13 7.76579666e+00 8.34720731e-01 
489 988.97 8.07396889e+00 8.57690811e-01 
488 990.81 7.92036486e+00 8.45643520e-01 
487 992.65 8.14968777e+00 8.63864124e-01 
486 994.48 7.98096085e+00 8.43804359e-01 
485 996.31 8.16300392e+00 8.59095514e-01 
484 998.14 7.90930319e+00 8.39549541e-01 
483 999.97 8.05390644e+00 8.43688607e-01 
482 1001.79 7.78270674e+00 8.22331131e-01 
481 1003.62 7.89762688e+00 8.28267157e-01 
480 1005.44 7.68534470e+00 8.08360755e-01 
479 1007.25 7.93770695e+00 8.25017452e-01 
478 1009.07 7.72515059e+00 8.09749126e-01 
477 1010.88 7.90734577e+00 8.21352482e-01 
476 1012.69 7.66923475e+00 7.98342705e-01 
475 1014.50 7.79411650e+00 8.01166594e-01 
474 1016.31 7.57691097e+00 7.81185448e-01 
473 1018.11 7.71894360e+00 7.89274454e-01 
472 1019.91 7.48441219e+00 7.59620965e-01 
471 1021.71 7.64690876e+00 7.74946511e-01 
470 1023.51 7.42292118e+00 7.48842716e-01 
469 1025.30 7.59899092e+00 7.59301484e-01 
468 1027.09 7.49705505e+00 7.56147325e-01 
467 1028.88 7.64741182e+00 7.66844392e-01 
466 1030.67 7.47811222e+00 7.52936363e-01 
465 1032.46 7.65045500e+00 7.58098960e-01 
464 1034.24 7.48540068e+00 7.48470306e-01 
463 1036.02 7.69623804e+00 7.61081398e-01 
462 1037.80 7.56884289e+00 7.51603961e-01 
461 1039.58 7.80164957e+00 7.67388701e-01 
460 1041.35 7.65701151e+00 7.54132092e-01 
459 1043.12 7.82013750e+00 7.56805241e-01 
458 1044.89 7.74107313e+00 7.50713348e-01 
457 1046.66 7.96186447e+00 7.64924228e-01 
456 1048.43 7.86678696e+00 7.57798672e-01 
455 1050.19 8.09386444e+00 7.70056188e-01 
454 1051.95 7.92627001e+00 7.59911895e-01 
453 1053.71 8.16612339e+00 7.68906713e-01 
452 1055.47 7.99815321e+00 7.55348861e-01 
451 1057.23 8.14314556e+00 7.62633741e-01 
450 1058.98 7.98576021e+00 7.51332581e-01 
449 1060.73 8.17911243e+00 7.61802375e-01 
448 1062.48 7.96521378e+00 7.47004688e-01 
447 1064.23 8.08521461e+00 7.49869227e-01 
446 1065.97 7.81310177e+00 7.20106840e-01 
