% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/rooftop/Spring_2022/data_processed/starsuns/4STAR_20220405starsun.mat and recorded on 2022-04-06 00:13:06.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.66462803e+00 1.39938846e-01 
510 949.79 5.01528215e+00 1.50458470e-01 
509 951.68 5.37112474e+00 1.61133736e-01 
508 953.57 5.49710321e+00 1.64913103e-01 
507 955.46 5.57284403e+00 1.67185321e-01 
506 957.34 5.90778017e+00 1.77233398e-01 
505 959.22 6.37701702e+00 1.91310510e-01 
504 961.10 6.39421320e+00 1.91826403e-01 
503 962.98 6.90086460e+00 2.07025945e-01 
502 964.85 7.07891846e+00 2.12367550e-01 
501 966.72 7.59695768e+00 2.27908731e-01 
500 968.59 7.69786978e+00 2.30936095e-01 
499 970.45 7.95963955e+00 2.38789186e-01 
498 972.32 7.90007019e+00 2.37002105e-01 
497 974.18 8.19381046e+00 2.45814309e-01 
496 976.04 8.12020874e+00 2.43606269e-01 
495 977.89 8.43647480e+00 2.53094256e-01 
494 979.74 8.40660191e+00 2.52198070e-01 
493 981.59 8.61552143e+00 2.58465648e-01 
492 983.44 8.54687309e+00 2.56406188e-01 
491 985.29 8.41963577e+00 2.52589077e-01 
490 987.13 8.55771255e+00 2.56731391e-01 
489 988.97 8.81453514e+00 2.64436066e-01 
488 990.81 8.59714508e+00 2.57914364e-01 
487 992.65 8.84097672e+00 2.65229315e-01 
486 994.48 8.44412327e+00 2.53323704e-01 
485 996.31 8.80871391e+00 2.64261425e-01 
484 998.14 8.51288033e+00 2.55386412e-01 
483 999.97 8.65237904e+00 2.59571373e-01 
482 1001.79 8.34088516e+00 2.50226557e-01 
481 1003.62 8.49752140e+00 2.54925638e-01 
480 1005.44 8.19558620e+00 2.45867580e-01 
479 1007.25 8.54603386e+00 2.56381005e-01 
478 1009.07 8.39791393e+00 2.51937419e-01 
477 1010.88 8.47596264e+00 2.54278868e-01 
476 1012.69 8.22578144e+00 2.46773437e-01 
475 1014.50 8.29794216e+00 2.48938262e-01 
474 1016.31 8.08258247e+00 2.42477477e-01 
473 1018.11 8.15548515e+00 2.44664550e-01 
472 1019.91 7.99647808e+00 2.39894345e-01 
471 1021.71 8.27290630e+00 2.48187184e-01 
470 1023.51 7.86624336e+00 2.35987306e-01 
469 1025.30 8.26070213e+00 2.47821063e-01 
468 1027.09 7.90188026e+00 2.37056404e-01 
467 1028.88 8.38558769e+00 2.51567632e-01 
466 1030.67 7.85732460e+00 2.35719740e-01 
465 1032.46 8.21646976e+00 2.46494099e-01 
464 1034.24 7.95172644e+00 2.38551795e-01 
463 1036.02 8.14994144e+00 2.44498238e-01 
462 1037.80 8.07352066e+00 2.42205620e-01 
461 1039.58 8.34718895e+00 2.50415683e-01 
460 1041.35 8.10873604e+00 2.43262082e-01 
459 1043.12 8.43027020e+00 2.52908111e-01 
458 1044.89 8.29507256e+00 2.48852178e-01 
457 1046.66 8.57757187e+00 2.57327169e-01 
456 1048.43 8.36097240e+00 2.50829160e-01 
455 1050.19 8.66350269e+00 2.59905070e-01 
