% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from /data/sunsat/rooftop/Spring_2022/data_processed/starsuns/4STAR_20220405starsun.mat and recorded on 2022-04-06 00:13:06.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 173.18 -1.00000000e+00 -1.00000000e+00 
1 173.98 -1.00000000e+00 -1.00000000e+00 
2 174.77 -1.00000000e+00 -1.00000000e+00 
3 175.56 -1.00000000e+00 -1.00000000e+00 
4 176.36 -1.00000000e+00 -1.00000000e+00 
5 177.15 -1.00000000e+00 -1.00000000e+00 
6 177.94 -1.00000000e+00 -1.00000000e+00 
7 178.74 -1.00000000e+00 -1.00000000e+00 
8 179.53 -1.00000000e+00 -1.00000000e+00 
9 180.33 -1.00000000e+00 -1.00000000e+00 
10 181.12 -1.00000000e+00 -1.00000000e+00 
11 181.92 -1.00000000e+00 -1.00000000e+00 
12 182.71 -1.00000000e+00 -1.00000000e+00 
13 183.51 -1.00000000e+00 -1.00000000e+00 
14 184.30 -1.00000000e+00 -1.00000000e+00 
15 185.10 -1.00000000e+00 -1.00000000e+00 
16 185.89 -1.00000000e+00 -1.00000000e+00 
17 186.69 -1.00000000e+00 -1.00000000e+00 
18 187.49 -1.00000000e+00 -1.00000000e+00 
19 188.28 -1.00000000e+00 -1.00000000e+00 
20 189.08 -1.00000000e+00 -1.00000000e+00 
21 189.88 -1.00000000e+00 -1.00000000e+00 
22 190.67 -1.00000000e+00 -1.00000000e+00 
23 191.47 -1.00000000e+00 -1.00000000e+00 
24 192.27 -1.00000000e+00 -1.00000000e+00 
25 193.07 -1.00000000e+00 -1.00000000e+00 
26 193.86 -1.00000000e+00 -1.00000000e+00 
27 194.66 -1.00000000e+00 -1.00000000e+00 
28 195.46 -1.00000000e+00 -1.00000000e+00 
29 196.26 -1.00000000e+00 -1.00000000e+00 
30 197.05 -1.00000000e+00 -1.00000000e+00 
31 197.85 -1.00000000e+00 -1.00000000e+00 
32 198.65 -1.00000000e+00 -1.00000000e+00 
33 199.45 -1.00000000e+00 -1.00000000e+00 
34 200.25 -1.00000000e+00 -1.00000000e+00 
35 201.05 -1.00000000e+00 -1.00000000e+00 
36 201.85 -1.00000000e+00 -1.00000000e+00 
37 202.65 -1.00000000e+00 -1.00000000e+00 
38 203.44 -1.00000000e+00 -1.00000000e+00 
39 204.24 -1.00000000e+00 -1.00000000e+00 
40 205.04 -1.00000000e+00 -1.00000000e+00 
41 205.84 -1.00000000e+00 -1.00000000e+00 
42 206.64 -1.00000000e+00 -1.00000000e+00 
43 207.44 -1.00000000e+00 -1.00000000e+00 
44 208.24 -1.00000000e+00 -1.00000000e+00 
45 209.04 -1.00000000e+00 -1.00000000e+00 
46 209.84 -1.00000000e+00 -1.00000000e+00 
47 210.64 -1.00000000e+00 -1.00000000e+00 
48 211.44 -1.00000000e+00 -1.00000000e+00 
49 212.24 -1.00000000e+00 -1.00000000e+00 
50 213.04 -1.00000000e+00 -1.00000000e+00 
51 213.85 -1.00000000e+00 -1.00000000e+00 
52 214.65 -1.00000000e+00 -1.00000000e+00 
53 215.45 -1.00000000e+00 -1.00000000e+00 
54 216.25 -1.00000000e+00 -1.00000000e+00 
55 217.05 -1.00000000e+00 -1.00000000e+00 
56 217.85 4.73126495e+02 1.41937952e+01 
57 218.65 2.94227238e+01 8.82681727e-01 
58 219.46 3.26259308e+01 9.78777945e-01 
59 220.26 3.47020493e+01 1.04106152e+00 
60 221.06 3.00341816e+01 9.01025474e-01 
61 221.86 2.80034809e+01 8.40104401e-01 
62 222.66 2.99056797e+01 8.97170365e-01 
63 223.47 2.90939178e+01 8.72817516e-01 
64 224.27 2.87380772e+01 8.62142324e-01 
65 225.07 2.90874825e+01 8.72624457e-01 
66 225.87 2.93384399e+01 8.80153179e-01 
67 226.68 2.80280609e+01 8.40841830e-01 
68 227.48 2.71716347e+01 8.15149069e-01 
69 228.28 2.65036564e+01 7.95109689e-01 
70 229.08 2.54979458e+01 7.64938354e-01 
71 229.89 2.50534649e+01 7.51603961e-01 
72 230.69 2.50009556e+01 7.50028670e-01 
73 231.49 2.52216587e+01 7.56649733e-01 
74 232.30 2.56663818e+01 7.69991457e-01 
75 233.10 2.63742580e+01 7.91227758e-01 
76 233.90 2.72266273e+01 8.16798806e-01 
77 234.71 2.83599606e+01 8.50798845e-01 
78 235.51 2.76523247e+01 8.29569757e-01 
79 236.32 2.73460159e+01 8.20380449e-01 
80 237.12 2.76459961e+01 8.29379857e-01 
81 237.92 2.61429710e+01 7.84289122e-01 
82 238.73 2.73777466e+01 8.21332395e-01 
83 239.53 2.71665573e+01 8.14996719e-01 
84 240.34 2.81287441e+01 8.43862295e-01 
85 241.14 2.44726353e+01 7.34179080e-01 
86 241.94 4.64936299e-03 1.39480893e-04 
87 242.75 -1.00000000e+00 -1.00000000e+00 
88 243.55 -1.00000000e+00 -1.00000000e+00 
89 244.36 -1.00000000e+00 -1.00000000e+00 
90 245.16 -1.00000000e+00 -1.00000000e+00 
91 245.97 -1.00000000e+00 -1.00000000e+00 
92 246.77 -1.00000000e+00 -1.00000000e+00 
93 247.58 -1.00000000e+00 -1.00000000e+00 
94 248.38 -1.00000000e+00 -1.00000000e+00 
95 249.19 -1.00000000e+00 -1.00000000e+00 
96 249.99 -1.00000000e+00 -1.00000000e+00 
97 250.80 -1.00000000e+00 -1.00000000e+00 
98 251.60 -1.00000000e+00 -1.00000000e+00 
99 252.41 -1.00000000e+00 -1.00000000e+00 
100 253.21 -1.00000000e+00 -1.00000000e+00 
101 254.02 -1.00000000e+00 -1.00000000e+00 
102 254.82 -1.00000000e+00 -1.00000000e+00 
103 255.63 -1.00000000e+00 -1.00000000e+00 
104 256.44 -1.00000000e+00 -1.00000000e+00 
105 257.24 -1.00000000e+00 -1.00000000e+00 
106 258.05 -1.00000000e+00 -1.00000000e+00 
107 258.85 -1.00000000e+00 -1.00000000e+00 
108 259.66 -1.00000000e+00 -1.00000000e+00 
109 260.46 -1.00000000e+00 -1.00000000e+00 
110 261.27 -1.00000000e+00 -1.00000000e+00 
111 262.08 -1.00000000e+00 -1.00000000e+00 
112 262.88 -1.00000000e+00 -1.00000000e+00 
113 263.69 -1.00000000e+00 -1.00000000e+00 
114 264.49 -1.00000000e+00 -1.00000000e+00 
115 265.30 -1.00000000e+00 -1.00000000e+00 
116 266.11 -1.00000000e+00 -1.00000000e+00 
117 266.91 1.49318323e+09 4.47954960e+07 
118 267.72 2.10520325e+01 6.31560981e-01 
119 268.53 2.35798550e+01 7.07395673e-01 
120 269.33 2.39424133e+01 7.18272388e-01 
121 270.14 2.24575233e+01 6.73725724e-01 
122 270.95 2.14111423e+01 6.42334282e-01 
123 271.75 2.37300072e+01 7.11900234e-01 
124 272.56 2.39905052e+01 7.19715178e-01 
125 273.37 2.41226501e+01 7.23679483e-01 
126 274.17 2.40353889e+01 7.21061647e-01 
127 274.98 2.29620399e+01 6.88861191e-01 
128 275.79 2.19163837e+01 6.57491505e-01 
129 276.59 2.09859619e+01 6.29578829e-01 
130 277.40 2.04058857e+01 6.12176597e-01 
131 278.21 1.93497009e+01 5.80491006e-01 
132 279.01 1.87551613e+01 5.62654853e-01 
133 279.82 1.78580418e+01 5.35741270e-01 
134 280.63 1.70914974e+01 5.12744904e-01 
135 281.43 1.66500340e+01 4.99501020e-01 
136 282.24 1.61396751e+01 4.84190255e-01 
137 283.05 1.55222321e+01 4.65666950e-01 
138 283.86 1.48631210e+01 4.45893645e-01 
139 284.66 1.46838255e+01 4.40514773e-01 
140 285.47 1.41024561e+01 4.23073679e-01 
141 286.28 1.38872337e+01 4.16617006e-01 
142 287.09 1.35017004e+01 4.05051023e-01 
143 287.89 1.32192307e+01 3.96576911e-01 
144 288.70 1.28112230e+01 3.84336680e-01 
145 289.51 1.26806498e+01 3.80419493e-01 
146 290.32 1.23941708e+01 3.71825129e-01 
147 291.12 1.20872049e+01 3.62616152e-01 
148 291.93 1.18487158e+01 3.55461478e-01 
149 292.74 1.16897640e+01 3.50692928e-01 
150 293.55 1.16434460e+01 3.49303365e-01 
151 294.35 1.14532814e+01 3.43598455e-01 
152 295.16 1.12448730e+01 3.37346196e-01 
153 295.97 1.13317070e+01 3.39951217e-01 
154 296.78 1.09970951e+01 3.29912841e-01 
155 297.58 1.10929222e+01 3.32787663e-01 
156 298.39 1.08497276e+01 3.25491816e-01 
157 299.20 1.07761164e+01 3.23283494e-01 
158 300.01 1.06593599e+01 3.19780797e-01 
159 300.81 1.08330917e+01 3.24992746e-01 
160 301.62 1.06189833e+01 3.18569511e-01 
161 302.43 1.05765619e+01 3.17296863e-01 
162 303.24 1.06929617e+01 3.20788860e-01 
163 304.04 1.04753094e+01 3.14259291e-01 
164 304.85 1.05197010e+01 3.15591037e-01 
165 305.66 1.04575567e+01 3.13726693e-01 
166 306.47 1.04933062e+01 3.14799190e-01 
167 307.28 1.04043589e+01 3.12130779e-01 
168 308.08 1.04135189e+01 3.12405556e-01 
169 308.89 1.02267323e+01 3.06801975e-01 
170 309.70 1.03395920e+01 3.10187757e-01 
171 310.51 1.04564524e+01 3.13693583e-01 
172 311.32 1.03476162e+01 3.10428500e-01 
173 312.12 1.02995443e+01 3.08986336e-01 
174 312.93 1.01702337e+01 3.05106997e-01 
175 313.74 1.02966747e+01 3.08900237e-01 
176 314.55 1.02507963e+01 3.07523876e-01 
177 315.36 1.03245850e+01 3.09737563e-01 
178 316.16 1.03109570e+01 3.09328705e-01 
179 316.97 1.01892614e+01 3.05677831e-01 
180 317.78 1.02484550e+01 3.07453662e-01 
181 318.59 1.02583189e+01 3.07749569e-01 
182 319.40 1.03385515e+01 3.10156554e-01 
183 320.20 1.02442265e+01 3.07326794e-01 
184 321.01 1.03883266e+01 3.11649799e-01 
185 321.82 1.03566723e+01 3.10700178e-01 
186 322.63 1.04279690e+01 3.12839061e-01 
187 323.43 1.03980999e+01 3.11942995e-01 
188 324.24 1.05153675e+01 3.15461040e-01 
189 325.05 1.04144526e+01 3.12433571e-01 
190 325.86 1.04437904e+01 3.13313723e-01 
191 326.67 1.03868876e+01 3.11606616e-01 
192 327.48 1.05146437e+01 3.15439314e-01 
193 328.28 1.06633301e+01 3.19899917e-01 
194 329.09 1.06614571e+01 3.19843709e-01 
195 329.90 1.07217140e+01 3.21651429e-01 
196 330.71 1.05956831e+01 3.17870498e-01 
197 331.52 1.07471638e+01 3.22414905e-01 
198 332.32 1.07435722e+01 3.22307169e-01 
199 333.13 1.08175545e+01 3.24526638e-01 
200 333.94 1.09282093e+01 3.27846289e-01 
201 334.75 1.11907387e+01 3.35722148e-01 
202 335.55 1.16540413e+01 3.49621236e-01 
203 336.36 1.22002163e+01 3.66006494e-01 
204 337.17 1.29418468e+01 3.88255417e-01 
205 337.98 1.42166452e+01 4.26499367e-01 
206 338.79 1.62824860e+01 4.88474578e-01 
207 339.60 1.79504547e+01 5.38513660e-01 
208 340.40 2.02958279e+01 6.08874857e-01 
209 341.21 2.25495319e+01 6.76485956e-01 
210 342.02 2.47216721e+01 7.41650164e-01 
211 342.83 2.71840305e+01 8.15520942e-01 
212 343.63 2.87017784e+01 8.61053348e-01 
213 344.44 2.94797249e+01 8.84391725e-01 
214 345.25 3.13316708e+01 9.39950109e-01 
215 346.06 3.45362625e+01 1.03608787e+00 
216 346.87 3.63663177e+01 1.09098959e+00 
217 347.67 3.81097374e+01 1.14329207e+00 
218 348.48 3.95838127e+01 1.18751442e+00 
219 349.29 4.12751007e+01 1.23825300e+00 
220 350.10 4.43094177e+01 1.32928252e+00 
221 350.90 4.79488144e+01 1.43846440e+00 
222 351.71 4.92630157e+01 1.47789049e+00 
223 352.52 4.97015533e+01 1.49104655e+00 
224 353.33 5.19689369e+01 1.55906808e+00 
225 354.14 5.71187897e+01 1.71356368e+00 
226 354.94 6.09503288e+01 1.82850981e+00 
227 355.75 6.19579124e+01 1.85873735e+00 
228 356.56 6.01828728e+01 1.80548620e+00 
229 357.37 5.71329803e+01 1.71398938e+00 
230 358.18 5.53089447e+01 1.65926838e+00 
231 358.98 5.79358673e+01 1.73807597e+00 
232 359.79 6.63747559e+01 1.99124265e+00 
233 360.60 7.14934692e+01 2.14480400e+00 
234 361.41 7.04445953e+01 2.11333776e+00 
235 362.21 7.19519577e+01 2.15855885e+00 
236 363.02 7.63812485e+01 2.29143739e+00 
237 363.83 7.97542191e+01 2.39262652e+00 
238 364.64 8.25136261e+01 2.47540879e+00 
239 365.44 8.78599701e+01 2.63579917e+00 
240 366.25 9.48963623e+01 2.84689093e+00 
241 367.06 9.84633102e+01 2.95389938e+00 
242 367.87 9.76212082e+01 2.92863631e+00 
243 368.67 9.71101837e+01 2.91330552e+00 
244 369.48 1.00662415e+02 3.01987243e+00 
245 370.29 1.03671745e+02 3.11015224e+00 
246 371.10 1.03154030e+02 3.09462094e+00 
247 371.90 1.01995865e+02 3.05987597e+00 
248 372.71 9.81058655e+01 2.94317603e+00 
249 373.52 9.27962723e+01 2.78388810e+00 
250 374.33 8.97880402e+01 2.69364119e+00 
251 375.13 9.29003601e+01 2.78701091e+00 
252 375.94 1.00350380e+02 3.01051140e+00 
253 376.75 1.07809990e+02 3.23429966e+00 
254 377.56 1.17133774e+02 3.51401329e+00 
255 378.36 1.25151077e+02 3.75453234e+00 
256 379.17 1.21743759e+02 3.65231276e+00 
257 379.98 1.15957405e+02 3.47872210e+00 
258 380.78 1.17319969e+02 3.51959896e+00 
259 381.59 1.13942497e+02 3.41827488e+00 
260 382.40 9.98651505e+01 2.99595451e+00 
261 383.20 8.77443695e+01 2.63233113e+00 
262 384.01 8.82934723e+01 2.64880419e+00 
263 384.82 9.96830750e+01 2.99049234e+00 
264 385.63 1.07365204e+02 3.22095609e+00 
265 386.43 1.08566422e+02 3.25699258e+00 
266 387.24 1.09259842e+02 3.27779531e+00 
267 388.05 1.09723572e+02 3.29170704e+00 
268 388.85 1.12540466e+02 3.37621403e+00 
269 389.66 1.21305328e+02 3.63915992e+00 
270 390.47 1.30342224e+02 3.91026664e+00 
271 391.27 1.35635971e+02 4.06907892e+00 
272 392.08 1.30459305e+02 3.91377926e+00 
273 392.89 1.09707138e+02 3.29121423e+00 
274 393.69 9.28365479e+01 2.78509641e+00 
275 394.50 1.02564583e+02 3.07693744e+00 
276 395.31 1.22752151e+02 3.68256450e+00 
277 396.11 1.23474457e+02 3.70423365e+00 
278 396.92 1.09358040e+02 3.28074121e+00 
279 397.73 1.16018852e+02 3.48056555e+00 
280 398.53 1.44803833e+02 4.34411478e+00 
281 399.34 1.67921967e+02 5.03765917e+00 
282 400.15 1.78904724e+02 5.36714172e+00 
283 400.95 1.85476288e+02 5.56428862e+00 
284 401.76 1.92220398e+02 5.76661205e+00 
285 402.57 1.95646606e+02 5.86939812e+00 
286 403.37 1.95549408e+02 5.86648226e+00 
287 404.18 1.94847885e+02 5.84543657e+00 
288 404.99 1.94518616e+02 5.83555841e+00 
289 405.79 1.93788620e+02 5.81365871e+00 
290 406.60 1.93238937e+02 5.79716825e+00 
291 407.40 1.95486298e+02 5.86458874e+00 
292 408.21 2.02713913e+02 6.08141756e+00 
293 409.02 2.08902359e+02 6.26707077e+00 
294 409.82 2.06934479e+02 6.20803452e+00 
295 410.63 2.03662048e+02 6.10986137e+00 
296 411.43 2.10074188e+02 6.30222559e+00 
297 412.24 2.18061691e+02 6.54185057e+00 
298 413.05 2.18645081e+02 6.55935240e+00 
299 413.85 2.17282715e+02 6.51848125e+00 
300 414.66 2.16405273e+02 6.49215841e+00 
301 415.46 2.15586365e+02 6.46759081e+00 
302 416.27 2.15909698e+02 6.47729111e+00 
303 417.08 2.13729721e+02 6.41189146e+00 
304 417.88 2.08650101e+02 6.25950289e+00 
305 418.69 2.05836700e+02 6.17510080e+00 
306 419.49 2.05343292e+02 6.16029882e+00 
307 420.30 2.06607635e+02 6.19822884e+00 
308 421.11 2.10539001e+02 6.31617022e+00 
309 421.91 2.12014496e+02 6.36043501e+00 
310 422.72 2.08297394e+02 6.24892187e+00 
311 423.52 2.07558350e+02 6.22675037e+00 
312 424.33 2.11569031e+02 6.34707069e+00 
313 425.13 2.15176682e+02 6.45530033e+00 
314 425.94 2.17551437e+02 6.52654314e+00 
315 426.74 2.19351624e+02 6.58054876e+00 
316 427.55 2.21154144e+02 6.63462448e+00 
317 428.36 2.23581329e+02 6.70743990e+00 
318 429.16 2.21086151e+02 6.63258457e+00 
319 429.96 2.11548447e+02 6.34645319e+00 
320 430.77 2.07884613e+02 6.23653841e+00 
321 431.58 2.27578766e+02 6.82736301e+00 
322 432.38 2.57315765e+02 7.71947289e+00 
323 433.19 2.74939056e+02 8.24817181e+00 
324 433.99 2.81354919e+02 8.44064713e+00 
325 434.80 2.90667267e+02 8.72001839e+00 
326 435.60 3.08050201e+02 9.24150562e+00 
327 436.41 3.26029297e+02 9.78087902e+00 
328 437.21 3.33328278e+02 9.99984837e+00 
329 438.02 3.30036560e+02 9.90109634e+00 
330 438.82 3.28801270e+02 9.86403847e+00 
331 439.63 3.38030396e+02 1.01409121e+01 
332 440.43 3.53029419e+02 1.05908823e+01 
333 441.24 3.69148529e+02 1.10744562e+01 
334 442.04 3.86550293e+02 1.15965090e+01 
335 442.85 3.99993744e+02 1.19998121e+01 
336 443.65 4.08046112e+02 1.22413836e+01 
337 444.45 4.14660095e+02 1.24398031e+01 
338 445.26 4.16595184e+02 1.24978552e+01 
339 446.06 4.17268372e+02 1.25180511e+01 
340 446.87 4.25695679e+02 1.27708702e+01 
341 447.67 4.41400848e+02 1.32420254e+01 
342 448.48 4.53380890e+02 1.36014271e+01 
343 449.28 4.62068481e+02 1.38620548e+01 
344 450.09 4.73954071e+02 1.42186222e+01 
345 450.89 4.85977112e+02 1.45793133e+01 
346 451.70 4.88595062e+02 1.46578522e+01 
347 452.50 4.79810547e+02 1.43943167e+01 
348 453.30 4.72115753e+02 1.41634722e+01 
349 454.11 4.74394501e+02 1.42318354e+01 
350 454.91 4.82273376e+02 1.44682016e+01 
351 455.72 4.91050293e+02 1.47315092e+01 
352 456.52 5.00743744e+02 1.50223122e+01 
353 457.32 5.07389313e+02 1.52216797e+01 
354 458.13 5.08167267e+02 1.52450180e+01 
355 458.93 5.06975739e+02 1.52092724e+01 
356 459.74 5.09092285e+02 1.52727690e+01 
357 460.54 5.16019836e+02 1.54805946e+01 
358 461.34 5.25146179e+02 1.57543850e+01 
359 462.15 5.32668518e+02 1.59800558e+01 
360 462.95 5.35890503e+02 1.60767155e+01 
361 463.76 5.33888550e+02 1.60166569e+01 
362 464.56 5.29842957e+02 1.58952885e+01 
363 465.36 5.28358704e+02 1.58507614e+01 
364 466.17 5.27912415e+02 1.58373728e+01 
365 466.97 5.27760193e+02 1.58328056e+01 
366 467.77 5.30702637e+02 1.59210787e+01 
367 468.58 5.35795959e+02 1.60738792e+01 
368 469.38 5.38769348e+02 1.61630802e+01 
369 470.18 5.36896973e+02 1.61069088e+01 
370 470.99 5.38666870e+02 1.61600056e+01 
371 471.79 5.47910950e+02 1.64373283e+01 
372 472.59 5.56884399e+02 1.67065315e+01 
373 473.40 5.61289551e+02 1.68386860e+01 
374 474.20 5.64901489e+02 1.69470444e+01 
375 475.00 5.69374390e+02 1.70812321e+01 
376 475.81 5.70275940e+02 1.71082783e+01 
377 476.61 5.71173218e+02 1.71351967e+01 
378 477.41 5.77224670e+02 1.73167400e+01 
379 478.21 5.84078674e+02 1.75223598e+01 
380 479.02 5.88204834e+02 1.76461449e+01 
381 479.82 5.90735962e+02 1.77220783e+01 
382 480.62 5.93324646e+02 1.77997398e+01 
383 481.43 5.96040344e+02 1.78812103e+01 
384 482.23 5.96847229e+02 1.79054165e+01 
385 483.03 5.93987915e+02 1.78196373e+01 
386 483.84 5.88826965e+02 1.76648083e+01 
387 484.64 5.77097778e+02 1.73129330e+01 
388 485.44 5.54156250e+02 1.66246872e+01 
389 486.24 5.30599121e+02 1.59179735e+01 
390 487.04 5.26546814e+02 1.57964048e+01 
391 487.85 5.41748901e+02 1.62524662e+01 
392 488.65 5.60513672e+02 1.68154106e+01 
393 489.45 5.74475525e+02 1.72342663e+01 
394 490.26 5.83416138e+02 1.75024834e+01 
395 491.06 5.83109680e+02 1.74932899e+01 
396 491.86 5.76347839e+02 1.72904358e+01 
397 492.66 5.73504150e+02 1.72051239e+01 
398 493.46 5.77943481e+02 1.73383045e+01 
399 494.27 5.85769714e+02 1.75730915e+01 
400 495.07 5.91028687e+02 1.77308598e+01 
401 495.87 5.92867065e+02 1.77860126e+01 
402 496.67 5.92700867e+02 1.77810268e+01 
403 497.48 5.89591187e+02 1.76877365e+01 
404 498.28 5.84032715e+02 1.75209808e+01 
405 499.08 5.79366699e+02 1.73810005e+01 
406 499.88 5.74721008e+02 1.72416306e+01 
407 500.68 5.68403015e+02 1.70520897e+01 
408 501.48 5.62903076e+02 1.68870926e+01 
409 502.29 5.64432678e+02 1.69329796e+01 
410 503.09 5.69966858e+02 1.70990067e+01 
411 503.89 5.74303467e+02 1.72291031e+01 
412 504.69 5.79159241e+02 1.73747768e+01 
413 505.49 5.85932861e+02 1.75779858e+01 
414 506.29 5.90223511e+02 1.77067051e+01 
415 507.09 5.87863831e+02 1.76359158e+01 
416 507.90 5.82638306e+02 1.74791489e+01 
417 508.70 5.80911438e+02 1.74273434e+01 
418 509.50 5.81610168e+02 1.74483051e+01 
419 510.30 5.82613281e+02 1.74783993e+01 
420 511.10 5.83243713e+02 1.74973106e+01 
421 511.90 5.82306396e+02 1.74691925e+01 
422 512.71 5.77447388e+02 1.73234215e+01 
423 513.51 5.69603027e+02 1.70880909e+01 
424 514.31 5.64068420e+02 1.69220524e+01 
425 515.11 5.60663086e+02 1.68198929e+01 
426 515.91 5.50702087e+02 1.65210629e+01 
427 516.71 5.33005676e+02 1.59901705e+01 
428 517.51 5.19678345e+02 1.55903502e+01 
429 518.31 5.19256042e+02 1.55776815e+01 
430 519.11 5.31228760e+02 1.59368629e+01 
431 519.91 5.46063782e+02 1.63819141e+01 
432 520.71 5.57870972e+02 1.67361298e+01 
433 521.52 5.64207214e+02 1.69262161e+01 
434 522.32 5.65492249e+02 1.69647675e+01 
435 523.12 5.67350708e+02 1.70205212e+01 
436 523.92 5.72803406e+02 1.71841030e+01 
437 524.72 5.77996948e+02 1.73399086e+01 
438 525.52 5.74525330e+02 1.72357597e+01 
439 526.32 5.61284729e+02 1.68385410e+01 
440 527.12 5.52488525e+02 1.65746555e+01 
441 527.92 5.57911682e+02 1.67373505e+01 
442 528.72 5.73288147e+02 1.71986446e+01 
443 529.52 5.86472351e+02 1.75941696e+01 
444 530.32 5.93880005e+02 1.78164005e+01 
445 531.12 5.96053406e+02 1.78816013e+01 
446 531.92 5.91691040e+02 1.77507305e+01 
447 532.72 5.83400879e+02 1.75020256e+01 
448 533.52 5.79695557e+02 1.73908672e+01 
449 534.32 5.82916199e+02 1.74874859e+01 
450 535.12 5.90228271e+02 1.77068481e+01 
451 535.92 5.93416321e+02 1.78024902e+01 
452 536.72 5.91114624e+02 1.77334385e+01 
453 537.52 5.88846863e+02 1.76654053e+01 
454 538.32 5.87574341e+02 1.76272297e+01 
455 539.12 5.84789307e+02 1.75436783e+01 
456 539.92 5.78611877e+02 1.73583565e+01 
457 540.72 5.74848450e+02 1.72454529e+01 
458 541.52 5.76910400e+02 1.73073120e+01 
459 542.32 5.82496887e+02 1.74749069e+01 
460 543.12 5.87083679e+02 1.76125107e+01 
461 543.92 5.91157776e+02 1.77347336e+01 
462 544.72 5.94072876e+02 1.78221855e+01 
463 545.52 5.95671021e+02 1.78701305e+01 
464 546.32 5.95208740e+02 1.78562622e+01 
465 547.12 5.92274536e+02 1.77682362e+01 
466 547.91 5.89289001e+02 1.76786709e+01 
467 548.71 5.88389099e+02 1.76516724e+01 
468 549.51 5.89364868e+02 1.76809464e+01 
469 550.31 5.89142334e+02 1.76742706e+01 
470 551.11 5.87838318e+02 1.76351490e+01 
471 551.91 5.87664001e+02 1.76299210e+01 
472 552.71 5.86331116e+02 1.75899334e+01 
473 553.51 5.86489136e+02 1.75946732e+01 
474 554.31 5.88508362e+02 1.76552505e+01 
475 555.10 5.89098267e+02 1.76729488e+01 
476 555.90 5.86199707e+02 1.75859909e+01 
477 556.70 5.80753845e+02 1.74226151e+01 
478 557.50 5.73735535e+02 1.72120667e+01 
479 558.30 5.67369934e+02 1.70210972e+01 
480 559.10 5.62989502e+02 1.68896847e+01 
481 559.90 5.62449402e+02 1.68734818e+01 
482 560.70 5.65404846e+02 1.69621449e+01 
483 561.49 5.70411133e+02 1.71123333e+01 
484 562.29 5.75977539e+02 1.72793255e+01 
485 563.09 5.78647217e+02 1.73594170e+01 
486 563.89 5.80765442e+02 1.74229641e+01 
