% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/rooftop/Spring_2022/data_processed/starsuns/4STARB_20220406starsun.mat and recorded on 2022-04-06 22:51:57.
% C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 200 m [Alt] and 360 seconds, measured on 20220406.
Pix Wavelength C0 C0err
511 946.05 1.15183029e+01 9.23211336e-01 
510 947.95 1.19035463e+01 9.31566715e-01 
509 949.84 1.24073858e+01 9.21607554e-01 
508 951.73 1.28402853e+01 9.07853305e-01 
507 953.62 1.32643795e+01 8.94387066e-01 
506 955.51 1.37760906e+01 8.68941128e-01 
505 957.40 1.43709517e+01 8.40810895e-01 
504 959.28 1.51512585e+01 8.22166920e-01 
503 961.16 1.60202045e+01 7.85106361e-01 
502 963.03 1.69206429e+01 7.41779327e-01 
501 964.90 1.79433041e+01 6.90567732e-01 
500 966.78 1.90960083e+01 5.99652588e-01 
499 968.64 2.03431873e+01 5.03934681e-01 
498 970.51 2.11974030e+01 4.18405294e-01 
497 972.37 2.15274544e+01 4.10077631e-01 
496 974.23 2.15395317e+01 4.21116024e-01 
495 976.09 2.18176785e+01 4.21637326e-01 
494 977.95 2.23154755e+01 3.78824890e-01 
493 979.80 2.30600109e+01 3.13136786e-01 
492 981.65 2.37139339e+01 2.57740378e-01 
491 983.50 2.44149780e+01 2.10381985e-01 
490 985.34 2.49086971e+01 1.81496769e-01 
489 987.18 2.52998123e+01 1.66353762e-01 
488 989.02 2.55363007e+01 1.69946983e-01 
487 990.86 2.57703114e+01 1.85588822e-01 
486 992.70 2.59263363e+01 1.98136598e-01 
485 994.53 2.61602745e+01 2.05190122e-01 
484 996.36 2.62730503e+01 2.09165290e-01 
483 998.19 2.64136505e+01 2.10574090e-01 
482 1000.01 2.64486179e+01 2.17115939e-01 
481 1001.83 2.64561768e+01 2.12975621e-01 
480 1003.65 2.64093456e+01 1.97083548e-01 
479 1005.47 2.65516872e+01 1.90364853e-01 
478 1007.29 2.67005901e+01 1.89979032e-01 
477 1009.10 2.70556107e+01 1.98449269e-01 
476 1010.91 2.72353306e+01 2.00261980e-01 
475 1012.72 2.73312874e+01 1.99783102e-01 
474 1014.53 2.73268967e+01 2.04579085e-01 
473 1016.33 2.74200726e+01 2.05255002e-01 
472 1018.13 2.73751717e+01 2.12910295e-01 
471 1019.93 2.74514427e+01 2.06287399e-01 
470 1021.73 2.73831253e+01 1.98364213e-01 
469 1023.52 2.73406773e+01 1.94168329e-01 
468 1025.31 2.72381191e+01 1.97304338e-01 
467 1027.10 2.72504807e+01 1.99861780e-01 
466 1028.89 2.70715275e+01 1.91602722e-01 
465 1030.67 2.69429436e+01 1.89896867e-01 
464 1032.45 2.66471004e+01 1.99347928e-01 
463 1034.23 2.64509869e+01 2.29575738e-01 
462 1036.01 2.62286968e+01 2.39423305e-01 
461 1037.79 2.61577873e+01 2.41236255e-01 
460 1039.56 2.59814091e+01 2.37788960e-01 
459 1041.33 2.58374252e+01 2.44343951e-01 
458 1043.10 2.55482254e+01 2.43264765e-01 
457 1044.87 2.53623009e+01 2.36704037e-01 
456 1046.63 2.51878490e+01 2.23687842e-01 
455 1048.39 2.51998329e+01 2.05214530e-01 
454 1050.15 2.51138058e+01 1.90792650e-01 
453 1051.91 2.50754623e+01 1.92129895e-01 
452 1053.67 2.49459076e+01 1.93900406e-01 
451 1055.42 2.48399925e+01 2.03485489e-01 
450 1057.17 2.46198730e+01 1.97347507e-01 
449 1058.92 2.45186863e+01 1.96812153e-01 
448 1060.67 2.43588314e+01 1.93793342e-01 
447 1062.41 2.42643185e+01 1.93191439e-01 
446 1064.15 2.40384579e+01 1.84293002e-01 
445 1065.89 2.37474060e+01 1.65908992e-01 
444 1067.63 2.33609734e+01 1.40868142e-01 
443 1069.37 2.31509342e+01 1.26365229e-01 
442 1071.10 2.29634628e+01 1.27901196e-01 
441 1072.83 2.29030952e+01 1.35691807e-01 
440 1074.56 2.27381783e+01 1.47294700e-01 
439 1076.29 2.26022930e+01 1.52161255e-01 
438 1078.02 2.23661118e+01 1.50904700e-01 
437 1079.74 2.21458359e+01 1.37839660e-01 
436 1081.46 2.18649979e+01 1.27344936e-01 
435 1083.18 2.16980381e+01 1.15470521e-01 
434 1084.90 2.15220032e+01 1.20524041e-01 
433 1086.61 2.15556412e+01 1.22015208e-01 
432 1088.33 2.15519104e+01 1.33088067e-01 
431 1090.04 2.16003780e+01 1.33487508e-01 
430 1091.75 2.13298225e+01 1.58301279e-01 
429 1093.45 2.11172638e+01 1.90255731e-01 
428 1095.16 2.09540405e+01 2.31726676e-01 
427 1096.86 2.09187641e+01 2.92992175e-01 
426 1098.56 2.08782349e+01 3.62026364e-01 
425 1100.26 2.08042831e+01 4.39804941e-01 
424 1101.96 2.06856899e+01 5.03957033e-01 
423 1103.65 2.05903950e+01 5.58701456e-01 
422 1105.35 2.04078865e+01 6.15051925e-01 
421 1107.04 2.02084332e+01 6.52053833e-01 
420 1108.73 1.97196388e+01 6.92046285e-01 
419 1110.41 1.88260288e+01 7.51269281e-01 
418 1112.10 1.72907562e+01 8.54158580e-01 
417 1113.78 1.51883144e+01 9.61078823e-01 
416 1115.46 1.31924763e+01 1.06503832e+00 
415 1117.14 1.16414223e+01 1.13488841e+00 
414 1118.82 1.05704660e+01 1.17688346e+00 
413 1120.50 9.91179085e+00 1.18800712e+00 
412 1122.17 9.51880169e+00 1.18963051e+00 
411 1123.84 9.26531219e+00 1.21424973e+00 
410 1125.51 9.33538246e+00 1.26525664e+00 
409 1127.18 9.78901291e+00 1.30846012e+00 
408 1128.85 1.10740833e+01 1.32391870e+00 
407 1130.51 1.15767069e+01 1.28334367e+00 
406 1132.17 1.09575310e+01 1.19326377e+00 
405 1133.83 1.06263351e+01 1.16628027e+00 
404 1135.49 1.14750881e+01 1.16762722e+00 
403 1137.15 1.37498398e+01 1.20377457e+00 
402 1138.80 1.54918575e+01 1.24747944e+00 
401 1140.46 1.57363014e+01 1.25956666e+00 
400 1142.11 1.44488726e+01 1.32661891e+00 
399 1143.76 1.30235367e+01 1.37952435e+00 
398 1145.41 1.22029905e+01 1.37199152e+00 
397 1147.05 1.23931246e+01 1.35212922e+00 
396 1148.70 1.34636641e+01 1.32384408e+00 
395 1150.34 1.43781023e+01 1.32344019e+00 
394 1151.98 1.50201187e+01 1.33626902e+00 
393 1153.62 1.61135826e+01 1.28597677e+00 
392 1155.26 1.73026714e+01 1.19297707e+00 
391 1156.89 1.85483074e+01 1.10004854e+00 
390 1158.53 1.94429607e+01 9.94813085e-01 
389 1160.16 2.05147552e+01 8.82093012e-01 
388 1161.79 2.13857765e+01 7.88316488e-01 
387 1163.42 2.21260948e+01 7.12916851e-01 
386 1165.04 2.25304165e+01 6.72832251e-01 
385 1166.67 2.28507690e+01 6.37802541e-01 
384 1168.29 2.33631706e+01 5.70895374e-01 
383 1169.91 2.36866531e+01 5.20547688e-01 
382 1171.53 2.33956223e+01 5.08605480e-01 
381 1173.15 2.32916203e+01 4.69475716e-01 
380 1174.77 2.29480858e+01 4.52175796e-01 
379 1176.38 2.30413074e+01 3.96571517e-01 
378 1178.00 2.29459000e+01 3.92365217e-01 
377 1179.61 2.24449844e+01 4.23960179e-01 
376 1181.22 2.21050396e+01 4.50419307e-01 
375 1182.83 2.19950294e+01 4.64548945e-01 
374 1184.43 2.19092064e+01 4.59920883e-01 
373 1186.04 2.18901825e+01 4.41529542e-01 
372 1187.64 2.19700718e+01 4.05252099e-01 
371 1189.24 2.21353550e+01 3.66048843e-01 
370 1190.84 2.25593586e+01 3.07722002e-01 
369 1192.44 2.27913399e+01 2.99093366e-01 
368 1194.04 2.26293945e+01 3.07923108e-01 
367 1195.64 2.21442833e+01 3.32708478e-01 
366 1197.23 2.17016068e+01 3.47314745e-01 
365 1198.82 2.14693527e+01 3.39295149e-01 
364 1200.41 2.10100098e+01 3.63641173e-01 
363 1202.00 2.10568123e+01 3.61814499e-01 
362 1203.59 2.11155643e+01 3.62393439e-01 
361 1205.17 2.11169472e+01 3.76832306e-01 
360 1206.76 2.13733501e+01 3.34566146e-01 
359 1208.34 2.13515720e+01 3.31662744e-01 
358 1209.92 2.13465729e+01 3.25253516e-01 
357 1211.50 2.15454006e+01 3.07973087e-01 
356 1213.08 2.17175446e+01 2.98079431e-01 
355 1214.66 2.19736347e+01 2.63672143e-01 
354 1216.23 2.19549885e+01 2.47861013e-01 
353 1217.80 2.20458946e+01 2.32372165e-01 
