% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/rooftop/Spring_2022/data_processed/starsuns/4STAR_20220406starsun.mat and recorded on 2022-04-06 22:41:21.
% C0 built to match AOD from 4STAR to AERONET spline fit for NASA_Ames within 200 m [Alt] and 360 seconds, measured on 20220406.
Pix Wavelength C0 C0err
511 949.79 2.96643686e+00 2.70230621e-01 
510 949.79 3.15025568e+00 2.23921999e-01 
509 951.68 3.48280406e+00 2.50665605e-01 
508 953.57 3.58242989e+00 2.32451737e-01 
507 955.46 4.02648067e+00 3.04324865e-01 
506 957.34 4.17333651e+00 2.63335407e-01 
505 959.22 4.67570686e+00 2.56122649e-01 
504 961.10 4.89989138e+00 2.97771245e-01 
503 962.98 5.42891264e+00 2.91871369e-01 
502 964.85 5.59026241e+00 1.99138582e-01 
501 966.72 6.25955248e+00 1.82046369e-01 
500 968.59 6.43144226e+00 1.44799739e-01 
499 970.45 6.86182404e+00 1.82029307e-01 
498 972.32 6.78339434e+00 2.32355744e-01 
497 974.18 7.06307125e+00 1.93272710e-01 
496 976.04 7.03272915e+00 1.97756156e-01 
495 977.89 7.47769022e+00 1.50681406e-01 
494 979.74 7.46694374e+00 1.06157243e-01 
493 981.59 7.93017864e+00 1.07099295e-01 
492 983.44 7.89801931e+00 8.40244219e-02 
491 985.29 8.26421928e+00 2.41021737e-01 
490 987.13 8.08278370e+00 6.78033978e-02 
489 988.97 8.37033463e+00 7.70474747e-02 
488 990.81 8.18859959e+00 5.39046936e-02 
487 992.65 8.38706875e+00 7.04830438e-02 
486 994.48 8.23911667e+00 1.07959233e-01 
485 996.31 8.33756542e+00 9.97767821e-02 
484 998.14 8.10199165e+00 5.60660474e-02 
483 999.97 8.27569580e+00 5.44147640e-02 
482 1001.79 8.00993156e+00 7.18988404e-02 
481 1003.62 8.11720943e+00 4.86619435e-02 
480 1005.44 7.93227291e+00 7.63441846e-02 
479 1007.25 8.17637444e+00 6.75256029e-02 
478 1009.07 7.91665268e+00 6.77550510e-02 
477 1010.88 8.14919662e+00 6.85236901e-02 
476 1012.69 7.87457895e+00 5.83361201e-02 
475 1014.50 8.02566528e+00 6.82551786e-02 
474 1016.31 7.78858662e+00 5.14719933e-02 
473 1018.11 7.96577072e+00 8.13065916e-02 
472 1019.91 7.71542597e+00 5.09789102e-02 
471 1021.71 7.84714746e+00 1.02130309e-01 
470 1023.51 7.69091892e+00 1.25243470e-01 
469 1025.30 7.80587006e+00 1.07221976e-01 
468 1027.09 7.76380825e+00 1.27262831e-01 
467 1028.88 7.82662821e+00 1.71003968e-01 
466 1030.67 7.75411701e+00 1.81329086e-01 
465 1032.46 7.90386534e+00 4.48406860e-02 
464 1034.24 7.74555254e+00 4.75159623e-02 
463 1036.02 7.94826269e+00 5.41591309e-02 
462 1037.80 7.82100964e+00 4.62611988e-02 
461 1039.58 8.04089260e+00 4.92880531e-02 
460 1041.35 7.91921949e+00 9.07587335e-02 
459 1043.12 8.03711987e+00 9.49294418e-02 
458 1044.89 7.98045635e+00 4.83922549e-02 
457 1046.66 8.20508385e+00 4.87100519e-02 
456 1048.43 8.12676239e+00 9.78090614e-02 
455 1050.19 8.34912777e+00 5.79507016e-02 
454 1051.95 8.12078762e+00 1.11897036e-01 
453 1053.71 8.42371845e+00 8.63767937e-02 
452 1055.47 8.23673630e+00 5.72704524e-02 
451 1057.23 8.38013744e+00 4.99366671e-02 
450 1058.98 8.23682785e+00 6.91686422e-02 
449 1060.73 8.42485619e+00 8.36732239e-02 
448 1062.48 8.20094013e+00 5.64246029e-02 
447 1064.23 8.32145405e+00 5.37675060e-02 
446 1065.97 8.06481647e+00 9.39074531e-02 
445 1067.71 8.14986324e+00 1.16434328e-01 
444 1069.46 7.94363880e+00 1.12578116e-01 
443 1071.19 8.00005531e+00 1.70853779e-01 
442 1072.93 7.90874434e+00 1.40143543e-01 
441 1074.67 7.95986557e+00 5.13302460e-02 
440 1076.40 7.77205563e+00 9.25591812e-02 
439 1078.13 7.74707651e+00 8.66178796e-02 
438 1079.86 7.52555323e+00 6.31420836e-02 
437 1081.58 7.58684158e+00 6.75406754e-02 
436 1083.31 7.39674997e+00 7.14631677e-02 
435 1085.03 7.59098291e+00 1.07622251e-01 
434 1086.75 7.48221302e+00 1.00295916e-01 
433 1088.47 7.58076811e+00 1.06500834e-01 
432 1090.19 7.44315147e+00 1.03526644e-01 
431 1091.90 7.49404955e+00 9.99392569e-02 
430 1093.61 7.32532263e+00 1.74569875e-01 
429 1095.33 7.43444490e+00 1.48719698e-01 
428 1097.03 7.31219864e+00 1.57963529e-01 
427 1098.74 7.42459679e+00 2.33670503e-01 
426 1100.45 7.31595087e+00 2.36893475e-01 
425 1102.15 7.44240761e+00 2.57652551e-01 
424 1103.85 7.32820559e+00 3.23399544e-01 
423 1105.55 7.33638668e+00 2.32851431e-01 
422 1107.25 7.09599161e+00 2.98105180e-01 
421 1108.94 6.92004871e+00 3.83674085e-01 
420 1110.64 6.23695278e+00 2.78983384e-01 
419 1112.33 5.62767315e+00 4.90295470e-01 
418 1114.02 4.75270939e+00 4.61906672e-01 
417 1115.70 4.22759676e+00 4.38584536e-01 
416 1117.39 3.77082753e+00 4.82575417e-01 
415 1119.07 3.56175709e+00 5.22163570e-01 
414 1120.76 3.38161135e+00 4.41857427e-01 
413 1122.44 3.30023503e+00 5.09504795e-01 
412 1124.12 3.30121970e+00 4.86829638e-01 
411 1125.79 3.35895014e+00 5.24720967e-01 
410 1127.47 3.93413949e+00 5.10565698e-01 
409 1129.14 4.24427938e+00 4.96012211e-01 
408 1130.81 3.85003972e+00 5.11159122e-01 
407 1132.48 3.70251703e+00 3.93991619e-01 
406 1134.15 3.78704739e+00 4.58070070e-01 
405 1135.81 4.68858576e+00 4.29434717e-01 
404 1137.48 5.37183762e+00 4.87797648e-01 
403 1139.14 5.59712934e+00 5.07621050e-01 
402 1140.80 4.94417524e+00 4.68830734e-01 
401 1142.46 4.45032787e+00 5.03716886e-01 
400 1144.12 4.05844212e+00 5.03846228e-01 
399 1145.77 4.09650469e+00 5.09760559e-01 
398 1147.43 4.43830872e+00 5.40206194e-01 
397 1149.08 4.84736061e+00 4.73134339e-01 
396 1150.73 4.85566378e+00 4.68131751e-01 
395 1152.38 5.34842873e+00 5.28352559e-01 
394 1154.02 5.62293816e+00 4.26966012e-01 
393 1155.67 6.16142178e+00 4.55012679e-01 
392 1157.31 6.32554626e+00 3.72973859e-01 
391 1158.95 6.75846100e+00 3.78867477e-01 
390 1160.59 6.95155048e+00 3.21529239e-01 
389 1162.23 7.29751635e+00 3.40912610e-01 
388 1163.87 7.32503414e+00 3.09808344e-01 
387 1165.50 7.46796083e+00 2.85759985e-01 
386 1167.13 7.53479815e+00 2.43837997e-01 
385 1168.76 7.71271658e+00 1.78765908e-01 
384 1170.39 7.56893778e+00 2.80360103e-01 
383 1172.02 7.58995533e+00 1.87844992e-01 
382 1173.65 7.39626217e+00 2.23273605e-01 
381 1175.27 7.50903940e+00 1.63711980e-01 
380 1176.90 7.44625378e+00 1.65688828e-01 
379 1178.52 7.26389027e+00 1.94568634e-01 
378 1180.14 7.09141541e+00 2.07372189e-01 
377 1181.75 7.08136606e+00 2.04778522e-01 
376 1183.37 6.95415688e+00 2.02254042e-01 
375 1184.99 6.99392271e+00 1.97087884e-01 
374 1186.60 6.98177433e+00 2.42926523e-01 
373 1188.21 6.99315453e+00 1.58745810e-01 
372 1189.82 7.10151005e+00 1.78006575e-01 
371 1191.43 7.27623224e+00 1.57127559e-01 
370 1193.04 7.15420485e+00 1.27663210e-01 
369 1194.64 7.08478498e+00 1.63887262e-01 
368 1196.24 6.84399271e+00 1.28001839e-01 
367 1197.85 6.88853025e+00 1.25447258e-01 
366 1199.45 6.73574734e+00 2.72172123e-01 
365 1201.05 6.84777212e+00 1.97513223e-01 
364 1202.64 6.74238300e+00 1.30526245e-01 
363 1204.24 6.83407545e+00 1.65383935e-01 
362 1205.83 6.90406179e+00 2.53178895e-01 
361 1207.43 6.82828093e+00 1.28800809e-01 
360 1209.02 6.84967995e+00 1.38662398e-01 
359 1210.61 6.97014380e+00 1.14247173e-01 
358 1212.19 6.99524784e+00 1.53870717e-01 
357 1213.78 7.20254517e+00 2.05746174e-01 
356 1215.37 7.09683180e+00 1.01138674e-01 
355 1216.95 7.24280930e+00 1.11582175e-01 
354 1218.53 7.20363522e+00 9.54663083e-02 
353 1220.11 7.31846333e+00 1.10557780e-01 
352 1221.69 7.28765059e+00 1.56636342e-01 
351 1223.27 7.29315710e+00 9.62454155e-02 
350 1224.84 7.36452913e+00 1.41276300e-01 
349 1226.42 7.40121937e+00 9.96306315e-02 
348 1227.99 7.42208290e+00 7.82659128e-02 
347 1229.56 7.58663273e+00 1.38412237e-01 
346 1231.13 7.50346327e+00 6.76876456e-02 
345 1232.70 7.62494850e+00 8.00114498e-02 
344 1234.27 7.59438705e+00 1.26199067e-01 
343 1235.84 7.54525805e+00 9.46032107e-02 
342 1237.40 7.50820446e+00 8.15094039e-02 
341 1238.96 7.50824785e+00 8.15650150e-02 
340 1240.52 7.35047436e+00 7.30242357e-02 
339 1242.08 7.45194769e+00 9.64874774e-02 
338 1243.64 7.40033388e+00 8.24684575e-02 
337 1245.20 7.44472885e+00 1.09309539e-01 
336 1246.75 7.33814573e+00 7.13198110e-02 
335 1248.31 7.40255022e+00 1.44571692e-01 
334 1249.86 7.28060436e+00 7.51742646e-02 
333 1251.41 7.28804827e+00 8.45979825e-02 
332 1252.96 7.14614058e+00 8.82670730e-02 
331 1254.51 7.17725372e+00 1.58350259e-01 
330 1256.06 7.01613474e+00 1.61204830e-01 
329 1257.61 6.88653851e+00 1.79458916e-01 
328 1259.15 6.66189861e+00 2.09162250e-01 
327 1260.69 6.50921822e+00 2.18648702e-01 
326 1262.23 6.31617117e+00 2.64160484e-01 
325 1263.77 6.18960524e+00 2.47937784e-01 
324 1265.31 5.92959642e+00 4.33229148e-01 
323 1266.85 5.88815594e+00 2.26948410e-01 
322 1268.39 6.08936453e+00 3.64554614e-01 
321 1269.92 6.37145567e+00 2.38292843e-01 
320 1271.46 6.67135763e+00 1.78208247e-01 
319 1272.99 6.81376266e+00 1.59168243e-01 
318 1274.52 6.87746000e+00 1.75376341e-01 
317 1276.05 6.98113155e+00 1.18815027e-01 
316 1277.58 6.87493801e+00 1.01480126e-01 
315 1279.10 6.82979250e+00 7.85659924e-02 
314 1280.63 6.87346983e+00 1.77705556e-01 
313 1282.15 6.89447832e+00 8.90987143e-02 
312 1283.68 7.05538225e+00 1.11859225e-01 
311 1285.20 7.18235350e+00 1.03061594e-01 
310 1286.72 7.08361006e+00 7.13946074e-02 
309 1288.24 7.10637522e+00 7.56735727e-02 
308 1289.75 7.01306629e+00 8.74236375e-02 
307 1291.27 7.04856825e+00 1.43806726e-01 
306 1292.78 6.96331692e+00 1.06988683e-01 
305 1294.30 6.94211721e+00 1.28590599e-01 
304 1295.81 6.76593304e+00 9.12549347e-02 
303 1297.32 6.74581957e+00 1.07130103e-01 
302 1298.83 6.68823957e+00 1.20032027e-01 
301 1300.34 6.53129578e+00 1.40417844e-01 
300 1301.85 6.45071936e+00 2.01185435e-01 
299 1303.35 6.30323076e+00 1.33944884e-01 
298 1304.86 6.17449045e+00 1.16483055e-01 
297 1306.36 6.16617823e+00 1.91753700e-01 
296 1307.86 6.09200287e+00 2.07220778e-01 
295 1309.36 5.91386127e+00 1.45881295e-01 
294 1310.86 5.73593998e+00 3.15309674e-01 
293 1312.36 5.64895868e+00 1.62331358e-01 
292 1313.86 5.58060074e+00 2.23493755e-01 
291 1315.36 5.55248070e+00 2.44112983e-01 
290 1316.85 5.48017359e+00 2.40574971e-01 
289 1318.34 5.38004112e+00 2.19389498e-01 
288 1319.84 5.16972589e+00 2.02196598e-01 
287 1321.33 5.29443026e+00 3.13310713e-01 
286 1322.82 5.24826908e+00 2.38191411e-01 
285 1324.30 5.11231852e+00 2.43711472e-01 
284 1325.79 4.84781265e+00 2.66935617e-01 
283 1327.28 4.41537762e+00 2.99692124e-01 
282 1328.76 3.94658351e+00 2.98710912e-01 
281 1330.25 3.81256676e+00 4.26686704e-01 
280 1331.73 3.75331306e+00 2.80146301e-01 
279 1333.21 3.90227199e+00 3.50098759e-01 
278 1334.69 3.97212911e+00 2.84104586e-01 
277 1336.17 3.92844558e+00 2.36723274e-01 
276 1337.65 3.82197809e+00 4.35234785e-01 
275 1339.12 3.73711085e+00 2.70819575e-01 
