% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\lebla\Research\MLO\2022_May\4STARB_20220508starsun.mat and recorded on 2022-05-10 07:05:08.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 1.60287895e+01 4.80863690e-01 
510 947.95 1.63656616e+01 4.90969837e-01 
509 949.84 1.68179340e+01 5.04538000e-01 
508 951.73 1.72015762e+01 5.16047299e-01 
507 953.62 1.75708694e+01 5.27126074e-01 
506 955.51 1.79279442e+01 5.37838340e-01 
505 957.40 1.84090652e+01 5.52271962e-01 
504 959.28 1.90463066e+01 5.71389198e-01 
503 961.16 1.97553520e+01 5.92660546e-01 
502 963.03 2.03660641e+01 6.10981941e-01 
501 964.90 2.11056557e+01 6.33169651e-01 
500 966.78 2.18528118e+01 6.55584335e-01 
499 968.64 2.27129288e+01 6.81387842e-01 
498 970.51 2.33466015e+01 7.00398028e-01 
497 972.37 2.37254543e+01 7.11763620e-01 
496 974.23 2.38447342e+01 7.15342045e-01 
495 976.09 2.41382523e+01 7.24147558e-01 
494 977.95 2.44729843e+01 7.34189510e-01 
493 979.80 2.49437447e+01 7.48312354e-01 
492 981.65 2.53455467e+01 7.60366380e-01 
491 983.50 2.58014603e+01 7.74043798e-01 
490 985.34 2.60693741e+01 7.82081246e-01 
489 987.18 2.62760258e+01 7.88280785e-01 
488 989.02 2.63955765e+01 7.91867316e-01 
487 990.86 2.65693226e+01 7.97079682e-01 
486 992.70 2.66616135e+01 7.99848378e-01 
485 994.53 2.68293438e+01 8.04880321e-01 
484 996.36 2.69031525e+01 8.07094574e-01 
483 998.19 2.70727901e+01 8.12183678e-01 
482 1000.01 2.71426544e+01 8.14279616e-01 
481 1001.83 2.71281357e+01 8.13844085e-01 
480 1003.65 2.70009022e+01 8.10027063e-01 
479 1005.47 2.70805740e+01 8.12417209e-01 
478 1007.29 2.72297478e+01 8.16892445e-01 
477 1009.10 2.76290741e+01 8.28872204e-01 
476 1010.91 2.78743019e+01 8.36229086e-01 
475 1012.72 2.79988594e+01 8.39965761e-01 
474 1014.53 2.79869347e+01 8.39608014e-01 
473 1016.33 2.81057854e+01 8.43173563e-01 
472 1018.13 2.80660763e+01 8.41982305e-01 
471 1019.93 2.81391678e+01 8.44175041e-01 
470 1021.73 2.80798912e+01 8.42396736e-01 
469 1023.52 2.80576935e+01 8.41730833e-01 
468 1025.31 2.79562111e+01 8.38686347e-01 
467 1027.10 2.79400978e+01 8.38202953e-01 
466 1028.89 2.76511173e+01 8.29533517e-01 
465 1030.67 2.74561615e+01 8.23684871e-01 
464 1032.45 2.71367397e+01 8.14102173e-01 
463 1034.23 2.69977684e+01 8.09933066e-01 
462 1036.01 2.67528591e+01 8.02585781e-01 
461 1037.79 2.66344585e+01 7.99033761e-01 
460 1039.56 2.64159737e+01 7.92479217e-01 
459 1041.33 2.63044701e+01 7.89134085e-01 
458 1043.10 2.61079330e+01 7.83237994e-01 
457 1044.87 2.59447060e+01 7.78341174e-01 
456 1046.63 2.57584953e+01 7.72754848e-01 
455 1048.39 2.57373486e+01 7.72120476e-01 
454 1050.15 2.56235809e+01 7.68707454e-01 
453 1051.91 2.55969429e+01 7.67908275e-01 
452 1053.67 2.54837780e+01 7.64513314e-01 
451 1055.42 2.53892803e+01 7.61678398e-01 
450 1057.17 2.51418324e+01 7.54254997e-01 
449 1058.92 2.50420284e+01 7.51260877e-01 
448 1060.67 2.49300690e+01 7.47902095e-01 
447 1062.41 2.48849030e+01 7.46547103e-01 
446 1064.15 2.47095490e+01 7.41286457e-01 
445 1065.89 2.44402275e+01 7.33206809e-01 
444 1067.63 2.40256195e+01 7.20768571e-01 
443 1069.37 2.37850704e+01 7.13552117e-01 
442 1071.10 2.35876160e+01 7.07628489e-01 
441 1072.83 2.35299358e+01 7.05898046e-01 
440 1074.56 2.33868637e+01 7.01605916e-01 
439 1076.29 2.32719936e+01 6.98159814e-01 
438 1078.02 2.30887642e+01 6.92662954e-01 
437 1079.74 2.29053574e+01 6.87160730e-01 
436 1081.46 2.26711578e+01 6.80134714e-01 
435 1083.18 2.26116962e+01 6.78350866e-01 
434 1084.90 2.25567646e+01 6.76702917e-01 
433 1086.61 2.26520805e+01 6.79562390e-01 
432 1088.33 2.26812668e+01 6.80437982e-01 
431 1090.04 2.27840614e+01 6.83521867e-01 
430 1091.75 2.26230106e+01 6.78690314e-01 
429 1093.45 2.25131149e+01 6.75393462e-01 
428 1095.16 2.24958115e+01 6.74874365e-01 
427 1096.86 2.26795807e+01 6.80387437e-01 
426 1098.56 2.29115505e+01 6.87346518e-01 
425 1100.26 2.31039410e+01 6.93118215e-01 
424 1101.96 2.31741257e+01 6.95223749e-01 
423 1103.65 2.33356438e+01 7.00069308e-01 
422 1105.35 2.34102936e+01 7.02308834e-01 
421 1107.04 2.34397888e+01 7.03193665e-01 
420 1108.73 2.31750870e+01 6.95252597e-01 
419 1110.41 2.26933193e+01 6.80799603e-01 
418 1112.10 2.17511501e+01 6.52534485e-01 
417 1113.78 2.03872509e+01 6.11617506e-01 
416 1115.46 1.89780865e+01 5.69342613e-01 
415 1117.14 1.79558563e+01 5.38675666e-01 
414 1118.82 1.71987247e+01 5.15961766e-01 
413 1120.50 1.67643948e+01 5.02931833e-01 
412 1122.17 1.64045734e+01 4.92137194e-01 
411 1123.84 1.62740765e+01 4.88222301e-01 
410 1125.51 1.66165009e+01 4.98495013e-01 
409 1127.18 1.72272472e+01 5.16817391e-01 
408 1128.85 1.82217598e+01 5.46652794e-01 
407 1130.51 1.85939026e+01 5.57817101e-01 
406 1132.17 1.76288185e+01 5.28864563e-01 
405 1133.83 1.70733414e+01 5.12200236e-01 
404 1135.49 1.75999584e+01 5.27998745e-01 
403 1137.15 1.96579342e+01 5.89738011e-01 
402 1138.80 2.15421829e+01 6.46265507e-01 
401 1140.46 2.20911579e+01 6.62734747e-01 
400 1142.11 2.13841438e+01 6.41524315e-01 
399 1143.76 2.05234642e+01 6.15703940e-01 
398 1145.41 1.98354950e+01 5.95064878e-01 
397 1147.05 1.98284359e+01 5.94853103e-01 
396 1148.70 2.04541130e+01 6.13623381e-01 
395 1150.34 2.13424549e+01 6.40273631e-01 
394 1151.98 2.19954796e+01 6.59864366e-01 
393 1153.62 2.27364006e+01 6.82092011e-01 
392 1155.26 2.33677635e+01 7.01032877e-01 
391 1156.89 2.40863876e+01 7.22591639e-01 
390 1158.53 2.44476814e+01 7.33430445e-01 
389 1160.16 2.49522972e+01 7.48568892e-01 
388 1161.79 2.53547649e+01 7.60642946e-01 
387 1163.42 2.58373604e+01 7.75120795e-01 
386 1165.04 2.60687160e+01 7.82061458e-01 
385 1166.67 2.62277317e+01 7.86831975e-01 
384 1168.29 2.63797855e+01 7.91393578e-01 
383 1169.91 2.65033417e+01 7.95100272e-01 
382 1171.53 2.61785660e+01 7.85356998e-01 
381 1173.15 2.58979969e+01 7.76939929e-01 
380 1174.77 2.54677811e+01 7.64033437e-01 
379 1176.38 2.52892666e+01 7.58678019e-01 
378 1178.00 2.51398964e+01 7.54196882e-01 
377 1179.61 2.48050766e+01 7.44152308e-01 
376 1181.22 2.44662704e+01 7.33988106e-01 
375 1182.83 2.43722610e+01 7.31167853e-01 
374 1184.43 2.42623138e+01 7.27869391e-01 
373 1186.04 2.42391758e+01 7.27175295e-01 
372 1187.64 2.42303772e+01 7.26911306e-01 
371 1189.24 2.43180504e+01 7.29541540e-01 
370 1190.84 2.44891415e+01 7.34674215e-01 
369 1192.44 2.46531582e+01 7.39594758e-01 
368 1194.04 2.44437580e+01 7.33312726e-01 
367 1195.64 2.40180893e+01 7.20542669e-01 
366 1197.23 2.35461922e+01 7.06385791e-01 
365 1198.82 2.33089714e+01 6.99269116e-01 
364 1200.41 2.29394150e+01 6.88182473e-01 
363 1202.00 2.29630051e+01 6.88890159e-01 
362 1203.59 2.29764938e+01 6.89294815e-01 
361 1205.17 2.30068054e+01 6.90204144e-01 
360 1206.76 2.31039410e+01 6.93118215e-01 
359 1208.34 2.30839386e+01 6.92518175e-01 
358 1209.92 2.30191689e+01 6.90575063e-01 
357 1211.50 2.32101212e+01 6.96303606e-01 
356 1213.08 2.33881569e+01 7.01644719e-01 
355 1214.66 2.35514374e+01 7.06543148e-01 
354 1216.23 2.35173492e+01 7.05520451e-01 
353 1217.80 2.35620518e+01 7.06861556e-01 
352 1219.38 2.34548492e+01 7.03645468e-01 
351 1220.95 2.34147606e+01 7.02442825e-01 
350 1222.52 2.33693123e+01 7.01079369e-01 
349 1224.08 2.32962036e+01 6.98886096e-01 
348 1225.65 2.31993446e+01 6.95980310e-01 
347 1227.21 2.31402817e+01 6.94208443e-01 
346 1228.78 2.31499062e+01 6.94497168e-01 
345 1230.34 2.32351036e+01 6.97053134e-01 
344 1231.90 2.32167358e+01 6.96502090e-01 
343 1233.46 2.31958504e+01 6.95875525e-01 
342 1235.01 2.30163860e+01 6.90491557e-01 
341 1236.57 2.28517208e+01 6.85551643e-01 
340 1238.12 2.26260853e+01 6.78782582e-01 
339 1239.67 2.24488831e+01 6.73466504e-01 
338 1241.23 2.22533035e+01 6.67599082e-01 
337 1242.78 2.22429485e+01 6.67288482e-01 
336 1244.32 2.21881714e+01 6.65645123e-01 
335 1245.87 2.22774506e+01 6.68323517e-01 
334 1247.42 2.22309074e+01 6.66927218e-01 
333 1248.96 2.21816120e+01 6.65448368e-01 
