% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\lebla\Research\MLO\2022_May\4STARB_20220508starsun.mat and recorded on 2022-05-08 16:36:35.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
0 171.23 -1.00000000e+00 -1.00000000e+00 
1 172.04 -1.99316398e+10 -5.97949184e+08 
2 172.86 5.23895898e+11 1.57168773e+10 
3 173.67 9.37950249e+10 2.81385062e+09 
4 174.48 -1.00000000e+00 -1.00000000e+00 
5 175.29 -1.00000000e+00 -1.00000000e+00 
6 176.11 -1.00000000e+00 -1.00000000e+00 
7 176.92 -1.00000000e+00 -1.00000000e+00 
8 177.73 7.73768733e-18 2.32130610e-19 
9 178.54 8.14879570e-07 2.44463862e-08 
10 179.36 4.71929596e+02 1.41578875e+01 
11 180.17 3.00887988e+03 9.02663956e+01 
12 180.98 8.10635300e+01 2.43190598e+00 
13 181.79 2.68186188e+00 8.04558545e-02 
14 182.61 2.37409520e+00 7.12228566e-02 
15 183.42 2.61554241e+00 7.84662738e-02 
16 184.23 5.36592579e+00 1.60977781e-01 
17 185.04 3.27504849e+00 9.82514545e-02 
18 185.86 5.11387777e+00 1.53416336e-01 
19 186.67 3.92945123e+00 1.17883533e-01 
20 187.48 3.36229444e+00 1.00868836e-01 
21 188.29 1.64970267e+00 4.94910814e-02 
22 189.11 2.18193579e+00 6.54580742e-02 
23 189.92 2.11141896e+00 6.33425713e-02 
24 190.73 2.24336243e+00 6.73008710e-02 
25 191.54 3.21847343e+00 9.65542048e-02 
26 192.36 2.76195240e+00 8.28585699e-02 
27 193.17 3.52814674e+00 1.05844401e-01 
28 193.98 2.37998915e+00 7.13996738e-02 
29 194.79 2.69978380e+00 8.09935108e-02 
30 195.61 3.19788885e+00 9.59366634e-02 
31 196.42 2.70438099e+00 8.11314285e-02 
32 197.23 2.78684449e+00 8.36053342e-02 
33 198.04 3.35944819e+00 1.00783445e-01 
34 198.86 3.32972097e+00 9.98916328e-02 
