% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from /data/sunsat/MLO/May_2022/data_processed/starsuns/4STARB_20220508starsun.mat and recorded on 2022-07-12 18:17:30.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
0 171.23 -1.00000000e+00 -1.00000000e+00 
1 172.04 2.10051462e-02 6.30154391e-04 
2 172.86 2.23212894e-02 6.69638684e-04 
3 173.67 1.87639985e-02 5.62919944e-04 
4 174.48 2.19591784e+00 6.58775344e-02 
5 175.29 2.33082867e+00 6.99248612e-02 
6 176.11 2.32823825e+00 6.98471442e-02 
7 176.92 2.30848122e+00 6.92544356e-02 
8 177.73 2.29579139e+00 6.88737407e-02 
9 178.54 2.28189111e+00 6.84567317e-02 
10 179.36 2.25884938e+00 6.77654818e-02 
11 180.17 2.25756598e+00 6.77269772e-02 
12 180.98 2.24233127e+00 6.72699362e-02 
13 181.79 2.21628356e+00 6.64885044e-02 
14 182.61 2.21623278e+00 6.64869845e-02 
15 183.42 2.20180821e+00 6.60542473e-02 
16 184.23 2.18918896e+00 6.56756684e-02 
17 185.04 2.17850900e+00 6.53552711e-02 
18 185.86 2.17269349e+00 6.51808083e-02 
19 186.67 2.15467548e+00 6.46402612e-02 
20 187.48 2.14833736e+00 6.44501224e-02 
21 188.29 2.12773752e+00 6.38321266e-02 
22 189.11 2.12070990e+00 6.36212975e-02 
23 189.92 2.10718870e+00 6.32156581e-02 
24 190.73 2.09143257e+00 6.27429783e-02 
25 191.54 2.09365153e+00 6.28095493e-02 
26 192.36 2.07174969e+00 6.21524900e-02 
27 193.17 2.06305885e+00 6.18917644e-02 
28 193.98 2.05241275e+00 6.15723841e-02 
29 194.79 2.03567386e+00 6.10702150e-02 
30 195.61 2.03313613e+00 6.09940849e-02 
31 196.42 2.01364851e+00 6.04094565e-02 
32 197.23 2.00472331e+00 6.01416975e-02 
33 198.04 2.00426459e+00 6.01279363e-02 
34 198.86 1.98748040e+00 5.96244112e-02 
35 199.67 1.97635150e+00 5.92905432e-02 
36 200.48 1.97294295e+00 5.91882877e-02 
37 201.29 1.96587539e+00 5.89762628e-02 
38 202.11 1.96001983e+00 5.88005930e-02 
39 202.92 1.94807458e+00 5.84422387e-02 
40 203.73 1.93386602e+00 5.80159798e-02 
41 204.54 1.93939006e+00 5.81817031e-02 
42 205.36 1.93280947e+00 5.79842851e-02 
43 206.17 1.93315792e+00 5.79947382e-02 
44 206.98 1.91775548e+00 5.75326644e-02 
45 207.79 1.90971422e+00 5.72914258e-02 
46 208.61 1.91634226e+00 5.74902669e-02 
47 209.42 1.92823803e+00 5.78471422e-02 
48 210.23 1.93816793e+00 5.81450388e-02 
49 211.04 1.97032368e+00 5.91097102e-02 
50 211.86 2.03363824e+00 6.10091463e-02 
51 212.67 2.13003588e+00 6.39010742e-02 
52 213.48 2.22649026e+00 6.67947084e-02 
53 214.29 2.35471702e+00 7.06415102e-02 
54 215.11 2.49409771e+00 7.48229325e-02 
55 215.92 2.61161947e+00 7.83485845e-02 
56 216.73 2.74757147e+00 8.24271441e-02 
57 217.54 2.86276627e+00 8.58829916e-02 
58 218.35 3.00343370e+00 9.01030079e-02 
59 219.17 3.14398360e+00 9.43195075e-02 
60 219.98 3.31607533e+00 9.94822606e-02 
61 220.79 3.49736023e+00 1.04920805e-01 
62 221.60 3.70103621e+00 1.11031085e-01 
