% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\lebla\Research\MLO\2022_May\4STAR_20220508starsun.mat and recorded on 2022-05-10 07:29:28.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
0 171.97 -1.00000000e+00 -1.00000000e+00 
1 172.78 -1.00000000e+00 -1.00000000e+00 
2 173.59 -1.00000000e+00 -1.00000000e+00 
3 174.39 -1.00000000e+00 -1.00000000e+00 
4 175.20 -1.00000000e+00 -1.00000000e+00 
5 176.01 -1.00000000e+00 -1.00000000e+00 
6 176.82 -1.00000000e+00 -1.00000000e+00 
7 177.63 -1.00000000e+00 -1.00000000e+00 
8 178.43 -1.00000000e+00 -1.00000000e+00 
9 179.24 -1.00000000e+00 -1.00000000e+00 
10 180.05 -1.00000000e+00 -1.00000000e+00 
11 180.86 -1.00000000e+00 -1.00000000e+00 
12 181.67 -1.00000000e+00 -1.00000000e+00 
13 182.47 -1.00000000e+00 -1.00000000e+00 
14 183.28 -1.00000000e+00 -1.00000000e+00 
15 184.09 -1.00000000e+00 -1.00000000e+00 
16 184.90 -1.00000000e+00 -1.00000000e+00 
17 185.71 -1.00000000e+00 -1.00000000e+00 
18 186.51 -1.00000000e+00 -1.00000000e+00 
19 187.32 -1.00000000e+00 -1.00000000e+00 
20 188.13 -1.00000000e+00 -1.00000000e+00 
21 188.94 -1.00000000e+00 -1.00000000e+00 
22 189.75 -1.00000000e+00 -1.00000000e+00 
23 190.55 -1.00000000e+00 -1.00000000e+00 
24 191.36 -1.00000000e+00 -1.00000000e+00 
25 192.17 -1.00000000e+00 -1.00000000e+00 
26 192.98 -1.00000000e+00 -1.00000000e+00 
27 193.79 -1.00000000e+00 -1.00000000e+00 
28 194.60 -1.00000000e+00 -1.00000000e+00 
29 195.40 -1.00000000e+00 -1.00000000e+00 
30 196.21 -1.00000000e+00 -1.00000000e+00 
31 197.02 -1.00000000e+00 -1.00000000e+00 
32 197.83 -1.00000000e+00 -1.00000000e+00 
33 198.64 -1.00000000e+00 -1.00000000e+00 
34 199.44 -1.00000000e+00 -1.00000000e+00 
35 200.25 -1.00000000e+00 -1.00000000e+00 
36 201.06 -1.00000000e+00 -1.00000000e+00 
37 201.87 -1.00000000e+00 -1.00000000e+00 
38 202.68 -1.00000000e+00 -1.00000000e+00 
39 203.48 -1.00000000e+00 -1.00000000e+00 
40 204.29 -1.00000000e+00 -1.00000000e+00 
41 205.10 -1.00000000e+00 -1.00000000e+00 
42 205.91 -1.00000000e+00 -1.00000000e+00 
43 206.72 -1.00000000e+00 -1.00000000e+00 
44 207.53 2.86177406e+01 8.58532190e-01 
45 208.33 3.24551277e+01 9.73653853e-01 
46 209.14 2.50161247e+01 7.50483751e-01 
47 209.95 2.42294464e+01 7.26883411e-01 
48 210.76 2.39734879e+01 7.19204664e-01 
49 211.57 2.46830235e+01 7.40490675e-01 
50 212.37 2.47273178e+01 7.41819561e-01 
51 213.18 2.45821056e+01 7.37463176e-01 
52 213.99 2.47643223e+01 7.42929697e-01 
53 214.80 2.51151848e+01 7.53455520e-01 
54 215.61 2.51190166e+01 7.53570497e-01 
55 216.42 2.51412563e+01 7.54237711e-01 
56 217.22 2.51834908e+01 7.55504727e-01 
57 218.03 2.51203575e+01 7.53610730e-01 
58 218.84 2.53432751e+01 7.60298252e-01 
59 219.65 2.53908844e+01 7.61726558e-01 
60 220.46 2.52866859e+01 7.58600593e-01 
61 221.26 2.54286880e+01 7.62860656e-01 
62 222.07 2.54213181e+01 7.62639523e-01 
63 222.88 2.56145420e+01 7.68436253e-01 
64 223.69 2.56113186e+01 7.68339574e-01 
65 224.50 2.58376064e+01 7.75128186e-01 
66 225.31 2.59341812e+01 7.78025448e-01 
67 226.11 2.54288826e+01 7.62866497e-01 
68 226.92 2.47610168e+01 7.42830515e-01 
69 227.73 2.41309338e+01 7.23928034e-01 
70 228.54 2.35696030e+01 7.07088113e-01 
71 229.35 2.33747673e+01 7.01243043e-01 
72 230.15 2.32633953e+01 6.97901845e-01 
73 230.96 2.32956314e+01 6.98868930e-01 
74 231.77 2.36394768e+01 7.09184289e-01 
75 232.58 2.41304741e+01 7.23914206e-01 
76 233.39 2.45931740e+01 7.37795234e-01 
77 234.20 2.47930565e+01 7.43791699e-01 
78 235.00 2.43383865e+01 7.30151594e-01 
79 235.81 2.39780617e+01 7.19341874e-01 
80 236.62 2.36657333e+01 7.09972024e-01 
81 237.43 2.33806534e+01 7.01419592e-01 
82 238.24 2.30316086e+01 6.90948248e-01 
83 239.04 2.28924217e+01 6.86772645e-01 
84 239.85 2.26616516e+01 6.79849565e-01 
85 240.66 2.22693310e+01 6.68079913e-01 
86 241.47 2.19996452e+01 6.59989357e-01 
87 242.28 2.17848530e+01 6.53545618e-01 
88 243.09 2.16475029e+01 6.49425089e-01 
89 243.89 2.13892632e+01 6.41677916e-01 
90 244.70 2.08889999e+01 6.26670003e-01 
91 245.51 2.08702030e+01 6.26106083e-01 
92 246.32 2.12072716e+01 6.36218131e-01 
93 247.13 1.99249725e+01 5.97749174e-01 
94 247.93 2.02681046e+01 6.08043134e-01 
95 248.74 1.95634556e+01 5.86903691e-01 
96 249.55 1.95849609e+01 5.87548852e-01 
97 250.36 1.96075363e+01 5.88226080e-01 
98 251.17 1.88170052e+01 5.64510167e-01 
99 251.98 1.93721542e+01 5.81164598e-01 
100 252.78 2.13740921e+01 6.41222775e-01 
101 253.59 1.81120224e+01 5.43360651e-01 
102 254.40 2.17680721e+01 6.53042138e-01 
103 255.21 1.72304764e+01 5.16914308e-01 
104 256.02 1.93526535e+01 5.80579579e-01 
105 256.82 1.91102695e+01 5.73308110e-01 
106 257.63 1.89709568e+01 5.69128692e-01 
107 258.44 1.78842201e+01 5.36526620e-01 
108 259.25 1.89434776e+01 5.68304300e-01 
109 260.06 1.92061539e+01 5.76184630e-01 
110 260.87 1.98518372e+01 5.95555127e-01 
111 261.67 1.93705292e+01 5.81115901e-01 
112 262.48 1.96760197e+01 5.90280592e-01 
113 263.29 1.95583820e+01 5.86751461e-01 
114 264.10 1.96299877e+01 5.88899612e-01 
115 264.91 1.97801743e+01 5.93405247e-01 
116 265.71 1.97078705e+01 5.91236115e-01 
117 266.52 1.99141827e+01 5.97425461e-01 
118 267.33 2.00069256e+01 6.00207746e-01 
119 268.14 2.01556892e+01 6.04670703e-01 
120 268.95 2.03185787e+01 6.09557390e-01 
121 269.75 2.02893009e+01 6.08679056e-01 
122 270.56 2.05171909e+01 6.15515709e-01 
123 271.37 2.06790562e+01 6.20371699e-01 
124 272.18 2.08020058e+01 6.24060154e-01 
125 272.99 2.11361198e+01 6.34083569e-01 
126 273.79 2.11972427e+01 6.35917306e-01 
127 274.60 2.06714840e+01 6.20144546e-01 
128 275.41 2.00235710e+01 6.00707114e-01 
129 276.22 1.95480881e+01 5.86442649e-01 
130 277.03 1.90362015e+01 5.71086049e-01 
131 277.83 1.85829601e+01 5.57488799e-01 
132 278.64 1.92117958e+01 5.76353848e-01 
133 279.45 1.93558292e+01 5.80674887e-01 
134 280.26 1.86896687e+01 5.60690045e-01 
135 281.07 1.81634998e+01 5.44905007e-01 
136 281.87 2.49241562e+01 7.47724712e-01 
137 282.68 3.19701214e+01 9.59103644e-01 
138 283.49 3.08677597e+01 9.26032782e-01 
139 284.30 2.85168285e+01 8.55504870e-01 
140 285.11 2.64831924e+01 7.94495761e-01 
141 285.91 2.48079109e+01 7.44237304e-01 
142 286.72 2.32926540e+01 6.98779643e-01 
143 287.53 2.18858070e+01 6.56574190e-01 
144 288.34 2.06624184e+01 6.19872570e-01 
145 289.15 1.96225204e+01 5.88675618e-01 
146 289.95 1.87244225e+01 5.61732650e-01 
147 290.76 1.79026318e+01 5.37078977e-01 
148 291.57 1.71565094e+01 5.14695287e-01 
149 292.38 1.65200062e+01 4.95600194e-01 
150 293.19 1.59472160e+01 4.78416473e-01 
151 293.99 1.54365959e+01 4.63097870e-01 
152 294.80 1.50162096e+01 4.50486302e-01 
153 295.61 1.46071959e+01 4.38215882e-01 
154 296.42 1.42556810e+01 4.27670419e-01 
155 297.23 1.39180803e+01 4.17542398e-01 
156 298.03 1.36355839e+01 4.09067512e-01 
157 298.84 1.33887615e+01 4.01662856e-01 
158 299.65 1.31739807e+01 3.95219415e-01 
159 300.46 1.29882660e+01 3.89647990e-01 
160 301.26 1.28209791e+01 3.84629369e-01 
161 302.07 1.26690340e+01 3.80071014e-01 
162 302.88 1.25402508e+01 3.76207530e-01 
163 303.69 1.24278526e+01 3.72835577e-01 
164 304.50 1.23278170e+01 3.69834512e-01 
165 305.30 1.22392702e+01 3.67178112e-01 
166 306.11 1.21541786e+01 3.64625365e-01 
167 306.92 1.20816126e+01 3.62448364e-01 
168 307.73 1.20286102e+01 3.60858321e-01 
169 308.53 1.19717865e+01 3.59153599e-01 
170 309.34 1.19330454e+01 3.57991368e-01 
171 310.15 1.18848906e+01 3.56546730e-01 
172 310.96 1.18396339e+01 3.55189025e-01 
173 311.76 1.18065262e+01 3.54195774e-01 
174 312.57 1.17842398e+01 3.53527188e-01 
175 313.38 1.17626286e+01 3.52878869e-01 
176 314.19 1.17475586e+01 3.52426767e-01 
177 315.00 1.17392159e+01 3.52176487e-01 
178 315.80 1.17257776e+01 3.51773322e-01 
179 316.61 1.17273932e+01 3.51821780e-01 
180 317.42 1.17306652e+01 3.51919949e-01 
181 318.23 1.17273932e+01 3.51821780e-01 
182 319.03 1.17360191e+01 3.52080584e-01 
183 319.84 1.17361288e+01 3.52083862e-01 
184 320.65 1.17462978e+01 3.52388948e-01 
185 321.46 1.17587624e+01 3.52762878e-01 
186 322.26 1.17770300e+01 3.53310913e-01 
187 323.07 1.17912178e+01 3.53736520e-01 
188 323.88 1.17995815e+01 3.53987455e-01 
189 324.69 1.18366537e+01 3.55099618e-01 
190 325.49 1.18565998e+01 3.55697989e-01 
191 326.30 1.18928127e+01 3.56784374e-01 
192 327.11 1.19307575e+01 3.57922733e-01 
193 327.92 1.19668350e+01 3.59005064e-01 
194 328.72 1.20081568e+01 3.60244691e-01 
195 329.53 1.20560637e+01 3.61681908e-01 
196 330.34 1.21052704e+01 3.63158107e-01 
197 331.14 1.21589289e+01 3.64767879e-01 
198 331.95 1.22470694e+01 3.67412090e-01 
199 332.76 1.23708000e+01 3.71123999e-01 
200 333.57 1.25848370e+01 3.77545118e-01 
201 334.37 1.29475574e+01 3.88426721e-01 
202 335.18 1.34950581e+01 4.04851735e-01 
203 335.99 1.42382421e+01 4.27147269e-01 
204 336.80 1.53558912e+01 4.60676730e-01 
205 337.60 1.70553017e+01 5.11659026e-01 
206 338.41 1.92775917e+01 5.78327775e-01 
207 339.22 2.19044895e+01 6.57134712e-01 
208 340.02 2.46105690e+01 7.38317072e-01 
209 340.83 2.69352951e+01 8.08058858e-01 
210 341.64 2.93589287e+01 8.80767882e-01 
211 342.45 3.20985718e+01 9.62957144e-01 
212 343.25 3.36656189e+01 1.00996852e+00 
213 344.06 3.42429657e+01 1.02728891e+00 
214 344.87 3.64142838e+01 1.09242857e+00 
215 345.67 3.95867767e+01 1.18760335e+00 
216 346.48 4.19337349e+01 1.25801206e+00 
217 347.29 4.36461563e+01 1.30938470e+00 
218 348.10 4.50679703e+01 1.35203910e+00 
219 348.90 4.68282928e+01 1.40484881e+00 
220 349.71 5.02040520e+01 1.50612152e+00 
221 350.52 5.40149651e+01 1.62044895e+00 
222 351.32 5.54285736e+01 1.66285717e+00 
223 352.13 5.57604713e+01 1.67281413e+00 
224 352.94 5.86965828e+01 1.76089752e+00 
