% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\lebla\Research\MLO\2022_May\4STAR_20220509starsun.mat and recorded on 2022-05-09 21:15:48.
% C0 built to match AOD from 4STAR to AERONET spline fit for Mauna_Loa within 200 m [Alt] and 360 seconds, measured on 20220509.
Pix Wavelength C0 C0err
511 949.79 3.41496873e+00 5.59987545e-01 
510 949.79 3.57207322e+00 5.41907191e-01 
509 951.68 3.93351936e+00 5.72688341e-01 
508 953.57 4.02934027e+00 5.49015939e-01 
507 955.46 4.50729990e+00 5.79455018e-01 
506 957.34 4.63765526e+00 5.62433064e-01 
505 959.22 5.12811852e+00 5.58371484e-01 
504 961.10 5.36366940e+00 5.33361912e-01 
503 962.98 5.86519670e+00 5.08694172e-01 
502 964.85 5.97479200e+00 4.47119236e-01 
501 966.72 6.62272310e+00 3.97347212e-01 
500 968.59 6.76044273e+00 3.20989102e-01 
499 970.45 7.22864151e+00 3.26028109e-01 
498 972.32 7.17266560e+00 3.36012870e-01 
497 974.18 7.43673420e+00 3.51506948e-01 
496 976.04 7.40781546e+00 3.32304090e-01 
495 977.89 7.81210613e+00 2.87143767e-01 
494 979.74 7.78071547e+00 2.33963162e-01 
493 981.59 8.22895813e+00 1.87521517e-01 
492 983.44 8.18750477e+00 1.42259762e-01 
491 985.29 8.57331753e+00 1.08529337e-01 
490 987.13 8.33222198e+00 7.95420185e-02 
489 988.97 8.60441971e+00 5.78949526e-02 
488 990.81 8.43071365e+00 4.17816304e-02 
487 992.65 8.62327671e+00 3.15130353e-02 
486 994.48 8.50432587e+00 3.38493884e-02 
485 996.31 8.55372238e+00 2.35808212e-02 
484 998.14 8.32490158e+00 3.03049516e-02 
483 999.97 8.48705387e+00 2.56557446e-02 
482 1001.79 8.21192932e+00 3.04554459e-02 
481 1003.62 8.30429649e+00 3.21225040e-02 
480 1005.44 8.11901283e+00 3.66999730e-02 
479 1007.25 8.35284233e+00 3.98488156e-02 
478 1009.07 8.10451508e+00 2.98961699e-02 
477 1010.88 8.33648586e+00 3.38629410e-02 
476 1012.69 8.05434704e+00 2.51018293e-02 
475 1014.50 8.21843338e+00 2.43471526e-02 
474 1016.31 7.97589493e+00 2.67761126e-02 
473 1018.11 8.16720486e+00 2.68427785e-02 
472 1019.91 7.91866970e+00 2.56966837e-02 
471 1021.71 8.02000999e+00 2.49793194e-02 
470 1023.51 7.91357279e+00 2.69527975e-02 
469 1025.30 7.98144007e+00 2.07999982e-02 
468 1027.09 7.99506044e+00 2.91957725e-02 
467 1028.88 7.97849941e+00 2.33019553e-02 
466 1030.67 7.99929142e+00 3.35633568e-02 
465 1032.46 8.09139538e+00 1.66807380e-02 
464 1034.24 7.96011734e+00 1.78386215e-02 
463 1036.02 8.15977955e+00 2.19946038e-02 
462 1037.80 8.04592896e+00 2.00933684e-02 
461 1039.58 8.25288486e+00 1.84590239e-02 
460 1041.35 8.13078880e+00 2.39317194e-02 
