% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\lebla\Research\MLO\2022_May\4STAR_20220509starsun.mat and recorded on 2022-05-09 21:14:14.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STAR
Pix Wavelength C0 C0err
511 949.79 4.52728653e+00 1.35818601e-01 
510 949.79 4.65458727e+00 1.39637619e-01 
509 951.68 5.05463934e+00 1.51639178e-01 
508 953.57 5.10624456e+00 1.53187335e-01 
507 955.46 5.62310314e+00 1.68693095e-01 
506 957.34 5.71612501e+00 1.71483755e-01 
505 959.22 6.19681263e+00 1.85904384e-01 
504 961.10 6.37254190e+00 1.91176251e-01 
503 962.98 6.82010174e+00 2.04603046e-01 
502 964.85 6.78956699e+00 2.03687012e-01 
501 966.72 7.35451126e+00 2.20635340e-01 
500 968.59 7.35688305e+00 2.20706493e-01 
499 970.45 7.81311893e+00 2.34393567e-01 
498 972.32 7.79438877e+00 2.33831659e-01 
497 974.18 8.07699585e+00 2.42309868e-01 
496 976.04 8.00555992e+00 2.40166798e-01 
495 977.89 8.34071445e+00 2.50221431e-01 
494 979.74 8.19076920e+00 2.45723069e-01 
493 981.59 8.57088089e+00 2.57126421e-01 
492 983.44 8.44288349e+00 2.53286511e-01 
491 985.29 8.76899529e+00 2.63069868e-01 
490 987.13 8.47423077e+00 2.54226923e-01 
489 988.97 8.70405102e+00 2.61121541e-01 
488 990.81 8.50395012e+00 2.55118489e-01 
487 992.65 8.66646957e+00 2.59994090e-01 
486 994.48 8.55787754e+00 2.56736338e-01 
485 996.31 8.58468533e+00 2.57540554e-01 
484 998.14 8.36648560e+00 2.50994563e-01 
483 999.97 8.53201103e+00 2.55960345e-01 
482 1001.79 8.26164150e+00 2.47849241e-01 
481 1003.62 8.35862827e+00 2.50758857e-01 
480 1005.44 8.17374420e+00 2.45212331e-01 
479 1007.25 8.41718769e+00 2.52515644e-01 
478 1009.07 8.15639496e+00 2.44691849e-01 
477 1010.88 8.38062859e+00 2.51418859e-01 
476 1012.69 8.09513569e+00 2.42854074e-01 
475 1014.50 8.24471283e+00 2.47341380e-01 
474 1016.31 8.00323391e+00 2.40097016e-01 
473 1018.11 8.20315170e+00 2.46094555e-01 
472 1019.91 7.95845175e+00 2.38753557e-01 
471 1021.71 8.04460907e+00 2.41338268e-01 
470 1023.51 7.95527220e+00 2.38658160e-01 
469 1025.30 8.00276470e+00 2.40082934e-01 
468 1027.09 8.03969288e+00 2.41190791e-01 
467 1028.88 7.99284124e+00 2.39785239e-01 
466 1030.67 8.03634453e+00 2.41090342e-01 
465 1032.46 8.11046219e+00 2.43313864e-01 
464 1034.24 7.97563076e+00 2.39268929e-01 
463 1036.02 8.17263985e+00 2.45179191e-01 
462 1037.80 8.07305908e+00 2.42191777e-01 
461 1039.58 8.26904488e+00 2.48071343e-01 
460 1041.35 8.16195297e+00 2.44858593e-01 
459 1043.12 8.24545002e+00 2.47363508e-01 
458 1044.89 8.21229172e+00 2.46368751e-01 
457 1046.66 8.41780758e+00 2.52534240e-01 
456 1048.43 8.38533115e+00 2.51559943e-01 
455 1050.19 8.57455158e+00 2.57236540e-01 
454 1051.95 8.33018112e+00 2.49905437e-01 
453 1053.71 8.68831253e+00 2.60649383e-01 
452 1055.47 8.50347614e+00 2.55104274e-01 
451 1057.23 8.65036583e+00 2.59510964e-01 
450 1058.98 8.53241920e+00 2.55972564e-01 
449 1060.73 8.71834660e+00 2.61550397e-01 
448 1062.48 8.48874569e+00 2.54662365e-01 
447 1064.23 8.61023140e+00 2.58306950e-01 
446 1065.97 8.37398338e+00 2.51219511e-01 
445 1067.71 8.43080902e+00 2.52924263e-01 
444 1069.46 8.25359344e+00 2.47607797e-01 
443 1071.19 8.21889687e+00 2.46566907e-01 
442 1072.93 8.23518944e+00 2.47055680e-01 
441 1074.67 8.25728989e+00 2.47718692e-01 
440 1076.40 8.10377884e+00 2.43113369e-01 
439 1078.13 8.04898930e+00 2.41469681e-01 
438 1079.86 7.85441208e+00 2.35632360e-01 
437 1081.58 7.96140099e+00 2.38842025e-01 
436 1083.31 7.79745388e+00 2.33923614e-01 
435 1085.03 8.02784443e+00 2.40835339e-01 
434 1086.75 7.95772505e+00 2.38731757e-01 
433 1088.47 8.02785587e+00 2.40835682e-01 
432 1090.19 8.00298786e+00 2.40089640e-01 
431 1091.90 8.11130333e+00 2.43339106e-01 
430 1093.61 8.02171421e+00 2.40651429e-01 
429 1095.33 8.21888542e+00 2.46566564e-01 
428 1097.03 8.22752571e+00 2.46825770e-01 
427 1098.74 8.53302765e+00 2.55990833e-01 
426 1100.45 8.53144741e+00 2.55943418e-01 
425 1102.15 8.81163311e+00 2.64348984e-01 
424 1103.85 8.81403923e+00 2.64421165e-01 
423 1105.55 8.86888027e+00 2.66066402e-01 
422 1107.25 8.77861977e+00 2.63358593e-01 
421 1108.94 8.82440376e+00 2.64732122e-01 
420 1110.64 8.28067112e+00 2.48420134e-01 
419 1112.33 8.24066925e+00 2.47220084e-01 
418 1114.02 7.69121790e+00 2.30736539e-01 
417 1115.70 7.48679924e+00 2.24603981e-01 
416 1117.39 7.27711105e+00 2.18313336e-01 
415 1119.07 7.20885992e+00 2.16265798e-01 
414 1120.76 6.97489405e+00 2.09246814e-01 
413 1122.44 6.98807955e+00 2.09642380e-01 
412 1124.12 7.05679131e+00 2.11703733e-01 
411 1125.79 7.39613247e+00 2.21883968e-01 
410 1127.47 7.66677284e+00 2.30003178e-01 
409 1129.14 7.96942854e+00 2.39082858e-01 
408 1130.81 7.32512760e+00 2.19753832e-01 
407 1132.48 7.03858423e+00 2.11157531e-01 
406 1134.15 7.01230145e+00 2.10369051e-01 
405 1135.81 7.58005238e+00 2.27401569e-01 
404 1137.48 8.33331013e+00 2.49999300e-01 
403 1139.14 8.56699753e+00 2.57009923e-01 
402 1140.80 8.13516045e+00 2.44054809e-01 
401 1142.46 8.01907921e+00 2.40572378e-01 
400 1144.12 7.66704130e+00 2.30011240e-01 
399 1145.77 7.70506382e+00 2.31151909e-01 
398 1147.43 7.77671957e+00 2.33301580e-01 
397 1149.08 8.00688267e+00 2.40206480e-01 
396 1150.73 8.00191116e+00 2.40057334e-01 
395 1152.38 8.34794521e+00 2.50438362e-01 
394 1154.02 8.30747414e+00 2.49224231e-01 
393 1155.67 8.63645554e+00 2.59093672e-01 
392 1157.31 8.54375839e+00 2.56312758e-01 
391 1158.95 8.72208214e+00 2.61662453e-01 
390 1160.59 8.68490314e+00 2.60547101e-01 
389 1162.23 8.92071533e+00 2.67621458e-01 
388 1163.87 8.85001087e+00 2.65500337e-01 
387 1165.50 8.90677071e+00 2.67203122e-01 
386 1167.13 8.80535412e+00 2.64160633e-01 
385 1168.76 8.82446003e+00 2.64733791e-01 
384 1170.39 8.78274345e+00 2.63482302e-01 
383 1172.02 8.71455574e+00 2.61436671e-01 
382 1173.65 8.54199028e+00 2.56259710e-01 
381 1175.27 8.52054119e+00 2.55616248e-01 
380 1176.90 8.41452694e+00 2.52435803e-01 
379 1178.52 8.36447906e+00 2.50934362e-01 
378 1180.14 8.15126133e+00 2.44537845e-01 
377 1181.75 8.12726593e+00 2.43817985e-01 
376 1183.37 7.96175766e+00 2.38852724e-01 
375 1184.99 8.00692844e+00 2.40207851e-01 
374 1186.60 7.93145180e+00 2.37943560e-01 
373 1188.21 7.84947777e+00 2.35484332e-01 
372 1189.82 7.84756708e+00 2.35427007e-01 
371 1191.43 8.02108479e+00 2.40632549e-01 
370 1193.04 7.87132168e+00 2.36139655e-01 
369 1194.64 7.86674786e+00 2.36002430e-01 
368 1196.24 7.63584661e+00 2.29075402e-01 
367 1197.85 7.71242809e+00 2.31372848e-01 
366 1199.45 7.67842150e+00 2.30352640e-01 
365 1201.05 7.71526051e+00 2.31457815e-01 
364 1202.64 7.58194828e+00 2.27458447e-01 
363 1204.24 7.65824127e+00 2.29747236e-01 
362 1205.83 7.65591908e+00 2.29677573e-01 
361 1207.43 7.50491238e+00 2.25147367e-01 
360 1209.02 7.55962944e+00 2.26788878e-01 
359 1210.61 7.67651415e+00 2.30295420e-01 
358 1212.19 7.69067144e+00 2.30720147e-01 
357 1213.78 7.84475899e+00 2.35342771e-01 
356 1215.37 7.64476728e+00 2.29343012e-01 
355 1216.95 7.77445602e+00 2.33233675e-01 
354 1218.53 7.71379995e+00 2.31414005e-01 
353 1220.11 7.82038164e+00 2.34611452e-01 
352 1221.69 7.81417513e+00 2.34425247e-01 
351 1223.27 7.77093315e+00 2.33127996e-01 
350 1224.84 7.84299374e+00 2.35289812e-01 
349 1226.42 7.77817345e+00 2.33345211e-01 
348 1227.99 7.80218458e+00 2.34065533e-01 
347 1229.56 7.99447250e+00 2.39834175e-01 
346 1231.13 7.84705639e+00 2.35411689e-01 
345 1232.70 7.99521208e+00 2.39856362e-01 
344 1234.27 7.97030449e+00 2.39109129e-01 
343 1235.84 7.86918259e+00 2.36075476e-01 
342 1237.40 7.87489939e+00 2.36246988e-01 
341 1238.96 7.85739422e+00 2.35721827e-01 
340 1240.52 7.69633532e+00 2.30890065e-01 
339 1242.08 7.82964277e+00 2.34889284e-01 
338 1243.64 7.81406546e+00 2.34421968e-01 
337 1245.20 7.88045311e+00 2.36413598e-01 
336 1246.75 7.78290558e+00 2.33487174e-01 
335 1248.31 7.89727926e+00 2.36918375e-01 
334 1249.86 7.77148914e+00 2.33144671e-01 
333 1251.41 7.81129360e+00 2.34338805e-01 
332 1252.96 7.70292044e+00 2.31087610e-01 
331 1254.51 7.79450035e+00 2.33835012e-01 
330 1256.06 7.70685673e+00 2.31205702e-01 
329 1257.61 7.68744469e+00 2.30623335e-01 
328 1259.15 7.55865049e+00 2.26759508e-01 
327 1260.69 7.49259758e+00 2.24777922e-01 
326 1262.23 7.38763905e+00 2.21629173e-01 
325 1263.77 7.34027290e+00 2.20208183e-01 
324 1265.31 7.25491524e+00 2.17647463e-01 
323 1266.85 7.07541990e+00 2.12262601e-01 
322 1268.39 7.29975986e+00 2.18992800e-01 
321 1269.92 7.40453625e+00 2.22136080e-01 
320 1271.46 7.52602148e+00 2.25780651e-01 
319 1272.99 7.57544518e+00 2.27263361e-01 
318 1274.52 7.59341764e+00 2.27802530e-01 
317 1276.05 7.60902834e+00 2.28270844e-01 
316 1277.58 7.46735239e+00 2.24020571e-01 
315 1279.10 7.34250164e+00 2.20275044e-01 
314 1280.63 7.34952879e+00 2.20485866e-01 
313 1282.15 7.25156450e+00 2.17546940e-01 
312 1283.68 7.45990515e+00 2.23797157e-01 
311 1285.20 7.61381388e+00 2.28414416e-01 
310 1286.72 7.51487827e+00 2.25446343e-01 
309 1288.24 7.56841373e+00 2.27052405e-01 
308 1289.75 7.44386911e+00 2.23316073e-01 
307 1291.27 7.50435019e+00 2.25130498e-01 
306 1292.78 7.47718096e+00 2.24315435e-01 
305 1294.30 7.47587585e+00 2.24276274e-01 
304 1295.81 7.33404112e+00 2.20021233e-01 
303 1297.32 7.35719776e+00 2.20715940e-01 
302 1298.83 7.31282139e+00 2.19384640e-01 
301 1300.34 7.24966145e+00 2.17489839e-01 
300 1301.85 7.23241663e+00 2.16972500e-01 
299 1303.35 7.13010883e+00 2.13903263e-01 
298 1304.86 7.01960468e+00 2.10588142e-01 
297 1306.36 7.09709597e+00 2.12912872e-01 
296 1307.86 7.03696346e+00 2.11108908e-01 
295 1309.36 6.87243938e+00 2.06173182e-01 
294 1310.86 6.88591433e+00 2.06577435e-01 
293 1312.36 6.72947025e+00 2.01884106e-01 
292 1313.86 6.74447441e+00 2.02334225e-01 
291 1315.36 6.76899385e+00 2.03069821e-01 
290 1316.85 6.69189787e+00 2.00756937e-01 
289 1318.34 6.63722277e+00 1.99116677e-01 
288 1319.84 6.52921438e+00 1.95876434e-01 
287 1321.33 6.65079737e+00 1.99523926e-01 
286 1322.82 6.56310701e+00 1.96893215e-01 
285 1324.30 6.50778055e+00 1.95233420e-01 
284 1325.79 6.33158398e+00 1.89947516e-01 
283 1327.28 6.16627789e+00 1.84988335e-01 
282 1328.76 5.90950203e+00 1.77285060e-01 
281 1330.25 5.93831539e+00 1.78149462e-01 
280 1331.73 5.74188709e+00 1.72256619e-01 
279 1333.21 5.83540535e+00 1.75062165e-01 
278 1334.69 5.76835966e+00 1.73050791e-01 
277 1336.17 5.65700436e+00 1.69710129e-01 
276 1337.65 5.69387817e+00 1.70816347e-01 
275 1339.12 5.56858873e+00 1.67057663e-01 
274 1340.60 5.31008530e+00 1.59302562e-01 
273 1342.07 5.19678640e+00 1.55903593e-01 
272 1343.55 4.86173534e+00 1.45852059e-01 
271 1345.02 4.28623343e+00 1.28587008e-01 
270 1346.49 3.87709379e+00 1.16312817e-01 
269 1347.96 3.52105260e+00 1.05631575e-01 
268 1349.43 3.10402203e+00 9.31206644e-02 
267 1350.89 2.58854723e+00 7.76564181e-02 
266 1352.36 2.01249933e+00 6.03749789e-02 
265 1353.82 1.68468666e+00 5.05406000e-02 
264 1355.29 1.28416169e+00 3.85248512e-02 
263 1356.75 8.02422702e-01 2.40726806e-02 
262 1358.21 5.04401565e-01 1.51320472e-02 
261 1359.67 2.68008232e-01 8.04024655e-03 
260 1361.13 3.25459987e-01 9.76379961e-03 
259 1362.59 2.90251017e-01 8.70753080e-03 
258 1364.04 4.42113340e-01 1.32634006e-02 
257 1365.50 3.54552180e-01 1.06365653e-02 
256 1366.95 3.79136264e-01 1.13740880e-02 
255 1368.41 1.94609761e-01 5.83829265e-03 
254 1369.86 3.76533300e-01 1.12959994e-02 
253 1371.31 5.64684689e-01 1.69405416e-02 
252 1372.76 7.65291572e-01 2.29587480e-02 
251 1374.21 1.40866303e+00 4.22598906e-02 
250 1375.65 1.61383891e+00 4.84151691e-02 
249 1377.10 1.40188396e+00 4.20565195e-02 
248 1378.55 9.82908785e-01 2.94872634e-02 
247 1379.99 4.26214337e-01 1.27864303e-02 
246 1381.43 2.61837125e-01 7.85511360e-03 
245 1382.87 2.60519177e-01 7.81557523e-03 
244 1384.32 4.11327988e-01 1.23398397e-02 
243 1385.75 6.84160173e-01 2.05248054e-02 
242 1387.19 1.13053763e+00 3.39161307e-02 
241 1388.63 1.09341228e+00 3.28023694e-02 
240 1390.07 1.23035097e+00 3.69105302e-02 
239 1391.50 1.23885632e+00 3.71656902e-02 
238 1392.94 4.74085361e-01 1.42225605e-02 
237 1394.37 9.60480809e-01 2.88144238e-02 
236 1395.80 1.19353056e+00 3.58059183e-02 
235 1397.23 1.21300399e+00 3.63901183e-02 
234 1398.66 1.76044488e+00 5.28133474e-02 
233 1400.09 1.40434372e+00 4.21303101e-02 
232 1401.52 1.06600559e+00 3.19801681e-02 
231 1402.94 1.53113139e+00 4.59339432e-02 
230 1404.37 1.72364402e+00 5.17093204e-02 
229 1405.79 1.50259924e+00 4.50779758e-02 
228 1407.22 1.70519841e+00 5.11559509e-02 
227 1408.64 1.62395740e+00 4.87187207e-02 
226 1410.06 1.85167181e+00 5.55501543e-02 
225 1411.48 1.76375055e+00 5.29125184e-02 
224 1412.90 1.96826231e+00 5.90478703e-02 
223 1414.32 2.15024328e+00 6.45072982e-02 
222 1415.73 2.07271719e+00 6.21815175e-02 
221 1417.15 2.16623735e+00 6.49871230e-02 
220 1418.56 2.28640628e+00 6.85921907e-02 
219 1419.98 2.24806929e+00 6.74420819e-02 
218 1421.39 2.44976044e+00 7.34928101e-02 
217 1422.80 2.66612434e+00 7.99837336e-02 
216 1424.21 2.65596390e+00 7.96789154e-02 
215 1425.62 2.61775708e+00 7.85327107e-02 
214 1427.03 2.70293450e+00 8.10880363e-02 
213 1428.44 2.47946501e+00 7.43839517e-02 
212 1429.84 2.40366173e+00 7.21098483e-02 
211 1431.25 2.53470397e+00 7.60411173e-02 
210 1432.65 2.54647851e+00 7.63943568e-02 
209 1434.06 2.59155703e+00 7.77467117e-02 
208 1435.46 2.75139093e+00 8.25417265e-02 
207 1436.86 2.77728391e+00 8.33185166e-02 
206 1438.26 2.82833672e+00 8.48501027e-02 
205 1439.66 2.93730545e+00 8.81191641e-02 
204 1441.05 3.08998895e+00 9.26996693e-02 
203 1442.45 2.96735239e+00 8.90205726e-02 
202 1443.85 3.01946568e+00 9.05839726e-02 
201 1445.24 3.07793522e+00 9.23380554e-02 
200 1446.64 3.01347637e+00 9.04042944e-02 
199 1448.03 3.00216103e+00 9.00648311e-02 
198 1449.42 3.00613284e+00 9.01839882e-02 
197 1450.81 3.11078930e+00 9.33236778e-02 
196 1452.20 3.18460584e+00 9.55381766e-02 
195 1453.59 3.55793238e+00 1.06737971e-01 
194 1454.97 3.70639443e+00 1.11191832e-01 
193 1456.36 3.77502012e+00 1.13250606e-01 
192 1457.75 3.81292653e+00 1.14387795e-01 
191 1459.13 3.73309445e+00 1.11992836e-01 
190 1460.51 3.66062546e+00 1.09818764e-01 
189 1461.90 3.39571810e+00 1.01871543e-01 
188 1463.28 3.39480615e+00 1.01844184e-01 
187 1464.66 3.28654099e+00 9.85962301e-02 
186 1466.04 3.29595780e+00 9.88787338e-02 
185 1467.41 3.16323304e+00 9.48969945e-02 
184 1468.79 3.07553959e+00 9.22661871e-02 
183 1470.17 3.04178357e+00 9.12535042e-02 
182 1471.54 3.03105116e+00 9.09315348e-02 
181 1472.92 3.23429537e+00 9.70288590e-02 
180 1474.29 3.32592916e+00 9.97778773e-02 
179 1475.66 3.33070850e+00 9.99212563e-02 
178 1477.03 3.22513938e+00 9.67541784e-02 
177 1478.40 3.26137972e+00 9.78413895e-02 
176 1479.77 3.32853580e+00 9.98560712e-02 
175 1481.14 3.36297798e+00 1.00889340e-01 
174 1482.51 3.51080060e+00 1.05324015e-01 
173 1483.87 3.48768353e+00 1.04630508e-01 
172 1485.24 3.44779587e+00 1.03433877e-01 
171 1486.60 3.40727043e+00 1.02218114e-01 
170 1487.96 3.52757716e+00 1.05827317e-01 
169 1489.32 3.52446389e+00 1.05733916e-01 
168 1490.68 3.70624638e+00 1.11187391e-01 
167 1492.04 3.72858596e+00 1.11857578e-01 
166 1493.40 3.70962787e+00 1.11288838e-01 
165 1494.76 3.73802900e+00 1.12140872e-01 
164 1496.12 3.74636078e+00 1.12390824e-01 
163 1497.47 3.68361068e+00 1.10508323e-01 
162 1498.83 3.86823654e+00 1.16047099e-01 
161 1500.18 3.62227654e+00 1.08668298e-01 
160 1501.53 3.63099360e+00 1.08929805e-01 
159 1502.89 3.46891713e+00 1.04067512e-01 
158 1504.24 3.44221568e+00 1.03266470e-01 
157 1505.59 3.64048481e+00 1.09214544e-01 
156 1506.93 3.70665169e+00 1.11199550e-01 
155 1508.28 3.76796865e+00 1.13039061e-01 
154 1509.63 3.77239966e+00 1.13171987e-01 
153 1510.97 3.77619171e+00 1.13285750e-01 
152 1512.32 3.85935569e+00 1.15780674e-01 
151 1513.66 3.73263741e+00 1.11979119e-01 
150 1515.00 3.83537650e+00 1.15061298e-01 
149 1516.34 3.83241320e+00 1.14972398e-01 
148 1517.69 3.76367831e+00 1.12910353e-01 
147 1519.02 3.73122883e+00 1.11936867e-01 
146 1520.36 3.68754959e+00 1.10626489e-01 
145 1521.70 3.68444037e+00 1.10533208e-01 
144 1523.04 3.67504597e+00 1.10251382e-01 
143 1524.37 3.66366649e+00 1.09909996e-01 
142 1525.71 3.68646216e+00 1.10593863e-01 
141 1527.04 3.66706634e+00 1.10011987e-01 
140 1528.37 3.65292883e+00 1.09587863e-01 
139 1529.70 3.52317834e+00 1.05695352e-01 
138 1531.03 3.65865731e+00 1.09759718e-01 
137 1532.36 3.56316710e+00 1.06895015e-01 
136 1533.69 3.60404921e+00 1.08121477e-01 
135 1535.02 3.54152608e+00 1.06245786e-01 
134 1536.34 3.52503824e+00 1.05751149e-01 
133 1537.67 3.51738334e+00 1.05521500e-01 
132 1538.99 3.54202843e+00 1.06260851e-01 
131 1540.31 3.47357416e+00 1.04207225e-01 
130 1541.64 3.41740131e+00 1.02522038e-01 
129 1542.96 3.51408577e+00 1.05422571e-01 
128 1544.28 3.46408391e+00 1.03922516e-01 
127 1545.60 3.43210840e+00 1.02963254e-01 
126 1546.91 3.47291207e+00 1.04187362e-01 
125 1548.23 3.38239741e+00 1.01471923e-01 
124 1549.55 3.46693516e+00 1.04008056e-01 
123 1550.86 3.36299467e+00 1.00889839e-01 
122 1552.18 3.36941195e+00 1.01082355e-01 
121 1553.49 3.38546443e+00 1.01563931e-01 
120 1554.80 3.37016106e+00 1.01104833e-01 
119 1556.11 3.30236602e+00 9.90709811e-02 
118 1557.42 3.32947350e+00 9.98842046e-02 
117 1558.73 3.28365922e+00 9.85097736e-02 
116 1560.04 3.30006361e+00 9.90019068e-02 
115 1561.34 3.21664333e+00 9.64993015e-02 
114 1562.65 3.25311852e+00 9.75935534e-02 
113 1563.95 3.21899557e+00 9.65698659e-02 
112 1565.26 3.27816105e+00 9.83448327e-02 
111 1566.56 3.05947399e+00 9.17842165e-02 
110 1567.86 3.14248443e+00 9.42745358e-02 
109 1569.16 3.08248043e+00 9.24744159e-02 
108 1570.46 2.98438835e+00 8.95316526e-02 
107 1571.76 2.97705460e+00 8.93116370e-02 
106 1573.05 2.86512470e+00 8.59537423e-02 
105 1574.35 2.85795784e+00 8.57387334e-02 
104 1575.64 2.80274320e+00 8.40822980e-02 
103 1576.94 2.85792494e+00 8.57377499e-02 
102 1578.23 2.91099024e+00 8.73297080e-02 
101 1579.52 2.90569258e+00 8.71707797e-02 
100 1580.81 2.93774176e+00 8.81322548e-02 
99 1582.10 2.88384676e+00 8.65154043e-02 
