% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\lebla\Research\MLO\2022_May\4STARB_20220510starsun.mat and recorded on 2022-05-10 10:44:07.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 1.67768860e+01 5.03306568e-01 
510 947.95 1.71563702e+01 5.14691114e-01 
509 949.84 1.75770588e+01 5.27311742e-01 
508 951.73 1.78960743e+01 5.36882222e-01 
507 953.62 1.81989326e+01 5.45967996e-01 
506 955.51 1.85577049e+01 5.56731164e-01 
505 957.40 1.90348263e+01 5.71044803e-01 
504 959.28 1.96721878e+01 5.90165615e-01 
503 961.16 2.03449879e+01 6.10349655e-01 
502 963.03 2.09309216e+01 6.27927661e-01 
501 964.90 2.16202431e+01 6.48607314e-01 
500 966.78 2.22896805e+01 6.68690443e-01 
499 968.64 2.30299454e+01 6.90898359e-01 
498 970.51 2.36103630e+01 7.08310902e-01 
497 972.37 2.39720879e+01 7.19162643e-01 
496 974.23 2.41029148e+01 7.23087430e-01 
495 976.09 2.43721466e+01 7.31164396e-01 
494 977.95 2.46610527e+01 7.39831567e-01 
493 979.80 2.50831203e+01 7.52493620e-01 
492 981.65 2.54633846e+01 7.63901532e-01 
491 983.50 2.58477554e+01 7.75432646e-01 
490 985.34 2.60793896e+01 7.82381713e-01 
489 987.18 2.62424183e+01 7.87272573e-01 
488 989.02 2.63687935e+01 7.91063786e-01 
487 990.86 2.65442677e+01 7.96328008e-01 
486 992.70 2.66274242e+01 7.98822701e-01 
485 994.53 2.68113098e+01 8.04339290e-01 
484 996.36 2.69137383e+01 8.07412148e-01 
483 998.19 2.70715828e+01 8.12147498e-01 
482 1000.01 2.71355057e+01 8.14065158e-01 
481 1001.83 2.70921593e+01 8.12764764e-01 
480 1003.65 2.69869423e+01 8.09608281e-01 
479 1005.47 2.70927868e+01 8.12783599e-01 
478 1007.29 2.72542610e+01 8.17627847e-01 
477 1009.10 2.76321964e+01 8.28965902e-01 
476 1010.91 2.78532486e+01 8.35597456e-01 
475 1012.72 2.79795494e+01 8.39386463e-01 
474 1014.53 2.80036011e+01 8.40108037e-01 
473 1016.33 2.81447849e+01 8.44343543e-01 
472 1018.13 2.81231117e+01 8.43693376e-01 
471 1019.93 2.82151890e+01 8.46455693e-01 
470 1021.73 2.81539249e+01 8.44617724e-01 
469 1023.52 2.80920238e+01 8.42760742e-01 
468 1025.31 2.79251137e+01 8.37753415e-01 
467 1027.10 2.78674088e+01 8.36022258e-01 
466 1028.89 2.75991440e+01 8.27974319e-01 
465 1030.67 2.74577789e+01 8.23733389e-01 
464 1032.45 2.71717396e+01 8.15152168e-01 
463 1034.23 2.69958496e+01 8.09875488e-01 
462 1036.01 2.67068100e+01 8.01204324e-01 
461 1037.79 2.66022701e+01 7.98068106e-01 
460 1039.56 2.63999386e+01 7.91998148e-01 
459 1041.33 2.63050423e+01 7.89151251e-01 
458 1043.10 2.60792656e+01 7.82377958e-01 
457 1044.87 2.58642998e+01 7.75928974e-01 
456 1046.63 2.56399174e+01 7.69197524e-01 
455 1048.39 2.55864220e+01 7.67592669e-01 
454 1050.15 2.55003090e+01 7.65009284e-01 
453 1051.91 2.54877167e+01 7.64631510e-01 
452 1053.67 2.54121056e+01 7.62363195e-01 
451 1055.42 2.53567047e+01 7.60701120e-01 
450 1057.17 2.51473598e+01 7.54420817e-01 
