% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from /data/sunsat/MLO/May_2022/data_processed/starsuns/4STARB_20220511starsun.mat and recorded on 2022-07-12 19:16:53.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
0 171.23 -1.00000000e+00 -1.00000000e+00 
1 172.04 2.21383460e-02 6.64150401e-04 
2 172.86 1.91758946e-02 5.75276848e-04 
3 173.67 2.42945794e-02 7.28837389e-04 
4 174.48 2.59080625e+00 7.77241886e-02 
5 175.29 2.73421431e+00 8.20264295e-02 
6 176.11 2.71086740e+00 8.13260227e-02 
7 176.92 2.68479943e+00 8.05439800e-02 
8 177.73 2.66652417e+00 7.99957216e-02 
9 178.54 2.64172912e+00 7.92518705e-02 
10 179.36 2.61845255e+00 7.85535797e-02 
11 180.17 2.58642673e+00 7.75928050e-02 
12 180.98 2.55637693e+00 7.66913071e-02 
13 181.79 2.53359175e+00 7.60077536e-02 
14 182.61 2.50687957e+00 7.52063841e-02 
15 183.42 2.49372435e+00 7.48117268e-02 
16 184.23 2.47169089e+00 7.41507262e-02 
17 185.04 2.44244289e+00 7.32732862e-02 
18 185.86 2.42669654e+00 7.28008971e-02 
19 186.67 2.40673971e+00 7.22021908e-02 
20 187.48 2.38755488e+00 7.16266483e-02 
21 188.29 2.37318301e+00 7.11954907e-02 
22 189.11 2.35190248e+00 7.05570728e-02 
23 189.92 2.33045530e+00 6.99136555e-02 
24 190.73 2.31417704e+00 6.94253147e-02 
25 191.54 2.29489827e+00 6.88469484e-02 
26 192.36 2.27221036e+00 6.81663081e-02 
27 193.17 2.25785232e+00 6.77355677e-02 
28 193.98 2.24868083e+00 6.74604252e-02 
29 194.79 2.23046875e+00 6.69140592e-02 
30 195.61 2.21209621e+00 6.63628876e-02 
31 196.42 2.19259071e+00 6.57777190e-02 
32 197.23 2.18095160e+00 6.54285476e-02 
33 198.04 2.16268158e+00 6.48804456e-02 
34 198.86 2.15173912e+00 6.45521730e-02 
35 199.67 2.13480258e+00 6.40440807e-02 
36 200.48 2.12357974e+00 6.37073889e-02 
37 201.29 2.11127996e+00 6.33383989e-02 
38 202.11 2.09965420e+00 6.29896224e-02 
39 202.92 2.09069657e+00 6.27208948e-02 
40 203.73 2.07724762e+00 6.23174272e-02 
41 204.54 2.06425142e+00 6.19275421e-02 
42 205.36 2.06300974e+00 6.18902929e-02 
43 206.17 2.04445601e+00 6.13336787e-02 
44 206.98 2.03456354e+00 6.10369071e-02 
45 207.79 2.03644276e+00 6.10932820e-02 
46 208.61 2.04052925e+00 6.12158775e-02 
47 209.42 2.06301761e+00 6.18905276e-02 
48 210.23 2.10243726e+00 6.30731210e-02 
49 211.04 2.18665171e+00 6.55995533e-02 
50 211.86 2.31390548e+00 6.94171637e-02 
51 212.67 2.51098299e+00 7.53294900e-02 
52 213.48 2.79189873e+00 8.37569609e-02 
53 214.29 3.12022495e+00 9.36067477e-02 
54 215.11 3.48905182e+00 1.04671553e-01 
55 215.92 3.87557626e+00 1.16267286e-01 
56 216.73 4.28037453e+00 1.28411233e-01 
57 217.54 4.70441771e+00 1.41132534e-01 
58 218.35 5.18172359e+00 1.55451715e-01 
59 219.17 5.70362663e+00 1.71108797e-01 
60 219.98 6.30453062e+00 1.89135924e-01 
61 220.79 6.93675661e+00 2.08102703e-01 
62 221.60 7.16311216e+00 2.14893371e-01 
63 222.42 6.99144268e+00 2.09743276e-01 
64 223.23 6.75409269e+00 2.02622786e-01 
65 224.04 6.30451870e+00 1.89135566e-01 
66 224.85 5.17005491e+00 1.55101642e-01 
67 225.67 3.28440690e+00 9.85322073e-02 
68 226.48 3.01444721e+00 9.04334188e-02 
69 227.29 3.12020111e+00 9.36060324e-02 
70 228.10 3.24536228e+00 9.73608717e-02 
71 228.91 3.37120748e+00 1.01136222e-01 
72 229.73 3.52758145e+00 1.05827443e-01 
73 230.54 3.68937874e+00 1.10681362e-01 
74 231.35 3.80790091e+00 1.14237025e-01 
75 232.16 3.89986849e+00 1.16996057e-01 
76 232.97 3.60061646e+00 1.08018495e-01 
77 233.79 3.44544458e+00 1.03363335e-01 
78 234.60 3.46146393e+00 1.03843920e-01 
79 235.41 3.38745022e+00 1.01623505e-01 
80 236.22 3.47244096e+00 1.04173228e-01 
81 237.04 3.39759636e+00 1.01927891e-01 
82 237.85 3.30428791e+00 9.91286337e-02 
83 238.66 3.33216047e+00 9.99648124e-02 
84 239.47 3.33162665e+00 9.99488011e-02 
85 240.28 3.39275265e+00 1.01782583e-01 
86 241.10 3.04370427e+00 9.13111269e-02 
87 241.91 3.12266588e+00 9.36799794e-02 
88 242.72 3.11300850e+00 9.33902562e-02 
89 243.53 3.14835811e+00 9.44507420e-02 
90 244.34 3.40738297e+00 1.02221489e-01 
91 245.16 3.15829420e+00 9.47488248e-02 
92 245.97 3.45536876e+00 1.03661060e-01 
93 246.78 3.20250320e+00 9.60750952e-02 
94 247.59 4.07592583e+00 1.22277774e-01 
95 248.40 1.36785126e+02 4.10355377e+00 
96 249.22 -1.00000000e+00 -1.00000000e+00 
97 250.03 -1.00000000e+00 -1.00000000e+00 
98 250.84 -1.00000000e+00 -1.00000000e+00 
99 251.65 -1.00000000e+00 -1.00000000e+00 
100 252.46 -1.00000000e+00 -1.00000000e+00 
101 253.27 -1.00000000e+00 -1.00000000e+00 
102 254.09 -1.00000000e+00 -1.00000000e+00 
103 254.90 -1.00000000e+00 -1.00000000e+00 
104 255.71 -1.00000000e+00 -1.00000000e+00 
105 256.52 -1.00000000e+00 -1.00000000e+00 
106 257.33 -1.00000000e+00 -1.00000000e+00 
107 258.15 -1.00000000e+00 -1.00000000e+00 
108 258.96 -1.00000000e+00 -1.00000000e+00 
109 259.77 -1.00000000e+00 -1.00000000e+00 
110 260.58 4.77136791e-01 1.43141039e-02 
111 261.39 2.11877751e+00 6.35633245e-02 
112 262.20 4.27045822e+00 1.28113747e-01 
113 263.02 3.09756160e+00 9.29268450e-02 
114 263.83 2.77424359e+00 8.32273066e-02 
115 264.64 3.21552825e+00 9.64658484e-02 
116 265.45 3.07901859e+00 9.23705548e-02 
117 266.26 3.07137012e+00 9.21411067e-02 
118 267.07 3.08736920e+00 9.26210731e-02 
119 267.89 3.27095342e+00 9.81286019e-02 
120 268.70 3.21555281e+00 9.64665860e-02 
121 269.51 3.29819250e+00 9.89457741e-02 
122 270.32 3.37553120e+00 1.01265937e-01 
123 271.13 3.34318662e+00 1.00295596e-01 
124 271.94 3.49722004e+00 1.04916602e-01 
125 272.75 3.47003102e+00 1.04100928e-01 
126 273.57 3.51503515e+00 1.05451055e-01 
127 274.38 3.49449968e+00 1.04834989e-01 
128 275.19 3.63421750e+00 1.09026521e-01 
129 276.00 3.98381662e+00 1.19514495e-01 
130 276.81 3.90910316e+00 1.17273092e-01 
131 277.62 3.74846458e+00 1.12453938e-01 
132 278.43 3.57060695e+00 1.07118212e-01 
133 279.25 3.42734122e+00 1.02820240e-01 
134 280.06 3.30076027e+00 9.90228057e-02 
135 280.87 3.16445661e+00 9.49336961e-02 
136 281.68 3.38210487e+00 1.01463147e-01 
137 282.49 5.53995609e+00 1.66198686e-01 
138 283.30 7.00289345e+00 2.10086808e-01 
139 284.11 7.66855669e+00 2.30056703e-01 
140 284.93 8.07884312e+00 2.42365301e-01 
141 285.74 8.16495800e+00 2.44948745e-01 
142 286.55 7.34325361e+00 2.20297605e-01 
143 287.36 6.47753191e+00 1.94325954e-01 
144 288.17 5.77710342e+00 1.73313096e-01 
145 288.98 5.19475651e+00 1.55842692e-01 
146 289.79 4.73639774e+00 1.42091930e-01 
147 290.60 4.34116793e+00 1.30235031e-01 
148 291.42 3.99657965e+00 1.19897388e-01 
149 292.23 3.71970868e+00 1.11591257e-01 
150 293.04 3.48630095e+00 1.04589030e-01 
151 293.85 3.29930305e+00 9.89790931e-02 
152 294.66 3.14163065e+00 9.42489207e-02 
153 295.47 3.01814938e+00 9.05444846e-02 
154 296.28 2.92022872e+00 8.76068622e-02 
155 297.09 2.87231565e+00 8.61694664e-02 
156 297.90 2.86027050e+00 8.58081132e-02 
157 298.71 2.88006997e+00 8.64020959e-02 
158 299.53 2.95429659e+00 8.86288956e-02 
159 300.34 3.10993147e+00 9.32979435e-02 
160 301.15 3.38533497e+00 1.01560049e-01 
161 301.96 3.90087652e+00 1.17026299e-01 
162 302.77 4.72687197e+00 1.41806155e-01 
163 303.58 5.70282841e+00 1.71084851e-01 
164 304.39 6.90012169e+00 2.07003653e-01 
165 305.20 8.20308304e+00 2.46092498e-01 
166 306.01 9.90128708e+00 2.97038615e-01 
167 306.82 1.25212555e+01 3.75637650e-01 
168 307.63 1.53295097e+01 4.59885299e-01 
169 308.44 1.71832085e+01 5.15496254e-01 
170 309.26 1.96076946e+01 5.88230848e-01 
171 310.07 2.56392689e+01 7.69178092e-01 
172 310.88 3.30072327e+01 9.90216970e-01 
173 311.69 3.76381760e+01 1.12914526e+00 
174 312.50 4.16567841e+01 1.24970353e+00 
175 313.31 4.63223343e+01 1.38967001e+00 
176 314.12 4.97658997e+01 1.49297702e+00 
177 314.93 5.13471718e+01 1.54041517e+00 
178 315.74 5.42212029e+01 1.62663603e+00 
179 316.55 6.23013916e+01 1.86904180e+00 
180 317.36 6.81002655e+01 2.04300785e+00 
181 318.17 6.93120880e+01 2.07936263e+00 
182 318.98 7.36351395e+01 2.20905423e+00 
183 319.79 8.08088913e+01 2.42426682e+00 
184 320.60 8.34886932e+01 2.50466084e+00 
185 321.41 8.20194321e+01 2.46058297e+00 
186 322.22 8.08195648e+01 2.42458701e+00 
187 323.04 8.28896332e+01 2.48668909e+00 
188 323.85 9.12484589e+01 2.73745370e+00 
189 324.66 1.02961639e+02 3.08884907e+00 
190 325.47 1.17069107e+02 3.51207328e+00 
191 326.28 1.27204628e+02 3.81613874e+00 
192 327.09 1.29079178e+02 3.87237525e+00 
193 327.90 1.29576523e+02 3.88729572e+00 
194 328.71 1.37100906e+02 4.11302710e+00 
195 329.52 1.46327255e+02 4.38981771e+00 
196 330.33 1.45481598e+02 4.36444807e+00 
197 331.14 1.42211029e+02 4.26633072e+00 
198 331.95 1.42021286e+02 4.26063871e+00 
199 332.76 1.41443588e+02 4.24330759e+00 
200 333.57 1.42784851e+02 4.28354549e+00 
201 334.38 1.46689758e+02 4.40069294e+00 
202 335.19 1.44923676e+02 4.34771013e+00 
203 336.00 1.36490829e+02 4.09472466e+00 
204 336.81 1.34799896e+02 4.04399681e+00 
205 337.62 1.42522568e+02 4.27567720e+00 
206 338.43 1.51690887e+02 4.55072641e+00 
207 339.24 1.60100067e+02 4.80300188e+00 
208 340.05 1.64806351e+02 4.94419050e+00 
209 340.86 1.62781158e+02 4.88343477e+00 
210 341.67 1.63895157e+02 4.91685486e+00 
211 342.48 1.67355621e+02 5.02066851e+00 
212 343.29 1.60265656e+02 4.80796957e+00 
213 344.10 1.50811951e+02 4.52435875e+00 
214 344.91 1.55414597e+02 4.66243792e+00 
215 345.72 1.62274323e+02 4.86822987e+00 
216 346.53 1.64053406e+02 4.92160225e+00 
217 347.34 1.63330780e+02 4.89992332e+00 
218 348.15 1.62632355e+02 4.87897062e+00 
219 348.96 1.65152328e+02 4.95456982e+00 
220 349.77 1.75249664e+02 5.25749016e+00 
221 350.58 1.83209259e+02 5.49627781e+00 
222 351.39 1.80127594e+02 5.40382767e+00 
223 352.19 1.76688934e+02 5.30066824e+00 
224 353.00 1.84715317e+02 5.54145956e+00 
225 353.81 1.98413513e+02 5.95240545e+00 
226 354.62 2.02736633e+02 6.08209896e+00 
227 355.43 1.95055832e+02 5.85167503e+00 
228 356.24 1.78922043e+02 5.36766148e+00 
229 357.05 1.62543518e+02 4.87630558e+00 
230 357.86 1.53129120e+02 4.59387350e+00 
231 358.67 1.63070480e+02 4.89211464e+00 
232 359.48 1.86671356e+02 5.60014057e+00 
233 360.29 1.90360199e+02 5.71080589e+00 
234 361.10 1.83080185e+02 5.49240541e+00 
235 361.91 1.88468918e+02 5.65406752e+00 
236 362.72 1.97943665e+02 5.93831015e+00 
237 363.53 2.02755188e+02 6.08265543e+00 
238 364.34 2.09489502e+02 6.28468513e+00 
239 365.14 2.25321365e+02 6.75964117e+00 
240 365.95 2.41495941e+02 7.24487829e+00 
241 366.76 2.43645706e+02 7.30937099e+00 
242 367.57 2.38209778e+02 7.14629316e+00 
243 368.38 2.38173767e+02 7.14521313e+00 
244 369.19 2.47266937e+02 7.41800833e+00 
245 370.00 2.50111267e+02 7.50333786e+00 
246 370.81 2.46934082e+02 7.40802240e+00 
247 371.62 2.41585663e+02 7.24757004e+00 
248 372.43 2.28988434e+02 6.86965322e+00 
249 373.24 2.15890137e+02 6.47670412e+00 
250 374.04 2.12747086e+02 6.38241243e+00 
251 374.85 2.25754990e+02 6.77264977e+00 
252 375.66 2.45995178e+02 7.37985516e+00 
253 376.47 2.67263336e+02 8.01790047e+00 
254 377.28 2.93850922e+02 8.81552792e+00 
255 378.09 3.05190674e+02 9.15571976e+00 
256 378.90 2.91795441e+02 8.75386333e+00 
257 379.71 2.84758057e+02 8.54274178e+00 
258 380.51 2.86751648e+02 8.60254955e+00 
259 381.32 2.66410461e+02 7.99231386e+00 
260 382.13 2.29323334e+02 6.87970018e+00 
261 382.94 2.08679550e+02 6.26038647e+00 
262 383.75 2.23359589e+02 6.70078754e+00 
263 384.56 2.53734207e+02 7.61202621e+00 
264 385.37 2.68994843e+02 8.06984520e+00 
265 386.17 2.73089722e+02 8.19269180e+00 
266 386.98 2.76304321e+02 8.28912926e+00 
267 387.79 2.80835938e+02 8.42507839e+00 
268 388.60 2.97788208e+02 8.93364620e+00 
269 389.41 3.26428314e+02 9.79284954e+00 
270 390.22 3.51557861e+02 1.05467358e+01 
271 391.02 3.58848816e+02 1.07654648e+01 
272 391.83 3.27064636e+02 9.81193924e+00 
273 392.64 2.68513885e+02 8.05541611e+00 
274 393.45 2.50503708e+02 7.51511145e+00 
275 394.26 2.96546356e+02 8.89639091e+00 
276 395.07 3.36866577e+02 1.01059971e+01 
277 395.87 3.19529633e+02 9.58588886e+00 
278 396.68 3.01079987e+02 9.03239918e+00 
279 397.49 3.50643768e+02 1.05193129e+01 
280 398.30 4.32884216e+02 1.29865265e+01 
281 399.11 4.88842072e+02 1.46652622e+01 
282 399.91 5.16640076e+02 1.54992027e+01 
283 400.72 5.35380432e+02 1.60614128e+01 
284 401.53 5.49847961e+02 1.64954395e+01 
285 402.34 5.53988770e+02 1.66196632e+01 
286 403.15 5.50619873e+02 1.65185966e+01 
287 403.95 5.46905212e+02 1.64071560e+01 
288 404.76 5.43526001e+02 1.63057804e+01 
289 405.57 5.39956787e+02 1.61987038e+01 
290 406.38 5.40052307e+02 1.62015686e+01 
291 407.18 5.50956055e+02 1.65286808e+01 
292 407.99 5.70379028e+02 1.71113701e+01 
293 408.80 5.78588745e+02 1.73576622e+01 
294 409.61 5.71792053e+02 1.71537609e+01 
295 410.41 5.78156555e+02 1.73446960e+01 
296 411.22 6.02563232e+02 1.80768967e+01 
297 412.03 6.19889709e+02 1.85966911e+01 
298 412.84 6.24494812e+02 1.87348442e+01 
299 413.64 6.26875671e+02 1.88062706e+01 
300 414.45 6.31014038e+02 1.89304218e+01 
301 415.26 6.37724121e+02 1.91317234e+01 
302 416.07 6.42868652e+02 1.92860603e+01 
303 416.87 6.39590637e+02 1.91877193e+01 
304 417.68 6.34260559e+02 1.90278168e+01 
305 418.49 6.34619019e+02 1.90385704e+01 
306 419.30 6.41013062e+02 1.92303925e+01 
307 420.10 6.54516785e+02 1.96355038e+01 
308 420.91 6.66836487e+02 2.00050945e+01 
