% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\lebla\Research\MLO\2022_May\4STARB_20220514starsun.mat and recorded on 2022-05-14 12:55:27.
% C0 built to match AOD from 4STARB to AERONET spline fit for Mauna_Loa within 200 m [Alt] and 360 seconds, measured on 20220514.
Pix Wavelength C0 C0err
511 946.05 1.57164974e+01 1.18289793e+00 
510 947.95 1.60974083e+01 1.19273198e+00 
509 949.84 1.65353527e+01 1.16479671e+00 
508 951.73 1.68992214e+01 1.12389278e+00 
507 953.62 1.72673225e+01 1.08904302e+00 
506 955.51 1.76895638e+01 1.04847956e+00 
505 957.40 1.82012768e+01 1.02353787e+00 
504 959.28 1.88472462e+01 9.84992504e-01 
503 961.16 1.95301514e+01 9.26510572e-01 
502 963.03 2.01449528e+01 8.51629853e-01 
501 964.90 2.08504467e+01 7.66851664e-01 
500 966.78 2.15881310e+01 6.59785986e-01 
499 968.64 2.24336014e+01 5.46700239e-01 
498 970.51 2.30640049e+01 4.67926264e-01 
497 972.37 2.34136734e+01 4.71210897e-01 
496 974.23 2.35297260e+01 5.00888467e-01 
495 976.09 2.38217983e+01 5.05707741e-01 
494 977.95 2.41796074e+01 4.69039679e-01 
493 979.80 2.46579590e+01 3.92909020e-01 
492 981.65 2.50761547e+01 3.24161172e-01 
491 983.50 2.55309734e+01 2.51479656e-01 
490 985.34 2.58363304e+01 1.92739397e-01 
489 987.18 2.60490570e+01 1.50944427e-01 
488 989.02 2.61816673e+01 1.21592931e-01 
487 990.86 2.63601780e+01 1.11803927e-01 
486 992.70 2.64740372e+01 1.06096178e-01 
485 994.53 2.66705036e+01 9.95436460e-02 
484 996.36 2.67624340e+01 9.21860710e-02 
483 998.19 2.69019089e+01 8.93499777e-02 
482 1000.01 2.69715672e+01 8.17711428e-02 
481 1001.83 2.69659061e+01 7.91993365e-02 
480 1003.65 2.68752193e+01 7.88840503e-02 
479 1005.47 2.69647694e+01 7.07288086e-02 
478 1007.29 2.71026402e+01 6.96972087e-02 
477 1009.10 2.74772911e+01 7.69356415e-02 
476 1010.91 2.77066021e+01 9.43585485e-02 
475 1012.72 2.78313274e+01 1.06040440e-01 
474 1014.53 2.78236694e+01 9.98357460e-02 
473 1016.33 2.79415550e+01 9.65400636e-02 
472 1018.13 2.79257488e+01 8.99004862e-02 
471 1019.93 2.80294170e+01 1.01594515e-01 
470 1021.73 2.79664593e+01 1.09013379e-01 
469 1023.52 2.79177895e+01 9.67292339e-02 
468 1025.31 2.77937450e+01 7.88858086e-02 
467 1027.10 2.77825508e+01 5.45013621e-02 
466 1028.89 2.75579720e+01 4.50255945e-02 
465 1030.67 2.74197178e+01 4.70023975e-02 
464 1032.45 2.71081181e+01 4.25889120e-02 
463 1034.23 2.69205952e+01 3.59624773e-02 
462 1036.01 2.66591759e+01 4.19518910e-02 
461 1037.79 2.65806217e+01 4.58375067e-02 
460 1039.56 2.63927555e+01 4.48438562e-02 
459 1041.33 2.62838459e+01 4.96368147e-02 
458 1043.10 2.60345325e+01 4.23069149e-02 
457 1044.87 2.58201046e+01 3.75970379e-02 
456 1046.63 2.56116085e+01 3.62296849e-02 
455 1048.39 2.55825367e+01 5.36686368e-02 
454 1050.15 2.54857273e+01 6.51603490e-02 
453 1051.91 2.54481754e+01 6.30425736e-02 
452 1053.67 2.53435059e+01 5.23854382e-02 
451 1055.42 2.52691803e+01 4.85059172e-02 
