% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from (SEE Original files for sources) and recorded on 2022-07-14 21:19:48.
% Langley at MLO outside 1.8x the STD of 501 nm Langley residuals were screened out. 
% Including only the good days at MLO
% Averages of c0 from multiple days including: , MLO -pm- g, MLO -go-od, MLO -go-od, MLO -go-od, MLO -go-od, MLO -go-od, MLO -go-od. See the list of files below
% 20220508_NIR_C0_4STARB_refined_ground_langley_pmMLO_May2022_Day2.dat
% 20220509_NIR_C0_4STARB_refined_ground_langley_amMLO_May2022_Day3.dat
% 20220510_NIR_C0_4STARB_refined_ground_langley_amMLO_May2022_Day4.dat
% 20220511_NIR_C0_4STARB_refined_ground_langley_amMLO_May2022_Day5.dat
% 20220512_NIR_C0_4STARB_refined_ground_langley_amMLO_May2022_Day6.dat
% 20220513_NIR_C0_4STARB_refined_ground_langley_amMLO_May2022_Day7.dat
% 20220514_NIR_C0_4STARB_refined_ground_langley_amMLO_May2022_Day8.dat
Pix Wavelength C0 C0err
511 946.05 1.76025227e+01 9.01233687e-01 
510 947.95 1.79760696e+01 9.16448718e-01 
509 949.84 1.83758071e+01 8.86298254e-01 
508 951.73 1.86704134e+01 8.39873697e-01 
507 953.62 1.89655795e+01 8.04489622e-01 
506 955.51 1.93016957e+01 7.91238624e-01 
505 957.40 1.97563623e+01 7.73767217e-01 
504 959.28 2.03446484e+01 7.40693811e-01 
503 961.16 2.09531163e+01 6.82161054e-01 
502 963.03 2.14655184e+01 6.20631766e-01 
501 964.90 2.20658177e+01 5.39954834e-01 
500 966.78 2.26451476e+01 4.43179401e-01 
499 968.64 2.33118270e+01 3.40548667e-01 
498 970.51 2.38225656e+01 2.74421145e-01 
497 972.37 2.41723180e+01 2.62779601e-01 
496 974.23 2.43322449e+01 2.84459762e-01 
495 976.09 2.46223025e+01 2.85931083e-01 
494 977.95 2.49040143e+01 2.63573306e-01 
493 979.80 2.52784386e+01 2.14545111e-01 
492 981.65 2.55992388e+01 1.64800002e-01 
491 983.50 2.59565729e+01 1.15266525e-01 
490 985.34 2.61583448e+01 9.43370043e-02 
489 987.18 2.63014423e+01 7.93282130e-02 
488 989.02 2.63909651e+01 8.44137474e-02 
487 990.86 2.65458867e+01 6.94662042e-02 
486 992.70 2.66327000e+01 7.13238142e-02 
485 994.53 2.68095038e+01 8.09493788e-02 
484 996.36 2.68919190e+01 8.93824073e-02 
483 998.19 2.70404878e+01 9.00559781e-02 
482 1000.01 2.71111780e+01 8.50309284e-02 
481 1001.83 2.70934001e+01 8.29518947e-02 
480 1003.65 2.69870448e+01 9.60401662e-02 
479 1005.47 2.70727806e+01 1.00111789e-01 
478 1007.29 2.72198677e+01 8.83662169e-02 
477 1009.10 2.76038265e+01 7.42678818e-02 
476 1010.91 2.78393906e+01 8.03346052e-02 
475 1012.72 2.79599835e+01 9.60919215e-02 
474 1014.53 2.79541460e+01 1.08208038e-01 
473 1016.33 2.80719683e+01 1.05339162e-01 
472 1018.13 2.80478772e+01 1.02116165e-01 
471 1019.93 2.81461340e+01 1.03266784e-01 
470 1021.73 2.80874242e+01 1.10652277e-01 
469 1023.52 2.80288484e+01 1.08542632e-01 
468 1025.31 2.78867359e+01 9.51948313e-02 
