% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/MLO/May_2022/data_processed/starsuns/4STARB_20220515starsun.mat and recorded on 2022-05-16 00:14:08.
% Data outside 1.8x the STD of 501 nm Langley residuals were screened out. For instrument:4STARB
Pix Wavelength C0 C0err
511 946.05 1.70039368e+01 5.10118127e-01 
510 947.95 1.73740845e+01 5.21222532e-01 
509 949.84 1.77686367e+01 5.33059120e-01 
508 951.73 1.80760689e+01 5.42282045e-01 
507 953.62 1.83638439e+01 5.50915301e-01 
506 955.51 1.87179089e+01 5.61537266e-01 
505 957.40 1.91891594e+01 5.75674772e-01 
504 959.28 1.98024521e+01 5.94073534e-01 
503 961.16 2.04752350e+01 6.14257038e-01 
502 963.03 2.10483723e+01 6.31451190e-01 
501 964.90 2.17004700e+01 6.51014090e-01 
500 966.78 2.23361015e+01 6.70083046e-01 
499 968.64 2.30715370e+01 6.92146122e-01 
498 970.51 2.36169319e+01 7.08507955e-01 
497 972.37 2.39745178e+01 7.19235539e-01 
496 974.23 2.41265793e+01 7.23797381e-01 
495 976.09 2.44126053e+01 7.32378185e-01 
494 977.95 2.47067814e+01 7.41203427e-01 
493 979.80 2.51015053e+01 7.53045142e-01 
492 981.65 2.54344902e+01 7.63034701e-01 
491 983.50 2.58073845e+01 7.74221539e-01 
490 985.34 2.60202141e+01 7.80606449e-01 
489 987.18 2.61710014e+01 7.85130024e-01 
488 989.02 2.62758141e+01 7.88274407e-01 
487 990.86 2.64684010e+01 7.94052005e-01 
486 992.70 2.65950851e+01 7.97852576e-01 
485 994.53 2.67934685e+01 8.03804040e-01 
484 996.36 2.68729076e+01 8.06187212e-01 
483 998.19 2.70218391e+01 8.10655177e-01 
482 1000.01 2.70715828e+01 8.12147498e-01 
481 1001.83 2.70480671e+01 8.11442018e-01 
480 1003.65 2.69239502e+01 8.07718515e-01 
479 1005.47 2.70031433e+01 8.10094297e-01 
478 1007.29 2.71439037e+01 8.14317107e-01 
477 1009.10 2.75542526e+01 8.26627553e-01 
476 1010.91 2.78352852e+01 8.35058570e-01 
475 1012.72 2.79965096e+01 8.39895308e-01 
474 1014.53 2.79973450e+01 8.39920342e-01 
473 1016.33 2.81296101e+01 8.43888283e-01 
472 1018.13 2.81348686e+01 8.44046056e-01 
471 1019.93 2.82790070e+01 8.48370194e-01 
470 1021.73 2.82092018e+01 8.46276045e-01 
469 1023.52 2.80880394e+01 8.42641175e-01 
468 1025.31 2.78667660e+01 8.36003006e-01 
467 1027.10 2.77750053e+01 8.33250165e-01 
466 1028.89 2.75058117e+01 8.25174332e-01 
465 1030.67 2.73651009e+01 8.20953012e-01 
464 1032.45 2.70688457e+01 8.12065363e-01 
463 1034.23 2.68643799e+01 8.05931389e-01 
462 1036.01 2.65732193e+01 7.97196567e-01 
461 1037.79 2.64779949e+01 7.94339836e-01 
460 1039.56 2.62813263e+01 7.88439810e-01 
459 1041.33 2.61631107e+01 7.84893334e-01 
458 1043.10 2.59175720e+01 7.77527153e-01 
457 1044.87 2.57071495e+01 7.71214485e-01 
456 1046.63 2.55177841e+01 7.65533507e-01 
