% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from /data/sunsat/MLO/May_2022/data_processed/starsuns/4STAR_20220515starsun.mat and recorded on 2022-05-15 12:27:18.
% C0 built to match AOD from 4STAR to AERONET spline fit for Mauna_Loa within 200 m [Alt] and 360 seconds, measured on 20220515.
Pix Wavelength C0 C0err
511 949.79 3.88332057e+00 2.51724601e-01 
510 949.79 4.03381062e+00 2.42893204e-01 
509 951.68 4.42588043e+00 2.52277225e-01 
508 953.57 4.50922346e+00 2.40158856e-01 
507 955.46 5.01406717e+00 2.54676998e-01 
506 957.34 5.13338137e+00 2.43577793e-01 
505 959.22 5.62934208e+00 2.40487918e-01 
504 961.10 5.84007454e+00 2.33026072e-01 
503 962.98 6.33870029e+00 2.17544213e-01 
502 964.85 6.38283634e+00 1.82153463e-01 
501 966.72 7.01829386e+00 1.66426614e-01 
500 968.59 7.10426283e+00 1.37520984e-01 
499 970.45 7.57650089e+00 1.30715877e-01 
498 972.32 7.51718950e+00 1.43520266e-01 
497 974.18 7.80295801e+00 1.46596596e-01 
496 976.04 7.73921824e+00 1.32874131e-01 
495 977.89 8.13077927e+00 1.22859262e-01 
494 979.74 8.04399967e+00 9.38717797e-02 
493 981.59 8.47281933e+00 8.19990635e-02 
492 983.44 8.39451694e+00 6.85827211e-02 
491 985.29 8.76470470e+00 5.77534586e-02 
490 987.13 8.48383904e+00 5.21791242e-02 
489 988.97 8.75351810e+00 4.45290469e-02 
488 990.81 8.57268238e+00 3.83541398e-02 
487 992.65 8.74903679e+00 4.21738923e-02 
486 994.48 8.62786770e+00 4.06555720e-02 
485 996.31 8.66963577e+00 4.32730913e-02 
484 998.14 8.44207668e+00 4.23478335e-02 
483 999.97 8.61499977e+00 3.71614359e-02 
482 1001.79 8.33466530e+00 3.70657295e-02 
481 1003.62 8.42609501e+00 3.87550183e-02 
480 1005.44 8.23307133e+00 3.93602066e-02 
479 1007.25 8.48149014e+00 3.77066694e-02 
478 1009.07 8.22636795e+00 4.34934199e-02 
477 1010.88 8.46162987e+00 3.94699797e-02 
476 1012.69 8.17411518e+00 3.99409384e-02 
475 1014.50 8.33402443e+00 3.71500626e-02 
474 1016.31 8.09035397e+00 4.07207645e-02 
473 1018.11 8.28884602e+00 3.47988456e-02 
472 1019.91 8.03211021e+00 4.15150337e-02 
471 1021.71 8.14089775e+00 4.20125052e-02 
470 1023.51 8.03366184e+00 3.79315354e-02 
469 1025.30 8.09888554e+00 4.12757359e-02 
468 1027.09 8.11251736e+00 4.24227118e-02 
467 1028.88 8.10011768e+00 5.06964326e-02 
466 1030.67 8.11924648e+00 4.24023345e-02 
465 1032.46 8.21426010e+00 3.96341868e-02 
464 1034.24 8.07836628e+00 4.00928780e-02 
463 1036.02 8.27535629e+00 3.98378372e-02 
462 1037.80 8.16816711e+00 3.52222249e-02 
461 1039.58 8.37742901e+00 4.06711251e-02 
460 1041.35 8.25780964e+00 4.20597419e-02 
459 1043.12 8.35689354e+00 4.22977358e-02 
458 1044.89 8.31542873e+00 4.00728993e-02 
457 1046.66 8.52416420e+00 4.16500717e-02 
456 1048.43 8.49179363e+00 3.66533250e-02 
455 1050.19 8.69009972e+00 4.11237702e-02 
454 1051.95 8.44900227e+00 4.36254553e-02 
453 1053.71 8.80779648e+00 3.76385488e-02 
452 1055.47 8.60038471e+00 3.98241691e-02 
451 1057.23 8.74718380e+00 4.23884317e-02 
450 1058.98 8.60215378e+00 4.08405922e-02 
449 1060.73 8.79978657e+00 4.82821055e-02 
448 1062.48 8.55735493e+00 4.32059839e-02 
447 1064.23 8.68544006e+00 4.52725478e-02 
446 1065.97 8.44439888e+00 4.43885624e-02 
445 1067.71 8.51201153e+00 4.15488817e-02 
444 1069.46 8.32865715e+00 3.73048522e-02 
443 1071.19 8.33147240e+00 5.26010506e-02 
442 1072.93 8.31354141e+00 3.35898735e-02 
441 1074.67 8.34656334e+00 4.60539758e-02 
440 1076.40 8.18074703e+00 3.75334173e-02 
439 1078.13 8.12771320e+00 4.42607701e-02 
438 1079.86 7.91200590e+00 3.76002043e-02 
437 1081.58 8.00165844e+00 3.28611247e-02 
436 1083.31 7.81853819e+00 4.14911136e-02 
435 1085.03 8.04612446e+00 4.79533412e-02 
434 1086.75 7.94022036e+00 5.09149171e-02 
433 1088.47 8.01635551e+00 5.62424734e-02 
432 1090.19 7.92829704e+00 6.51864111e-02 
431 1091.90 8.00527000e+00 8.01214650e-02 
430 1093.61 7.87672949e+00 8.29036534e-02 
429 1095.33 8.01200008e+00 1.03711195e-01 
428 1097.03 7.94194460e+00 1.30519867e-01 
427 1098.74 8.14026356e+00 1.69595495e-01 
426 1100.45 8.08539295e+00 1.90775216e-01 
425 1102.15 8.29654598e+00 2.16738909e-01 
424 1103.85 8.25036621e+00 2.32549608e-01 
423 1105.55 8.29113197e+00 2.38672107e-01 
422 1107.25 8.19142818e+00 2.38602877e-01 
421 1108.94 8.20181561e+00 2.63135463e-01 
420 1110.64 7.57297277e+00 2.81700373e-01 
419 1112.33 7.28709364e+00 3.89781952e-01 
418 1114.02 6.50374079e+00 4.58350539e-01 
417 1115.70 6.07800770e+00 5.14925838e-01 
416 1117.39 5.66259813e+00 5.56421995e-01 
415 1119.07 5.48663807e+00 5.81030965e-01 
414 1120.76 5.19427013e+00 5.78982174e-01 
413 1122.44 5.14785528e+00 5.92501104e-01 
412 1124.12 5.09616327e+00 6.14141524e-01 
411 1125.79 5.26112270e+00 6.59863532e-01 
410 1127.47 5.68769407e+00 6.35609210e-01 
409 1129.14 6.06838369e+00 6.12105191e-01 
408 1130.81 5.60889721e+00 5.82343638e-01 
407 1132.48 5.36700773e+00 5.67831874e-01 
406 1134.15 5.38743544e+00 5.57793558e-01 
405 1135.81 6.12832451e+00 5.07612169e-01 
404 1137.48 6.89653349e+00 4.86833364e-01 
403 1139.14 7.17988825e+00 4.67874646e-01 
402 1140.80 6.65250111e+00 4.97267008e-01 
401 1142.46 6.30716896e+00 5.65518200e-01 
400 1144.12 5.91109896e+00 5.83241642e-01 
399 1145.77 5.95550489e+00 5.89526176e-01 
398 1147.43 6.19324684e+00 5.51517487e-01 
397 1149.08 6.53747702e+00 5.15384018e-01 
396 1150.73 6.52911043e+00 5.12376666e-01 
395 1152.38 6.98069096e+00 4.75145131e-01 
394 1154.02 7.11173582e+00 4.32365239e-01 
393 1155.67 7.58647871e+00 3.86075795e-01 
392 1157.31 7.64425993e+00 3.44308585e-01 
391 1158.95 7.93626642e+00 3.09568852e-01 
390 1160.59 8.00246906e+00 2.70735502e-01 
389 1162.23 8.28664112e+00 2.60482788e-01 
388 1163.87 8.25181866e+00 2.47106642e-01 
387 1165.50 8.34787083e+00 2.30776370e-01 
386 1167.13 8.31464863e+00 2.05897748e-01 
385 1168.76 8.40930080e+00 1.77469671e-01 
384 1170.39 8.33320045e+00 1.86725006e-01 
383 1172.02 8.30391216e+00 1.71126142e-01 
382 1173.65 8.13907719e+00 1.77265197e-01 
381 1175.27 8.15562916e+00 1.57159120e-01 
