% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from (SEE Original files for sources) and recorded on 2022-07-14 21:19:48.
% Langley at MLO outside 1.8x the STD of 501 nm Langley residuals were screened out. 
% Including only the good days at MLO
% Averages of c0 from multiple days including: , MLO -pm- g, MLO -go-od, MLO -go-od, MLO -go-od, MLO -go-od, MLO -go-od, MLO -go-od. See the list of files below
% 20220508_VIS_C0_4STARB_refined_ground_langley_pmMLO_May2022_Day2.dat
% 20220509_VIS_C0_4STARB_refined_ground_langley_amMLO_May2022_Day3.dat
% 20220510_VIS_C0_4STARB_refined_ground_langley_amMLO_May2022_Day4.dat
% 20220511_VIS_C0_4STARB_refined_ground_langley_amMLO_May2022_Day5.dat
% 20220512_VIS_C0_4STARB_refined_ground_langley_amMLO_May2022_Day6.dat
% 20220513_VIS_C0_4STARB_refined_ground_langley_amMLO_May2022_Day7.dat
% 20220514_VIS_C0_4STARB_refined_ground_langley_amMLO_May2022_Day8.dat
Pix Wavelength C0 C0err
0 171.70 -1.00000000e+00 0.00000000e+00 
1 172.51 -1.15533862e-01 3.90152015e-01 
2 173.33 -1.17274810e-01 3.89306806e-01 
3 174.14 -1.19824697e-01 3.88149474e-01 
4 174.95 2.78286471e+00 1.83712750e+00 
5 175.76 2.91984545e+00 1.89873804e+00 
6 176.58 2.87328635e+00 1.86628477e+00 
7 177.39 2.83003593e+00 1.84128130e+00 
8 178.20 2.78366150e+00 1.81093049e+00 
9 179.01 2.74272061e+00 1.78443091e+00 
10 179.83 2.69423495e+00 1.75513219e+00 
11 180.64 2.64877391e+00 1.72679133e+00 
12 181.45 2.60408466e+00 1.70035310e+00 
13 182.26 2.56268174e+00 1.67701589e+00 
14 183.08 2.52275716e+00 1.65149717e+00 
15 183.89 2.48578269e+00 1.62897872e+00 
16 184.70 2.45345395e+00 1.61083838e+00 
17 185.51 2.41172600e+00 1.58556005e+00 
18 186.33 2.38031765e+00 1.56659258e+00 
19 187.14 2.34964718e+00 1.54973788e+00 
20 187.95 2.31960709e+00 1.53205437e+00 
21 188.76 2.29105438e+00 1.51712253e+00 
22 189.57 2.25935194e+00 1.49824064e+00 
23 190.39 2.22855214e+00 1.48123866e+00 
24 191.20 2.19954525e+00 1.46557426e+00 
25 192.01 2.17484341e+00 1.45094124e+00 
26 192.82 2.14555648e+00 1.43633787e+00 
27 193.64 2.12030792e+00 1.42175058e+00 
28 194.45 2.09893339e+00 1.41017249e+00 
29 195.26 2.06949908e+00 1.39428777e+00 
30 196.07 2.04638859e+00 1.38166478e+00 
31 196.89 2.02297943e+00 1.37016232e+00 
32 197.70 1.99874204e+00 1.35663455e+00 
33 198.51 1.97618992e+00 1.34402874e+00 
34 199.32 1.95559696e+00 1.33377612e+00 
35 200.14 1.93667729e+00 1.32425113e+00 
