% C0 (TOA Count Rate, /ms) for 4STAR NIR spectrometer (512 channels) derived from C:\Users\sleblan2\Research\4STAR\cal\4STARB_20240621starsun.mat and recorded on 2024-06-26 14:11:03.
% Data C0 built to match AOD from 4STARB to AERONET spline fit for NASA_Ames within 300 m [Alt] and 600 seconds, measured on 20240621. Using the AERONET file: 240621_240621_NASA_Ames.lev15 as input for this comparison. Date of creation: 26-Jun-2024 14:11:03
Pix Wavelength C0 C0err
511 946.05 3.23782706e+00 1.68167949e-01 
510 947.95 3.38093758e+00 1.73439488e-01 
509 949.84 3.56969142e+00 1.74615651e-01 
508 951.73 3.74497032e+00 1.80354789e-01 
507 953.62 3.91878605e+00 1.76565707e-01 
506 955.51 4.14945698e+00 1.75216436e-01 
505 957.40 4.40867281e+00 1.69147745e-01 
504 959.28 4.74684858e+00 1.69401661e-01 
503 961.16 5.13502455e+00 1.63440660e-01 
502 963.03 5.55653858e+00 1.64741114e-01 
501 964.90 6.05312967e+00 1.57424495e-01 
500 966.78 6.64574385e+00 1.43444106e-01 
499 968.64 7.30106449e+00 1.29255772e-01 
498 970.51 7.77237320e+00 1.15977950e-01 
497 972.37 7.92877626e+00 1.11831203e-01 
496 974.23 7.93327045e+00 1.14507601e-01 
495 976.09 8.05952358e+00 1.11225739e-01 
494 977.95 8.32331753e+00 1.05530351e-01 
493 979.80 8.71896458e+00 9.09077823e-02 
492 981.65 9.08131027e+00 7.66250491e-02 
491 983.50 9.47279263e+00 5.64033277e-02 
490 985.34 9.77731705e+00 4.37733755e-02 
489 987.18 1.00277004e+01 2.82098819e-02 
488 989.02 1.02064285e+01 2.02983581e-02 
487 990.86 1.03579826e+01 1.75242908e-02 
486 992.70 1.04343090e+01 1.56840142e-02 
485 994.53 1.05343027e+01 1.89923607e-02 
484 996.36 1.05748587e+01 2.22956203e-02 
483 998.19 1.06275015e+01 1.88385136e-02 
482 1000.01 1.06439648e+01 1.61156487e-02 
481 1001.83 1.06412258e+01 1.66613366e-02 
480 1003.65 1.06033621e+01 1.74764376e-02 
479 1005.47 1.06556044e+01 1.78227797e-02 
478 1007.29 1.07371445e+01 1.80287547e-02 
477 1009.10 1.08905325e+01 2.13897359e-02 
476 1010.91 1.09792871e+01 2.36727409e-02 
475 1012.72 1.10310488e+01 2.13201661e-02 
474 1014.53 1.10211267e+01 2.23847106e-02 
473 1016.33 1.10576057e+01 1.97027829e-02 
472 1018.13 1.10242434e+01 2.23532654e-02 
471 1019.93 1.10302906e+01 1.80513542e-02 
470 1021.73 1.09850655e+01 1.74889825e-02 
469 1023.52 1.09528065e+01 1.92124359e-02 
468 1025.31 1.08904600e+01 1.66467112e-02 
467 1027.10 1.08711147e+01 1.85761824e-02 
466 1028.89 1.07709227e+01 2.10103430e-02 
465 1030.67 1.06884995e+01 1.81547049e-02 
464 1032.45 1.05649757e+01 1.55668845e-02 
463 1034.23 1.04995279e+01 1.93619896e-02 
462 1036.01 1.04225426e+01 2.29080580e-02 
461 1037.79 1.03939171e+01 2.02599987e-02 
460 1039.56 1.03332443e+01 2.33868193e-02 
459 1041.33 1.02994547e+01 2.17345972e-02 
458 1043.10 1.02110434e+01 2.17863321e-02 
457 1044.87 1.01389418e+01 2.09079683e-02 
456 1046.63 1.00569000e+01 2.15833019e-02 
455 1048.39 1.00334806e+01 1.72360241e-02 
454 1050.15 9.97510338e+00 2.07694024e-02 
453 1051.91 9.95322037e+00 1.97974276e-02 
452 1053.67 9.88780499e+00 2.29233541e-02 
451 1055.42 9.84879494e+00 2.05628388e-02 
450 1057.17 9.75821686e+00 2.17834692e-02 
449 1058.92 9.72119713e+00 2.14569345e-02 
448 1060.67 9.69268608e+00 2.45201420e-02 
447 1062.41 9.66918564e+00 2.06551347e-02 
446 1064.15 9.57266903e+00 2.17337944e-02 
445 1065.89 9.43433475e+00 2.76485495e-02 
444 1067.63 9.22525597e+00 3.20798568e-02 
443 1069.37 9.10567856e+00 2.63753440e-02 
442 1071.10 9.00252724e+00 3.47053632e-02 
441 1072.83 8.95745754e+00 2.88879331e-02 
440 1074.56 8.86104393e+00 3.01571991e-02 
439 1076.29 8.79030991e+00 2.82581430e-02 
438 1078.02 8.67301369e+00 3.12933922e-02 
437 1079.74 8.55283833e+00 3.27732861e-02 
436 1081.46 8.41619968e+00 4.21264321e-02 
435 1083.18 8.31389999e+00 4.52270173e-02 
434 1084.90 8.21576023e+00 4.78423089e-02 
433 1086.61 8.21642113e+00 5.60032353e-02 
432 1088.33 8.22950840e+00 6.00399747e-02 
